《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/69 ～ 73
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1821g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1821h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0700》,《暦日2》,十五／,ひのえさる,とる,火,ひかんニなる,神よし
《0710》,《暦日0》,十六／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0720》,《暦日2》,十七／,つちのえいぬ,あやふ,木,社日, かといてよし
《0730》,《暦日0》,十八／,つちのとのい,なる,,　,母倉 月とく ちう日 わうまう  みそすつくりよし
《0740》,《暦日2》,十九／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《0750》,《暦日0》,廿／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《0760》,《節中》,春分二月中うの三刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《0770》,《暦日2》,廿一／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0780》,《暦日0》,廿二／,みつのとのう,たつ,,　,天火 らうしやく
《0790》,《暦日2》,廿三／,きのえたつ,のそく,火,　,●
《0800》,《暦日0》,廿四／,きのとのみ,みつ,,　,十し
《0810》,《暦日2》,廿五／,ひのえむま,たいら,水,　,さい下しき 神よし 大みやう 大くわ 地火
《0820》,《暦日0》,廿六／,ひのとのひつし,さたん,,　,神よし ちいみ
《0830》,《暦日2》,廿七／,つちのえさる,とる,土,　,神よし きしく  たねまきよし
《0840》,《暦日0》,廿八／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《0850》,《暦日2》,廿九／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
