«1785-0000»,【 カンマ区切りテキスト形式です。】
«1785-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1785-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1785-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1785-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1785-0050»,【 外部リンク　】
«1785-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/193 ～ 197】
«1785-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1785h　(翻刻編集終了データを表成型して表示します)】
«1785-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1785ht (翻刻編集中データを表成型して表示します)】
«1785-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1785-0100»,«版元»,出版地○○,出版元□□□,　
«1785-0650»,«暦日0»,十一〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1785-0660»,«暦日1»,十二〳,みつのえたつ,のそく,水,　,●
«1785-0670»,«節中»,春分二月中むまの二刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1785-0680»,«暦日1»,十三〳,みつのとのみ,みつ,水,天一天上,十し
«1785-0690»,«暦日2»,十四〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1785-0700»,«暦日0»,十五〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1785-0710»,«暦日2»,十六〳,ひのえさる,とる,火,　,神よし
«1785-0720»,«暦日0»,十七〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1785-0730»,«暦日2»,十八〳,つちのえいぬ,あやふ,木,　, かといてよし
«1785-0740»,«暦日0»,十九〳,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1785-0750»,«暦日2»,廿〳,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
«1785-0760»,«暦日0»,廿一〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1785-0770»,«暦日2»,廿二〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
