«1697-0000»,【 カンマ区切りテキスト形式です。】
«1697-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1697-0660»,«暦日2»,十五〳,ひのえさる,とる,火,　,神よし
«1697-0670»,«暦日0»,十六〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1697-0680»,«暦日2»,十七〳,つちのえいぬ,あやふ,木,　, かといてよし
«1697-0690»,«暦日0»,十八〳,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
«1697-0700»,«暦日2»,十九〳,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
«1697-0710»,«暦日0»,廿〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1697-0720»,«暦日2»,廿一〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1697-0730»,«暦日0»,廿二〳,みつのとのう,たつ,,　,天火 らうしやく
«1697-0740»,«暦日2»,廿三〳,きのえたつ,のそく,火,　,●
«1697-0750»,«暦日0»,廿四〳,きのとのみ,みつ,,　,十し
«1697-0760»,«暦日2»,廿五〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1697-0770»,«暦日0»,廿六〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1697-0780»,«暦日2»,廿七〳,つちのえさる,とる,土,社日,わうまう  たねまきよし
«1697-0790»,«暦日0»,廿八〳,つちのとのとり,やふる,,　,大みやう
«1697-0800»,«暦日2»,廿九〳,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
«1697-0810»,«暦日0»,卅〳,かのとのい,なる,,春分二月中とらの一刻,神よし 大みやう ちう日 ふく日
«1697-0820»,«月序»,閏二月,小,隨節用之,氐　土よう
«1697-0830»,«暦日2»,一〳,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
«1697-0840»,«暦日0»,二〳,みつのとのうし,ひらく,,ま日|ひかんニなる, つめとりよし
«1697-0850»,«暦日2»,三〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1697-0860»,«暦日0»,四〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1697-0870»,«暦日2»,五〳,ひのえたつ,のそく,土,ま日,●
«1697-0880»,«暦日0»,六〳,ひのとのみ,みつ,,　,十し
«1697-0890»,«暦日2»,七〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1697-0900»,«暦日0»,八〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1697-0910»,«暦日2»,九〳,かのえさる,とる,木,　,神よし 大みやう
«1697-0920»,«暦日0»,十〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1697-0930»,«暦日2»,十一〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1697-0940»,«暦日0»,十二〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1697-0950»,«暦日2»,十三〳,きのえね,おさん,金,　,めつもん
«1697-0960»,«暦日0»,十四〳,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
«1697-0970»,«暦日2»,十五〳,ひのえとら,ひらく,火,三月せつたつの六刻ニ入,くゑ日 ちいみ
«1697-0980»,«暦日0»,十六〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1697-0990»,«暦日2»,十七〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1697-1000»,«暦日0»,十八〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1697-1010»,«暦日2»,十九〳,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
«1697-1020»,«暦日0»,廿〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1697-1030»,«暦日2»,廿一〳,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
«1697-1040»,«暦日0»,廿二〳,みつのとのとり,とる,,　,神よし 大みやう
«1697-1050»,«暦日2»,廿三〳,きのえいぬ,やふる,火,　, くさかりよし
«1697-1060»,«暦日0»,廿四〳,きのとのい,あやふ,,　,●
«1697-1070»,«暦日2»,廿五〳,ひのえね,なる,水,　,きこ
«1697-1080»,«暦日0»,廿六〳,ひのとのうし,おさん,,　,十し
«1697-1090»,«暦日2»,廿七〳,つちのえとら,ひらく,土,とようむまの七刻ニ入,天しや よろつよし
«1697-1100»,«暦日0»,廿八〳,つちのとのう,とつ,,　,神よし 大みやう ふく日
«1697-1110»,«暦日1»,廿九〳,かのえたつ,たつ,金,　,くゑ日
«1697-1120»,«月序»,三月,小,建,甲辰,氐宿　房　日よう
«1697-1130»,«暦日1»,一〳,かのとのみ,のそく,金,三月中ひつしの三刻,ちう日
«1697-1140»,«食記»,日そく五分,　
«1697-1150»,«暦日2»,二〳,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
«1697-1160»,«暦日0»,三〳,みつのとのひつし,たいら,,　,めつもん 地火
«1697-1170»,«暦日2»,四〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1697-1180»,«暦日0»,五〳,きのとのとり,とる,,　,神よし  くさかりよし
«1697-1190»,«暦日2»,六〳,ひのえいぬ,やふる,土,　,五む日 わうまう
«1697-1200»,«暦日0»,七〳,ひのとのい,あやふ,,　,●
«1697-1210»,«暦日2»,八〳,つちのえね,なる,火,　,きこ ふく日
«1697-1220»,«暦日0»,九〳,つちのとのうし,おさん,,　,十し
«1697-1230»,«暦日2»,十〳,かのえとら,ひらく,木,　,さい下しき ちいみ  いちたち  つめとりよし
«1697-1240»,«暦日0»,十一〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1697-1250»,«暦日2»,十二〳,みつのえたつ,たつ,水,八十八や,大みやう 五む日
«1697-1260»,«暦日0»,十三〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1697-1270»,«暦日2»,十四〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
«1697-1280»,«暦日0»,十五〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1697-1290»,«暦日2»,十六〳,ひのえさる,たいら,火,立夏四月せついぬの初刻ニ入,神よし ちいみ 大くわ ふく日 地火  入学よし
«1697-1300»,«暦日0»,十七〳,ひのとのとり,さたん,,　,十し
«1697-1310»,«暦日2»,十八〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1697-1320»,«暦日0»,十九〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1697-1330»,«暦日2»,廿〳,かのえね,あやふ,土,　,神よし きしく  わたまし たねまきよし
«1697-1340»,«暦日0»,廿一〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1697-1350»,«暦日2»,廿二〳,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
«1697-1360»,«暦日0»,廿三〳,みつのとのう,ひらく,,　,わうまう  かといて さひらきよし
«1697-1370»,«暦日2»,廿四〳,きのえたつ,とつ,火,　,大みやう
«1697-1380»,«暦日0»,廿五〳,きのとのみ,たつ,,　,●
«1697-1390»,«暦日2»,廿六〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1697-1400»,«暦日0»,廿七〳,ひのとのひつし,みつ,,　,くゑ日
«1697-1410»,«暦日2»,廿八〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1697-1420»,«暦日0»,廿九〳,つちのとのとり,さたん,,　,十し
«1697-1430»,«月序»,四月,大,建,乙巳,房宿　心　月よう
«1697-1440»,«暦日2»,一〳,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
«1697-1450»,«暦日0»,二〳,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
«1697-1460»,«暦日2»,三〳,みつのえね,あやふ,木,四月中ねの五刻|八せんのはしめ,神よし ふく日  くらたてよし
«1697-1470»,«暦日0»,四〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1697-1480»,«暦日2»,五〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1697-1490»,«暦日0»,六〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1697-1500»,«暦日2»,七〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1697-1510»,«暦日0»,八〳,ひのとのみ,たつ,,　,●
«1697-1520»,«暦日2»,九〳,つちのえむま,のそく,火,ま日,くゑ日
«1697-1530»,«暦日0»,十〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1697-1540»,«暦日2»,十一〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1697-1550»,«暦日0»,十二〳,かのとのとり,さたん,,　,十し
«1697-1560»,«暦日2»,十三〳,みつのえいぬ,とる,水,ま日,ふく日
«1697-1570»,«暦日0»,十四〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1697-1580»,«暦日2»,十五〳,きのえね,あやふ,金,　
«1697-1590»,«暦日0»,十六〳,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
«1697-1600»,«暦日2»,十七〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1697-1610»,«暦日0»,十八〳,ひのとのう,おさん,,五月せつうの二刻ニ入,ちいみ 大くわ ふく日
«1697-1620»,«暦日2»,十九〳,つちのえたつ,ひらく,木,　,きしく 五む日  かまぬり 田うへよし
«1697-1630»,«暦日0»,廿〳,つちのとのみ,とつ,,　,十し
«1697-1640»,«暦日2»,廿一〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1697-1650»,«暦日0»,廿二〳,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
«1697-1660»,«暦日2»,廿三〳,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
«1697-1670»,«暦日0»,廿四〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1697-1680»,«暦日2»,廿五〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1697-1690»,«暦日0»,廿六〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1697-1700»,«暦日2»,廿七〳,ひのえね,やふる,水,　,●
«1697-1710»,«暦日0»,廿八〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1697-1720»,«暦日2»,廿九〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1697-1730»,«暦日0»,卅〳,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
«1697-1740»,«月序»,五月,小,建,丙午,心宿　箕　水よう
«1697-1750»,«暦日2»,一〳,かのえたつ,ひらく,金,　, けんふく かといてよし
«1697-1760»,«暦日0»,二〳,かのとのみ,とつ,,　,十し
«1697-1770»,«暦日2»,三〳,みつのえむま,たつ,木,夏至五月中みの七刻,大みやう わうまう 下しきうの時
«1697-1780»,«暦日0»,四〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
«1697-1790»,«暦日2»,五〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1697-1800»,«暦日0»,六〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1697-1810»,«暦日2»,七〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1697-1820»,«暦日0»,八〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1697-1830»,«暦日2»,九〳,つちのえね,やふる,火,　,●
«1697-1840»,«暦日0»,十〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1697-1850»,«暦日2»,十一〳,かのえとら,なる,木,　,さい下しき きこ  井ほり  つめとりよし
«1697-1860»,«暦日0»,十二〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1697-1870»,«暦日2»,十三〳,みつのえたつ,ひらく,水,はんけしやう,大みやう 五む日
«1697-1880»,«暦日0»,十四〳,みつのとのみ,とつ,,天一天上,十し
«1697-1890»,«暦日2»,十五〳,きのえむま,たつ,金,　,天しや よろつよし
«1697-1900»,«暦日0»,十六〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1697-1910»,«暦日2»,十七〳,ひのえさる,みつ,火,　,神よし きしく  入学 いちたちよし
«1697-1920»,«暦日0»,十八〳,ひのとのとり,みつ,,六月せつさるの四刻ニ入,神よし ちいみ  くさかりよし
«1697-1930»,«暦日2»,十九〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1697-1940»,«暦日0»,廿〳,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
«1697-1950»,«暦日2»,廿一〳,かのえね,とる,土,　,きこ 下しきたつの時
«1697-1960»,«暦日0»,廿二〳,かのとのうし,やふる,,　,十し
«1697-1970»,«暦日2»,廿三〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1697-1980»,«暦日0»,廿四〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1697-1990»,«暦日2»,廿五〳,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
«1697-2000»,«暦日0»,廿六〳,きのとのみ,ひらく,,　,大みやう ちう日
«1697-2010»,«暦日2»,廿七〳,ひのえむま,とつ,水,　,●
«1697-2020»,«暦日0»,廿八〳,ひのとのひつし,たつ,,　,くゑ日
«1697-2030»,«暦日1»,廿九〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1697-2040»,«月序»,六月,大,建,丁未,尾宿　斗　木よう
«1697-2050»,«暦日1»,一〳,つちのとのとり,みつ,土,とよういぬの五刻ニ入,神よし 大みやう ちいみ ふく日
«1697-2060»,«暦日2»,二〳,かのえいぬ,たいら,金,初伏,大みやう 大くわ 地火
«1697-2070»,«暦日0»,三〳,かのとのい,さたん,,　,大みやう ちう日
«1697-2080»,«暦日2»,四〳,みつのえね,とる,木,六月中いの一刻|八せんのはしめ,きこ 下しきたつの時
«1697-2090»,«暦日0»,五〳,みつのとのうし,やふる,,ま日,十し
«1697-2100»,«暦日2»,六〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1697-2110»,«暦日0»,七〳,きのとのう,なる,,　,神よし 天火 らうしやく
«1697-2120»,«暦日2»,八〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1697-2130»,«暦日0»,九〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1697-2140»,«暦日2»,十〳,つちのえむま,とつ,火,ま日,●
«1697-2150»,«暦日0»,十一〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1697-2160»,«暦日2»,十二〳,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
«1697-2170»,«暦日0»,十三〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1697-2180»,«暦日2»,十四〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1697-2190»,«暦日0»,十五〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1697-2200»,«暦日2»,十六〳,きのえね,とる,金,　,きしく きこ 下しきたつの時
«1697-2210»,«暦日0»,十七〳,きのとのうし,やふる,,　,十し
«1697-2220»,«暦日2»,十八〳,ひのえとら,あやふ,火,　, わたまし  つめとりよし
«1697-2230»,«暦日0»,十九〳,ひのとのう,なる,,　,神よし 天火 らうしやく
«1697-2240»,«暦日2»,廿〳,つちのえたつ,なる,木,立秋七月せつうしの六刻ニ入,五む日 ちいみ  いちたちよし
«1697-2250»,«暦日0»,廿一〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1697-2260»,«暦日2»,廿二〳,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
«1697-2270»,«暦日0»,廿三〳,かのとのひつし,とつ,,　,大みやう  ものたちよし
«1697-2280»,«暦日2»,廿四〳,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
«1697-2290»,«暦日0»,廿五〳,みつのとのとり,のそく,,　,十し
«1697-2300»,«暦日2»,廿六〳,きのえいぬ,みつ,火,　,ふく日  くらたてよし
«1697-2310»,«暦日0»,廿七〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1697-2320»,«暦日2»,廿八〳,ひのえね,さたん,水,　,わうまう  田かりよし
«1697-2330»,«暦日0»,廿九〳,ひのとのうし,とる,,　,●
«1697-2340»,«暦日1»,卅〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1697-2350»,«月序»,七月,小,建,戊申,箕宿　女　土よう
«1697-2360»,«暦日1»,一〳,つちのとのう,あやふ,土,　,神よし 大みやう  みそすつくりよし
«1697-2370»,«暦日2»,二〳,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
«1697-2380»,«暦日0»,三〳,かのとのみ,おさん,,　,大くわ ちう日
«1697-2390»,«暦日2»,四〳,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
«1697-2400»,«暦日0»,五〳,みつのとのひつし,とつ,,七月中たつの三刻
