«1828-0000»,【 カンマ区切りテキスト形式です。】
«1828-0640»,«暦日0»,九〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1828-0650»,«暦日2»,十〳,かのえたつ,のそく,金,　,●
«1828-0660»,«暦日0»,十一〳,かのとのみ,みつ,,　,十し
«1828-0670»,«暦日2»,十二〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1828-0680»,«暦日0»,十三〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1828-0690»,«暦日2»,十四〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1828-0700»,«暦日0»,十五〳,きのとのとり,やふる,,　,ふく日
«1828-0710»,«暦日2»,十六〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1828-0720»,«暦日0»,十七〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1828-0730»,«暦日2»,十八〳,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
«1828-0740»,«暦日0»,十九〳,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
«1828-0750»,«暦日2»,廿〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1828-0760»,«暦日0»,廿一〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1828-0770»,«暦日2»,廿二〳,みつのえたつ,のそく,水,　,●
«1828-0780»,«暦日0»,廿三〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1828-0790»,«節中»,清明三月せつ今暁とらの二刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1828-0800»,«暦日2»,廿四〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
«1828-0810»,«暦日0»,廿五〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1828-0820»,«暦日2»,廿六〳,ひのえさる,さたん,火,　,くゑ日
«1828-0830»,«暦日0»,廿七〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1828-0840»,«暦日2»,廿八〳,つちのえいぬ,やふる,木,　,ふく日
«1828-0850»,«暦日0»,廿九〳,つちのとのい,あやふ,,　,●
«1828-0860»,«月序»,三月,大,建,丙辰,箕宿　畢　月よう
«1828-0870»,«暦日2»,一〳,かのえね,なる,土,　,神よし きこ
«1828-0880»,«暦日0»,二〳,かのとのうし,おさん,,　,十し
«1828-0890»,«暦日2»,三〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1828-0900»,«暦日0»,四〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1828-0910»,«暦日2»,五〳,きのえたつ,たつ,火,　,きしく 大みやう くゑ日
«1828-0920»,«暦日0»,六〳,きのとのみ,のそく,,とようたつの三刻ニ入,神よし 大みやう 母倉 ちう日  ふねのりよし
«1828-0930»,«暦日2»,七〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1828-0940»,«暦日0»,八〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1828-0950»,«暦日1»,九〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1828-0960»,«節中»,穀雨三月中たつの八刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1828-0970»,«暦日1»,十〳,つちのとのとり,とる,土,　,神よし 大みやう 天おん ふく日
«1828-0980»,«暦日2»,十一〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1828-0990»,«暦日0»,十二〳,かのとのい,あやふ,,　,●
«1828-1000»,«暦日2»,十三〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1828-1010»,«暦日0»,十四〳,みつのとのうし,おさん,,ま日,十し
«1828-1020»,«暦日2»,十五〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1828-1030»,«暦日0»,十六〳,きのとのう,とつ,,　,神よし  ものたちよし
«1828-1040»,«暦日2»,十七〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1828-1050»,«暦日0»,十八〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1828-1060»,«暦日2»,十九〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1828-1070»,«暦日0»,廿〳,つちのとのひつし,たいら,,八十八や,神よし 大みやう ふく日 めつもん 地火
«1828-1080»,«暦日2»,廿一〳,かのえさる,さたん,木,　,大みやう くゑ日
«1828-1090»,«暦日0»,廿二〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1828-1100»,«暦日2»,廿三〳,みつのえいぬ,やふる,水,ま日,月とく
«1828-1110»,«暦日0»,廿四〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1828-1120»,«節中»,立夏四月せつひつしの四刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1828-1130»,«暦日2»,廿五〳,きのえね,あやふ,金,　,天おん
«1828-1140»,«暦日0»,廿六〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1828-1150»,«暦日2»,廿七〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1828-1160»,«暦日0»,廿八〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1828-1170»,«暦日2»,廿九〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1828-1180»,«暦日0»,卅〳,つちのとのみ,たつ,,　,●
«1828-1190»,«月序»,四月,小,建,丁巳,斗宿　參　水よう
«1828-1200»,«暦日2»,一〳,かのえむま,のそく,土,　,月とく わうまう  さひらき みそすつくりよし
«1828-1210»,«暦日0»,二〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1828-1220»,«暦日2»,三〳,みつのえさる,たいら,金,　,神よし きしく 大みやう ちいみ 大くわ ふく日 地火
«1828-1230»,«暦日0»,四〳,みつのとのとり,さたん,,　,十し
«1828-1240»,«暦日2»,五〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1828-1250»,«暦日0»,六〳,きのとのい,やふる,,　,月とく ちう日
«1828-1260»,«暦日2»,七〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1828-1270»,«暦日0»,八〳,ひのとのうし,なる,,　,さい下しき 大みやう きこ  ものたち  つめとりよし
«1828-1280»,«暦日1»,九〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1828-1290»,«節中»,小満四月中いぬの一刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1828-1300»,«暦日1»,十〳,つちのとのう,ひらく,土,　,神よし 大みやう 天おん 母倉  入学よし
«1828-1310»,«暦日2»,十一〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1828-1320»,«暦日0»,十二〳,かのとのみ,たつ,,　,●
«1828-1330»,«暦日2»,十三〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1828-1340»,«暦日0»,十四〳,みつのとのひつし,みつ,,　,くゑ日
«1828-1350»,«暦日2»,十五〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1828-1360»,«暦日0»,十六〳,きのとのとり,さたん,,　,十し
«1828-1370»,«暦日2»,十七〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1828-1380»,«暦日0»,十八〳,ひのとのい,やふる,,　,大みやう ちう日
«1828-1390»,«暦日2»,十九〳,つちのえね,あやふ,火,　, けんふくよし
«1828-1400»,«暦日0»,廿〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1828-1410»,«暦日2»,廿一〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1828-1420»,«暦日0»,廿二〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1828-1430»,«暦日2»,廿三〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1828-1440»,«暦日0»,廿四〳,みつのとのみ,たつ,,天一天上,●
«1828-1450»,«暦日1»,廿五〳,きのえむま,たつ,金,　,天しや よろつよし
«1828-1460»,«節中»,芒種五月せつ今暁ねの六刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1828-1470»,«暦日1»,廿六〳,きのとのひつし,のそく,金,　,大みやう 五む日  むきかりよし
«1828-1480»,«暦日2»,廿七〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1828-1490»,«暦日0»,廿八〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1828-1500»,«暦日1»,廿九〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1828-1510»,«月序»,五月,大,建,戊午,牛宿　井　木よう
«1828-1520»,«暦日1»,一〳,つちのとのい,とる,木,　,神よし ちう日
«1828-1530»,«暦日2»,二〳,かのえね,やふる,土,　,●
«1828-1540»,«暦日0»,三〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1828-1550»,«暦日2»,四〳,みつのえとら,なる,金,入梅,大みやう 母倉 きこ  くさかり  つめとりよし
«1828-1560»,«暦日0»,五〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1828-1570»,«暦日2»,六〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1828-1580»,«暦日0»,七〳,きのとのみ,とつ,,　,十し
«1828-1590»,«暦日2»,八〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1828-1600»,«暦日0»,九〳,ひのとのひつし,のそく,,　,神よし ふく日
«1828-1610»,«暦日2»,十〳,つちのえさる,みつ,土,　,神よし  入学よし
«1828-1620»,«暦日0»,十一〳,つちのとのとり,たいら,,　,大みやう 天おん めつもん 地火 わうまう
«1828-1630»,«節中»,夏至五月中うの三刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
