«1704-0000»,【 カンマ区切りテキスト形式です。】
«1704-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1704-0660»,«暦日2»,十四〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
«1704-0670»,«暦日0»,十五〳,きのとのとり,やふる,,　,ふく日 わうまう
«1704-0680»,«暦日2»,十六〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1704-0690»,«暦日0»,十七〳,ひのとのい,なる,,春分二月中いぬの四刻,大みやう ちう日
«1704-0700»,«暦日2»,十八〳,つちのえね,おさん,火,社日,めつもん  けんふく たねかしよし
«1704-0710»,«暦日0»,十九〳,つちのとのうし,ひらく,,ひかんニなる, 井ほり  つめとりよし
«1704-0720»,«暦日2»,廿〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1704-0730»,«暦日0»,廿一〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1704-0740»,«暦日2»,廿二〳,みつのえたつ,のそく,水,　,●
«1704-0750»,«暦日0»,廿三〳,みつのとのみ,みつ,,天一天上,十し
«1704-0760»,«暦日2»,廿四〳,きのえむま,たいら,金,　,神よし 大くわ 地火
«1704-0770»,«暦日0»,廿五〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1704-0780»,«暦日2»,廿六〳,ひのえさる,とる,火,　,神よし
«1704-0790»,«暦日0»,廿七〳,ひのとのとり,やふる,,　,さい下しき  あさまき たねかしよし
«1704-0800»,«暦日2»,廿八〳,つちのえいぬ,あやふ,木,　, かといてよし
«1704-0810»,«暦日0»,廿九〳,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
«1704-0820»,«月序»,三月,大,建,戊辰,氐宿　鬼　金よう
«1704-0830»,«暦日2»,一〳,かのえね,おさん,土,　,神よし きしく めつもん  よめとり たねかしよし
«1704-0840»,«暦日0»,二〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1704-0850»,«暦日2»,三〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1704-0860»,«暦日0»,四〳,みつのとのう,とつ,,三月せつうしの一刻ニ入,神よし  けんふく かといてよし
«1704-0870»,«暦日2»,五〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1704-0880»,«暦日0»,六〳,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
«1704-0890»,«暦日2»,七〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
«1704-0900»,«暦日0»,八〳,ひのとのひつし,たいら,,　,神よし めつもん 地火
«1704-0910»,«暦日2»,九〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1704-0920»,«暦日0»,十〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1704-0930»,«暦日2»,十一〳,かのえいぬ,やふる,金,　,大みやう
«1704-0940»,«暦日0»,十二〳,かのとのい,あやふ,,　,●
«1704-0950»,«暦日2»,十三〳,みつのえね,なる,木,八せんのはしめ,神よし きこ
«1704-0960»,«暦日0»,十四〳,みつのとのうし,おさん,,ま日,十し
«1704-0970»,«暦日2»,十五〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1704-0980»,«暦日0»,十六〳,きのとのう,とつ,,とよううの一刻ニ入,神よし  ものたちよし
«1704-0990»,«暦日2»,十七〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1704-1000»,«暦日0»,十八〳,ひのとのみ,のそく,,　,ちう日  いちたちよし
«1704-1010»,«暦日2»,十九〳,つちのえむま,みつ,火,三月中うの六刻|ま日,神よし ふく日 天火 らうしやく  ふねのりよし
«1704-1020»,«暦日0»,廿〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1704-1030»,«暦日2»,廿一〳,かのえさる,さたん,木,　,大みやう くゑ日
«1704-1040»,«暦日0»,廿二〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1704-1050»,«暦日2»,廿三〳,みつのえいぬ,やふる,水,ま日
«1704-1060»,«暦日0»,廿四〳,みつのとのい,あやふ,,八せんのおはり,●
«1704-1070»,«暦日2»,廿五〳,きのえね,なる,金,　,くゑ日 きこ
«1704-1080»,«暦日0»,廿六〳,きのとのうし,おさん,,　,十し
«1704-1090»,«暦日2»,廿七〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1704-1100»,«暦日0»,廿八〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1704-1110»,«暦日2»,廿九〳,つちのえたつ,たつ,木,　,きしく 五む日 くゑ日 ふく日
«1704-1120»,«暦日0»,卅〳,つちのとのみ,のそく,,八十八や,神よし ちう日 ふく日  かといてよし
«1704-1130»,«月序»,四月,小,建,己巳,房宿　星　日よう
«1704-1140»,«暦日2»,一〳,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
«1704-1150»,«暦日0»,二〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1704-1160»,«暦日2»,三〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1704-1170»,«暦日0»,四〳,みつのとのとり,さたん,,立夏四月せつむまの三刻ニ入,十し
«1704-1180»,«暦日2»,五〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1704-1190»,«暦日0»,六〳,きのとのい,やふる,,　,ちう日
«1704-1200»,«暦日2»,七〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1704-1210»,«暦日0»,八〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1704-1220»,«暦日2»,九〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1704-1230»,«暦日0»,十〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1704-1240»,«暦日2»,十一〳,かのえたつ,とつ,金,　,わうまう  けんふくよし
«1704-1250»,«暦日0»,十二〳,かのとのみ,たつ,,　,●
«1704-1260»,«暦日2»,十三〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1704-1270»,«暦日0»,十四〳,みつのとのひつし,みつ,,　,くゑ日
«1704-1280»,«暦日2»,十五〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1704-1290»,«暦日0»,十六〳,きのとのとり,さたん,,　,十し
«1704-1300»,«暦日2»,十七〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1704-1310»,«暦日0»,十八〳,ひのとのい,やふる,,　,大みやう ちう日
«1704-1320»,«暦日2»,十九〳,つちのえね,あやふ,火,四月中さるの八刻, けんふくよし
«1704-1330»,«暦日0»,廿〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1704-1340»,«暦日2»,廿一〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1704-1350»,«暦日0»,廿二〳,かのとのう,ひらく,,　,神よし  やたて ものたちよし
«1704-1360»,«暦日2»,廿三〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1704-1370»,«暦日0»,廿四〳,みつのとのみ,たつ,,天一天上,●
«1704-1380»,«暦日2»,廿五〳,きのえむま,のそく,金,　,天しや よろつよし
«1704-1390»,«暦日0»,廿六〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1704-1400»,«暦日2»,廿七〳,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
«1704-1410»,«暦日0»,廿八〳,ひのとのとり,さたん,,　,十し
«1704-1420»,«暦日1»,廿九〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1704-1430»,«月序»,五月,大,建,庚午,心宿　張　月よう
«1704-1440»,«暦日1»,一〳,つちのとのい,やふる,木,　,くゑ日 ちう日
«1704-1450»,«暦日2»,二〳,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
«1704-1460»,«暦日0»,三〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1704-1470»,«暦日2»,四〳,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
«1704-1480»,«暦日0»,五〳,みつのとのう,おさん,,五月せついの五刻ニ入,ちいみ 大くわ ふく日
«1704-1490»,«暦日2»,六〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1704-1500»,«暦日0»,七〳,きのとのみ,とつ,,　,十し
«1704-1510»,«暦日2»,八〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1704-1520»,«暦日0»,九〳,ひのとのひつし,のそく,,　,神よし ふく日
«1704-1530»,«暦日2»,十〳,つちのえさる,みつ,土,　,神よし  入学よし
«1704-1540»,«暦日0»,十一〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1704-1550»,«暦日2»,十二〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1704-1560»,«暦日0»,十三〳,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
«1704-1570»,«暦日2»,十四〳,みつのえね,やふる,木,入梅|八せんのはしめ,●
«1704-1580»,«暦日0»,十五〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1704-1590»,«暦日1»,十六〳,きのえとら,なる,水,　,きこ  つめとりよし
«1704-1600»,«食記»,月そく九分
«1704-1610»,«暦日1»,十七〳,きのとのう,おさん,水,　,ちいみ 大くわ  ものたちよし
«1704-1620»,«暦日2»,十八〳,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
«1704-1630»,«暦日0»,十九〳,ひのとのみ,とつ,,　,十し
«1704-1640»,«暦日2»,廿〳,つちのえむま,たつ,火,ま日,くゑ日 わうまう 下しきうの時
«1704-1650»,«暦日0»,廿一〳,つちのとのひつし,のそく,,夏至五月中とらの一刻,神よし 大みやう  みそすつくり 田うへよし
«1704-1660»,«暦日2»,廿二〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1704-1670»,«暦日0»,廿三〳,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1704-1680»,«暦日2»,廿四〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1704-1690»,«暦日0»,廿五〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1704-1700»,«暦日2»,廿六〳,きのえね,やふる,金,　,●
«1704-1710»,«暦日0»,廿七〳,きのとのうし,あやふ,,　,神よし  つめとりよし
«1704-1720»,«暦日2»,廿八〳,ひのえとら,なる,火,　,きこ  つめとりよし
«1704-1730»,«暦日0»,廿九〳,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
«1704-1740»,«暦日1»,卅〳,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
«1704-1750»,«月序»,六月,大,建,辛未,尾宿　軫　水よう
«1704-1760»,«暦日1»,一〳,つちのとのみ,とつ,木,はんけしやう,十し
«1704-1770»,«暦日2»,二〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1704-1780»,«暦日0»,三〳,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
«1704-1790»,«暦日2»,四〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1704-1800»,«暦日0»,五〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1704-1810»,«暦日2»,六〳,きのえいぬ,たいら,火,六月せつたつの七刻ニ入,大くわ 地火  わたましよし
«1704-1820»,«暦日0»,七〳,きのとのい,さたん,,　,ちう日
«1704-1830»,«暦日2»,八〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1704-1840»,«暦日0»,九〳,ひのとのうし,やふる,,　,十し
«1704-1850»,«暦日2»,十〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1704-1860»,«暦日0»,十一〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1704-1870»,«暦日2»,十二〳,かのえたつ,おさん,金,初伏,めつもん  けんふくよし
«1704-1880»,«暦日0»,十三〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1704-1890»,«暦日2»,十四〳,みつのえむま,とつ,木,　,●
«1704-1900»,«暦日0»,十五〳,みつのとのひつし,たつ,,　, たねまきよし
«1704-1910»,«暦日2»,十六〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
«1704-1920»,«暦日0»,十七〳,きのとのとり,みつ,,　,神よし ちいみ
«1704-1930»,«暦日2»,十八〳,ひのえいぬ,たいら,土,とようむまの七刻ニ入,五む日 大くわ 地火
«1704-1940»,«暦日0»,十九〳,ひのとのい,さたん,,　,大みやう ちう日
«1704-1950»,«暦日2»,廿〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1704-1960»,«暦日0»,廿一〳,つちのとのうし,やふる,,六月中ひつしの三刻,十し
«1704-1970»,«暦日2»,廿二〳,かのえとら,あやふ,木,中伏, やたて  つめとりよし
«1704-1980»,«暦日0»,廿三〳,かのとのう,なる,,　,神よし 天火 らうしやく
«1704-1990»,«暦日2»,廿四〳,みつのえたつ,おさん,水,　,きしく 大みやう 五む日 めつもん
«1704-2000»,«暦日0»,廿五〳,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
«1704-2010»,«暦日2»,廿六〳,きのえむま,とつ,金,　,●
«1704-2020»,«暦日0»,廿七〳,きのとのひつし,たつ,,　,大みやう 五む日
«1704-2030»,«暦日2»,廿八〳,ひのえさる,のそく,火,　,神よし
«1704-2040»,«暦日0»,廿九〳,ひのとのとり,みつ,,　,さい下しき ちいみ わうまう  くさかりよし
«1704-2050»,«暦日1»,卅〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1704-2060»,«月序»,七月,小,建,壬申,箕宿　亢　金よう
«1704-2070»,«暦日1»,一〳,つちのとのい,さたん,木,　,ちう日 ふく日  ふねのりよし
«1704-2080»,«暦日2»,二〳,かのえね,とる,土,　,きこ 下しきたつの時
«1704-2090»,«暦日0»,三〳,かのとのうし,やふる,,　,十し
«1704-2100»,«暦日2»,四〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1704-2110»,«暦日0»,五〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1704-2120»,«暦日2»,六〳,きのえたつ,なる,火,立秋七月せついぬの初刻ニ入,大みやう くゑ日 ちいみ ふく日
«1704-2130»,«暦日0»,七〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1704-2140»,«暦日2»,八〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1704-2150»,«暦日0»,九〳,ひのとのひつし,とつ,,　,神よし  いちたちよし
«1704-2160»,«暦日2»,十〳,つちのえさる,たつ,土,　,天しや よろつよし
«1704-2170»,«暦日0»,十一〳,つちのとのとり,のそく,,　,十し
«1704-2180»,«暦日2»,十二〳,かのえいぬ,みつ,金,末伏,大みやう ふく日
«1704-2190»,«暦日0»,十三〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1704-2200»,«暦日2»,十四〳,みつのえね,さたん,木,八せんのはしめ,わうまう  くらたてよし
«1704-2210»,«暦日0»,十五〳,みつのとのうし,とる,,ま日,●
«1704-2220»,«暦日2»,十六〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1704-2230»,«暦日0»,十七〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1704-2240»,«暦日2»,十八〳,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
«1704-2250»,«暦日0»,十九〳,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
«1704-2260»,«暦日2»,廿〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1704-2270»,«暦日0»,廿一〳,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
«1704-2280»,«暦日2»,廿二〳,かのえさる,たつ,木,七月中ねの五刻,きしく 大みやう くゑ日 ふく日 下しきみの時
«1704-2290»,«暦日0»,廿三〳,かのとのとり,のそく,,　,十し
«1704-2300»,«暦日2»,廿四〳,みつのえいぬ,みつ,水,ま日
«1704-2310»,«暦日0»,廿五〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1704-2320»,«暦日2»,廿六〳,きのえね,さたん,金,　,ふく日  ふねのりよし
«1704-2330»,«暦日0»,廿七〳,きのとのうし,とる,,　,●
«1704-2340»,«暦日2»,廿八〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1704-2350»,«暦日0»,廿九〳,ひのとのう,あやふ,,　,神よし  わたましよし
«1704-2360»,«月序»,八月,大,建,癸酉,斗宿　氐　土よう
«1704-2370»,«暦日2»,一〳,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
«1704-2380»,«暦日0»,二〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1704-2390»,«暦日2»,三〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1704-2400»,«暦日0»,四〳,かのとのひつし,とつ,,二百十日,大みやう  ものたちよし
«1704-2410»,«暦日2»,五〳,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
«1704-2420»,«暦日0»,六〳,みつのとのとり,のそく,,　,十し
«1704-2430»,«暦日2»,七〳,きのえいぬ,みつ,火,　,ふく日  くらたてよし
«1704-2440»,«暦日0»,八〳,きのとのい,みつ,,八月せつうの二刻ニ入,ちう日 ふく日  入学よし
«1704-2450»,«暦日2»,九〳,ひのえね,たいら,水,　,大くわ 地火
«1704-2460»,«暦日0»,十〳,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
«1704-2470»,«暦日2»,十一〳,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
«1704-2480»,«暦日0»,十二〳,つちのとのう,やふる,,　,大みやう
«1704-2490»,«暦日2»,十三〳,かのえたつ,あやふ,金,　
«1704-2500»,«暦日0»,十四〳,かのとのみ,なる,,二百廿日,十し
«1704-2510»,«暦日2»,十五〳,みつのえむま,おさん,木,　,大みやう めつもん
«1704-2520»,«暦日0»,十六〳,みつのとのひつし,ひらく,,　,●
«1704-2530»,«暦日2»,十七〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1704-2540»,«暦日0»,十八〳,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
«1704-2550»,«暦日2»,十九〳,ひのえいぬ,のそく,土,　,五む日 ちいみ
«1704-2560»,«暦日0»,廿〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1704-2570»,«暦日2»,廿一〳,つちのえね,たいら,火,社日,きしく 大くわ 地火
«1704-2580»,«暦日0»,廿二〳,つちのとのうし,さたん,,　, かまぬり  つめとりよし
«1704-2590»,«暦日2»,廿三〳,かのえとら,とる,木,秋分八月中みの七刻,きこ  つめとりよし
«1704-2600»,«暦日0»,廿四〳,かのとのう,やふる,,　,ふく日  田かりよし
«1704-2610»,«暦日2»,廿五〳,みつのえたつ,あやふ,水,ひかんニなる,大みやう 五む日 わうまう
«1704-2620»,«暦日0»,廿六〳,みつのとのみ,なる,,天一天上,十し
«1704-2630»,«暦日2»,廿七〳,きのえむま,おさん,金,　,めつもん
«1704-2640»,«暦日0»,廿八〳,きのとのひつし,ひらく,,　,●
«1704-2650»,«暦日2»,廿九〳,ひのえさる,とつ,火,　,神よし
«1704-2660»,«暦日0»,卅〳,ひのとのとり,たつ,,　,さい下しき 天火 らうしやく 下しきむまの時
«1704-2670»,«月序»,九月,大,建,甲戌,牛宿　心　月よう
«1704-2680»,«暦日2»,一〳,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
«1704-2690»,«暦日0»,二〳,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
«1704-2700»,«暦日2»,三〳,かのえね,たいら,土,　,神よし 大くわ 地火
«1704-2710»,«暦日0»,四〳,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
«1704-2720»,«暦日2»,五〳,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
«1704-2730»,«暦日0»,六〳,みつのとのう,やふる,,　, くらたて 田かりよし
«1704-2740»,«暦日2»,七〳,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
«1704-2750»,«暦日0»,八〳,きのとのみ,あやふ,,かん露九月せつさるの四刻ニ入,神よし 大みやう ちいみ ちう日 下しきひつしの時
«1704-2760»,«暦日2»,九〳,ひのえむま,なる,水,　,神よし 大みやう  いちたちよし
«1704-2770»,«暦日0»,十〳,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
«1704-2780»,«暦日2»,十一〳,つちのえさる,ひらく,土,　,天しや よろつよし
«1704-2790»,«暦日0»,十二〳,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
«1704-2800»,«暦日2»,十三〳,かのえいぬ,たつ,金,　,大みやう くゑ日
«1704-2810»,«暦日0»,十四〳,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
«1704-2820»,«暦日2»,十五〳,みつのえね,みつ,木,八せんのはしめ,神よし きこ 天火 らうしやく
«1704-2830»,«暦日0»,十六〳,みつのとのうし,たいら,,ま日,十し
«1704-2840»,«暦日2»,十七〳,きのえとら,さたん,水,　,●
«1704-2850»,«暦日0»,十八〳,きのとのう,とる,,　,神よし  かまぬり ものたちよし
«1704-2860»,«暦日2»,十九〳,ひのえたつ,やふる,土,ま日,きしく 大みやう  かとたてよし
«1704-2870»,«暦日0»,廿〳,ひのとのみ,あやふ,,とよういぬの五刻ニ入,ちいみ ちう日 下しきひつしの時
«1704-2880»,«暦日2»,廿一〳,つちのえむま,なる,火,ま日,神よし ふく日
