«1760-0000»,【 カンマ区切りテキスト形式です。】
«1760-0640»,«暦日0»,十〳,きのとのとり,やふる,,　,ふく日
«1760-0650»,«暦日2»,十一〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1760-0660»,«暦日0»,十二〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1760-0670»,«暦日2»,十三〳,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
«1760-0680»,«暦日0»,十四〳,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
«1760-0690»,«暦日2»,十五〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1760-0700»,«暦日0»,十六〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1760-0710»,«暦日2»,十七〳,みつのえたつ,のそく,水,　,●
«1760-0720»,«暦日0»,十八〳,みつのとのみ,みつ,,天一天上,十し
«1760-0730»,«暦日2»,十九〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1760-0740»,«暦日0»,廿〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1760-0750»,«暦日1»,廿一〳,ひのえさる,さたん,火,　,くゑ日
«1760-0760»,«節中»,清明三月せつむまの六刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1760-0770»,«暦日1»,廿二〳,ひのとのとり,とる,火,　,神よし 月とく  いちたちよし
«1760-0780»,«暦日2»,廿三〳,つちのえいぬ,やふる,木,　,ふく日
«1760-0790»,«暦日0»,廿四〳,つちのとのい,あやふ,,　,●
«1760-0800»,«暦日2»,廿五〳,かのえね,なる,土,　,神よし きこ
«1760-0810»,«暦日0»,廿六〳,かのとのうし,おさん,,　,十し
«1760-0820»,«暦日2»,廿七〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1760-0830»,«暦日0»,廿八〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1760-0840»,«暦日2»,廿九〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1760-0850»,«暦日0»,卅〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1760-0860»,«月序»,三月,小,建,庚辰,氐宿　參　水よう
«1760-0870»,«暦日2»,一〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1760-0880»,«暦日0»,二〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
