《1701-0000》,# カンマ区切りテキスト形式です。
《1701-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1701-0690》,《暦日2》,十六／,きのえいぬ,あやふ,火,ひかんニなる, かといてよし
《1701-0700》,《暦日0》,十七／,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
《1701-0710》,《暦日2》,十八／,ひのえね,おさん,水,　,めつもん  たねかしよし
《1701-0720》,《暦日0》,十九／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1701-0730》,《暦日2》,廿／,つちのえとら,とつ,土,　,天しや よろつよし
《1701-0740》,《暦日0》,廿一／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1701-0750》,《暦日2》,廿二／,かのえたつ,のそく,金,　,●
《1701-0760》,《暦日0》,廿三／,かのとのみ,みつ,,　,十し
《1701-0770》,《暦日2》,廿四／,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
《1701-0780》,《暦日0》,廿五／,みつのとのひつし,さたん,,　,ちいみ
《1701-0790》,《暦日2》,廿六／,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
《1701-0800》,《暦日0》,廿七／,きのとのとり,やふる,,　,ふく日
《1701-0810》,《暦日2》,廿八／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1701-0820》,《暦日0》,廿九／,ひのとのい,あやふ,,三月せつたつの三刻ニ入,●
《1701-0830》,《月序》,三月,大,建,壬辰,鬼宿　鬼　金よう
《1701-0840》,《暦日2》,一／,つちのえね,なる,火,　,きしく きこ ふく日
《1701-0850》,《暦日0》,二／,つちのとのうし,おさん,,　,十し
《1701-0860》,《暦日2》,三／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1701-0870》,《暦日0》,四／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1701-0880》,《暦日2》,五／,みつのえたつ,たつ,水,　,大みやう 五む日
《1701-0890》,《暦日0》,六／,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
《1701-0900》,《暦日2》,七／,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
《1701-0910》,《暦日0》,八／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1701-0920》,《暦日2》,九／,ひのえさる,さたん,火,　,くゑ日
《1701-0930》,《暦日0》,十／,ひのとのとり,とる,,　,神よし  いちたちよし
《1701-0940》,《暦日2》,十一／,つちのえいぬ,やふる,木,　,ふく日
《1701-0950》,《暦日0》,十二／,つちのとのい,あやふ,,とようむまの四刻ニ入,●
《1701-0960》,《暦日2》,十三／,かのえね,なる,土,　,神よし きこ
《1701-0970》,《暦日0》,十四／,かのとのうし,おさん,,　,十し
《1701-0980》,《暦日2》,十五／,みつのえとら,ひらく,金,三月中ひつしの初刻,大みやう ちいみ  つめとりよし
