《1701-0000》,# カンマ区切りテキスト形式です。
《1701-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1701-2860》,《暦日0》,十九／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《1701-2870》,《暦日2》,廿／,きのえたつ,やふる,火,　,きしく 大みやう
《1701-2880》,《暦日0》,廿一／,きのとのみ,あやふ,,九月中とらの四刻,神よし 大みやう ちいみ ちう日 下しきひつしの時
《1701-2890》,《暦日2》,廿二／,ひのえむま,なる,水,　,さい下しき 神よし 大みやう  いちたちよし
《1701-2900》,《暦日0》,廿三／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《1701-2910》,《暦日2》,廿四／,つちのえさる,ひらく,土,　,天しや よろつよし
《1701-2920》,《暦日0》,廿五／,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
《1701-2930》,《暦日2》,廿六／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1701-2940》,《暦日0》,廿七／,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
《1701-2950》,《暦日2》,廿八／,みつのえね,みつ,木,八せんのはしめ,神よし きこ 天火 らうしやく
《1701-2960》,《暦日0》,廿九／,みつのとのうし,たいら,,ま日,十し
《1701-2970》,《月序》,十月,大,建,己亥,亢宿　心　月よう
《1701-2980》,《暦日2》,一／,きのえとら,さたん,水,　,●
《1701-2990》,《暦日0》,二／,きのとのう,とる,,　,わうまう  かまぬり ものたちよし
《1701-3000》,《暦日2》,三／,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
《1701-3010》,《暦日0》,四／,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《1701-3020》,《暦日2》,五／,つちのえむま,なる,火,ま日,神よし ふく日
《1701-3030》,《暦日0》,六／,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
《1701-3040》,《暦日2》,七／,かのえさる,おさん,木,立冬十月せつみの一刻ニ入,●
《1701-3050》,《暦日0》,八／,かのとのとり,ひらく,,　,十し
《1701-3060》,《暦日2》,九／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《1701-3070》,《暦日0》,十／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《1701-3080》,《暦日2》,十一／,きのえね,のそく,金,　,天しや よろつよし
《1701-3090》,《暦日0》,十二／,きのとのうし,みつ,,　,くゑ日 きこ
《1701-3100》,《暦日2》,十三／,ひのえとら,たいら,火,　,大くわ ふく日 地火  つめとりよし
《1701-3110》,《暦日0》,十四／,ひのとのう,さたん,,　,神よし 天火 らうしやく
《1701-3120》,《暦日2》,十五／,つちのえたつ,とる,木,　,五む日  ふねのりよし
《1701-3130》,《暦日0》,十六／,つちのとのみ,やふる,,　,くゑ日 ちう日 わうまう
《1701-3140》,《暦日2》,十七／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《1701-3150》,《暦日0》,十八／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《1701-3160》,《暦日2》,十九／,みつのえさる,おさん,金,　,●
《1701-3170》,《暦日0》,廿／,みつのとのとり,ひらく,,　,十し
《1701-3180》,《暦日2》,廿一／,きのえいぬ,とつ,火,　, わたまし いちたちよし
《1701-3190》,《暦日0》,廿二／,きのとのい,たつ,,十月中ひつしの六刻,ちいみ ちう日 下しきさるの時  入学よし
《1701-3200》,《暦日2》,廿三／,ひのえね,のそく,水,　,ふく日
《1701-3210》,《暦日0》,廿四／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《1701-3220》,《暦日2》,廿五／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《1701-3230》,《暦日0》,廿六／,つちのとのう,さたん,,　,神よし 大みやう 天火 らうしやく
《1701-3240》,《暦日2》,廿七／,かのえたつ,とる,金,　, けんふく よめとりよし
《1701-3250》,《暦日0》,廿八／,かのとのみ,やふる,,　,ちう日
《1701-3260》,《暦日2》,廿九／,みつのえむま,あやふ,木,　,神よし 大みやう ふく日  かとたてよし
《1701-3270》,《暦日0》,卅／,みつのとのひつし,なる,,　
《1701-3280》,《月序》,十一月,小,建,庚子,氐宿　箕　水よう
《1701-3290》,《暦日2》,一／,きのえさる,おさん,水,十方くれニ入,●
《1701-3300》,《暦日0》,二／,きのとのとり,ひらく,,　,十し
《1701-3310》,《暦日2》,三／,ひのえいぬ,とつ,土,　,五む日 ふく日
《1701-3320》,《暦日0》,四／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1701-3330》,《暦日2》,五／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《1701-3340》,《暦日0》,六／,つちのとのうし,みつ,,　,くゑ日 きこ
《1701-3350》,《暦日2》,七／,かのえとら,みつ,木,十一月せついぬの三刻ニ入,きこ  みそさけつくり  つめとりよし
《1701-3360》,《暦日0》,八／,かのとのう,たいら,,　,●
《1701-3370》,《暦日2》,九／,みつのえたつ,さたん,水,　,大みやう 五む日  木こりよし
《1701-3380》,《暦日0》,十／,みつのとのみ,とる,,天一天上,十し
《1701-3390》,《暦日2》,十一／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《1701-3400》,《暦日0》,十二／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《1701-3410》,《暦日2》,十三／,ひのえさる,なる,火,　
《1701-3420》,《暦日0》,十四／,ひのとのとり,おさん,,　,神よし 大くわ ふく日
《1701-3430》,《暦日2》,十五／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《1701-3440》,《暦日0》,十六／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《1701-3450》,《暦日2》,十七／,かのえね,たつ,土,　,きしく  井ほりよし
《1701-3460》,《暦日0》,十八／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《1701-3470》,《暦日2》,十九／,みつのえとら,みつ,金,　,大みやう きこ  つめとりよし
《1701-3480》,《暦日0》,廿／,みつのとのう,たいら,,　,●
《1701-3490》,《暦日2》,廿一／,きのえたつ,さたん,火,　,大みやう
《1701-3500》,《暦日0》,廿二／,きのとのみ,とる,,　,十し
《1701-3510》,《暦日2》,廿三／,ひのえむま,やふる,水,冬至十一月中ねの八刻,さい下しき 大みやう くゑ日 ちいみ 天火 らうしやく
《1701-3520》,《暦日0》,廿四／,ひのとのひつし,あやふ,,　,神よし ふく日  いちたちよし
《1701-3530》,《暦日2》,廿五／,つちのえさる,なる,土,　, 入学よし
《1701-3540》,《暦日0》,廿六／,つちのとのとり,おさん,,　,大みやう 大くわ わうまう  やたてよし
《1701-3550》,《暦日2》,廿七／,かのえいぬ,ひらく,金,　,大みやう  たねまきよし
《1701-3560》,《暦日0》,廿八／,かのとのい,とつ,,　,神よし 大みやう ちう日
《1701-3570》,《暦日1》,廿九／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《1701-3580》,《月序》,十二月,大,建,辛丑,房宿　斗　木よう
《1701-3590》,《暦日1》,一／,みつのとのうし,のそく,木,ま日,神よし ふく日  木こり  つめとりよし
《1701-3600》,《暦日2》,二／,きのえとら,みつ,水,　,きこ  つめとりよし
《1701-3610》,《暦日0》,三／,きのとのう,たいら,,　,●
《1701-3620》,《暦日2》,四／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《1701-3630》,《暦日0》,五／,ひのとのみ,とる,,　,十し
《1701-3640》,《暦日2》,六／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《1701-3650》,《暦日0》,七／,つちのとのひつし,あやふ,,　,神よし 大みやう
《1701-3660》,《暦日2》,八／,かのえさる,なる,木,　,大みやう  入学 みそさけつくりよし
《1701-3670》,《暦日0》,九／,かのとのとり,なる,,小かん十二月せつうの五刻ニ入,●
《1701-3680》,《暦日2》,十／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《1701-3690》,《暦日0》,十一／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《1701-3700》,《暦日2》,十二／,きのえね,とつ,金,　,天しや よろつよし
《1701-3710》,《暦日0》,十三／,きのとのうし,たつ,,　,十し
《1701-3720》,《暦日2》,十四／,ひのえとら,のそく,火,　, けんふく  つめとりよし
《1701-3730》,《暦日0》,十五／,ひのとのう,みつ,,　,神よし
《1701-3740》,《暦日2》,十六／,つちのえたつ,たいら,木,　,きしく 五む日 大くわ ふく日 地火
《1701-3750》,《暦日0》,十七／,つちのとのみ,さたん,,　,ちう日 ふく日
《1701-3760》,《暦日2》,十八／,かのえむま,とる,土,　,神よし  すゝはらひよし
《1701-3770》,《暦日0》,十九／,かのとのひつし,やふる,,　,大みやう  かといてよし
《1701-3780》,《暦日2》,廿／,みつのえさる,あやふ,金,　,神よし 大みやう
《1701-3790》,《暦日0》,廿一／,みつのとのとり,なる,,とようみの五刻ニ入,●
《1701-3800》,《暦日2》,廿二／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《1701-3810》,《暦日0》,廿三／,きのとのい,ひらく,,　,ちう日  いちたちよし
《1701-3820》,《暦日2》,廿四／,ひのえね,とつ,水,大かん十二月中むまの一刻,きこ ちいみ
《1701-3830》,《暦日0》,廿五／,ひのとのうし,たつ,,　,十し
《1701-3840》,《暦日2》,廿六／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《1701-3850》,《暦日0》,廿七／,つちのとのう,みつ,,　,神よし 大みやう ふく日  正月ことはしめよし
《1701-3860》,《暦日2》,廿八／,かのえたつ,たいら,金,　,大くわ 地火  よめとりよし
《1701-3870》,《暦日0》,廿九／,かのとのみ,さたん,,　,ちう日  すゝはらひよし
《1701-3880》,《暦日1》,卅／,みつのえむま,とる,木,　,神よし 大みやう  正月ことはしめよし
《1701-3890》,《暦末》,元禄十三年出,立表測景定節氣者
