«1702-0000»,【 カンマ区切りテキスト形式です。】
«1702-0660»,«暦日2»,十四〳,ひのえとら,とつ,火,　,きこ  つめとりよし
«1702-0670»,«暦日0»,十五〳,ひのとのう,たつ,,　,天火 らうしやく
«1702-0680»,«暦日2»,十六〳,つちのえたつ,のそく,木,　,●
«1702-0690»,«暦日0»,十七〳,つちのとのみ,みつ,,　,十し
«1702-0700»,«暦日2»,十八〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1702-0710»,«暦日0»,十九〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1702-0720»,«暦日2»,廿〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1702-0730»,«暦日0»,廿一〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1702-0740»,«暦日2»,廿二〳,きのえいぬ,あやふ,火,　, かといてよし
«1702-0750»,«暦日0»,廿三〳,きのとのい,なる,,　,ちう日 ふく日 わうまう  みそすつくりよし
«1702-0760»,«暦日2»,廿四〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1702-0770»,«暦日0»,廿五〳,ひのとのうし,ひらく,,春分二月中たつの五刻,大みやう  ものたち  つめとりよし
«1702-0780»,«暦日2»,廿六〳,つちのえとら,とつ,土,社日,天しや よろつよし
«1702-0790»,«暦日0»,廿七〳,つちのとのう,たつ,,ひかんニなる,大みやう くゑ日 天火 らうしやく
«1702-0800»,«暦日2»,廿八〳,かのえたつ,のそく,金,　,●
«1702-0810»,«暦日0»,廿九〳,かのとのみ,みつ,,　,十し
«1702-0820»,«月序»,三月,大,建,甲辰,箕宿　室　火よう
«1702-0830»,«暦日2»,一〳,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
«1702-0840»,«暦日0»,二〳,みつのとのひつし,さたん,,　,ちいみ
«1702-0850»,«暦日2»,三〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
«1702-0860»,«暦日0»,四〳,きのとのとり,やふる,,　,ふく日
«1702-0870»,«暦日2»,五〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1702-0880»,«暦日0»,六〳,ひのとのい,なる,,　,大みやう ちう日
«1702-0890»,«暦日2»,七〳,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
«1702-0900»,«暦日0»,八〳,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
«1702-0910»,«暦日2»,九〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1702-0920»,«暦日0»,十〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1702-0930»,«暦日2»,十一〳,みつのえたつ,たつ,水,三月せつひつしの二刻ニ入,きしく 大みやう 五む日
«1702-0940»,«暦日0»,十二〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1702-0950»,«暦日2»,十三〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
