《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0700》,《暦日0》,十五／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0710》,《暦日2》,十六／,つちのえいぬ,あやふ,木,　, かといてよし
《0720》,《暦日0》,十七／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《0730》,《暦日1》,十八／,かのえね,なる,土,　,神よし きこ
《0740》,《節中》,清明三月せつ今暁うしの七刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《0750》,《暦日1》,十九／,かのとのうし,おさん,土,　,十し
《0760》,《暦日2》,廿／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《0770》,《暦日0》,廿一／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《0780》,《暦日2》,廿二／,きのえたつ,たつ,火,　,大みやう くゑ日
《0790》,《暦日0》,廿三／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《0800》,《暦日2》,廿四／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《0810》,《暦日0》,廿五／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《0820》,《暦日2》,廿六／,つちのえさる,さたん,土,　,くゑ日 ふく日
《0830》,《暦日0》,廿七／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《0840》,《暦日2》,廿八／,かのえいぬ,やふる,金,　,大みやう 天おん
《0850》,《暦日0》,廿九／,かのとのい,あやふ,,　,●
《0860》,《月序》,三月,大,建,庚辰,氐宿　虛　日よう
《0870》,《暦日2》,一／,みつのえね,なる,木,八せんのはしめ/とよううの八刻ニ入,神よし 天おん 母倉 月とく きこ
《0880》,《暦日0》,二／,みつのとのうし,おさん,,ま日,十し
《0890》,《暦日2》,三／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《0900》,《暦日0》,四／,きのとのう,とつ,,　,神よし  ものたちよし
《0910》,《節中》,穀雨三月中たつの四刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《0920》,《暦日2》,五／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《0930》,《暦日0》,六／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《0940》,《暦日2》,七／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《0950》,《暦日0》,八／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《0960》,《暦日2》,九／,かのえさる,さたん,木,　,大みやう くゑ日 わうまう
