《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0690》,《暦日2》,十五／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《0700》,《暦日0》,十六／,きのとのとり,やふる,,　,ふく日
《0710》,《暦日2》,十七／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《0720》,《暦日0》,十八／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《0730》,《暦日2》,十九／,つちのえね,おさん,火,社日,きしく 母倉 めつもん  けんふく たねかしよし
《0740》,《暦日0》,廿／,つちのとのうし,ひらく,,ひかんニなる,月とく  井ほり  つめとりよし
《0750》,《暦日2》,廿一／,かのえとら,とつ,木,　,きこ わうまう  つめとりよし
《0760》,《暦日0》,廿二／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《0770》,《暦日1》,廿三／,みつのえたつ,のそく,水,　,●
《0780》,《節中》,春分二月中明六時八分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0790》,《暦日1》,廿四／,みつのとのみ,みつ,水,天一天上,十し
《0800》,《暦日2》,廿五／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《0810》,《暦日0》,廿六／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0820》,《暦日2》,廿七／,ひのえさる,とる,火,　,神よし
《0830》,《暦日0》,廿八／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0840》,《暦日2》,廿九／,つちのえいぬ,あやふ,木,　, かといてよし
《0850》,《暦日0》,卅／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《0860》,《月序》,三月,小,建,戊辰,虛宿　箕　水よう
《0870》,《暦日2》,一／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《0880》,《暦日0》,二／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《0890》,《暦日2》,三／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0900》,《暦日0》,四／,みつのとのう,たつ,,　,天火 らうしやく
《0910》,《暦日2》,五／,きのえたつ,のそく,火,　,●
《0920》,《暦日0》,六／,きのとのみ,みつ,,　,十し
《0930》,《暦日2》,七／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《0940》,《暦日0》,八／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
