《1839-0000》,# カンマ区切りテキスト形式です。
《1839-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1839-0020》,# ・表の区画内での改行は“/”で表記します。
《1839-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1839-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1839-0050》,# 外部リンク
《1839-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/147 ～ 150
《1839-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1839g　(GitHub上データを表成型)
《1839-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1839h　(翻刻編集データを表成型 - 未実装)
《1839-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1839-0100》,《版元》,出版地○○,出版元□□□,　
《1839-0840》,《暦日0》,廿九／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1839-0850》,《暦日1》,卅／,ひのえさる,さたん,火,　,くゑ日
《1839-0860》,《月序》,三月,小,建,戊辰,翼宿　房　日よう
《1839-0870》,《暦日1》,一／,ひのとのとり,とる,火,　,神よし 月とく  いちたちよし
《1839-0880》,《暦日2》,二／,つちのえいぬ,やふる,木,　,ふく日
《1839-0890》,《暦日0》,三／,つちのとのい,あやふ,,　,●
《1839-0900》,《暦日2》,四／,かのえね,なる,土,　,さい下しき 神よし きこ
《1839-0910》,《暦日0》,五／,かのとのうし,おさん,,　,十し
《1839-0920》,《暦日2》,六／,みつのえとら,ひらく,金,とよう今夜ねの三刻ニ入,大みやう 月とく ちいみ  つめとりよし
《1839-0930》,《暦日0》,七／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1839-0940》,《暦日2》,八／,きのえたつ,たつ,火,　,大みやう くゑ日
《1839-0950》,《暦日0》,九／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1839-0960》,《暦日1》,十／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1839-0970》,《節中》,穀雨三月中今暁ねの八刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1839-0980》,《暦日1》,十一／,ひのとのひつし,たいら,水,　,神よし 月とく めつもん 地火
《1839-0990》,《暦日2》,十二／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1839-1000》,《暦日0》,十三／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1839-1010》,《暦日2》,十四／,かのえいぬ,やふる,金,　,大みやう 天おん わうまう
《1839-1020》,《暦日0》,十五／,かのとのい,あやふ,,　,●
《1839-1030》,《暦日2》,十六／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1839-1040》,《暦日0》,十七／,みつのとのうし,おさん,,ま日,十し
《1839-1050》,《暦日2》,十八／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1839-1060》,《暦日0》,十九／,きのとのう,とつ,,　,神よし  ものたちよし
《1839-1070》,《暦日2》,廿／,ひのえたつ,たつ,土,八十八や/ま日,きしく 大みやう  わたましよし
《1839-1080》,《暦日0》,廿一／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《1839-1090》,《暦日2》,廿二／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1839-1100》,《暦日0》,廿三／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1839-1110》,《暦日2》,廿四／,かのえさる,さたん,木,　,大みやう くゑ日
《1839-1120》,《暦日0》,廿五／,かのとのとり,さたん,,　,十し
《1839-1130》,《節中》,立夏四月せつうの四刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1839-1140》,《暦日2》,廿六／,みつのえいぬ,とる,水,ま日,ふく日
