《1715-0000》,# カンマ区切りテキスト形式です。
《1715-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1715-2910》,《暦日2》,廿五／,つちのえむま,なる,火,九月中ひつしの初刻/ま日,神よし ふく日
《1715-2920》,《暦日0》,廿六／,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
《1715-2930》,《暦日2》,廿七／,かのえさる,ひらく,木,　,さい下しき 大みやう
《1715-2940》,《暦日0》,廿八／,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
《1715-2950》,《暦日1》,廿九／,みつのえいぬ,たつ,水,ま日, 田かりよし
《1715-2960》,《月序》,十月,大,建,丁亥,亢宿　昴　日よう
《1715-2970》,《暦日1》,一／,みつのとのい,のそく,水,八せんのおはり,ちう日  むきまきよし
《1715-2980》,《暦日2》,二／,きのえね,みつ,金,　,きこ 天火 らうしやく
《1715-2990》,《暦日0》,三／,きのとのうし,たいら,,　,十し
《1715-3000》,《暦日2》,四／,ひのえとら,さたん,火,　,●
《1715-3010》,《暦日0》,五／,ひのとのう,とる,,　,神よし  田かりよし
《1715-3020》,《暦日2》,六／,つちのえたつ,やふる,木,　,きしく 五む日 ふく日
《1715-3030》,《暦日0》,七／,つちのとのみ,あやふ,,　,ちいみ ちう日 ふく日 わうまう 下しきひつしの時
《1715-3040》,《暦日2》,八／,かのえむま,なる,土,　,神よし  みそすつくりよし
《1715-3050》,《暦日0》,九／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《1715-3060》,《暦日2》,十／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《1715-3070》,《暦日0》,十一／,みつのとのとり,ひらく,,立冬十月せつとりの五刻ニ入,十し
《1715-3080》,《暦日2》,十二／,きのえいぬ,とつ,火,　, わたまし いちたちよし
《1715-3090》,《暦日0》,十三／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《1715-3100》,《暦日2》,十四／,ひのえね,のそく,水,　,ふく日
《1715-3110》,《暦日0》,十五／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《1715-3120》,《暦日2》,十六／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《1715-3130》,《暦日0》,十七／,つちのとのう,さたん,,　,神よし 大みやう 天火 らうしやく
《1715-3140》,《暦日2》,十八／,かのえたつ,とる,金,　, けんふく よめとりよし
《1715-3150》,《暦日0》,十九／,かのとのみ,やふる,,　,ちう日
《1715-3160》,《暦日2》,廿／,みつのえむま,あやふ,木,　,大みやう ふく日 わうまう  かとたてよし
《1715-3170》,《暦日0》,廿一／,みつのとのひつし,なる,,　
《1715-3180》,《暦日2》,廿二／,きのえさる,おさん,水,十方くれニ入,●
《1715-3190》,《暦日0》,廿三／,きのとのとり,ひらく,,　,十し
《1715-3200》,《暦日2》,廿四／,ひのえいぬ,とつ,土,　,五む日 ふく日
《1715-3210》,《暦日0》,廿五／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1715-3220》,《暦日2》,廿六／,つちのえね,のそく,火,十月中夜ねの二刻,くゑ日  たねまきよし
《1715-3230》,《暦日0》,廿七／,つちのとのうし,みつ,,　,くゑ日 きこ
《1715-3240》,《暦日2》,廿八／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《1715-3250》,《暦日0》,廿九／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《1715-3260》,《暦日1》,卅／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《1715-3270》,《月序》,十一月,大,建,戊子,氐宿　觜　火よう
《1715-3280》,《暦日1》,一／,みつのとのみ,やふる,水,天一天上,ちう日
《1715-3290》,《暦日2》,二／,きのえむま,あやふ,金,　,神よし  かまぬり むきまきよし
《1715-3300》,《暦日0》,三／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《1715-3310》,《暦日2》,四／,ひのえさる,おさん,火,　,●
《1715-3320》,《暦日0》,五／,ひのとのとり,ひらく,,　,十し
《1715-3330》,《暦日2》,六／,つちのえいぬ,とつ,木,　,くゑ日
《1715-3340》,《暦日0》,七／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《1715-3350》,《暦日2》,八／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《1715-3360》,《暦日0》,九／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《1715-3370》,《暦日2》,十／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《1715-3380》,《暦日0》,十一／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《1715-3390》,《暦日2》,十二／,きのえたつ,さたん,火,十一月せつとらの七刻ニ入,大みやう
《1715-3400》,《暦日0》,十三／,きのとのみ,とる,,　,十し
《1715-3410》,《暦日2》,十四／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1715-3420》,《暦日0》,十五／,ひのとのひつし,あやふ,,　,神よし ふく日  いちたちよし
《1715-3430》,《暦日2》,十六／,つちのえさる,なる,土,　, 入学よし
《1715-3440》,《暦日0》,十七／,つちのとのとり,おさん,,　,神よし 大みやう 大くわ  やたてよし
《1715-3450》,《暦日2》,十八／,かのえいぬ,ひらく,金,　,大みやう  たねまきよし
《1715-3460》,《暦日0》,十九／,かのとのい,とつ,,　,神よし 大みやう ちう日
《1715-3470》,《暦日2》,廿／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《1715-3480》,《暦日0》,廿一／,みつのとのうし,のそく,,ま日,神よし ふく日  木こり  つめとりよし
《1715-3490》,《暦日2》,廿二／,きのえとら,みつ,水,　,きこ  つめとりよし
《1715-3500》,《暦日0》,廿三／,きのとのう,たいら,,　,●
《1715-3510》,《暦日2》,廿四／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《1715-3520》,《暦日0》,廿五／,ひのとのみ,とる,,　,十し
《1715-3530》,《暦日2》,廿六／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《1715-3540》,《暦日0》,廿七／,つちのとのひつし,あやふ,,冬至十一月中みの四刻,神よし 大みやう
《1715-3550》,《暦日2》,廿八／,かのえさる,なる,木,　,さい下しき 大みやう  入学 みそさけつくりよし
《1715-3560》,《暦日0》,廿九／,かのとのとり,おさん,,　,神よし 大みやう 大くわ  井ほりよし
《1715-3570》,《暦日1》,卅／,みつのえいぬ,ひらく,水,ま日
《1715-3580》,《月序》,十二月,大,建,己丑,房宿　井　木よう
《1715-3590》,《暦日1》,一／,みつのとのい,とつ,水,八せんのおはり,ちう日 ふく日 わうまう
《1715-3600》,《暦日2》,二／,きのえね,たつ,金,　,天しや よろつよし
《1715-3610》,《暦日0》,三／,きのとのうし,のそく,,　,神よし  やたて  つめとりよし
《1715-3620》,《暦日2》,四／,ひのえとら,みつ,火,　,きこ  つめとりよし
《1715-3630》,《暦日0》,五／,ひのとのう,たいら,,　,●
《1715-3640》,《暦日2》,六／,つちのえたつ,さたん,木,　,五む日
《1715-3650》,《暦日0》,七／,つちのとのみ,とる,,　,十し
《1715-3660》,《暦日2》,八／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《1715-3670》,《暦日0》,九／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《1715-3680》,《暦日2》,十／,みつのえさる,なる,金,　,大みやう  いちたちよし
《1715-3690》,《暦日0》,十一／,みつのとのとり,おさん,,　,神よし 大みやう 大くわ ふく日
《1715-3700》,《暦日2》,十二／,きのえいぬ,おさん,火,小かん十二月せつさるの一刻ニ入,めつもん  わたましよし
《1715-3710》,《暦日0》,十三／,きのとのい,ひらく,,　,ちう日  いちたちよし
《1715-3720》,《暦日2》,十四／,ひのえね,とつ,水,　,きこ ちいみ
《1715-3730》,《暦日0》,十五／,ひのとのうし,たつ,,　,十し
《1715-3740》,《暦日2》,十六／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《1715-3750》,《暦日0》,十七／,つちのとのう,みつ,,　,神よし 大みやう ふく日  正月ことはしめよし
《1715-3760》,《暦日2》,十八／,かのえたつ,たいら,金,　,大くわ 地火  よめとりよし
《1715-3770》,《暦日0》,十九／,かのとのみ,さたん,,　,ちう日  すゝはらひよし
《1715-3780》,《暦日2》,廿／,みつのえむま,とる,木,　,神よし 大みやう  正月ことはしめよし
《1715-3790》,《暦日0》,廿一／,みつのとのひつし,やふる,,　, たねまきよし
《1715-3800》,《暦日2》,廿二／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《1715-3810》,《暦日0》,廿三／,きのとのとり,なる,,　,●
《1715-3820》,《暦日2》,廿四／,ひのえいぬ,おさん,土,とよういぬの二刻ニ入,五む日 めつもん
《1715-3830》,《暦日0》,廿五／,ひのとのい,ひらく,,　,大みやう ちう日
《1715-3840》,《暦日2》,廿六／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《1715-3850》,《暦日0》,廿七／,つちのとのうし,たつ,,大かん十二月中いぬの六刻,十し
《1715-3860》,《暦日2》,廿八／,かのえとら,のそく,木,　, 井ほり  つめとりよし
《1715-3870》,《暦日0》,廿九／,かのとのう,みつ,,　,神よし  よめとりよし
《1715-3880》,《暦日1》,卅／,みつのえたつ,たいら,水,　,きしく 大みやう 五む日 大くわ 地火
《1715-3890》,《暦末》,正徳四年出,立表測景定節氣者
