《1715-0000》,# カンマ区切りテキスト形式です。
《1715-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1715-0670》,《暦日2》,十五／,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
《1715-0680》,《暦日0》,十六／,みつのとのひつし,さたん,,　,ちいみ わうまう
《1715-0690》,《暦日2》,十七／,きのえさる,とる,水,十方くれニ入,神よし きしく 大みやう  入学よし
《1715-0700》,《暦日0》,十八／,きのとのとり,やふる,,春分二月中むまの三刻,ふく日
《1715-0710》,《暦日2》,十九／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1715-0720》,《暦日0》,廿／,ひのとのい,なる,,ひかんニなる,大みやう ちう日
《1715-0730》,《暦日2》,廿一／,つちのえね,おさん,火,社日,めつもん  けんふく たねかしよし
《1715-0740》,《暦日0》,廿二／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《1715-0750》,《暦日2》,廿三／,かのえとら,とつ,木,　,きこ  つめとりよし
《1715-0760》,《暦日0》,廿四／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1715-0770》,《暦日2》,廿五／,みつのえたつ,のそく,水,　,●
《1715-0780》,《暦日0》,廿六／,みつのとのみ,みつ,,天一天上,十し
《1715-0790》,《暦日2》,廿七／,きのえむま,たいら,金,　,神よし 大くわ 地火
《1715-0800》,《暦日0》,廿八／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1715-0810》,《暦日1》,廿九／,ひのえさる,とる,火,　,神よし
《1715-0820》,《月序》,三月,小,建,庚辰,鬼宿　斗　木よう
《1715-0830》,《暦日1》,一／,ひのとのとり,やふる,火,　, あさまき たねかしよし
《1715-0840》,《暦日2》,二／,つちのえいぬ,あやふ,木,　, かといてよし
《1715-0850》,《暦日0》,三／,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
《1715-0860》,《暦日2》,四／,かのえね,なる,土,三月せつとりの初刻ニ入,神よし きこ
《1715-0870》,《暦日0》,五／,かのとのうし,おさん,,　,十し
《1715-0880》,《暦日2》,六／,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
《1715-0890》,《暦日0》,七／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1715-0900》,《暦日2》,八／,きのえたつ,たつ,火,　,大みやう くゑ日
《1715-0910》,《暦日0》,九／,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
《1715-0920》,《暦日2》,十／,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
《1715-0930》,《暦日0》,十一／,ひのとのひつし,たいら,,　,神よし めつもん 地火
《1715-0940》,《暦日2》,十二／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1715-0950》,《暦日0》,十三／,つちのとのとり,とる,,　,神よし 大みやう ふく日
《1715-0960》,《暦日2》,十四／,かのえいぬ,やふる,金,　,大みやう
《1715-0970》,《暦日0》,十五／,かのとのい,あやふ,,　,●
《1715-0980》,《暦日2》,十六／,みつのえね,なる,木,八せんのはしめ/とよういの一刻ニ入,神よし きしく きこ
《1715-0990》,《暦日0》,十七／,みつのとのうし,おさん,,ま日,十し
《1715-1000》,《暦日2》,十八／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1715-1010》,《暦日0》,十九／,きのとのう,とつ,,三月中いの五刻,神よし  ものたちよし
《1715-1020》,《暦日2》,廿／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1715-1030》,《暦日0》,廿一／,ひのとのみ,のそく,,　,ちう日  いちたちよし
《1715-1040》,《暦日2》,廿二／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《1715-1050》,《暦日0》,廿三／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1715-1060》,《暦日2》,廿四／,かのえさる,さたん,木,　,さい下しき 大みやう くゑ日
《1715-1070》,《暦日0》,廿五／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1715-1080》,《暦日2》,廿六／,みつのえいぬ,やふる,水,ま日
《1715-1090》,《暦日0》,廿七／,みつのとのい,あやふ,,八せんのおはり,●
《1715-1100》,《暦日2》,廿八／,きのえね,なる,金,　,くゑ日 きこ
《1715-1110》,《暦日0》,廿九／,きのとのうし,おさん,,　,十し
《1715-1120》,《月序》,四月,大,建,辛巳,柳宿　牛　金よう
《1715-1130》,《暦日2》,一／,ひのえとら,ひらく,火,八十八や,くゑ日 ちいみ
《1715-1140》,《暦日0》,二／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1715-1150》,《暦日2》,三／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1715-1160》,《暦日0》,四／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《1715-1170》,《暦日2》,五／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1715-1180》,《暦日0》,六／,かのとのひつし,みつ,,立夏四月せつとらの二刻ニ入,大みやう くゑ日
《1715-1190》,《暦日2》,七／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1715-1200》,《暦日0》,八／,みつのとのとり,さたん,,　,十し
《1715-1210》,《暦日2》,九／,きのえいぬ,とる,火,　, やたて くらたてよし
《1715-1220》,《暦日0》,十／,きのとのい,やふる,,　,ちう日
《1715-1230》,《暦日2》,十一／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1715-1240》,《暦日0》,十二／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1715-1250》,《暦日2》,十三／,つちのえとら,おさん,土,　,めつもん わうまう  たねまき  つめとりよし
《1715-1260》,《暦日0》,十四／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
《1715-1270》,《暦日2》,十五／,かのえたつ,とつ,金,　,きしく  けんふくよし
《1715-1280》,《暦日0》,十六／,かのとのみ,たつ,,　,●
《1715-1290》,《食記》,月そく七分
《1715-1300》,《暦日2》,十七／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1715-1310》,《暦日0》,十八／,みつのとのひつし,みつ,,　,くゑ日
《1715-1320》,《暦日2》,十九／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1715-1330》,《暦日0》,廿／,きのとのとり,さたん,,　,十し
《1715-1340》,《暦日2》,廿一／,ひのえいぬ,とる,土,四月中たつの七刻,五む日 ふく日  くさかりよし
《1715-1350》,《暦日0》,廿二／,ひのとのい,やふる,,　,大みやう ちう日
《1715-1360》,《暦日2》,廿三／,つちのえね,あやふ,火,　, けんふくよし
《1715-1370》,《暦日0》,廿四／,つちのとのうし,なる,,　,きこ  つめとりよし
《1715-1380》,《暦日2》,廿五／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1715-1390》,《暦日0》,廿六／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1715-1400》,《暦日2》,廿七／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1715-1410》,《暦日0》,廿八／,みつのとのみ,たつ,,天一天上,●
《1715-1420》,《暦日2》,廿九／,きのえむま,のそく,金,　,天しや よろつよし
《1715-1430》,《暦日0》,卅／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1715-1440》,《月序》,五月,小,建,壬午,星宿　虛　日よう
《1715-1450》,《暦日2》,一／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1715-1460》,《暦日0》,二／,ひのとのとり,さたん,,　,十し
《1715-1470》,《暦日2》,三／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1715-1480》,《暦日0》,四／,つちのとのい,やふる,,　,くゑ日 ちう日
《1715-1490》,《暦日2》,五／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1715-1500》,《暦日0》,六／,かのとのうし,あやふ,,五月せつひつしの四刻ニ入,神よし 五む日  つめとりよし
《1715-1510》,《暦日2》,七／,みつのえとら,なる,金,入梅,大みやう きこ  くさかり  つめとりよし
《1715-1520》,《暦日0》,八／,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
《1715-1530》,《暦日2》,九／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1715-1540》,《暦日0》,十／,きのとのみ,とつ,,　,十し
《1715-1550》,《暦日2》,十一／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1715-1560》,《暦日0》,十二／,ひのとのひつし,のそく,,　,神よし ふく日
《1715-1570》,《暦日2》,十三／,つちのえさる,みつ,土,　,神よし きしく  入学よし
《1715-1580》,《暦日0》,十四／,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1715-1590》,《暦日2》,十五／,かのえいぬ,さたん,金,　,大みやう  かといてよし
《1715-1600》,《暦日0》,十六／,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
《1715-1610》,《暦日2》,十七／,みつのえね,やふる,木,八せんのはしめ,●
《1715-1620》,《暦日0》,十八／,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
《1715-1630》,《暦日2》,十九／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1715-1640》,《暦日0》,廿／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1715-1650》,《暦日2》,廿一／,ひのえたつ,ひらく,土,夏至五月中いぬの一刻/ま日,大みやう わうまう  けんふく いちたちよし
《1715-1660》,《暦日0》,廿二／,ひのとのみ,とつ,,　,十し
《1715-1670》,《暦日2》,廿三／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1715-1680》,《暦日0》,廿四／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1715-1690》,《暦日2》,廿五／,かのえさる,みつ,木,　,さい下しき 神よし 大みやう  入学 むきかりよし
《1715-1700》,《暦日0》,廿六／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1715-1710》,《暦日2》,廿七／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1715-1720》,《暦日0》,廿八／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1715-1730》,《暦日1》,廿九／,きのえね,やふる,金,　,●
《1715-1740》,《月序》,六月,小,建,癸未,張宿　危　月よう
《1715-1750》,《暦日1》,一／,きのとのうし,あやふ,金,　,神よし  つめとりよし
《1715-1760》,《暦日2》,二／,ひのえとら,なる,火,はんけしやう,きこ  つめとりよし
《1715-1770》,《暦日0》,三／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1715-1780》,《暦日2》,四／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1715-1790》,《暦日0》,五／,つちのとのみ,とつ,,　,十し
《1715-1800》,《暦日2》,六／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1715-1810》,《暦日0》,七／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1715-1820》,《暦日2》,八／,みつのえさる,のそく,金,六月せつねの六刻ニ入,神よし 大みやう  くさかりよし
《1715-1830》,《暦日0》,九／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1715-1840》,《暦日2》,十／,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
《1715-1850》,《暦日0》,十一／,きのとのい,さたん,,　,ちう日
《1715-1860》,《暦日2》,十二／,ひのえね,とる,水,　,きしく きこ 下しきたつの時
《1715-1870》,《暦日0》,十三／,ひのとのうし,やふる,,　,十し
《1715-1880》,《暦日2》,十四／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1715-1890》,《暦日0》,十五／,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
《1715-1900》,《暦日2》,十六／,かのえたつ,おさん,金,初伏,めつもん  けんふくよし
《1715-1910》,《暦日0》,十七／,かのとのみ,ひらく,,　,ちう日  ものたちよし
《1715-1920》,《暦日2》,十八／,みつのえむま,とつ,木,　,●
《1715-1930》,《暦日0》,十九／,みつのとのひつし,たつ,,　, たねまきよし
《1715-1940》,《暦日2》,廿／,きのえさる,のそく,水,とようとらの七刻ニ入/十方くれニ入,神よし 大みやう
《1715-1950》,《暦日0》,廿一／,きのとのとり,みつ,,　,神よし ちいみ
《1715-1960》,《暦日2》,廿二／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1715-1970》,《暦日0》,廿三／,ひのとのい,さたん,,六月中うの三刻,大みやう ちう日
《1715-1980》,《暦日2》,廿四／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1715-1990》,《暦日0》,廿五／,つちのとのうし,やふる,,　,十し
《1715-2000》,《暦日2》,廿六／,かのえとら,あやふ,木,中伏, やたて  つめとりよし
《1715-2010》,《暦日0》,廿七／,かのとのう,なる,,　,神よし 天火 らうしやく
《1715-2020》,《暦日2》,廿八／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1715-2030》,《暦日0》,廿九／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1715-2040》,《月序》,七月,大,建,甲申,翼宿　室　火よう
《1715-2050》,《暦日2》,一／,きのえむま,とつ,金,　,●
《1715-2060》,《暦日0》,二／,きのとのひつし,たつ,,　,大みやう 五む日 わうまう
《1715-2070》,《暦日2》,三／,ひのえさる,のそく,火,　,神よし
《1715-2080》,《暦日0》,四／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1715-2090》,《暦日2》,五／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1715-2100》,《暦日0》,六／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《1715-2110》,《暦日2》,七／,かのえね,とる,土,　,きこ 下しきたつの時
《1715-2120》,《暦日0》,八／,かのとのうし,やふる,,　,十し
《1715-2130》,《暦日2》,九／,みつのえとら,やふる,金,立秋七月せつみの八刻ニ入,大みやう  やたて  つめとりよし
《1715-2140》,《暦日0》,十／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1715-2150》,《暦日2》,十一／,きのえたつ,なる,火,　,きしく 大みやう くゑ日 ちいみ ふく日
《1715-2160》,《暦日0》,十二／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1715-2170》,《暦日2》,十三／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1715-2180》,《暦日0》,十四／,ひのとのひつし,とつ,,　,神よし  いちたちよし
《1715-2190》,《暦日2》,十五／,つちのえさる,たつ,土,　,天しや よろつよし
《1715-2200》,《暦日0》,十六／,つちのとのとり,のそく,,　,十し
《1715-2210》,《暦日2》,十七／,かのえいぬ,みつ,金,末伏,大みやう ふく日 わうまう
《1715-2220》,《暦日0》,十八／,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
《1715-2230》,《暦日2》,十九／,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
《1715-2240》,《暦日0》,廿／,みつのとのうし,とる,,ま日,●
《1715-2250》,《暦日2》,廿一／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1715-2260》,《暦日0》,廿二／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1715-2270》,《暦日2》,廿三／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《1715-2280》,《暦日0》,廿四／,ひのとのみ,おさん,,七月中さるの五刻,大くわ ちう日  ものたちよし
《1715-2290》,《暦日2》,廿五／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1715-2300》,《暦日0》,廿六／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《1715-2310》,《暦日2》,廿七／,かのえさる,たつ,木,　,さい下しき 大みやう くゑ日 ふく日 下しきみの時
《1715-2320》,《暦日0》,廿八／,かのとのとり,のそく,,　,十し
《1715-2330》,《暦日2》,廿九／,みつのえいぬ,みつ,水,ま日
《1715-2340》,《暦日0》,卅／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1715-2350》,《月序》,八月,大,建,乙酉,軫宿　奎　木よう
《1715-2360》,《暦日2》,一／,きのえね,さたん,金,　,ふく日  ふねのりよし
《1715-2370》,《暦日0》,二／,きのとのうし,とる,,　,●
《1715-2380》,《暦日2》,三／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《1715-2390》,《暦日0》,四／,ひのとのう,あやふ,,　,神よし  わたましよし
《1715-2400》,《暦日2》,五／,つちのえたつ,なる,木,二百十日,五む日 ちいみ  いちたちよし
《1715-2410》,《暦日0》,六／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1715-2420》,《暦日2》,七／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《1715-2430》,《暦日0》,八／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《1715-2440》,《暦日2》,九／,みつのえさる,とつ,金,八月せついの一刻ニ入,神よし きしく 大みやう
《1715-2450》,《暦日0》,十／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1715-2460》,《暦日2》,十一／,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
《1715-2470》,《暦日0》,十二／,きのとのい,みつ,,　,ちう日 ふく日  入学よし
《1715-2480》,《暦日2》,十三／,ひのえね,たいら,水,　,大くわ 地火
《1715-2490》,《暦日0》,十四／,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
《1715-2500》,《暦日2》,十五／,つちのえとら,とる,土,二百廿日,きこ  田かり  つめとりよし
《1715-2510》,《暦日0》,十六／,つちのとのう,やふる,,　,大みやう
