《1752-0000》,# カンマ区切りテキスト形式です。
《1752-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1752-0020》,# ・表の区画内での改行は“/”で表記します。
《1752-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1752-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1752-0050》,# 外部リンク
《1752-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/33 ～ 38
《1752-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1752g　(GitHub上データを表成型)
《1752-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1752h　(翻刻編集データを表成型 - 未実装)
《1752-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1752-0100》,《版元》,出版地○○,出版元□□□,　
《1752-2550》,《暦日0》,七／,きのとのひつし,ひらく,,　,●
《1752-2560》,《暦日2》,八／,ひのえさる,とつ,火,　,神よし きしく
《1752-2570》,《暦日0》,九／,ひのとのとり,たつ,,　,さい下しき 天火 らうしやく 下しきむまの時
《1752-2580》,《暦日2》,十／,つちのえいぬ,のそく,木,社日,ちいみ  ふねのり 田かりよし
《1752-2590》,《暦日0》,十一／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1752-2600》,《暦日2》,十二／,かのえね,たいら,土,　,神よし 大くわ 地火
《1752-2610》,《暦日0》,十三／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《1752-2620》,《節中》,秋分八月中翌うしの一刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1752-2630》,《暦日2》,十四／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1752-2640》,《暦日0》,十五／,みつのとのう,やふる,,　,わうまう  くらたて 田かりよし
《1752-2650》,《暦日2》,十六／,きのえたつ,あやふ,火,ひかんニなる,大みやう  けんふく わたましよし
《1752-2660》,《暦日0》,十七／,きのとのみ,なる,,　,十し
《1752-2670》,《暦日2》,十八／,ひのえむま,おさん,水,　,大みやう めつもん
《1752-2680》,《暦日0》,十九／,ひのとのひつし,ひらく,,　,●
《1752-2690》,《暦日2》,廿／,つちのえさる,とつ,土,　,天しや よろつよし
《1752-2700》,《暦日0》,廿一／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1752-2710》,《暦日2》,廿二／,かのえいぬ,のそく,金,　,大みやう ちいみ
《1752-2720》,《暦日0》,廿三／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《1752-2730》,《暦日2》,廿四／,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
《1752-2740》,《暦日0》,廿五／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《1752-2750》,《暦日2》,廿六／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1752-2760》,《暦日0》,廿七／,きのとのう,やふる,,　,くゑ日 ふく日
《1752-2770》,《暦日2》,廿八／,ひのえたつ,あやふ,土,ま日,大みやう
《1752-2780》,《暦日0》,廿九／,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《1752-2790》,《節中》,寒露九月せつ翌うの六刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1752-2800》,《月序》,九月,大,建,庚戌,星宿　胃　土よう
《1752-2810》,《暦日2》,一／,つちのえむま,なる,火,ま日,神よし ふく日
《1752-2820》,《暦日0》,二／,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
《1752-2830》,《暦日2》,三／,かのえさる,ひらく,木,　,大みやう
《1752-2840》,《暦日0》,四／,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
《1752-2850》,《暦日2》,五／,みつのえいぬ,たつ,水,ま日, 田かりよし
《1752-2860》,《暦日0》,六／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《1752-2870》,《暦日2》,七／,きのえね,みつ,金,　,きしく きこ 天火 らうしやく
《1752-2880》,《暦日0》,八／,きのとのうし,たいら,,　,十し
《1752-2890》,《暦日2》,九／,ひのえとら,さたん,火,　,●
《1752-2900》,《暦日0》,十／,ひのとのう,とる,,　,神よし  田かりよし
《1752-2910》,《暦日2》,十一／,つちのえたつ,やふる,木,　,五む日 ふく日
《1752-2920》,《暦日0》,十二／,つちのとのみ,あやふ,,とようみの七刻ニ入,神よし ちいみ ちう日 ふく日 下しきひつしの時
《1752-2930》,《暦日2》,十三／,かのえむま,なる,土,　,神よし  みそすつくりよし
《1752-2940》,《暦日0》,十四／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《1752-2950》,《暦日1》,十五／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《1752-2960》,《節中》,霜降九月中むまの三刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1752-2970》,《暦日1》,十六／,みつのとのとり,とつ,金,　,神よし 大みやう
《1752-2980》,《暦日2》,十七／,きのえいぬ,たつ,火,　,くゑ日
《1752-2990》,《暦日0》,十八／,きのとのい,のそく,,　,ちう日  田かりよし
《1752-3000》,《暦日2》,十九／,ひのえね,みつ,水,　,きこ 天火 らうしやく
《1752-3010》,《暦日0》,廿／,ひのとのうし,たいら,,　,十し
《1752-3020》,《暦日2》,廿一／,つちのえとら,さたん,土,　,●
《1752-3030》,《暦日0》,廿二／,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
《1752-3040》,《暦日2》,廿三／,かのえたつ,やふる,金,　
《1752-3050》,《暦日0》,廿四／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《1752-3060》,《暦日2》,廿五／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
《1752-3070》,《暦日0》,廿六／,みつのとのひつし,おさん,,　,大くわ わうまう  むきまき 田かりよし
《1752-3080》,《暦日2》,廿七／,きのえさる,ひらく,水,十方くれニ入,大みやう
《1752-3090》,《暦日0》,廿八／,きのとのとり,とつ,,　,神よし  田かりよし
《1752-3100》,《暦日2》,廿九／,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
《1752-3110》,《暦日0》,卅／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1752-3120》,《節中》,立冬十月せつさるの八刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1752-3130》,《月序》,十月,大,建,辛亥,張宿　畢　月よう
《1752-3140》,《暦日2》,一／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《1752-3150》,《暦日0》,二／,つちのとのうし,みつ,,　,くゑ日 きこ
《1752-3160》,《暦日2》,三／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《1752-3170》,《暦日0》,四／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《1752-3180》,《暦日2》,五／,みつのえたつ,とる,水,　,きしく 大みやう 五む日 ふく日
《1752-3190》,《暦日0》,六／,みつのとのみ,やふる,,天一天上,ちう日
《1752-3200》,《暦日2》,七／,きのえむま,あやふ,金,　,神よし  かまぬり むきまきよし
《1752-3210》,《暦日0》,八／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《1752-3220》,《暦日2》,九／,ひのえさる,おさん,火,　,●
《1752-3230》,《暦日0》,十／,ひのとのとり,ひらく,,　,十し
《1752-3240》,《暦日2》,十一／,つちのえいぬ,とつ,木,　,くゑ日
《1752-3250》,《暦日0》,十二／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《1752-3260》,《暦日2》,十三／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《1752-3270》,《暦日0》,十四／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《1752-3280》,《暦日1》,十五／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《1752-3290》,《節中》,小雪十月中いの五刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1752-3300》,《暦日1》,十六／,みつのとのう,さたん,金,　,神よし 天火 らうしやく
《1752-3310》,《暦日2》,十七／,きのえたつ,とる,火,　,大みやう  やたて かとたてよし
《1752-3320》,《暦日0》,十八／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《1752-3330》,《暦日2》,十九／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《1752-3340》,《暦日0》,廿／,ひのとのひつし,なる,,　, 木こりよし
《1752-3350》,《暦日2》,廿一／,つちのえさる,おさん,土,　,●
《1752-3360》,《暦日0》,廿二／,つちのとのとり,ひらく,,　,十し
《1752-3370》,《暦日2》,廿三／,かのえいぬ,とつ,金,　,大みやう  たねまきよし
《1752-3380》,《暦日0》,廿四／,かのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1752-3390》,《暦日2》,廿五／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《1752-3400》,《暦日0》,廿六／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《1752-3410》,《暦日2》,廿七／,きのえとら,たいら,水,　,大くわ 地火  ふねのり  つめとりよし
《1752-3420》,《暦日0》,廿八／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《1752-3430》,《暦日2》,廿九／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《1752-3440》,《暦日0》,卅／,ひのとのみ,やふる,,　,くゑ日 ちう日
《1752-3450》,《節中》,大雪十一月せつ翌とらの一刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1752-3460》,《月序》,十一月,小,建,壬子,翼宿　參　水よう
《1752-3470》,《暦日2》,一／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《1752-3480》,《暦日0》,二／,つちのとのひつし,あやふ,,　,神よし 大みやう
《1752-3490》,《暦日2》,三／,かのえさる,なる,木,　,きしく 大みやう  入学 みそさけつくりよし
《1752-3500》,《暦日0》,四／,かのとのとり,おさん,,　,神よし 大みやう 大くわ  井ほりよし
《1752-3510》,《暦日2》,五／,みつのえいぬ,ひらく,水,ま日
《1752-3520》,《暦日0》,六／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《1752-3530》,《暦日2》,七／,きのえね,たつ,金,　,天しや よろつよし
《1752-3540》,《暦日0》,八／,きのとのうし,のそく,,　,神よし  やたて  つめとりよし
《1752-3550》,《暦日2》,九／,ひのえとら,みつ,火,　,きこ  つめとりよし
《1752-3560》,《暦日0》,十／,ひのとのう,たいら,,　,●
《1752-3570》,《暦日2》,十一／,つちのえたつ,さたん,木,　,五む日
《1752-3580》,《暦日0》,十二／,つちのとのみ,とる,,　,十し
《1752-3590》,《暦日2》,十三／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《1752-3600》,《暦日0》,十四／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《1752-3610》,《暦日2》,十五／,みつのえさる,なる,金,　,大みやう  いちたちよし
《1752-3620》,《暦日0》,十六／,みつのとのとり,おさん,,　,神よし 大みやう 大くわ ふく日
《1752-3630》,《節中》,冬至十一月中たつの七刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《1752-3640》,《暦日2》,十七／,きのえいぬ,ひらく,火,　
《1752-3650》,《暦日0》,十八／,きのとのい,とつ,,　,ちう日
《1752-3660》,《暦日2》,十九／,ひのえね,たつ,水,　, 木こりよし
《1752-3670》,《暦日0》,廿／,ひのとのうし,のそく,,　,大みやう ふく日 わうまう  ものたち  つめとりよし
《1752-3680》,《暦日2》,廿一／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《1752-3690》,《暦日0》,廿二／,つちのとのう,たいら,,　,●
《1752-3700》,《暦日2》,廿三／,かのえたつ,さたん,金,　, たねまきよし
《1752-3710》,《暦日0》,廿四／,かのとのみ,とる,,　,十し
《1752-3720》,《暦日2》,廿五／,みつのえむま,やふる,木,　,大みやう ちいみ 天火 らうしやく
《1752-3730》,《暦日0》,廿六／,みつのとのひつし,あやふ,,　,ふく日
《1752-3740》,《暦日2》,廿七／,きのえさる,なる,水,十方くれニ入,大みやう
《1752-3750》,《暦日0》,廿八／,きのとのとり,おさん,,　,神よし 大くわ  ものたちよし
《1752-3760》,《暦日1》,廿九／,ひのえいぬ,ひらく,土,　,五む日
《1752-3770》,《月序》,十二月,大,建,癸丑,軫宿　井　木よう
《1752-3780》,《暦日1》,一／,ひのとのい,とつ,土,　,大みやう ちう日 ふく日
《1752-3790》,《暦日1》,二／,つちのえね,とつ,火,　,きしく くゑ日 きこ ちいみ ふく日
《1752-3800》,《節中》,小寒十二月せつひつしの三刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1752-3810》,《暦日1》,三／,つちのとのうし,たつ,火,　,十し
《1752-3820》,《暦日2》,四／,かのえとら,のそく,木,　, 井ほり  つめとりよし
《1752-3830》,《暦日0》,五／,かのとのう,みつ,,　,神よし  よめとりよし
《1752-3840》,《暦日2》,六／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《1752-3850》,《暦日0》,七／,みつのとのみ,さたん,,天一天上,ちう日
《1752-3860》,《暦日2》,八／,きのえむま,とる,金,　,神よし  けんふく ふねのりよし
《1752-3870》,《暦日0》,九／,きのとのひつし,やふる,,　,大みやう 五む日
《1752-3880》,《暦日2》,十／,ひのえさる,あやふ,火,　,神よし  木こりよし
《1752-3890》,《暦日0》,十一／,ひのとのとり,なる,,　,●
《1752-3900》,《暦日2》,十二／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《1752-3910》,《暦日0》,十三／,つちのとのい,ひらく,,　,ちう日 ふく日
《1752-3920》,《暦日2》,十四／,かのえね,とつ,土,とようとりの四刻ニ入,神よし きこ ちいみ
《1752-3930》,《暦日0》,十五／,かのとのうし,たつ,,　,十し
《1752-3940》,《暦日2》,十六／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《1752-3950》,《暦日0》,十七／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《1752-3960》,《節中》,大寒十二月中いぬの初刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1752-3970》,《暦日2》,十八／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《1752-3980》,《暦日0》,十九／,きのとのみ,さたん,,　,大みやう ちう日  いちたちよし
《1752-3990》,《暦日2》,廿／,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
《1752-4000》,《暦日0》,廿一／,ひのとのひつし,やふる,,　,くゑ日
《1752-4010》,《暦日2》,廿二／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《1752-4020》,《暦日0》,廿三／,つちのとのとり,なる,,　,●
《1752-4030》,《暦日2》,廿四／,かのえいぬ,おさん,金,　,大みやう めつもん  たねまきよし
《1752-4040》,《暦日0》,廿五／,かのとのい,ひらく,,　,大みやう ちう日  正月ことはしめよし
《1752-4050》,《暦日2》,廿六／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《1752-4060》,《暦日0》,廿七／,みつのとのうし,たつ,,ま日,十し
《1752-4070》,《暦日2》,廿八／,きのえとら,のそく,水,　, 木こり  つめとりよし
《1752-4080》,《暦日0》,廿九／,きのとのう,みつ,,　,神よし  ものたち 正月ことはしめよし
《1752-4090》,《暦日1》,卅／,ひのえたつ,たいら,土,ま日,きしく 大みやう 大くわ 地火
《1752-4100》,《暦末》,宝暦元年出,立表測景定節氣者
