《1752-0000》,# カンマ区切りテキスト形式です。
《1752-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1752-0020》,# ・表の区画内での改行は“/”で表記します。
《1752-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1752-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1752-0050》,# 外部リンク
《1752-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/33 ～ 38
《1752-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1752g　(GitHub上データを表成型)
《1752-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1752h　(翻刻編集データを表成型 - 未実装)
《1752-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1752-0100》,《版元》,出版地○○,出版元□□□,　
《1752-0540》,《月序》,二月,小,建,癸卯,昴宿　斗　木よう
《1752-0550》,《暦日1》,一／,みつのとのみ,みつ,水,天一天上,十し
《1752-0560》,《暦日2》,二／,きのえむま,たいら,金,　,神よし 大くわ 地火
《1752-0570》,《暦日0》,三／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1752-0580》,《暦日2》,四／,ひのえさる,とる,火,　,神よし
《1752-0590》,《暦日0》,五／,ひのとのとり,やふる,,　,さい下しき わうまう  あさまき たねかしよし
《1752-0600》,《暦日2》,六／,つちのえいぬ,あやふ,木,社日, かといてよし
《1752-0610》,《暦日0》,七／,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
《1752-0620》,《節中》,春分二月中みの五刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1752-0630》,《暦日2》,八／,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
《1752-0640》,《暦日0》,九／,かのとのうし,ひらく,,ひかんニなる,五む日 ふく日  ものたち  つめとりよし
《1752-0650》,《暦日2》,十／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
