《1734-0000》,# カンマ区切りテキスト形式です。
《1734-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1734-0020》,# ・表の区画内での改行は“/”で表記します。
《1734-0400》,《節中》,雨水正月中さるの二刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1734-0410》,《暦日1》,十八／,きのとのひつし,とる,金,　,大みやう 五む日
《1734-0420》,《暦日2》,十九／,ひのえさる,やふる,火,　,神よし
《1734-0430》,《暦日0》,廿／,ひのとのとり,あやふ,,　,十し
《1734-0440》,《暦日2》,廿一／,つちのえいぬ,なる,木,　,●
《1734-0450》,《暦日0》,廿二／,つちのとのい,おさん,,　,神よし 大くわ ちう日
《1734-0460》,《暦日2》,廿三／,かのえね,ひらく,土,　,神よし きしく ふく日 天火 らうしやく
《1734-0470》,《暦日0》,廿四／,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
《1734-0480》,《暦日2》,廿五／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《1734-0490》,《暦日0》,廿六／,みつのとのう,のそく,,　,神よし  あさまきよし
《1734-0500》,《暦日2》,廿七／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《1734-0510》,《暦日0》,廿八／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《1734-0520》,《暦日1》,廿九／,ひのえむま,さたん,水,　,神よし 大みやう  わたましよし
《1734-0530》,《月序》,二月,大,建,丁卯,張宿　亢　金よう
《1734-0540》,《暦日1》,一／,ひのとのひつし,とる,水,　,神よし  かといてよし
《1734-0550》,《暦日2》,二／,つちのえさる,やふる,土,　,神よし  たねまきよし
《1734-0560》,《暦日0》,三／,つちのとのとり,やふる,,　,大みやう
《1734-0570》,《節中》,啓蟄二月せついぬの七刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1734-0580》,《暦日2》,四／,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
《1734-0590》,《暦日0》,五／,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
