《1734-0000》,# カンマ区切りテキスト形式です。
《1734-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1734-0020》,# ・表の区画内での改行は“/”で表記します。
《1734-2790》,《暦日1》,廿九／,みつのえさる,とつ,金,　,神よし 大みやう
《1734-2800》,《月序》,九月,大,建,甲戌,心宿　危　月よう
《1734-2810》,《暦日1》,一／,みつのとのとり,たつ,金,　,大みやう 天火 らうしやく 下しきむまの時
《1734-2820》,《暦日2》,二／,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
《1734-2830》,《暦日0》,三／,きのとのい,みつ,,　,ちう日 ふく日  入学よし
《1734-2840》,《暦日2》,四／,ひのえね,たいら,水,　,大くわ 地火
《1734-2850》,《暦日0》,五／,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
《1734-2860》,《暦日2》,六／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《1734-2870》,《暦日0》,七／,つちのとのう,やふる,,　,大みやう
《1734-2880》,《暦日2》,八／,かのえたつ,あやふ,金,　
《1734-2890》,《暦日0》,九／,かのとのみ,なる,,　,十し
《1734-2900》,《暦日1》,十／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
《1734-2910》,《節中》,寒露九月せついの四刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1734-2920》,《暦日1》,十一／,みつのとのひつし,おさん,木,　,大くわ  むきまき 田かりよし
《1734-2930》,《暦日2》,十二／,きのえさる,ひらく,水,十方くれニ入,きしく 大みやう
《1734-2940》,《暦日0》,十三／,きのとのとり,とつ,,　,神よし  田かりよし
《1734-2950》,《暦日2》,十四／,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
《1734-2960》,《暦日0》,十五／,ひのとのい,のそく,,　,大みやう ちう日
《1734-2970》,《暦日2》,十六／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《1734-2980》,《暦日0》,十七／,つちのとのうし,たいら,,　,十し
《1734-2990》,《暦日2》,十八／,かのえとら,さたん,木,　,●
《1734-3000》,《暦日0》,十九／,かのとのう,とる,,　,くゑ日
《1734-3010》,《暦日2》,廿／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《1734-3020》,《暦日0》,廿一／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《1734-3030》,《暦日2》,廿二／,きのえむま,なる,金,　,くゑ日
《1734-3040》,《暦日0》,廿三／,きのとのひつし,おさん,,とよううしの五刻ニ入,大みやう 五む日 くゑ日 大くわ
《1734-3050》,《暦日2》,廿四／,ひのえさる,ひらく,火,　,くゑ日
《1734-3060》,《暦日0》,廿五／,ひのとのとり,とつ,,　,くゑ日
《1734-3070》,《暦日1》,廿六／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《1734-3080》,《節中》,霜降九月中とらの一刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1734-3090》,《暦日1》,廿七／,つちのとのい,のそく,木,　,神よし ちう日 ふく日  むきまきよし
《1734-3100》,《暦日2》,廿八／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《1734-3110》,《暦日0》,廿九／,かのとのうし,たいら,,　,十し
《1734-3120》,《暦日1》,卅／,みつのえとら,さたん,金,　,●
《1734-3130》,《月序》,十月,小,建,乙亥,尾宿　壁　水よう
《1734-3140》,《暦日1》,一／,みつのとのう,とる,金,　,神よし  けんふく かといてよし
《1734-3150》,《暦日2》,二／,きのえたつ,やふる,火,　,大みやう
《1734-3160》,《暦日0》,三／,きのとのみ,あやふ,,　,神よし 大みやう ちいみ ちう日 下しきひつしの時
《1734-3170》,《暦日2》,四／,ひのえむま,なる,水,　,神よし 大みやう  いちたちよし
《1734-3180》,《暦日0》,五／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《1734-3190》,《暦日2》,六／,つちのえさる,ひらく,土,　,天しや よろつよし
《1734-3200》,《暦日0》,七／,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
《1734-3210》,《暦日2》,八／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1734-3220》,《暦日0》,九／,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
《1734-3230》,《暦日2》,十／,みつのえね,みつ,木,八せんのはしめ,神よし きしく きこ 天火 らうしやく
《1734-3240》,《暦日0》,十一／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《1734-3250》,《節中》,立冬十月せつたつの六刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1734-3260》,《暦日2》,十二／,きのえとら,たいら,水,　,大くわ 地火  ふねのり  つめとりよし
《1734-3270》,《暦日0》,十三／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《1734-3280》,《暦日2》,十四／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《1734-3290》,《暦日0》,十五／,ひのとのみ,やふる,,　,くゑ日 ちう日
《1734-3300》,《暦日2》,十六／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《1734-3310》,《暦日0》,十七／,つちのとのひつし,なる,,　,大みやう  かまぬり いちたちよし
《1734-3320》,《暦日2》,十八／,かのえさる,おさん,木,　,●
《1734-3330》,《暦日0》,十九／,かのとのとり,ひらく,,　,十し
《1734-3340》,《暦日2》,廿／,みつのえいぬ,とつ,水,ま日,ふく日 わうまう  むきまきよし
《1734-3350》,《暦日0》,廿一／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《1734-3360》,《暦日2》,廿二／,きのえね,のそく,金,　,天しや よろつよし
《1734-3370》,《暦日0》,廿三／,きのとのうし,みつ,,　,くゑ日 きこ
《1734-3380》,《暦日2》,廿四／,ひのえとら,たいら,火,　,大くわ ふく日 地火  つめとりよし
《1734-3390》,《暦日0》,廿五／,ひのとのう,さたん,,　,さい下しき 神よし 天火 らうしやく
《1734-3400》,《暦日1》,廿六／,つちのえたつ,とる,木,　,五む日  ふねのりよし
《1734-3410》,《節中》,小雪十月中ひつしの三刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1734-3420》,《暦日1》,廿七／,つちのとのみ,やふる,木,　,くゑ日 ちう日
《1734-3430》,《暦日2》,廿八／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《1734-3440》,《暦日0》,廿九／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《1734-3450》,《月序》,十一月,大,建,丙子,箕宿　奎　木よう
《1734-3460》,《暦日2》,一／,みつのえさる,おさん,金,　,●
《1734-3470》,《暦日0》,二／,みつのとのとり,ひらく,,　,十し
《1734-3480》,《暦日2》,三／,きのえいぬ,とつ,火,　, わたまし いちたちよし
《1734-3490》,《暦日0》,四／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《1734-3500》,《暦日2》,五／,ひのえね,のそく,水,　,ふく日
《1734-3510》,《暦日0》,六／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《1734-3520》,《暦日2》,七／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《1734-3530》,《暦日0》,八／,つちのとのう,さたん,,　,神よし 大みやう 天火 らうしやく
《1734-3540》,《暦日2》,九／,かのえたつ,とる,金,　,きしく  けんふく よめとりよし
《1734-3550》,《暦日0》,十／,かのとのみ,やふる,,　,ちう日
《1734-3560》,《暦日2》,十一／,みつのえむま,あやふ,木,　,神よし 大みやう ふく日  かとたてよし
《1734-3570》,《暦日0》,十二／,みつのとのひつし,あやふ,,　,ふく日
《1734-3580》,《節中》,大雪十一月せついぬの初刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1734-3590》,《暦日2》,十三／,きのえさる,なる,水,十方くれニ入,大みやう
《1734-3600》,《暦日0》,十四／,きのとのとり,おさん,,　,神よし 大くわ  ものたちよし
《1734-3610》,《暦日2》,十五／,ひのえいぬ,ひらく,土,　,五む日
《1734-3620》,《暦日0》,十六／,ひのとのい,とつ,,　,大みやう ちう日 ふく日
《1734-3630》,《暦日2》,十七／,つちのえね,たつ,火,　,くゑ日
《1734-3640》,《暦日0》,十八／,つちのとのうし,のそく,,　, つめとりよし
《1734-3650》,《暦日2》,十九／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《1734-3660》,《暦日0》,廿／,かのとのう,たいら,,　,●
《1734-3670》,《暦日2》,廿一／,みつのえたつ,さたん,水,　,大みやう 五む日  木こりよし
《1734-3680》,《暦日0》,廿二／,みつのとのみ,とる,,天一天上,十し
《1734-3690》,《暦日2》,廿三／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《1734-3700》,《暦日0》,廿四／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《1734-3710》,《暦日2》,廿五／,ひのえさる,なる,火,　
《1734-3720》,《暦日0》,廿六／,ひのとのとり,おさん,,　,神よし 大くわ ふく日
《1734-3730》,《暦日2》,廿七／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《1734-3740》,《暦日0》,廿八／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《1734-3750》,《節中》,冬至十一月中ねの五刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《1734-3760》,《暦日2》,廿九／,かのえね,たつ,土,　, 井ほりよし
《1734-3770》,《暦日0》,卅／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《1734-3780》,《月序》,十二月,大,建,丁丑,斗宿　胃　土よう
《1734-3790》,《暦日2》,一／,みつのえとら,みつ,金,　,大みやう きこ わうまう  つめとりよし
《1734-3800》,《暦日0》,二／,みつのとのう,たいら,,　,●
《1734-3810》,《暦日2》,三／,きのえたつ,さたん,火,　,大みやう
《1734-3820》,《暦日0》,四／,きのとのみ,とる,,　,十し
《1734-3830》,《暦日2》,五／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1734-3840》,《暦日0》,六／,ひのとのひつし,あやふ,,　,神よし ふく日  いちたちよし
《1734-3850》,《暦日2》,七／,つちのえさる,なる,土,　,きしく  入学よし
《1734-3860》,《暦日0》,八／,つちのとのとり,おさん,,　,神よし 大みやう 大くわ  やたてよし
《1734-3870》,《暦日2》,九／,かのえいぬ,ひらく,金,　,大みやう  たねまきよし
《1734-3880》,《暦日0》,十／,かのとのい,とつ,,　,神よし 大みやう ちう日
《1734-3890》,《暦日2》,十一／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《1734-3900》,《暦日0》,十二／,みつのとのうし,のそく,,ま日,神よし ふく日  木こり  つめとりよし
《1734-3910》,《暦日1》,十三／,きのえとら,のそく,水,　, 木こり  つめとりよし
《1734-3920》,《節中》,小寒十二月せつうの二刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1734-3930》,《暦日1》,十四／,きのとのう,みつ,水,　,神よし  ものたち 正月ことはしめよし
《1734-3940》,《暦日2》,十五／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《1734-3950》,《暦日0》,十六／,ひのとのみ,さたん,,　,ちう日
《1734-3960》,《暦日2》,十七／,つちのえむま,とる,火,ま日,神よし ふく日  ふねのりよし
《1734-3970》,《暦日0》,十八／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《1734-3980》,《暦日2》,十九／,かのえさる,あやふ,木,　,神よし 大みやう  みそさけつくりよし
《1734-3990》,《暦日0》,廿／,かのとのとり,なる,,　,●
《1734-4000》,《暦日2》,廿一／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《1734-4010》,《暦日0》,廿二／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《1734-4020》,《暦日2》,廿三／,きのえね,とつ,金,　,天しや よろつよし
《1734-4030》,《暦日0》,廿四／,きのとのうし,たつ,,　,十し
《1734-4040》,《暦日2》,廿五／,ひのえとら,のそく,火,とようみの三刻ニ入, けんふく  つめとりよし
《1734-4050》,《暦日0》,廿六／,ひのとのう,みつ,,　,さい下しき 神よし
《1734-4060》,《暦日2》,廿七／,つちのえたつ,たいら,木,　,五む日 大くわ ふく日 地火
《1734-4070》,《暦日0》,廿八／,つちのとのみ,さたん,,　,ちう日 ふく日
《1734-4080》,《節中》,大寒十二月中みの七刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1734-4090》,《暦日2》,廿九／,かのえむま,とる,土,　,神よし  すゝはらひよし
《1734-4100》,《暦日0》,卅／,かのとのひつし,やふる,,　,大みやう  かといてよし
《1734-4110》,《暦末》,享保十八年出,立表測景定節氣者
