《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0960》,《節中》,清明三月せつ今暁とらの五刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《0970》,《暦日1》,九／,みつのとのとり,とる,金,　,神よし 大みやう
《0980》,《暦日2》,十／,きのえいぬ,やふる,火,　, くさかりよし
《0990》,《暦日0》,十一／,きのとのい,あやふ,,　,●
《1000》,《暦日2》,十二／,ひのえね,なる,水,　,きこ
《1010》,《暦日0》,十三／,ひのとのうし,おさん,,　,十し
《1020》,《暦日2》,十四／,つちのえとら,ひらく,土,　,天しや よろつよし
《1030》,《暦日0》,十五／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1040》,《暦日2》,十六／,かのえたつ,たつ,金,　,くゑ日
《1050》,《暦日0》,十七／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1060》,《暦日2》,十八／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1070》,《暦日0》,十九／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1080》,《暦日2》,廿／,きのえさる,さたん,水,とようたつの六刻ニ入/十方くれニ入,大みやう くゑ日
《1090》,《暦日0》,廿一／,きのとのとり,とる,,　,神よし  くさかりよし
《1100》,《暦日2》,廿二／,ひのえいぬ,やふる,土,　,五む日
《1110》,《暦日0》,廿三／,ひのとのい,あやふ,,　,●
《1120》,《節中》,穀雨三月中みの二刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1130》,《暦日2》,廿四／,つちのえね,なる,火,　,きしく 母倉 きこ ふく日
《1140》,《暦日0》,廿五／,つちのとのうし,おさん,,　,十し
《1150》,《暦日2》,廿六／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1160》,《暦日0》,廿七／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1170》,《暦日2》,廿八／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日 わうまう
《1180》,《暦日0》,廿九／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1190》,《月序》,四月,小,建,己巳,婁宿　角　木よう
《1200》,《暦日2》,一／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1210》,《暦日0》,二／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1220》,《暦日2》,三／,ひのえさる,さたん,火,　,くゑ日
《1230》,《暦日0》,四／,ひのとのとり,とる,,　,さい下しき 神よし 月とく  いちたちよし
《1240》,《暦日2》,五／,つちのえいぬ,やふる,木,八十八や,ふく日
《1250》,《暦日0》,六／,つちのとのい,あやふ,,　,●
《1260》,《暦日2》,七／,かのえね,なる,土,　,神よし きこ
《1270》,《暦日0》,八／,かのとのうし,おさん,,　,十し
《1280》,《暦日1》,九／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1290》,《節中》,立夏四月せつひつしの七刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1300》,《暦日1》,十／,みつのとのう,ひらく,金,　,神よし 母倉  かといて さひらきよし
《1310》,《暦日2》,十一／,きのえたつ,とつ,火,　,大みやう
《1320》,《暦日0》,十二／,きのとのみ,たつ,,　,●
《1330》,《暦日2》,十三／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1340》,《暦日0》,十四／,ひのとのひつし,みつ,,　,くゑ日
《1350》,《暦日2》,十五／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1360》,《暦日0》,十六／,つちのとのとり,さたん,,　,十し
《1370》,《暦日2》,十七／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1380》,《暦日0》,十八／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1390》,《暦日2》,十九／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1400》,《暦日0》,廿／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1410》,《暦日2》,廿一／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1420》,《暦日0》,廿二／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1430》,《暦日2》,廿三／,ひのえたつ,とつ,土,ま日,きしく 大みやう ふく日
《1440》,《暦日0》,廿四／,ひのとのみ,たつ,,　,●
《1450》,《節中》,小満四月中いぬの四刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1460》,《暦日2》,廿五／,つちのえむま,のそく,火,ま日,くゑ日
《1470》,《暦日0》,廿六／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1480》,《暦日2》,廿七／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1490》,《暦日0》,廿八／,かのとのとり,さたん,,　,十し
《1500》,《暦日1》,廿九／,みつのえいぬ,とる,水,ま日,ふく日
《1510》,《月序》,五月,大,建,庚午,胃宿　亢　金よう
《1520》,《暦日1》,一／,みつのとのい,やふる,水,八せんのおはり,くゑ日 ちう日
《1530》,《暦日2》,二／,きのえね,あやふ,金,　,天おん
《1540》,《暦日0》,三／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1550》,《暦日2》,四／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1560》,《暦日0》,五／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1570》,《暦日2》,六／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1580》,《暦日0》,七／,つちのとのみ,たつ,,　,●
《1590》,《暦日2》,八／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1600》,《暦日0》,九／,かのとのひつし,みつ,,　,大みやう くゑ日
《1610》,《暦日2》,十／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1620》,《暦日0》,十一／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1630》,《節中》,芒種五月せつ今暁うしの一刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1640》,《暦日2》,十二／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1650》,《暦日0》,十三／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1660》,《暦日2》,十四／,ひのえね,やふる,水,　,●
《1670》,《暦日0》,十五／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1680》,《暦日2》,十六／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1690》,《暦日0》,十七／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1700》,《暦日2》,十八／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1710》,《暦日0》,十九／,かのとのみ,とつ,,　,十し
《1720》,《暦日2》,廿／,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
《1730》,《暦日0》,廿一／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1740》,《暦日2》,廿二／,きのえさる,みつ,水,十方くれニ入,神よし きしく 大みやう
《1750》,《暦日0》,廿三／,きのとのとり,たいら,,　,神よし めつもん 地火
《1760》,《暦日2》,廿四／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1770》,《暦日0》,廿五／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1780》,《暦日1》,廿六／,つちのえね,やふる,火,　,●
《1790》,《節中》,夏至五月中うの六刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1800》,《暦日1》,廿七／,つちのとのうし,あやふ,火,　, 田うへ  つめとりよし
《1810》,《暦日2》,廿八／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1820》,《暦日0》,廿九／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1830》,《暦日1》,卅／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1840》,《月序》,六月,小,建,辛未,昴宿　房　日よう
