《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2960》,《暦日1》,十四／,きのえいぬ,たつ,火,　,くゑ日
《2970》,《節中》,寒露九月せついぬの一刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《2980》,《暦日1》,十五／,きのとのい,のそく,火,　,ちう日  田かりよし
《2990》,《暦日2》,十六／,ひのえね,みつ,水,　,きしく 月とく きこ 天火 らうしやく
《3000》,《暦日0》,十七／,ひのとのうし,たいら,,　,十し
《3010》,《暦日2》,十八／,つちのえとら,さたん,土,　,●
《3020》,《暦日0》,十九／,つちのとのう,とる,,　,神よし 大みやう 天おん ふく日  竹木こりよし
《3030》,《暦日2》,廿／,かのえたつ,やふる,金,　,天おん
《3040》,《暦日0》,廿一／,かのとのみ,あやふ,,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《3050》,《暦日2》,廿二／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《3060》,《暦日0》,廿三／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《3070》,《暦日2》,廿四／,きのえさる,ひらく,水,十方くれニ入,大みやう
《3080》,《暦日0》,廿五／,きのとのとり,とつ,,　,神よし  田かりよし
《3090》,《暦日2》,廿六／,ひのえいぬ,たつ,土,とよう今夜ねの二刻ニ入,母倉 月とく 五む日  竹木こりよし
《3100》,《暦日0》,廿七／,ひのとのい,のそく,,　,大みやう ちう日
《3110》,《暦日2》,廿八／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《3120》,《暦日0》,廿九／,つちのとのうし,たいら,,　,十し
《3130》,《月序》,九月,大,建,甲戌,參宿　牛　金よう
《3140》,《暦日1》,一／,かのえとら,さたん,木,　,●
《3150》,《節中》,霜降九月中今暁ねの六刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《3160》,《暦日1》,二／,かのとのう,とる,木,　,くゑ日
《3170》,《暦日2》,三／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《3180》,《暦日0》,四／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《3190》,《暦日2》,五／,きのえむま,なる,金,　,くゑ日
《3200》,《暦日0》,六／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《3210》,《暦日2》,七／,ひのえさる,ひらく,火,　,くゑ日
《3220》,《暦日0》,八／,ひのとのとり,とつ,,　,さい下しき くゑ日
《3230》,《暦日2》,九／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《3240》,《暦日0》,十／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《3250》,《暦日2》,十一／,かのえね,みつ,土,　,きこ 天火 らうしやく わうまう
《3260》,《暦日0》,十二／,かのとのうし,たいら,,　,十し
《3270》,《暦日2》,十三／,みつのえとら,さたん,金,　,●
《3280》,《暦日0》,十四／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《3290》,《暦日2》,十五／,きのえたつ,やふる,火,　,きしく 大みやう
《3300》,《暦日0》,十六／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3310》,《節中》,立冬十月せつうの三刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3320》,《暦日2》,十七／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3330》,《暦日0》,十八／,ひのとのひつし,なる,,　, 木こりよし
《3340》,《暦日2》,十九／,つちのえさる,おさん,土,　,●
《3350》,《暦日0》,廿／,つちのとのとり,ひらく,,　,十し
《3360》,《暦日2》,廿一／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《3370》,《暦日0》,廿二／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《3380》,《暦日2》,廿三／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3390》,《暦日0》,廿四／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3400》,《暦日2》,廿五／,きのえとら,たいら,水,　,月とく 大くわ 地火 わうまう  ふねのり  つめとりよし
《3410》,《暦日0》,廿六／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3420》,《暦日2》,廿七／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3430》,《暦日0》,廿八／,ひのとのみ,やふる,,　,くゑ日 ちう日
《3440》,《暦日2》,廿九／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《3450》,《暦日0》,卅／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《3460》,《月序》,十月,小,建,乙亥,井宿　虛　日よう
《3470》,《暦日1》,一／,かのえさる,おさん,木,　,●
《3480》,《節中》,小雪十月中みの八刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《3490》,《暦日1》,二／,かのとのとり,ひらく,木,　,十し
《3500》,《暦日2》,三／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3510》,《暦日0》,四／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3520》,《暦日2》,五／,きのえね,のそく,金,　,天しや よろつよし
《3530》,《暦日0》,六／,きのとのうし,みつ,,　,くゑ日 きこ
《3540》,《暦日2》,七／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《3550》,《暦日0》,八／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《3560》,《暦日2》,九／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《3570》,《暦日0》,十／,つちのとのみ,やふる,,　,くゑ日 ちう日
《3580》,《暦日2》,十一／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3590》,《暦日0》,十二／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《3600》,《暦日2》,十三／,みつのえさる,おさん,金,　,●
《3610》,《暦日0》,十四／,みつのとのとり,ひらく,,　,十し
《3620》,《暦日2》,十五／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《3630》,《暦日0》,十六／,きのとのい,とつ,,　,ちう日
《3640》,《節中》,大雪十一月せつさるの五刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3650》,《暦日2》,十七／,ひのえね,たつ,水,　, 木こりよし
《3660》,《暦日0》,十八／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《3670》,《暦日2》,十九／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3680》,《暦日0》,廿／,つちのとのう,たいら,,　,●
《3690》,《暦日2》,廿一／,かのえたつ,さたん,金,　,天おん  たねまきよし
《3700》,《暦日0》,廿二／,かのとのみ,とる,,　,十し
《3710》,《暦日2》,廿三／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《3720》,《暦日0》,廿四／,みつのとのひつし,あやふ,,　,天おん ふく日
《3730》,《暦日2》,廿五／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《3740》,《暦日0》,廿六／,きのとのとり,おさん,,　,神よし 母倉 大くわ  ものたちよし
《3750》,《暦日2》,廿七／,ひのえいぬ,ひらく,土,　,五む日
《3760》,《暦日0》,廿八／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《3770》,《暦日1》,廿九／,つちのえね,たつ,火,　,くゑ日
《3780》,《月序》,十一月,大,建,丙子,鬼宿　危　月よう
《3790》,《暦日1》,一／,つちのとのうし,のそく,火,　, つめとりよし
《3800》,《暦日1》,二／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《3810》,《節中》,冬至十一月中いの二刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《3820》,《暦日1》,三／,かのとのう,たいら,木,　,●
《3830》,《暦日2》,四／,みつのえたつ,さたん,水,　,大みやう 月とく 五む日  木こりよし
《3840》,《暦日0》,五／,みつのとのみ,とる,,天一天上,十し
《3850》,《暦日2》,六／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく わうまう
《3860》,《暦日0》,七／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3870》,《暦日2》,八／,ひのえさる,なる,火,　,母倉
《3880》,《暦日0》,九／,ひのとのとり,おさん,,　,さい下しき 神よし 母倉 月とく 大くわ ふく日
《3890》,《暦日2》,十／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3900》,《暦日0》,十一／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《3910》,《暦日2》,十二／,かのえね,たつ,土,　,きしく  井ほりよし
《3920》,《暦日0》,十三／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《3930》,《暦日2》,十四／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《3940》,《暦日0》,十五／,みつのとのう,たいら,,　,●
《3950》,《暦日2》,十六／,きのえたつ,さたん,火,　,大みやう
《3960》,《暦日0》,十七／,きのとのみ,とる,,　,十し
《3970》,《暦日1》,十八／,ひのえむま,とる,水,　,神よし 大みやう 母倉  かといてよし
《3980》,《節中》,小寒十二月せつ今暁うしの七刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3990》,《暦日1》,十九／,ひのとのひつし,やふる,水,　,くゑ日
《4000》,《暦日2》,廿／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《4010》,《暦日0》,廿一／,つちのとのとり,なる,,　,●
《4020》,《暦日2》,廿二／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《4030》,《暦日0》,廿三／,かのとのい,ひらく,,　,大みやう 天おん ちう日
《4040》,《暦日2》,廿四／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《4050》,《暦日0》,廿五／,みつのとのうし,たつ,,ま日,十し
《4060》,《暦日2》,廿六／,きのえとら,のそく,水,　, 木こり  つめとりよし
《4070》,《暦日0》,廿七／,きのとのう,みつ,,　,神よし 月とく  ものたちよし
《4080》,《暦日2》,廿八／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《4090》,《暦日0》,廿九／,ひのとのみ,さたん,,　,母倉 ちう日
《4100》,《暦日1》,卅／,つちのえむま,とる,火,ま日/とよううの八刻ニ入,神よし 母倉 ふく日  ふねのりよし
《4110》,《月序》,十二月,大,建,丁丑,柳宿　壁　水よう
《4120》,《暦日1》,一／,つちのとのひつし,やふる,火,　,神よし 大みやう ふく日  かといてよし
《4130》,《暦日2》,二／,かのえさる,あやふ,木,　,神よし 大みやう 月とく  みそさけつくりよし
《4140》,《暦日0》,三／,かのとのとり,なる,,　,●
《4150》,《節中》,大寒十二月中たつの四刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《4160》,《暦日2》,四／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《4170》,《暦日0》,五／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《4180》,《暦日2》,六／,きのえね,とつ,金,　,天しや よろつよし
《4190》,《暦日0》,七／,きのとのうし,たつ,,　,十し
《4200》,《暦日2》,八／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《4210》,《暦日0》,九／,ひのとのう,みつ,,　,神よし 天おん
《4220》,《暦日2》,十／,つちのえたつ,たいら,木,　,きしく 天おん 五む日 大くわ ふく日 地火
《4230》,《暦日0》,十一／,つちのとのみ,さたん,,　,母倉 ちう日 ふく日
《4240》,《暦日2》,十二／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《4250》,《暦日0》,十三／,かのとのひつし,やふる,,　,大みやう  かといてよし
《4260》,《暦日2》,十四／,みつのえさる,あやふ,金,　,神よし 大みやう
《4270》,《暦日0》,十五／,みつのとのとり,なる,,　,●
《4280》,《暦日2》,十六／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《4290》,《暦日0》,十七／,きのとのい,ひらく,,せつふん,月とく ちう日 わうまう  いちたちよし
《4300》,《暦日1》,十八／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《4310》,《節中》,立春正月せつひつしの一刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《4320》,《暦日1》,十九／,ひのとのうし,とつ,水,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《4330》,《暦日2》,廿／,つちのえとら,たつ,土,　,天しや よろつよし
《4340》,《暦日0》,廿一／,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《4350》,《暦日2》,廿二／,かのえたつ,みつ,金,　,天おん ふく日
《4360》,《暦日0》,廿三／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
《4370》,《暦日2》,廿四／,みつのえむま,さたん,木,　,大みやう 天おん わうまう  木こりよし
《4380》,《暦日0》,廿五／,みつのとのひつし,とる,,　,天おん  たねまきよし
《4390》,《暦日2》,廿六／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《4400》,《暦日0》,廿七／,きのとのとり,あやふ,,　,十し
《4410》,《暦日2》,廿八／,ひのえいぬ,なる,土,　,●
《4420》,《暦日0》,廿九／,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
《4430》,《暦日1》,卅／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《4440》,《暦末》,文政六年出,立表測景定節氣者
