《1727-0000》,# カンマ区切りテキスト形式です。
《1727-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1727-0700》,《暦日0》,十八／,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
《1727-0710》,《暦日2》,十九／,ひのえね,おさん,水,　,めつもん  たねかしよし
《1727-0720》,《暦日0》,廿／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1727-0730》,《暦日2》,廿一／,つちのえとら,とつ,土,　,天しや よろつよし
《1727-0740》,《暦日0》,廿二／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1727-0750》,《暦日2》,廿三／,かのえたつ,のそく,金,　,●
《1727-0760》,《暦日0》,廿四／,かのとのみ,みつ,,　,十し
《1727-0770》,《暦日2》,廿五／,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
《1727-0780》,《暦日0》,廿六／,みつのとのひつし,さたん,,　,ちいみ
《1727-0790》,《暦日2》,廿七／,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
《1727-0800》,《暦日0》,廿八／,きのとのとり,やふる,,　,ふく日
《1727-0810》,《暦日2》,廿九／,ひのえいぬ,あやふ,土,　,五む日 わうまう  あさまきよし
《1727-0820》,《暦日0》,卅／,ひのとのい,なる,,　,大みやう ちう日
《1727-0830》,《月序》,二月,小,建,癸卯,張宿　虛　日よう
《1727-0840》,《暦日2》,一／,つちのえね,おさん,火,春分二月中みの一刻/社日,めつもん  けんふく たねかしよし
《1727-0850》,《暦日0》,二／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《1727-0860》,《暦日2》,三／,かのえとら,とつ,木,ひかんニなる,きこ  つめとりよし
《1727-0870》,《暦日0》,四／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1727-0880》,《暦日2》,五／,みつのえたつ,のそく,水,　,●
《1727-0890》,《暦日0》,六／,みつのとのみ,みつ,,天一天上,十し
《1727-0900》,《暦日2》,七／,きのえむま,たいら,金,　,神よし 大くわ 地火
《1727-0910》,《暦日0》,八／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1727-0920》,《暦日2》,九／,ひのえさる,とる,火,　,神よし
《1727-0930》,《暦日0》,十／,ひのとのとり,やふる,,　, あさまき たねかしよし
《1727-0940》,《暦日2》,十一／,つちのえいぬ,あやふ,木,　, かといてよし
《1727-0950》,《暦日0》,十二／,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
《1727-0960》,《暦日2》,十三／,かのえね,おさん,土,　,神よし きしく めつもん  よめとり たねかしよし
《1727-0970》,《暦日0》,十四／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1727-0980》,《暦日2》,十五／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1727-0990》,《暦日0》,十六／,みつのとのう,とつ,,三月せつひつしの六刻ニ入,神よし  けんふく かといてよし
《1727-1000》,《暦日2》,十七／,きのえたつ,たつ,火,　,大みやう くゑ日
《1727-1010》,《暦日0》,十八／,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
《1727-1020》,《暦日2》,十九／,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
《1727-1030》,《暦日0》,廿／,ひのとのひつし,たいら,,　,神よし めつもん 地火
《1727-1040》,《暦日2》,廿一／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1727-1050》,《暦日0》,廿二／,つちのとのとり,とる,,　,神よし 大みやう ふく日
《1727-1060》,《暦日2》,廿三／,かのえいぬ,やふる,金,　,大みやう
《1727-1070》,《暦日0》,廿四／,かのとのい,あやふ,,　,●
《1727-1080》,《暦日2》,廿五／,みつのえね,なる,木,八せんのはしめ,神よし きこ
《1727-1090》,《暦日0》,廿六／,みつのとのうし,おさん,,ま日,十し
《1727-1100》,《暦日2》,廿七／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1727-1110》,《暦日0》,廿八／,きのとのう,とつ,,とようとりの七刻ニ入,神よし  ものたちよし
《1727-1120》,《暦日1》,廿九／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1727-1130》,《月序》,三月,大,建,甲辰,翼宿　危　月よう
《1727-1140》,《暦日1》,一／,ひのとのみ,のそく,土,　,ちう日  いちたちよし
《1727-1150》,《暦日2》,二／,つちのえむま,みつ,火,三月中いぬの三刻/ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《1727-1160》,《暦日0》,三／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1727-1170》,《暦日2》,四／,かのえさる,さたん,木,　,さい下しき 大みやう くゑ日
《1727-1180》,《暦日0》,五／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1727-1190》,《暦日2》,六／,みつのえいぬ,やふる,水,ま日
