《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0720》,《暦日0》,十八／,みつのとのうし,ひらく,,ま日, つめとりよし
《0730》,《暦日2》,十九／,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
《0740》,《暦日0》,廿／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《0750》,《暦日1》,廿一／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《0760》,《節中》,清明三月せつ夜ねの三刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《0770》,《暦日1》,廿二／,ひのとのみ,のそく,土,　,ちう日  いちたちよし
《0780》,《暦日2》,廿三／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《0790》,《暦日0》,廿四／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《0800》,《暦日2》,廿五／,かのえさる,さたん,木,　,大みやう くゑ日
《0810》,《暦日0》,廿六／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《0820》,《暦日2》,廿七／,みつのえいぬ,やふる,水,ま日
《0830》,《暦日0》,廿八／,みつのとのい,あやふ,,八せんのおはり,●
《0840》,《暦日2》,廿九／,きのえね,なる,金,　,きしく くゑ日 きこ
《0850》,《暦日0》,卅／,きのとのうし,おさん,,　,十し
《0860》,《月序》,三月,小,建,壬辰,翼宿　星　日よう
《0870》,《暦日2》,一／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《0880》,《暦日0》,二／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《0890》,《暦日2》,三／,つちのえたつ,たつ,木,とよう翌とらの四刻ニ入,五む日 くゑ日 ふく日
《0900》,《暦日0》,四／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《0910》,《暦日2》,五／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《0920》,《暦日0》,六／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《0930》,《節中》,穀雨三月中翌うの初刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《0940》,《暦日2》,七／,みつのえさる,さたん,金,　,大みやう くゑ日
《0950》,《暦日0》,八／,みつのとのとり,とる,,　,神よし 大みやう
《0960》,《暦日2》,九／,きのえいぬ,やふる,火,　, くさかりよし
《0970》,《暦日0》,十／,きのとのい,あやふ,,　,●
《0980》,《暦日2》,十一／,ひのえね,なる,水,　,きこ わうまう
《0990》,《暦日0》,十二／,ひのとのうし,おさん,,　,十し
《1000》,《暦日2》,十三／,つちのえとら,ひらく,土,　,天しや よろつよし
《1010》,《暦日0》,十四／,つちのとのう,とつ,,　,神よし 大みやう ふく日
《1020》,《暦日2》,十五／,かのえたつ,たつ,金,　,くゑ日
《1030》,《暦日0》,十六／,かのとのみ,のそく,,　,ちう日
《1040》,《暦日2》,十七／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1050》,《暦日0》,十八／,みつのとのひつし,たいら,,八十八や,めつもん 地火
《1060》,《暦日2》,十九／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1070》,《暦日0》,廿／,きのとのとり,とる,,　,神よし  くさかりよし
《1080》,《暦日2》,廿一／,ひのえいぬ,やふる,土,　,さい下しき 五む日
《1090》,《暦日0》,廿二／,ひのとのい,やふる,,　,大みやう ちう日
《1100》,《節中》,立夏四月せつみの五刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1110》,《暦日2》,廿三／,つちのえね,あやふ,火,　, けんふくよし
《1120》,《暦日0》,廿四／,つちのとのうし,なる,,　,きこ  つめとりよし
《1130》,《暦日2》,廿五／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1140》,《暦日0》,廿六／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1150》,《暦日2》,廿七／,みつのえたつ,とつ,水,　,きしく 大みやう 五む日 ふく日
《1160》,《暦日0》,廿八／,みつのとのみ,たつ,,天一天上,●
《1170》,《暦日1》,廿九／,きのえむま,のそく,金,　,天しや よろつよし
《1180》,《月序》,四月,小,建,癸巳,軫宿　張　月よう
《1190》,《暦日1》,一／,きのとのひつし,みつ,金,　,大みやう 五む日 くゑ日
《1200》,《暦日2》,二／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1210》,《暦日0》,三／,ひのとのとり,さたん,,　,十し
《1220》,《暦日2》,四／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1230》,《暦日0》,五／,つちのとのい,やふる,,　,くゑ日 ちう日
《1240》,《暦日2》,六／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1250》,《暦日0》,七／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1260》,《暦日1》,八／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1270》,《節中》,小満四月中さるの二刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1280》,《暦日1》,九／,みつのとのう,ひらく,金,　,神よし  かといて さひらきよし
《1290》,《暦日2》,十／,きのえたつ,とつ,火,　,大みやう
《1300》,《暦日0》,十一／,きのとのみ,たつ,,　,●
《1310》,《暦日2》,十二／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1320》,《暦日0》,十三／,ひのとのひつし,みつ,,　,くゑ日
《1330》,《暦日2》,十四／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1340》,《暦日0》,十五／,つちのとのとり,さたん,,　,十し
《1350》,《暦日2》,十六／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1360》,《暦日0》,十七／,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
《1370》,《暦日2》,十八／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1380》,《暦日0》,十九／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1390》,《暦日2》,廿／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1400》,《暦日0》,廿一／,きのとのう,ひらく,,　,神よし  さひらきよし
《1410》,《暦日2》,廿二／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1420》,《暦日0》,廿三／,ひのとのみ,とつ,,　,十し
《1430》,《節中》,芒種五月せついぬの七刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1440》,《暦日2》,廿四／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1450》,《暦日0》,廿五／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1460》,《暦日2》,廿六／,かのえさる,みつ,木,　,神よし きしく 大みやう  入学 むきかりよし
《1470》,《暦日0》,廿七／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1480》,《暦日2》,廿八／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1490》,《暦日0》,廿九／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1500》,《月序》,五月,大,建,甲午,角宿　翼　火よう
《1510》,《暦日2》,一／,きのえね,やふる,金,　,●
《1520》,《暦日0》,二／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1530》,《暦日2》,三／,ひのえとら,なる,火,　,きこ  つめとりよし
《1540》,《暦日0》,四／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1550》,《暦日2》,五／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1560》,《暦日0》,六／,つちのとのみ,とつ,,　,十し
《1570》,《暦日2》,七／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1580》,《暦日0》,八／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1590》,《暦日1》,九／,みつのえさる,みつ,金,　,大みやう わうまう  くさかりよし
《1600》,《節中》,夏至五月中翌うしの四刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1610》,《暦日1》,十／,みつのとのとり,たいら,金,　,神よし 大みやう ふく日 めつもん 地火
《1620》,《暦日2》,十一／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1630》,《暦日0》,十二／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1640》,《暦日2》,十三／,ひのえね,やふる,水,　,●
《1650》,《暦日0》,十四／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1660》,《暦日2》,十五／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1670》,《暦日0》,十六／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1680》,《暦日2》,十七／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1690》,《暦日0》,十八／,かのとのみ,とつ,,　,十し
《1700》,《暦日2》,十九／,みつのえむま,たつ,木,　,大みやう 下しきうの時
《1710》,《暦日0》,廿／,みつのとのひつし,のそく,,はんけしやう,ふく日  田うへよし
《1720》,《暦日2》,廿一／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1730》,《暦日0》,廿二／,きのとのとり,たいら,,　,神よし めつもん 地火
《1740》,《暦日2》,廿三／,ひのえいぬ,さたん,土,　,さい下しき 五む日  むきかりよし
《1750》,《暦日0》,廿四／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1760》,《暦日1》,廿五／,つちのえね,とる,火,　,きしく きこ ふく日 下しきたつの時
《1770》,《節中》,小暑六月せつたつの一刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1780》,《暦日1》,廿六／,つちのとのうし,やふる,火,　,十し
《1790》,《暦日2》,廿七／,かのえとら,あやふ,木,　, やたて  つめとりよし
《1800》,《暦日0》,廿八／,かのとのう,なる,,　,神よし 天火 らうしやく
《1810》,《暦日2》,廿九／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1820》,《暦日0》,卅／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1830》,《月序》,六月,小,建,乙未,亢宿　角　木よう
《1840》,《暦日2》,一／,きのえむま,とつ,金,　,●
《1850》,《暦日0》,二／,きのとのひつし,たつ,,　,大みやう 五む日
《1860》,《暦日2》,三／,ひのえさる,のそく,火,　,神よし
《1870》,《暦日0》,四／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1880》,《暦日2》,五／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1890》,《暦日0》,六／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《1900》,《暦日2》,七／,かのえね,とる,土,初伏/とようむまの一刻ニ入,きこ 下しきたつの時
《1910》,《暦日0》,八／,かのとのうし,やふる,,　,十し
《1920》,《暦日2》,九／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1930》,《暦日0》,十／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1940》,《節中》,大暑六月中むまの六刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1950》,《暦日2》,十一／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1960》,《暦日0》,十二／,きのとのみ,ひらく,,　,大みやう ちう日
《1970》,《暦日2》,十三／,ひのえむま,とつ,水,　,●
