《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《3030》,《暦日0》,廿一／,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
《3040》,《暦日2》,廿二／,きのえさる,ひらく,水,十方くれニ入,大みやう
《3050》,《暦日0》,廿三／,きのとのとり,とつ,,　,わうまう  田かりよし
《3060》,《暦日2》,廿四／,ひのえいぬ,たつ,土,　,さい下しき 五む日  竹木こりよし
《3070》,《暦日0》,廿五／,ひのとのい,のそく,,　,大みやう ちう日
《3080》,《暦日2》,廿六／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《3090》,《暦日0》,廿七／,つちのとのうし,たいら,,　,十し
《3100》,《節中》,立冬十月せつ翌うしの初刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《3110》,《暦日2》,廿八／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3120》,《暦日0》,廿九／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3130》,《月序》,十月,大,建,己亥,尾宿　箕　水よう
《3140》,《暦日2》,一／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3150》,《暦日0》,二／,みつのとのみ,やふる,,天一天上,ちう日
《3160》,《暦日2》,三／,きのえむま,あやふ,金,　,神よし  かまぬり むきまきよし
《3170》,《暦日0》,四／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3180》,《暦日2》,五／,ひのえさる,おさん,火,　,●
《3190》,《暦日0》,六／,ひのとのとり,ひらく,,　,十し
《3200》,《暦日2》,七／,つちのえいぬ,とつ,木,　,くゑ日
《3210》,《暦日0》,八／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 わうまう 下しきさるの時
《3220》,《暦日2》,九／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3230》,《暦日0》,十／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3240》,《暦日2》,十一／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3250》,《暦日0》,十二／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3260》,《暦日2》,十三／,きのえたつ,とる,火,　,大みやう  やたて かとたてよし
《3270》,《暦日0》,十四／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3280》,《節中》,小雪十月中翌うの五刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3290》,《暦日2》,十五／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3300》,《暦日0》,十六／,ひのとのひつし,なる,,　, 木こりよし
《3310》,《暦日2》,十七／,つちのえさる,おさん,土,　,●
《3320》,《暦日0》,十八／,つちのとのとり,ひらく,,　,十し
《3330》,《暦日2》,十九／,かのえいぬ,とつ,金,　,大みやう  たねまきよし
《3340》,《暦日0》,廿／,かのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3350》,《暦日2》,廿一／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3360》,《暦日0》,廿二／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3370》,《暦日2》,廿三／,きのえとら,たいら,水,　,大くわ 地火  ふねのり  つめとりよし
《3380》,《暦日0》,廿四／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3390》,《暦日2》,廿五／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3400》,《暦日0》,廿六／,ひのとのみ,やふる,,　,くゑ日 ちう日
《3410》,《暦日2》,廿七／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《3420》,《暦日0》,廿八／,つちのとのひつし,なる,,　,大みやう  かまぬり いちたちよし
《3430》,《暦日1》,廿九／,かのえさる,なる,木,　,大みやう  入学 みそさけつくりよし
《3440》,《節中》,大雪十一月せつむまの二刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3450》,《暦日1》,卅／,かのとのとり,おさん,木,　,神よし 大みやう 大くわ  井ほりよし
《3460》,《月序》,十一月,大,建,庚子,箕宿　牛　金よう
《3470》,《暦日2》,一／,みつのえいぬ,ひらく,水,ま日
《3480》,《暦日0》,二／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3490》,《暦日2》,三／,きのえね,たつ,金,　,天しや よろつよし
《3500》,《暦日0》,四／,きのとのうし,のそく,,　,神よし  やたて  つめとりよし
《3510》,《暦日2》,五／,ひのえとら,みつ,火,　,きこ  つめとりよし
《3520》,《暦日0》,六／,ひのとのう,たいら,,　,●
《3530》,《暦日2》,七／,つちのえたつ,さたん,木,　,五む日
《3540》,《暦日0》,八／,つちのとのみ,とる,,　,十し
《3550》,《暦日2》,九／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3560》,《暦日0》,十／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《3570》,《暦日2》,十一／,みつのえさる,なる,金,　,大みやう  いちたちよし
《3580》,《暦日0》,十二／,みつのとのとり,おさん,,　,神よし 大みやう 大くわ ふく日
《3590》,《暦日2》,十三／,きのえいぬ,ひらく,火,　
《3600》,《暦日0》,十四／,きのとのい,とつ,,　,ちう日
《3610》,《節中》,冬至十一月中さるの八刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《3620》,《暦日2》,十五／,ひのえね,たつ,水,　,きしく  木こりよし
《3630》,《暦日0》,十六／,ひのとのうし,のそく,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《3640》,《暦日2》,十七／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3650》,《暦日0》,十八／,つちのとのう,たいら,,　,●
《3660》,《暦日2》,十九／,かのえたつ,さたん,金,　, たねまきよし
《3670》,《暦日0》,廿／,かのとのみ,とる,,　,十し
《3680》,《暦日2》,廿一／,みつのえむま,やふる,木,　,大みやう ちいみ 天火 らうしやく
《3690》,《暦日0》,廿二／,みつのとのひつし,あやふ,,　,ふく日
《3700》,《暦日2》,廿三／,きのえさる,なる,水,十方くれニ入,大みやう
《3710》,《暦日0》,廿四／,きのとのとり,おさん,,　,神よし 大くわ  ものたちよし
《3720》,《暦日2》,廿五／,ひのえいぬ,ひらく,土,　,さい下しき 五む日
《3730》,《暦日0》,廿六／,ひのとのい,とつ,,　,大みやう ちう日 ふく日
《3740》,《暦日2》,廿七／,つちのえね,たつ,火,　,くゑ日
《3750》,《暦日0》,廿八／,つちのとのうし,のそく,,　, つめとりよし
《3760》,《暦日1》,廿九／,かのえとら,のそく,木,　, 井ほり  つめとりよし
《3770》,《節中》,小寒十二月せついの四刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3780》,《暦日1》,卅／,かのとのう,みつ,木,　,神よし  よめとりよし
《3790》,《月序》,十二月,小,建,辛丑,斗宿　虛　日よう
《3800》,《暦日2》,一／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《3810》,《暦日0》,二／,みつのとのみ,さたん,,天一天上,ちう日
《3820》,《暦日2》,三／,きのえむま,とる,金,　,神よし  けんふく ふねのりよし
《3830》,《暦日0》,四／,きのとのひつし,やふる,,　,大みやう 五む日
《3840》,《暦日2》,五／,ひのえさる,あやふ,火,　,神よし  木こりよし
《3850》,《暦日0》,六／,ひのとのとり,なる,,　,●
《3860》,《暦日2》,七／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《3870》,《暦日0》,八／,つちのとのい,ひらく,,　,ちう日 ふく日
《3880》,《暦日2》,九／,かのえね,とつ,土,　,神よし きこ ちいみ
《3890》,《暦日0》,十／,かのとのうし,たつ,,　,十し
《3900》,《暦日2》,十一／,みつのえとら,のそく,金,とよう翌うしの五刻ニ入,大みやう  けんふく  つめとりよし
《3910》,《暦日0》,十二／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《3920》,《暦日2》,十三／,きのえたつ,たいら,火,　,きしく 大みやう 大くわ 地火
《3930》,《暦日0》,十四／,きのとのみ,さたん,,　,大みやう ちう日  いちたちよし
《3940》,《節中》,大寒十二月中翌とらの一刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3950》,《暦日2》,十五／,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
《3960》,《暦日0》,十六／,ひのとのひつし,やふる,,　,くゑ日
《3970》,《暦日2》,十七／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《3980》,《暦日0》,十八／,つちのとのとり,なる,,　,●
《3990》,《暦日2》,十九／,かのえいぬ,おさん,金,　,大みやう めつもん  たねまきよし
《4000》,《暦日0》,廿／,かのとのい,ひらく,,　,大みやう ちう日  正月ことはしめよし
《4010》,《暦日2》,廿一／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《4020》,《暦日0》,廿二／,みつのとのうし,たつ,,ま日,十し
《4030》,《暦日2》,廿三／,きのえとら,のそく,水,　, 木こり  つめとりよし
《4040》,《暦日0》,廿四／,きのとのう,みつ,,　,神よし  ものたち 正月ことはしめよし
《4050》,《暦日2》,廿五／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《4060》,《暦日0》,廿六／,ひのとのみ,さたん,,　,ちう日
《4070》,《暦日2》,廿七／,つちのえむま,とる,火,ま日,神よし ふく日  ふねのりよし
《4080》,《暦日0》,廿八／,つちのとのひつし,やふる,,　,大みやう ふく日 わうまう  かといてよし
《4090》,《暦日1》,廿九／,かのえさる,あやふ,木,せつふん,神よし 大みやう  みそさけつくりよし
《4100》,《暦末》,元文五年出,立表測景定節氣者
