《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0690》,《暦日2》,十四／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《0700》,《暦日0》,十五／,みつのとのとり,やふる,,　,大みやう  やたてよし
《0710》,《暦日2》,十六／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《0720》,《暦日0》,十七／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《0730》,《暦日2》,十八／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《0740》,《暦日0》,十九／,ひのとのうし,おさん,,　,十し
《0750》,《節中》,清明三月せつみの五刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《0760》,《暦日2》,廿／,つちのえとら,ひらく,土,　,天しや よろつよし
《0770》,《暦日0》,廿一／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《0780》,《暦日2》,廿二／,かのえたつ,たつ,金,　,くゑ日
《0790》,《暦日0》,廿三／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《0800》,《暦日2》,廿四／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《0810》,《暦日0》,廿五／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《0820》,《暦日2》,廿六／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《0830》,《暦日0》,廿七／,きのとのとり,とる,,　,神よし  くさかりよし
《0840》,《暦日2》,廿八／,ひのえいぬ,やふる,土,　,さい下しき 五む日
《0850》,《暦日0》,廿九／,ひのとのい,あやふ,,　,●
《0860》,《月序》,三月,大,建,庚辰,翼宿　畢　月よう
《0870》,《暦日2》,一／,つちのえね,なる,火,　,母倉 きこ ふく日
《0880》,《暦日0》,二／,つちのとのうし,おさん,,とようひつしの五刻ニ入,十し
《0890》,《暦日2》,三／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《0900》,《暦日0》,四／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《0910》,《暦日1》,五／,みつのえたつ,たつ,水,　,きしく 大みやう 月とく 五む日
《0920》,《節中》,穀雨三月中さるの二刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《0930》,《暦日1》,六／,みつのとのみ,のそく,水,天一天上,母倉 ちう日  けんふくよし
《0940》,《暦日2》,七／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《0950》,《暦日0》,八／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《0960》,《暦日2》,九／,ひのえさる,さたん,火,　,くゑ日
《0970》,《暦日0》,十／,ひのとのとり,とる,,　,月とく わうまう  いちたちよし
《0980》,《暦日2》,十一／,つちのえいぬ,やふる,木,　,ふく日
《0990》,《暦日0》,十二／,つちのとのい,あやふ,,　,●
《1000》,《暦日2》,十三／,かのえね,なる,土,　,神よし きこ
《1010》,《暦日0》,十四／,かのとのうし,おさん,,　,十し
《1020》,《暦日2》,十五／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1030》,《暦日0》,十六／,みつのとのう,とつ,,八十八や,神よし  けんふく かといてよし
《1040》,《暦日2》,十七／,きのえたつ,たつ,火,　,大みやう くゑ日
《1050》,《暦日0》,十八／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1060》,《暦日2》,十九／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1070》,《暦日0》,廿／,ひのとのひつし,みつ,,　,くゑ日
《1080》,《節中》,立夏四月せついぬの七刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1090》,《暦日2》,廿一／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1100》,《暦日0》,廿二／,つちのとのとり,さたん,,　,十し
《1110》,《暦日2》,廿三／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1120》,《暦日0》,廿四／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1130》,《暦日2》,廿五／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1140》,《暦日0》,廿六／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1150》,《暦日2》,廿七／,きのえとら,おさん,水,　,母倉 めつもん わうまう  つめとりよし
《1160》,《暦日0》,廿八／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1170》,《暦日2》,廿九／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1180》,《暦日0》,卅／,ひのとのみ,たつ,,　,●
《1190》,《月序》,四月,小,建,辛巳,軫宿　參　水よう
《1200》,《暦日2》,一／,つちのえむま,のそく,火,ま日,くゑ日
《1210》,《暦日0》,二／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1220》,《暦日2》,三／,かのえさる,たいら,木,　,神よし きしく 大みやう 月とく ちいみ 大くわ 地火
《1230》,《暦日0》,四／,かのとのとり,さたん,,　,十し
《1240》,《暦日2》,五／,みつのえいぬ,とる,水,ま日,ふく日
《1250》,《暦日0》,六／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1260》,《節中》,小満四月中今暁うしの四刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1270》,《暦日2》,七／,きのえね,あやふ,金,　,天おん
《1280》,《暦日0》,八／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1290》,《暦日2》,九／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1300》,《暦日0》,十／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1310》,《暦日2》,十一／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1320》,《暦日0》,十二／,つちのとのみ,たつ,,　,●
《1330》,《暦日2》,十三／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1340》,《暦日0》,十四／,かのとのひつし,みつ,,　,大みやう くゑ日
《1350》,《暦日2》,十五／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1360》,《暦日0》,十六／,みつのとのとり,さたん,,　,十し
《1370》,《暦日2》,十七／,きのえいぬ,とる,火,　, やたて くらたてよし
《1380》,《暦日0》,十八／,きのとのい,やふる,,　,月とく ちう日
《1390》,《暦日2》,十九／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1400》,《暦日0》,廿／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1410》,《暦日1》,廿一／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1420》,《節中》,芒種五月せつたつの初刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1430》,《暦日1》,廿二／,つちのとのう,おさん,土,　,大みやう 天おん 母倉 ちいみ 大くわ
《1440》,《暦日2》,廿三／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1450》,《暦日0》,廿四／,かのとのみ,とつ,,　,十し
《1460》,《暦日2》,廿五／,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
《1470》,《暦日0》,廿六／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1480》,《暦日2》,廿七／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1490》,《暦日0》,廿八／,きのとのとり,たいら,,　,神よし めつもん 地火
《1500》,《暦日1》,廿九／,ひのえいぬ,さたん,土,　,さい下しき 月とく 五む日  むきかりよし
《1510》,《月序》,五月,大,建,壬午,角宿　井　木よう
《1520》,《暦日1》,一／,ひのとのい,とる,土,　,大みやう ちう日 ふく日
《1530》,《暦日2》,二／,つちのえね,やふる,火,　,●
《1540》,《暦日0》,三／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1550》,《暦日2》,四／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1560》,《暦日0》,五／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1570》,《暦日2》,六／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1580》,《暦日0》,七／,みつのとのみ,とつ,,天一天上,十し
《1590》,《節中》,夏至五月中むまの六刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1600》,《暦日2》,八／,きのえむま,たつ,金,　,天しや よろつよし
《1610》,《暦日0》,九／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1620》,《暦日2》,十／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1630》,《暦日0》,十一／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1640》,《暦日2》,十二／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1650》,《暦日0》,十三／,つちのとのい,とる,,　,神よし ちう日
《1660》,《暦日2》,十四／,かのえね,やふる,土,　,●
《1670》,《暦日0》,十五／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1680》,《暦日2》,十六／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1690》,《暦日0》,十七／,みつのとのう,おさん,,はんけしやう,母倉 ちいみ 大くわ ふく日
《1700》,《暦日2》,十八／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1710》,《暦日0》,十九／,きのとのみ,とつ,,　,十し
《1720》,《暦日2》,廿／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1730》,《暦日0》,廿一／,ひのとのひつし,のそく,,　,神よし ふく日
《1740》,《暦日1》,廿二／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1750》,《節中》,小暑六月せつとりの二刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1760》,《暦日1》,廿三／,つちのとのとり,みつ,土,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1770》,《暦日2》,廿四／,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
《1780》,《暦日0》,廿五／,かのとのい,さたん,,　,大みやう 天おん ちう日
《1790》,《暦日2》,廿六／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《1800》,《暦日0》,廿七／,みつのとのうし,やふる,,ま日,十し
《1810》,《暦日2》,廿八／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1820》,《暦日0》,廿九／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1830》,《暦日1》,卅／,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
《1840》,《月序》,六月,小,建,癸未,亢宿　柳　土よう
《1850》,《暦日1》,一／,ひのとのみ,ひらく,土,　,くゑ日 ちう日
《1860》,《暦日2》,二／,つちのえむま,とつ,火,ま日,●
《1870》,《暦日0》,三／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1880》,《暦日2》,四／,かのえさる,のそく,木,初伏/とよういの三刻ニ入,神よし 大みやう  くさかりよし
《1890》,《暦日0》,五／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1900》,《暦日2》,六／,みつのえいぬ,たいら,水,ま日,大くわ 地火
