《1826-0000》,# カンマ区切りテキスト形式です。
《1826-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1826-0020》,# ・表の区画内での改行は“/”で表記します。
《1826-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1826-0420》,《暦日2》,廿／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《1826-0430》,《暦日0》,廿一／,みつのとのう,のそく,,　,神よし  あさまきよし
《1826-0440》,《暦日2》,廿二／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《1826-0450》,《暦日0》,廿三／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《1826-0460》,《暦日2》,廿四／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《1826-0470》,《暦日0》,廿五／,ひのとのひつし,とる,,　,神よし  かといてよし
《1826-0480》,《暦日2》,廿六／,つちのえさる,やふる,土,　,神よし  たねまきよし
《1826-0490》,《暦日0》,廿七／,つちのとのとり,あやふ,,　,十し
《1826-0500》,《暦日2》,廿八／,かのえいぬ,なる,金,　,●
《1826-0510》,《暦日0》,廿九／,かのとのい,おさん,,　,さい下しき 神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《1826-0520》,《暦日1》,卅／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《1826-0530》,《節中》,啓蟄二月せつうの二刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《1826-0540》,《月序》,二月,小,建,辛卯,女宿　斗　木よう
《1826-0550》,《暦日1》,一／,みつのとのうし,ひらく,木,ま日,天おん  つめとりよし
《1826-0560》,《暦日2》,二／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《1826-0570》,《暦日0》,三／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1826-0580》,《暦日2》,四／,ひのえたつ,のそく,土,ま日,●
