«1755-0000»,【 カンマ区切りテキスト形式です。】
«1755-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1755-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1755-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1755-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1755-0050»,【 外部リンク　】
«1755-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/48 ～ 53】
«1755-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1755h　(翻刻編集終了データを表成型して表示します)】
«1755-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1755ht (翻刻編集中データを表成型して表示します)】
«1755-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1755-0100»,«版元»,出版地○○,出版元□□□,　
«1755-0590»,«暦日0»,三〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1755-0600»,«暦日2»,四〳,つちのえさる,とる,土,　,神よし  たねまきよし
«1755-0610»,«暦日0»,五〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく
«1755-0620»,«暦日2»,六〳,かのえいぬ,あやふ,金,ひかんニなる,大みやう 天おん  けんふくよし
«1755-0630»,«暦日0»,七〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1755-0640»,«暦日2»,八〳,みつのえね,おさん,木,八せんのはしめ,天おん 母倉 めつもん わうまう  あさまきよし
«1755-0650»,«暦日0»,九〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1755-0660»,«暦日2»,十〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1755-0670»,«暦日0»,十一〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1755-0680»,«節中»,春分二月中今暁うしの五刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1755-0690»,«暦日2»,十二〳,ひのえたつ,のそく,土,ま日,●
«1755-0700»,«暦日0»,十三〳,ひのとのみ,みつ,,　,十し
«1755-0710»,«暦日2»,十四〳,つちのえむま,たいら,火,ま日|社日,神よし 大くわ 地火
«1755-0720»,«暦日0»,十五〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1755-0730»,«暦日2»,十六〳,かのえさる,とる,木,　,神よし きしく 大みやう
«1755-0740»,«暦日0»,十七〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1755-0750»,«暦日2»,十八〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1755-0760»,«暦日0»,十九〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1755-0770»,«暦日2»,廿〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
«1755-0780»,«暦日0»,廿一〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1755-0790»,«暦日2»,廿二〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1755-0800»,«暦日0»,廿三〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1755-0810»,«暦日2»,廿四〳,つちのえたつ,のそく,木,　,●
«1755-0820»,«暦日0»,廿五〳,つちのとのみ,みつ,,　,十し
«1755-0830»,«暦日1»,廿六〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1755-0840»,«節中»,清明三月せつたつの一刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1755-0850»,«暦日1»,廿七〳,かのとのひつし,たいら,土,　,大みやう めつもん 地火
«1755-0860»,«暦日2»,廿八〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1755-0870»,«暦日0»,廿九〳,みつのとのとり,とる,,　,神よし 大みやう
«1755-0880»,«暦日1»,卅〳,きのえいぬ,やふる,火,　, くさかりよし
«1755-0890»,«月序»,三月,小,建,庚辰,翼宿　女　土よう
«1755-0900»,«暦日1»,一〳,きのとのい,あやふ,火,　,●
«1755-0910»,«暦日2»,二〳,ひのえね,なる,水,　,きこ
«1755-0920»,«暦日0»,三〳,ひのとのうし,おさん,,　,十し
«1755-0930»,«暦日2»,四〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1755-0940»,«暦日0»,五〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1755-0950»,«暦日2»,六〳,かのえたつ,たつ,金,　,くゑ日
«1755-0960»,«暦日0»,七〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1755-0970»,«暦日2»,八〳,みつのえむま,みつ,木,とようむまの二刻ニ入,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1755-0980»,«暦日0»,九〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1755-0990»,«暦日2»,十〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1755-1000»,«暦日0»,十一〳,きのとのとり,とる,,　,神よし  くさかりよし
«1755-1010»,«節中»,穀雨三月中むまの七刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1755-1020»,«暦日2»,十二〳,ひのえいぬ,やふる,土,　,五む日
«1755-1030»,«暦日0»,十三〳,ひのとのい,あやふ,,　,●
«1755-1040»,«暦日2»,十四〳,つちのえね,なる,火,　,きしく 母倉 きこ ふく日
«1755-1050»,«暦日0»,十五〳,つちのとのうし,おさん,,　,十し
«1755-1060»,«暦日2»,十六〳,かのえとら,ひらく,木,　,ちいみ わうまう  いちたち  つめとりよし
«1755-1070»,«暦日0»,十七〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1755-1080»,«暦日2»,十八〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1755-1090»,«暦日0»,十九〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1755-1100»,«暦日2»,廿〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
«1755-1110»,«暦日0»,廿一〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1755-1120»,«暦日2»,廿二〳,ひのえさる,さたん,火,八十八や,くゑ日
«1755-1130»,«暦日0»,廿三〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1755-1140»,«暦日2»,廿四〳,つちのえいぬ,やふる,木,　,ふく日
«1755-1150»,«暦日0»,廿五〳,つちのとのい,あやふ,,　,●
«1755-1160»,«暦日1»,廿六〳,かのえね,あやふ,土,　,さい下しき 神よし 月とく  わたまし たねまきよし
«1755-1170»,«節中»,立夏四月せつとりの三刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1755-1180»,«暦日1»,廿七〳,かのとのうし,なる,土,　,五む日 きこ  つめとりよし
«1755-1190»,«暦日2»,廿八〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1755-1200»,«暦日0»,廿九〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1755-1210»,«月序»,四月,大,建,辛巳,軫宿　虛　日よう
«1755-1220»,«暦日2»,一〳,きのえたつ,とつ,火,　,大みやう
«1755-1230»,«暦日0»,二〳,きのとのみ,たつ,,　,●
«1755-1240»,«暦日2»,三〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1755-1250»,«暦日0»,四〳,ひのとのひつし,みつ,,　,くゑ日 わうまう
«1755-1260»,«暦日2»,五〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1755-1270»,«暦日0»,六〳,つちのとのとり,さたん,,　,十し
«1755-1280»,«暦日2»,七〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1755-1290»,«暦日0»,八〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1755-1300»,«暦日2»,九〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1755-1310»,«暦日0»,十〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1755-1320»,«暦日2»,十一〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1755-1330»,«暦日0»,十二〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
