《1763-0000》,# カンマ区切りテキスト形式です。
《1763-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1763-0650》,《暦日2》,十／,つちのえいぬ,あやふ,木,社日, かといてよし
《1763-0660》,《暦日0》,十一／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《1763-0670》,《暦日2》,十二／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《1763-0680》,《暦日0》,十三／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1763-0690》,《暦日2》,十四／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1763-0700》,《暦日0》,十五／,みつのとのう,たつ,,　,天火 らうしやく
《1763-0710》,《暦日2》,十六／,きのえたつ,のそく,火,　,●
《1763-0720》,《暦日0》,十七／,きのとのみ,みつ,,　,十し
《1763-0730》,《暦日2》,十八／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1763-0740》,《暦日0》,十九／,ひのとのひつし,さたん,,　,神よし ちいみ
《1763-0750》,《暦日2》,廿／,つちのえさる,とる,土,　,神よし  たねまきよし
《1763-0760》,《暦日0》,廿一／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《1763-0770》,《暦日2》,廿二／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《1763-0780》,《暦日0》,廿三／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《1763-0790》,《暦日1》,廿四／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1763-0800》,《節中》,清明三月せつうの三刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1763-0810》,《暦日1》,廿五／,みつのとのうし,おさん,木,ま日,十し
《1763-0820》,《暦日2》,廿六／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1763-0830》,《暦日0》,廿七／,きのとのう,とつ,,　,神よし  ものたちよし
《1763-0840》,《暦日2》,廿八／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1763-0850》,《暦日0》,廿九／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《1763-0860》,《月序》,三月,大,建,丙辰,虛宿　參　水よう
《1763-0870》,《暦日2》,一／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1763-0880》,《暦日0》,二／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1763-0890》,《暦日2》,三／,かのえさる,さたん,木,　,さい下しき きしく 大みやう くゑ日
《1763-0900》,《暦日0》,四／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1763-0910》,《暦日2》,五／,みつのえいぬ,やふる,水,ま日,月とく
《1763-0920》,《暦日0》,六／,みつのとのい,あやふ,,八せんのおはり,●
《1763-0930》,《暦日2》,七／,きのえね,なる,金,とようみの四刻ニ入,くゑ日 きこ
《1763-0940》,《暦日0》,八／,きのとのうし,おさん,,　,十し
《1763-0950》,《暦日2》,九／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1763-0960》,《暦日0》,十／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1763-0970》,《節中》,穀雨三月中みの八刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1763-0980》,《暦日2》,十一／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1763-0990》,《暦日0》,十二／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1763-1000》,《暦日2》,十三／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1763-1010》,《暦日0》,十四／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1763-1020》,《暦日2》,十五／,みつのえさる,さたん,金,　,大みやう くゑ日 わうまう
《1763-1030》,《暦日0》,十六／,みつのとのとり,とる,,　,神よし 大みやう
《1763-1040》,《暦日2》,十七／,きのえいぬ,やふる,火,　, くさかりよし
《1763-1050》,《暦日0》,十八／,きのとのい,あやふ,,　,●
《1763-1060》,《暦日2》,十九／,ひのえね,なる,水,　,きこ
《1763-1070》,《暦日0》,廿／,ひのとのうし,おさん,,　,十し
《1763-1080》,《暦日2》,廿一／,つちのえとら,ひらく,土,八十八や,天しや よろつよし
《1763-1090》,《暦日0》,廿二／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1763-1100》,《暦日2》,廿三／,かのえたつ,たつ,金,　,くゑ日
《1763-1110》,《暦日0》,廿四／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1763-1120》,《暦日1》,廿五／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1763-1130》,《節中》,立夏四月せつさるの五刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1763-1140》,《暦日1》,廿六／,みつのとのひつし,みつ,木,　,くゑ日
《1763-1150》,《暦日2》,廿七／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
