«1789-0000»,【 カンマ区切りテキスト形式です。】
«1789-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1789-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1789-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1789-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1789-0050»,【 外部リンク　】
«1789-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/211 ～ 216】
«1789-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1789h　(翻刻編集終了データを表成型して表示します)】
«1789-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1789ht (翻刻編集中データを表成型して表示します)】
«1789-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1789-0100»,«版元»,出版地○○,出版元□□□,　
«1789-0470»,«暦日2»,廿五〳,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
«1789-0480»,«暦日0»,廿六〳,みつのとのひつし,とる,,　,天おん  たねまきよし
«1789-0490»,«節中»,雨水正月中今暁ねの五刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1789-0500»,«暦日2»,廿七〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1789-0510»,«暦日0»,廿八〳,きのとのとり,あやふ,,　,十し
«1789-0520»,«暦日2»,廿九〳,ひのえいぬ,なる,土,　,●
«1789-0530»,«暦日0»,卅〳,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
«1789-0540»,«月序»,二月,大,建,丁卯,壁宿　箕　水よう
«1789-0550»,«暦日2»,一〳,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
«1789-0560»,«暦日0»,二〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1789-0570»,«暦日2»,三〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1789-0580»,«暦日0»,四〳,かのとのう,のそく,,　,くゑ日
«1789-0590»,«暦日2»,五〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1789-0600»,«暦日0»,六〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1789-0610»,«暦日2»,七〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
