«1794-0000»,【 カンマ区切りテキスト形式です。】
«1794-0640»,«暦日2»,八〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1794-0650»,«暦日0»,九〳,ひのとのう,たつ,,　,さい下しき 天おん 天火 らうしやく
«1794-0660»,«暦日2»,十〳,つちのえたつ,のそく,木,　,●
«1794-0670»,«暦日0»,十一〳,つちのとのみ,みつ,,　,十し
«1794-0680»,«暦日2»,十二〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1794-0690»,«暦日0»,十三〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1794-0700»,«暦日2»,十四〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1794-0710»,«暦日0»,十五〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1794-0720»,«暦日2»,十六〳,きのえいぬ,あやふ,火,ひかんニなる,月とく  かといてよし
«1794-0730»,«暦日0»,十七〳,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
«1794-0740»,«暦日2»,十八〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1794-0750»,«暦日0»,十九〳,ひのとのうし,ひらく,,　,大みやう わうまう  ものたち  つめとりよし
«1794-0760»,«暦日2»,廿〳,つちのえとら,とつ,土,社日,天しや よろつよし
«1794-0770»,«暦日0»,廿一〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1794-0780»,«節中»,春分二月中さるの三刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1794-0790»,«暦日2»,廿二〳,かのえたつ,のそく,金,　,●
«1794-0800»,«暦日0»,廿三〳,かのとのみ,みつ,,　,十し
«1794-0810»,«暦日2»,廿四〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1794-0820»,«暦日0»,廿五〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1794-0830»,«暦日2»,廿六〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1794-0840»,«暦日0»,廿七〳,きのとのとり,やふる,,　,ふく日
«1794-0850»,«暦日2»,廿八〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1794-0860»,«暦日0»,廿九〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1794-0870»,«月序»,三月,大,建,戊辰,畢宿　畢　月よう
«1794-0880»,«暦日2»,一〳,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
«1794-0890»,«暦日0»,二〳,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
«1794-0900»,«暦日2»,三〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1794-0910»,«暦日0»,四〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1794-0920»,«暦日2»,五〳,みつのえたつ,のそく,水,　,●
«1794-0930»,«暦日0»,六〳,みつのとのみ,みつ,,天一天上,十し
«1794-0940»,«暦日1»,七〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
