«1747-0000»,【 カンマ区切りテキスト形式です。】
«1747-0410»,«暦日2»,十九〳,かのえいぬ,なる,金,　,●
«1747-0420»,«暦日0»,廿〳,かのとのい,おさん,,　,神よし 大みやう 大くわ ちう日
«1747-0430»,«暦日2»,廿一〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天火 らうしやく
«1747-0440»,«暦日0»,廿二〳,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
«1747-0450»,«暦日2»,廿三〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1747-0460»,«暦日0»,廿四〳,きのとのう,のそく,,　,神よし  ものたちよし
«1747-0470»,«暦日2»,廿五〳,ひのえたつ,みつ,土,ま日,大みやう
«1747-0480»,«暦日0»,廿六〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1747-0490»,«節中»,啓蟄二月せつ翌ねの四刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1747-0500»,«暦日2»,廿七〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1747-0510»,«暦日0»,廿八〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1747-0520»,«暦日1»,廿九〳,かのえさる,とる,木,　,神よし きしく 大みやう
«1747-0530»,«月序»,二月,大,建,癸卯,壁宿　柳　土よう
«1747-0540»,«暦日1»,一〳,かのとのとり,やふる,木,　,大みやう くゑ日 ふく日
«1747-0550»,«暦日2»,二〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1747-0560»,«暦日0»,三〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1747-0570»,«暦日2»,四〳,きのえね,おさん,金,　,めつもん
«1747-0580»,«暦日0»,五〳,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
«1747-0590»,«暦日2»,六〳,ひのえとら,とつ,火,　,きこ  つめとりよし
«1747-0600»,«暦日0»,七〳,ひのとのう,たつ,,　,天火 らうしやく 金性の人うけニ入
«1747-0610»,«暦日2»,八〳,つちのえたつ,のそく,木,社日,●
«1747-0620»,«暦日0»,九〳,つちのとのみ,みつ,,　,十し
«1747-0630»,«暦日2»,十〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1747-0640»,«暦日0»,十一〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日 わうまう  くらたて 井ほりよし
«1747-0650»,«暦日1»,十二〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1747-0660»,«節中»,春分二月中翌うの一刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1747-0670»,«暦日1»,十三〳,みつのとのとり,やふる,金,　,大みやう  やたてよし
«1747-0680»,«暦日2»,十四〳,きのえいぬ,あやふ,火,　, かといてよし
«1747-0690»,«暦日0»,十五〳,きのとのい,なる,,ひかんニなる,ちう日 ふく日  みそすつくりよし
«1747-0700»,«暦日2»,十六〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1747-0710»,«暦日0»,十七〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1747-0720»,«暦日2»,十八〳,つちのえとら,とつ,土,　,天しや よろつよし
«1747-0730»,«暦日0»,十九〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1747-0740»,«暦日2»,廿〳,かのえたつ,のそく,金,　,●
«1747-0750»,«暦日0»,廿一〳,かのとのみ,みつ,,　,十し
«1747-0760»,«暦日2»,廿二〳,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
«1747-0770»,«暦日0»,廿三〳,みつのとのひつし,さたん,,　,ちいみ
«1747-0780»,«暦日2»,廿四〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
«1747-0790»,«暦日0»,廿五〳,きのとのとり,やふる,,　,ふく日
«1747-0800»,«暦日2»,廿六〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1747-0810»,«暦日0»,廿七〳,ひのとのい,なる,,　,大みやう ちう日
«1747-0820»,«暦日1»,廿八〳,つちのえね,なる,火,　,きしく きこ ふく日
«1747-0830»,«節中»,清明三月せつみの六刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1747-0840»,«暦日1»,廿九〳,つちのとのうし,おさん,火,　,十し
«1747-0850»,«暦日1»,卅〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1747-0860»,«月序»,三月,小,建,甲辰,奎宿　張　月よう
«1747-0870»,«暦日1»,一〳,かのとのう,とつ,木,　,神よし  わたまし ものたちよし
«1747-0880»,«暦日2»,二〳,みつのえたつ,たつ,水,　,さい下しき 大みやう 五む日
«1747-0890»,«暦日0»,三〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1747-0900»,«暦日2»,四〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
«1747-0910»,«暦日0»,五〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1747-0920»,«暦日2»,六〳,ひのえさる,さたん,火,　,くゑ日
«1747-0930»,«暦日0»,七〳,ひのとのとり,とる,,　,神よし  いちたちよし
«1747-0940»,«暦日2»,八〳,つちのえいぬ,やふる,木,　,ふく日
«1747-0950»,«暦日0»,九〳,つちのとのい,あやふ,,　,●
«1747-0960»,«暦日2»,十〳,かのえね,なる,土,とようひつしの七刻ニ入,神よし きこ
«1747-0970»,«暦日0»,十一〳,かのとのうし,おさん,,　,十し
«1747-0980»,«暦日2»,十二〳,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
«1747-0990»,«暦日0»,十三〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1747-1000»,«節中»,穀雨三月中さるの三刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1747-1010»,«暦日2»,十四〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1747-1020»,«暦日0»,十五〳,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
«1747-1030»,«暦日2»,十六〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
«1747-1040»,«暦日0»,十七〳,ひのとのひつし,たいら,,　,神よし めつもん 地火
«1747-1050»,«暦日2»,十八〳,つちのえさる,さたん,土,　,くゑ日 ふく日 わうまう
«1747-1060»,«暦日0»,十九〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1747-1070»,«暦日2»,廿〳,かのえいぬ,やふる,金,　,大みやう
«1747-1080»,«暦日0»,廿一〳,かのとのい,あやふ,,　,●
«1747-1090»,«暦日2»,廿二〳,みつのえね,なる,木,八せんのはしめ,神よし きこ
«1747-1100»,«暦日0»,廿三〳,みつのとのうし,おさん,,ま日,十し
«1747-1110»,«暦日2»,廿四〳,きのえとら,ひらく,水,八十八や,ちいみ  やたて  つめとりよし
«1747-1120»,«暦日0»,廿五〳,きのとのう,とつ,,　,神よし  ものたちよし
«1747-1130»,«暦日2»,廿六〳,ひのえたつ,たつ,土,ま日,きしく 大みやう  わたましよし
«1747-1140»,«暦日0»,廿七〳,ひのとのみ,のそく,,　,ちう日  いちたちよし
«1747-1150»,«暦日1»,廿八〳,つちのえむま,のそく,火,ま日,くゑ日
«1747-1160»,«節中»,立夏四月せついの初刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1747-1170»,«暦日1»,廿九〳,つちのとのひつし,みつ,火,　,大みやう くゑ日
«1747-1180»,«月序»,四月,大,建,乙巳,婁宿　翼　火よう
«1747-1190»,«暦日2»,一〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1747-1200»,«暦日0»,二〳,かのとのとり,さたん,,　,十し
«1747-1210»,«暦日2»,三〳,みつのえいぬ,とる,水,ま日,ふく日
«1747-1220»,«暦日0»,四〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1747-1230»,«暦日2»,五〳,きのえね,あやふ,金,　
«1747-1240»,«暦日0»,六〳,きのとのうし,なる,,　,きこ わうまう  かまぬり  つめとりよし
«1747-1250»,«暦日2»,七〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1747-1260»,«暦日0»,八〳,ひのとのう,ひらく,,　,神よし  わたましよし
«1747-1270»,«暦日2»,九〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1747-1280»,«暦日0»,十〳,つちのとのみ,たつ,,　,●
«1747-1290»,«暦日2»,十一〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1747-1300»,«暦日0»,十二〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1747-1310»,«暦日2»,十三〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1747-1320»,«暦日0»,十四〳,みつのとのとり,さたん,,　,十し
«1747-1330»,«節中»,小満四月中翌うしの五刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1747-1340»,«暦日2»,十五〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1747-1350»,«暦日0»,十六〳,きのとのい,やふる,,　,ちう日
«1747-1360»,«暦日2»,十七〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1747-1370»,«暦日0»,十八〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1747-1380»,«暦日2»,十九〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1747-1390»,«暦日0»,廿〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1747-1400»,«暦日2»,廿一〳,かのえたつ,とつ,金,　, けんふくよし
«1747-1410»,«暦日0»,廿二〳,かのとのみ,たつ,,　,●
«1747-1420»,«暦日2»,廿三〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1747-1430»,«暦日0»,廿四〳,みつのとのひつし,みつ,,　,くゑ日
«1747-1440»,«暦日2»,廿五〳,きのえさる,たいら,水,十方くれニ入,神よし きしく 大みやう ちいみ 大くわ 地火
«1747-1450»,«暦日0»,廿六〳,きのとのとり,さたん,,　,十し
«1747-1460»,«暦日2»,廿七〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1747-1470»,«暦日0»,廿八〳,ひのとのい,やふる,,　,大みやう ちう日
«1747-1480»,«暦日2»,廿九〳,つちのえね,あやふ,火,　, けんふくよし
«1747-1490»,«暦日0»,卅〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1747-1500»,«節中»,芒種五月せつたつの二刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1747-1510»,«月序»,五月,大,建,丙午,胃宿　角　木よう
«1747-1520»,«暦日2»,一〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1747-1530»,«暦日0»,二〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1747-1540»,«暦日2»,三〳,みつのえたつ,ひらく,水,入梅,さい下しき 大みやう 五む日
«1747-1550»,«暦日0»,四〳,みつのとのみ,とつ,,天一天上,十し
«1747-1560»,«暦日2»,五〳,きのえむま,たつ,金,　,天しや よろつよし
«1747-1570»,«暦日0»,六〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1747-1580»,«暦日2»,七〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1747-1590»,«暦日0»,八〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1747-1600»,«暦日2»,九〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1747-1610»,«暦日0»,十〳,つちのとのい,とる,,　,神よし ちう日
«1747-1620»,«暦日2»,十一〳,かのえね,やふる,土,　,●
«1747-1630»,«暦日0»,十二〳,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
«1747-1640»,«暦日2»,十三〳,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
«1747-1650»,«暦日0»,十四〳,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
«1747-1660»,«暦日1»,十五〳,きのえたつ,ひらく,火,　,大みやう わうまう  むきかり 田うへよし
«1747-1670»,«節中»,夏至五月中むまの七刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1747-1680»,«暦日1»,十六〳,きのとのみ,とつ,火,　,十し
«1747-1690»,«暦日2»,十七〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1747-1700»,«暦日0»,十八〳,ひのとのひつし,のそく,,　,神よし ふく日
«1747-1710»,«暦日2»,十九〳,つちのえさる,みつ,土,　,神よし  入学よし
«1747-1720»,«暦日0»,廿〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1747-1730»,«暦日2»,廿一〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1747-1740»,«暦日0»,廿二〳,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
«1747-1750»,«暦日2»,廿三〳,みつのえね,やふる,木,八せんのはしめ,●
«1747-1760»,«暦日0»,廿四〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1747-1770»,«暦日2»,廿五〳,きのえとら,なる,水,はんけしやう,きこ  田うへ  つめとりよし
«1747-1780»,«暦日0»,廿六〳,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1747-1790»,«暦日2»,廿七〳,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
