《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0730》,《暦日2》,廿一／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《0740》,《暦日0》,廿二／,ひのとのひつし,さたん,,　,神よし ちいみ
《0750》,《暦日2》,廿三／,つちのえさる,とる,土,　,神よし  たねまきよし
《0760》,《暦日0》,廿四／,つちのとのとり,やふる,,　,大みやう
《0770》,《暦日2》,廿五／,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
《0780》,《暦日0》,廿六／,かのとのい,あやふ,,三月せつとらの六刻ニ入,●
《0790》,《暦日2》,廿七／,みつのえね,なる,木,八せんのはしめ,神よし きこ
《0800》,《暦日0》,廿八／,みつのとのうし,おさん,,ま日,十し
《0810》,《暦日2》,廿九／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《0820》,《暦日0》,卅／,きのとのう,とつ,,　,神よし  ものたちよし
《0830》,《月序》,三月,小,建,甲辰,畢宿　畢　月よう
《0840》,《暦日2》,一／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《0850》,《暦日0》,二／,ひのとのみ,のそく,,　,ちう日  いちたちよし
《0860》,《暦日2》,三／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《0870》,《暦日0》,四／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《0880》,《暦日2》,五／,かのえさる,さたん,木,　,きしく 大みやう くゑ日
《0890》,《暦日0》,六／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《0900》,《暦日2》,七／,みつのえいぬ,やふる,水,ま日
《0910》,《暦日0》,八／,みつのとのい,あやふ,,八せんのおはり/とようたつの七刻ニ入,●
《0920》,《暦日2》,九／,きのえね,なる,金,　,くゑ日 きこ
《0930》,《暦日0》,十／,きのとのうし,おさん,,　,十し
《0940》,《暦日2》,十一／,ひのえとら,ひらく,火,三月中みの三刻,くゑ日 ちいみ
《0950》,《暦日0》,十二／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《0960》,《暦日2》,十三／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《0970》,《暦日0》,十四／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《0980》,《暦日2》,十五／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《0990》,《暦日0》,十六／,かのとのひつし,たいら,,　,大みやう めつもん 地火 わうまう
《1000》,《暦日2》,十七／,みつのえさる,さたん,金,　,大みやう くゑ日
