《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《3150》,《暦日0》,十九／,つちのとのい,たつ,,十月中むまの一刻,くゑ日 ちいみ ちう日 下しきさるの時
《3160》,《暦日2》,廿／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3170》,《暦日0》,廿一／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3180》,《暦日2》,廿二／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3190》,《暦日0》,廿三／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3200》,《暦日2》,廿四／,きのえたつ,とる,火,　,きしく 大みやう  やたて かとたてよし
《3210》,《暦日0》,廿五／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3220》,《暦日2》,廿六／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3230》,《暦日0》,廿七／,ひのとのひつし,なる,,　, 木こりよし
《3240》,《暦日2》,廿八／,つちのえさる,おさん,土,　,●
《3250》,《暦日0》,廿九／,つちのとのとり,ひらく,,　,十し
《3260》,《暦日1》,卅／,かのえいぬ,とつ,金,　,大みやう  たねまきよし
《3270》,《月序》,十一月,大,建,壬子,翼宿　亢　金よう
《3280》,《暦日1》,一／,かのとのい,たつ,金,　,大みやう ちいみ ちう日 下しきさるの時
《3290》,《暦日2》,二／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3300》,《暦日0》,三／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3310》,《暦日2》,四／,きのえとら,みつ,水,十一月せつさるの六刻ニ入,きこ  つめとりよし
《3320》,《暦日0》,五／,きのとのう,たいら,,　,●
《3330》,《暦日2》,六／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《3340》,《暦日0》,七／,ひのとのみ,とる,,　,十し
《3350》,《暦日2》,八／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3360》,《暦日0》,九／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3370》,《暦日2》,十／,かのえさる,なる,木,　,大みやう  入学 みそさけつくりよし
《3380》,《暦日0》,十一／,かのとのとり,おさん,,　,神よし 大みやう 大くわ  井ほりよし
《3390》,《暦日2》,十二／,みつのえいぬ,ひらく,水,ま日
《3400》,《暦日0》,十三／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3410》,《暦日2》,十四／,きのえね,たつ,金,　,天しや よろつよし
《3420》,《暦日0》,十五／,きのとのうし,のそく,,　,神よし  やたて  つめとりよし
《3430》,《暦日2》,十六／,ひのえとら,みつ,火,　,きこ  つめとりよし
《3440》,《暦日0》,十七／,ひのとのう,たいら,,　,●
《3450》,《暦日2》,十八／,つちのえたつ,さたん,木,　,五む日
《3460》,《暦日0》,十九／,つちのとのみ,とる,,冬至十一月中いの三刻,十し
《3470》,《暦日2》,廿／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3480》,《暦日0》,廿一／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《3490》,《暦日2》,廿二／,みつのえさる,なる,金,　,きしく 大みやう  いちたちよし
《3500》,《暦日0》,廿三／,みつのとのとり,おさん,,　,大みやう 大くわ ふく日 わうまう
《3510》,《暦日2》,廿四／,きのえいぬ,ひらく,火,　
《3520》,《暦日0》,廿五／,きのとのい,とつ,,　,ちう日
《3530》,《暦日2》,廿六／,ひのえね,たつ,水,　, 木こりよし
《3540》,《暦日0》,廿七／,ひのとのうし,のそく,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《3550》,《暦日2》,廿八／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3560》,《暦日0》,廿九／,つちのとのう,たいら,,　,●
《3570》,《暦日1》,卅／,かのえたつ,さたん,金,　, たねまきよし
《3580》,《月序》,十二月,小,建,癸丑,軫宿　房　日よう
《3590》,《暦日1》,一／,かのとのみ,とる,金,　,十し
《3600》,《暦日2》,二／,みつのえむま,やふる,木,　,大みやう ちいみ 天火 らうしやく
《3610》,《暦日0》,三／,みつのとのひつし,あやふ,,　,ふく日
《3620》,《暦日2》,四／,きのえさる,なる,水,十方くれニ入,大みやう
《3630》,《暦日0》,五／,きのとのとり,なる,,小かん十二月せつうしの八刻ニ入,●
《3640》,《暦日2》,六／,ひのえいぬ,おさん,土,　,さい下しき 五む日 めつもん
《3650》,《暦日0》,七／,ひのとのい,ひらく,,　,大みやう ちう日
《3660》,《暦日2》,八／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《3670》,《暦日0》,九／,つちのとのうし,たつ,,　,十し
《3680》,《暦日2》,十／,かのえとら,のそく,木,　, 井ほり  つめとりよし
《3690》,《暦日0》,十一／,かのとのう,みつ,,　,神よし  よめとりよし
《3700》,《暦日2》,十二／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《3710》,《暦日0》,十三／,みつのとのみ,さたん,,天一天上,ちう日
《3720》,《暦日2》,十四／,きのえむま,とる,金,　,神よし  けんふく ふねのりよし
《3730》,《暦日0》,十五／,きのとのひつし,やふる,,　,大みやう 五む日
《3740》,《暦日2》,十六／,ひのえさる,あやふ,火,　,神よし  木こりよし
《3750》,《暦日0》,十七／,ひのとのとり,なる,,とようたつの初刻ニ入,●
《3760》,《暦日2》,十八／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《3770》,《暦日0》,十九／,つちのとのい,ひらく,,　,ちう日 ふく日
《3780》,《暦日2》,廿／,かのえね,とつ,土,大かん十二月中たつの五刻,神よし きしく きこ ちいみ
《3790》,《暦日0》,廿一／,かのとのうし,たつ,,　,十し
《3800》,《暦日2》,廿二／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《3810》,《暦日0》,廿三／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《3820》,《暦日2》,廿四／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《3830》,《暦日0》,廿五／,きのとのみ,さたん,,　,大みやう ちう日  いちたちよし
《3840》,《暦日2》,廿六／,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
《3850》,《暦日0》,廿七／,ひのとのひつし,やふる,,　,くゑ日
《3860》,《暦日2》,廿八／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《3870》,《暦日0》,廿九／,つちのとのとり,なる,,　,●
《3880》,《暦末》,享保元年出,立表測景定節氣者
