《1731-0000》,# カンマ区切りテキスト形式です。
《1731-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1731-0020》,# ・表の区画内での改行は“/”で表記します。
《1731-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1731-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1731-0050》,# 外部リンク
《1731-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/133 ～ 138
《1731-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1731g　(GitHub上データを表成型)
《1731-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1731h　(翻刻編集データを表成型 - 未実装)
《1731-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1731-0100》,《版元》,出版地○○,出版元□□□,　
《1731-2560》,《暦日2》,八／,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
《1731-2570》,《暦日0》,九／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1731-2580》,《暦日2》,十／,かのえね,たいら,土,　,さい下しき 神よし 大くわ 地火
《1731-2590》,《暦日0》,十一／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《1731-2600》,《暦日2》,十二／,みつのえとら,とる,金,二百廿日,大みやう きこ  やたて  つめとりよし
《1731-2610》,《暦日0》,十三／,みつのとのう,やふる,,　, くらたて 田かりよし
《1731-2620》,《暦日2》,十四／,きのえたつ,あやふ,火,　,きしく 大みやう  けんふく わたましよし
《1731-2630》,《暦日0》,十五／,きのとのみ,なる,,　,十し
《1731-2640》,《暦日2》,十六／,ひのえむま,おさん,水,　,大みやう めつもん
《1731-2650》,《暦日0》,十七／,ひのとのひつし,ひらく,,　,●
《1731-2660》,《暦日2》,十八／,つちのえさる,とつ,土,社日,天しや よろつよし
《1731-2670》,《暦日0》,十九／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1731-2680》,《暦日2》,廿／,かのえいぬ,のそく,金,　,大みやう ちいみ
《1731-2690》,《暦日0》,廿一／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《1731-2700》,《節中》,秋分八月中夜ねの二刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1731-2710》,《暦日2》,廿二／,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
《1731-2720》,《暦日0》,廿三／,みつのとのうし,さたん,,ま日/ひかんニなる,神よし  たねまき 竹木こり  つめとりよし
《1731-2730》,《暦日2》,廿四／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1731-2740》,《暦日0》,廿五／,きのとのう,やふる,,　,くゑ日 ふく日
《1731-2750》,《暦日2》,廿六／,ひのえたつ,あやふ,土,ま日,大みやう
《1731-2760》,《暦日0》,廿七／,ひのとのみ,なる,,　,十し
《1731-2770》,《暦日2》,廿八／,つちのえむま,おさん,火,ま日,めつもん
《1731-2780》,《暦日0》,廿九／,つちのとのひつし,ひらく,,　,●
《1731-2790》,《暦日1》,卅／,かのえさる,とつ,木,　,神よし 大みやう  入学よし
《1731-2800》,《月序》,九月,大,建,戊戌,星宿　危　月よう
《1731-2810》,《暦日1》,一／,かのとのとり,たつ,木,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1731-2820》,《暦日2》,二／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《1731-2830》,《暦日0》,三／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1731-2840》,《暦日2》,四／,きのえね,たいら,金,　,大くわ 地火  わたましよし
《1731-2850》,《暦日0》,五／,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
《1731-2860》,《暦日2》,六／,ひのえとら,とる,火,　,きこ  つめとりよし
《1731-2870》,《暦日0》,七／,ひのとのう,とる,,　,神よし  田かりよし
《1731-2880》,《節中》,寒露九月せつとらの七刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1731-2890》,《暦日2》,八／,つちのえたつ,やふる,木,　,五む日 ふく日
《1731-2900》,《暦日0》,九／,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
《1731-2910》,《暦日2》,十／,かのえむま,なる,土,　,神よし  みそすつくりよし
《1731-2920》,《暦日0》,十一／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《1731-2930》,《暦日2》,十二／,みつのえさる,ひらく,金,　,きしく 大みやう  むきまきよし
《1731-2940》,《暦日0》,十三／,みつのとのとり,とつ,,　,神よし 大みやう
《1731-2950》,《暦日2》,十四／,きのえいぬ,たつ,火,　,くゑ日
《1731-2960》,《暦日0》,十五／,きのとのい,のそく,,　,ちう日  田かりよし
《1731-2970》,《暦日2》,十六／,ひのえね,みつ,水,　,きこ 天火 らうしやく
《1731-2980》,《暦日0》,十七／,ひのとのうし,たいら,,　,十し
《1731-2990》,《暦日2》,十八／,つちのえとら,さたん,土,　,●
《1731-3000》,《暦日0》,十九／,つちのとのう,とる,,とようたつの八刻ニ入,神よし 大みやう ふく日  竹木こりよし
《1731-3010》,《暦日2》,廿／,かのえたつ,やふる,金,　
《1731-3020》,《暦日0》,廿一／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《1731-3030》,《暦日1》,廿二／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
《1731-3040》,《節中》,霜降九月中みの四刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1731-3050》,《暦日1》,廿三／,みつのとのひつし,おさん,木,　,大くわ  むきまき 田かりよし
《1731-3060》,《暦日2》,廿四／,きのえさる,ひらく,水,十方くれニ入,大みやう
《1731-3070》,《暦日0》,廿五／,きのとのとり,とつ,,　,神よし  田かりよし
《1731-3080》,《暦日2》,廿六／,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
《1731-3090》,《暦日0》,廿七／,ひのとのい,のそく,,　,大みやう ちう日
《1731-3100》,《暦日2》,廿八／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《1731-3110》,《暦日0》,廿九／,つちのとのうし,たいら,,　,十し
《1731-3120》,《暦日1》,卅／,かのえとら,さたん,木,　,●
《1731-3130》,《月序》,十月,小,建,己亥,張宿　壁　水よう
《1731-3140》,《暦日1》,一／,かのとのう,とる,木,　,くゑ日
《1731-3150》,《暦日2》,二／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《1731-3160》,《暦日0》,三／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 わうまう 下しきひつしの時
《1731-3170》,《暦日2》,四／,きのえむま,なる,金,　,くゑ日
《1731-3180》,《暦日0》,五／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《1731-3190》,《暦日2》,六／,ひのえさる,ひらく,火,　,くゑ日
《1731-3200》,《暦日0》,七／,ひのとのとり,ひらく,,　,十し
《1731-3210》,《節中》,立冬十月せつさるの初刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1731-3220》,《暦日2》,八／,つちのえいぬ,とつ,木,　,くゑ日
《1731-3230》,《暦日0》,九／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《1731-3240》,《暦日2》,十／,かのえね,のそく,土,　,さい下しき 神よし きしく  くらたて 井ほりよし
《1731-3250》,《暦日0》,十一／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《1731-3260》,《暦日2》,十二／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《1731-3270》,《暦日0》,十三／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《1731-3280》,《暦日2》,十四／,きのえたつ,とる,火,　,大みやう  やたて かとたてよし
《1731-3290》,《暦日0》,十五／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《1731-3300》,《暦日2》,十六／,ひのえむま,あやふ,水,　,大みやう ふく日 わうまう
《1731-3310》,《暦日0》,十七／,ひのとのひつし,なる,,　, 木こりよし
《1731-3320》,《暦日2》,十八／,つちのえさる,おさん,土,　,●
《1731-3330》,《暦日0》,十九／,つちのとのとり,ひらく,,　,十し
《1731-3340》,《暦日2》,廿／,かのえいぬ,とつ,金,　,大みやう  たねまきよし
《1731-3350》,《暦日0》,廿一／,かのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1731-3360》,《暦日1》,廿二／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《1731-3370》,《節中》,小雪十月中いぬの六刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1731-3380》,《暦日1》,廿三／,みつのとのうし,みつ,木,ま日,くゑ日 きこ
《1731-3390》,《暦日2》,廿四／,きのえとら,たいら,水,　,大くわ 地火  ふねのり  つめとりよし
《1731-3400》,《暦日0》,廿五／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《1731-3410》,《暦日2》,廿六／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《1731-3420》,《暦日0》,廿七／,ひのとのみ,やふる,,　,くゑ日 ちう日
《1731-3430》,《暦日2》,廿八／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《1731-3440》,《暦日0》,廿九／,つちのとのひつし,なる,,　,大みやう  かまぬり いちたちよし
《1731-3450》,《月序》,十一月,大,建,庚子,翼宿　奎　木よう
《1731-3460》,《暦日2》,一／,かのえさる,おさん,木,　,●
《1731-3470》,《暦日0》,二／,かのとのとり,ひらく,,　,十し
《1731-3480》,《暦日2》,三／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《1731-3490》,《暦日0》,四／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《1731-3500》,《暦日2》,五／,きのえね,のそく,金,　,天しや よろつよし
《1731-3510》,《暦日0》,六／,きのとのうし,みつ,,　,くゑ日 きこ
《1731-3520》,《暦日2》,七／,ひのえとら,たいら,火,　,大くわ ふく日 地火  つめとりよし
《1731-3530》,《暦日0》,八／,ひのとのう,さたん,,　,神よし 天火 らうしやく
《1731-3540》,《暦日1》,九／,つちのえたつ,さたん,木,　,きしく 五む日
《1731-3550》,《節中》,大雪十一月せつうしの二刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1731-3560》,《暦日1》,十／,つちのとのみ,とる,木,　,十し
《1731-3570》,《暦日2》,十一／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《1731-3580》,《暦日0》,十二／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《1731-3590》,《暦日2》,十三／,みつのえさる,なる,金,　,大みやう  いちたちよし
《1731-3600》,《暦日0》,十四／,みつのとのとり,おさん,,　,神よし 大みやう 大くわ ふく日
《1731-3610》,《暦日1》,十五／,きのえいぬ,ひらく,火,　
《1731-3620》,《食記》,月そく五分
《1731-3630》,《暦日1》,十六／,きのとのい,とつ,火,　,ちう日
《1731-3640》,《暦日2》,十七／,ひのえね,たつ,水,　, 木こりよし
《1731-3650》,《暦日0》,十八／,ひのとのうし,のそく,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1731-3660》,《暦日2》,十九／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《1731-3670》,《暦日0》,廿／,つちのとのう,たいら,,　,●
《1731-3680》,《暦日2》,廿一／,かのえたつ,さたん,金,　, たねまきよし
《1731-3690》,《暦日0》,廿二／,かのとのみ,とる,,　,十し
《1731-3700》,《暦日2》,廿三／,みつのえむま,やふる,木,　,大みやう ちいみ 天火 らうしやく
《1731-3710》,《暦日0》,廿四／,みつのとのひつし,あやふ,,　,ふく日
《1731-3720》,《節中》,冬至十一月中うの八刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《1731-3730》,《暦日2》,廿五／,きのえさる,なる,水,十方くれニ入,大みやう
《1731-3740》,《暦日0》,廿六／,きのとのとり,おさん,,　,神よし 大くわ  ものたちよし
《1731-3750》,《暦日2》,廿七／,ひのえいぬ,ひらく,土,　,五む日
《1731-3760》,《暦日0》,廿八／,ひのとのい,とつ,,　,大みやう ちう日 ふく日 わうまう
《1731-3770》,《暦日2》,廿九／,つちのえね,たつ,火,　,くゑ日
《1731-3780》,《暦日0》,卅／,つちのとのうし,のそく,,　, つめとりよし
《1731-3790》,《月序》,十二月,小,建,辛丑,軫宿　胃　土よう
《1731-3800》,《暦日1》,一／,かのえとら,みつ,木,　,きこ  つめとりよし
《1731-3810》,《食記》,日そく九分餘
《1731-3820》,《暦日1》,二／,かのとのう,たいら,木,　,●
《1731-3830》,《暦日2》,三／,みつのえたつ,さたん,水,　,大みやう 五む日  木こりよし
《1731-3840》,《暦日0》,四／,みつのとのみ,とる,,天一天上,十し
《1731-3850》,《暦日2》,五／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《1731-3860》,《暦日0》,六／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《1731-3870》,《暦日2》,七／,ひのえさる,なる,火,　,きしく
《1731-3880》,《暦日0》,八／,ひのとのとり,おさん,,　,神よし 大くわ ふく日
《1731-3890》,《暦日1》,九／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《1731-3900》,《節中》,小寒十二月せつむまの四刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1731-3910》,《暦日1》,十／,つちのとのい,ひらく,木,　,ちう日 ふく日
《1731-3920》,《暦日2》,十一／,かのえね,とつ,土,　,さい下しき 神よし きこ ちいみ
《1731-3930》,《暦日0》,十二／,かのとのうし,たつ,,　,十し
《1731-3940》,《暦日2》,十三／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《1731-3950》,《暦日0》,十四／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《1731-3960》,《暦日2》,十五／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《1731-3970》,《暦日0》,十六／,きのとのみ,さたん,,　,大みやう ちう日  いちたちよし
《1731-3980》,《暦日2》,十七／,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
《1731-3990》,《暦日0》,十八／,ひのとのひつし,やふる,,　,くゑ日
《1731-4000》,《暦日2》,十九／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《1731-4010》,《暦日0》,廿／,つちのとのとり,なる,,　,●
《1731-4020》,《暦日2》,廿一／,かのえいぬ,おさん,金,とようさるの五刻ニ入,大みやう めつもん  たねまきよし
《1731-4030》,《暦日0》,廿二／,かのとのい,ひらく,,　,大みやう ちう日  正月ことはしめよし
《1731-4040》,《暦日2》,廿三／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《1731-4050》,《暦日0》,廿四／,みつのとのうし,たつ,,ま日,十し
《1731-4060》,《節中》,大寒十二月中とりの一刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1731-4070》,《暦日2》,廿五／,きのえとら,のそく,水,　, 木こり  つめとりよし
《1731-4080》,《暦日0》,廿六／,きのとのう,みつ,,　,神よし  ものたち 正月ことはしめよし
《1731-4090》,《暦日2》,廿七／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《1731-4100》,《暦日0》,廿八／,ひのとのみ,さたん,,　,ちう日
《1731-4110》,《暦日1》,廿九／,つちのえむま,とる,火,ま日,神よし ふく日  ふねのりよし
《1731-4120》,《暦末》,享保十五年出,立表測景定節氣者
