《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0700》,《暦日2》,十六／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《0710》,《暦日0》,十七／,みつのとのひつし,さたん,,　,天おん ちいみ
《0720》,《暦日2》,十八／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《0730》,《暦日0》,十九／,きのとのとり,やふる,,　,ふく日
《0740》,《暦日2》,廿／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《0750》,《暦日0》,廿一／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《0760》,《暦日2》,廿二／,つちのえね,おさん,火,社日/ひかんニなる,きしく 母倉 めつもん  けんふく たねかしよし
《0770》,《暦日0》,廿三／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《0780》,《暦日2》,廿四／,かのえとら,とつ,木,　,きこ わうまう  つめとりよし
《0790》,《暦日0》,廿五／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《0800》,《暦日2》,廿六／,みつのえたつ,のそく,水,　,●
《0810》,《暦日0》,廿七／,みつのとのみ,みつ,,天一天上,十し
《0820》,《節中》,春分二月中今暁うしの四刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《0830》,《暦日2》,廿八／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《0840》,《暦日0》,廿九／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0850》,《暦日1》,卅／,ひのえさる,とる,火,　,神よし
《0860》,《月序》,三月,大,建,丙辰,畢宿　房　日よう
《0870》,《暦日1》,一／,ひのとのとり,やふる,火,　, あさまき たねかしよし
《0880》,《暦日2》,二／,つちのえいぬ,あやふ,木,　, かといてよし
《0890》,《暦日0》,三／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
