《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2960》,《暦日2》,十五／,つちのえさる,とつ,土,　,天しや よろつよし
《2970》,《暦日0》,十六／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2980》,《暦日1》,十七／,かのえいぬ,たつ,金,　,大みやう くゑ日
《2990》,《節中》,寒露九月せついの五刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《3000》,《暦日1》,十八／,かのとのい,のそく,金,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《3010》,《暦日2》,十九／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《3020》,《暦日0》,廿／,みつのとのうし,たいら,,ま日,十し
《3030》,《暦日2》,廿一／,きのえとら,さたん,水,　,●
《3040》,《暦日0》,廿二／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《3050》,《暦日2》,廿三／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく  かとたてよし
《3060》,《暦日0》,廿四／,ひのとのみ,あやふ,,　,さい下しき 母倉 ちいみ ちう日 下しきひつしの時
《3070》,《暦日2》,廿五／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《3080》,《暦日0》,廿六／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《3090》,《暦日2》,廿七／,かのえさる,ひらく,木,　,大みやう
《3100》,《暦日0》,廿八／,かのとのとり,とつ,,　,神よし 大みやう 月とく  いちたちよし
《3110》,《暦日2》,廿九／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《3120》,《暦日0》,卅／,みつのとのい,のそく,,八せんのおはり/とよう今暁うしの六刻ニ入,ちう日  むきまきよし
《3130》,《月序》,九月,小,建,壬戌,星宿　奎　木よう
《3140》,《暦日2》,一／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
《3150》,《暦日0》,二／,きのとのうし,たいら,,　,十し
《3160》,《暦日1》,三／,ひのえとら,さたん,火,　,●
《3170》,《節中》,霜降九月中今暁とらの二刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《3180》,《暦日1》,四／,ひのとのう,とる,火,　,神よし 天おん  田かりよし
《3190》,《暦日2》,五／,つちのえたつ,やふる,木,　,天おん 五む日 ふく日
《3200》,《暦日0》,六／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《3210》,《暦日2》,七／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《3220》,《暦日0》,八／,かのとのひつし,おさん,,　,大みやう 月とく 大くわ  たねまき 田かりよし
《3230》,《暦日2》,九／,みつのえさる,ひらく,金,　,きしく 大みやう  むきまきよし
《3240》,《暦日0》,十／,みつのとのとり,とつ,,　,神よし 大みやう
《3250》,《暦日2》,十一／,きのえいぬ,たつ,火,　,くゑ日
《3260》,《暦日0》,十二／,きのとのい,のそく,,　,ちう日  田かりよし
《3270》,《暦日2》,十三／,ひのえね,みつ,水,　,月とく きこ 天火 らうしやく わうまう
《3280》,《暦日0》,十四／,ひのとのうし,たいら,,　,十し
《3290》,《暦日1》,十五／,つちのえとら,さたん,土,　,●
《3300》,《食記》,月帯蝕皆既
《3310》,《暦日1》,十六／,つちのとのう,とる,土,　,神よし 大みやう 天おん ふく日  竹木こりよし
《3320》,《暦日2》,十七／,かのえたつ,やふる,金,　,天おん
《3330》,《暦日0》,十八／,かのとのみ,やふる,,　,天おん ちう日
《3340》,《節中》,立冬十月せつたつの七刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3350》,《暦日2》,十九／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《3360》,《暦日0》,廿／,みつのとのひつし,なる,,　,天おん
《3370》,《暦日2》,廿一／,きのえさる,おさん,水,十方くれニ入,●
《3380》,《暦日0》,廿二／,きのとのとり,ひらく,,　,十し
《3390》,《暦日2》,廿三／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3400》,《暦日0》,廿四／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3410》,《暦日2》,廿五／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《3420》,《暦日0》,廿六／,つちのとのうし,みつ,,　,くゑ日 きこ
《3430》,《暦日2》,廿七／,かのえとら,たいら,木,　,大くわ 地火 わうまう  かといて  つめとりよし
《3440》,《暦日0》,廿八／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3450》,《暦日1》,廿九／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3460》,《月序》,十月,小,建,癸亥,張宿　婁　金よう
《3470》,《暦日1》,一／,みつのとのみ,やふる,水,天一天上,ちう日
《3480》,《食記》,日蝕ニ分半
《3490》,《暦日2》,二／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《3500》,《暦日0》,三／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3510》,《暦日1》,四／,ひのえさる,おさん,火,　,●
《3520》,《節中》,小雪十月中ひつしの四刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《3530》,《暦日1》,五／,ひのとのとり,ひらく,火,　,十し
《3540》,《暦日2》,六／,つちのえいぬ,とつ,木,　,くゑ日
《3550》,《暦日0》,七／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3560》,《暦日2》,八／,かのえね,のそく,土,　,神よし きしく  くらたて 井ほりよし
《3570》,《暦日0》,九／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3580》,《暦日2》,十／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3590》,《暦日0》,十一／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3600》,《暦日2》,十二／,きのえたつ,とる,火,　,大みやう 月とく  やたて かとたてよし
《3610》,《暦日0》,十三／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3620》,《暦日2》,十四／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3630》,《暦日0》,十五／,ひのとのひつし,なる,,　, 木こりよし
《3640》,《暦日2》,十六／,つちのえさる,おさん,土,　,●
《3650》,《暦日0》,十七／,つちのとのとり,ひらく,,　,十し
《3660》,《暦日2》,十八／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《3670》,《暦日0》,十九／,かのとのい,とつ,,　,神よし 大みやう 天おん ちう日
《3680》,《節中》,大雪十一月せついぬの一刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3690》,《暦日2》,廿／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《3700》,《暦日0》,廿一／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《3710》,《暦日2》,廿二／,きのえとら,みつ,水,　,きこ  つめとりよし
《3720》,《暦日0》,廿三／,きのとのう,たいら,,　,●
《3730》,《暦日2》,廿四／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《3740》,《暦日0》,廿五／,ひのとのみ,とる,,　,十し
《3750》,《暦日2》,廿六／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3760》,《暦日0》,廿七／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3770》,《暦日2》,廿八／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《3780》,《暦日0》,廿九／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《3790》,《月序》,十一月,大,建,甲子,翼宿　胃　土よう
《3800》,《暦日2》,一／,みつのえいぬ,ひらく,水,ま日,月とく
《3810》,《暦日0》,二／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3820》,《暦日2》,三／,きのえね,たつ,金,　,天しや よろつよし
《3830》,《暦日0》,四／,きのとのうし,のそく,,　,神よし 天おん  やたて  つめとりよし
《3840》,《暦日2》,五／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《3850》,《暦日0》,六／,ひのとのう,たいら,,　,●
《3860》,《節中》,冬至十一月中今暁ねの六刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《3870》,《暦日2》,七／,つちのえたつ,さたん,木,　,きしく 天おん 五む日
《3880》,《暦日0》,八／,つちのとのみ,とる,,　,十し
《3890》,《暦日2》,九／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく わうまう
《3900》,《暦日0》,十／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《3910》,《暦日2》,十一／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《3920》,《暦日0》,十二／,みつのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ ふく日
《3930》,《暦日2》,十三／,きのえいぬ,ひらく,火,　
《3940》,《暦日0》,十四／,きのとのい,とつ,,　,ちう日
《3950》,《暦日2》,十五／,ひのえね,たつ,水,　, 木こりよし
《3960》,《暦日0》,十六／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《3970》,《暦日2》,十七／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3980》,《暦日0》,十八／,つちのとのう,たいら,,　,●
《3990》,《暦日2》,十九／,かのえたつ,さたん,金,　,天おん  たねまきよし
《4000》,《暦日0》,廿／,かのとのみ,とる,,　,十し
《4010》,《暦日1》,廿一／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉
《4020》,《節中》,小寒十二月せつうの三刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《4030》,《暦日1》,廿二／,みつのとのひつし,やふる,木,　,天おん  たねまきよし
《4040》,《暦日2》,廿三／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《4050》,《暦日0》,廿四／,きのとのとり,なる,,　,●
《4060》,《暦日2》,廿五／,ひのえいぬ,おさん,土,　,五む日 めつもん
《4070》,《暦日0》,廿六／,ひのとのい,ひらく,,　,大みやう ちう日
《4080》,《暦日2》,廿七／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《4090》,《暦日0》,廿八／,つちのとのうし,たつ,,　,十し
《4100》,《暦日2》,廿九／,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
《4110》,《暦日0》,卅／,かのとのう,みつ,,　,神よし  よめとりよし
《4120》,《月序》,十二月,小,建,乙丑,軫宿　畢　月よう
《4130》,《暦日2》,一／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《4140》,《暦日0》,二／,みつのとのみ,さたん,,天一天上,母倉 ちう日
《4150》,《暦日2》,三／,きのえむま,とる,金,とようみの三刻ニ入,神よし 母倉  けんふく ふねのりよし
《4160》,《暦日0》,四／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《4170》,《暦日2》,五／,ひのえさる,あやふ,火,　,神よし きしく 母倉  木こりよし
《4180》,《暦日0》,六／,ひのとのとり,なる,,　,●
《4190》,《節中》,大寒十二月中みの八刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《4200》,《暦日2》,七／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《4210》,《暦日0》,八／,つちのとのい,ひらく,,　,ちう日 ふく日
《4220》,《暦日2》,九／,かのえね,とつ,土,　,神よし 月とく きこ ちいみ
《4230》,《暦日0》,十／,かのとのうし,たつ,,　,十し
《4240》,《暦日2》,十一／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《4250》,《暦日0》,十二／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《4260》,《暦日2》,十三／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《4270》,《暦日0》,十四／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日  いちたちよし
《4280》,《暦日2》,十五／,ひのえむま,とる,水,　,神よし 大みやう 母倉  かといてよし
《4290》,《暦日0》,十六／,ひのとのひつし,やふる,,　,くゑ日
《4300》,《暦日2》,十七／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《4310》,《暦日0》,十八／,つちのとのとり,なる,,　,●
《4320》,《暦日2》,十九／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《4330》,《暦日0》,廿／,かのとのい,ひらく,,せつふん,大みやう 天おん ちう日 わうまう  正月ことはしめよし
《4340》,《暦日1》,廿一／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《4350》,《節中》,立春正月せつさるの五刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《4360》,《暦日1》,廿二／,みつのとのうし,とつ,木,ま日,神よし 天おん きこ ちいみ  つめとりよし
《4370》,《暦日2》,廿三／,きのえとら,たつ,水,　,くゑ日 ふく日
《4380》,《暦日0》,廿四／,きのとのう,のそく,,　,神よし  ものたちよし
《4390》,《暦日2》,廿五／,ひのえたつ,みつ,土,ま日,大みやう 月とく  すゝはらひよし
《4400》,《暦日0》,廿六／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《4410》,《暦日2》,廿七／,つちのえむま,さたん,火,ま日,わうまう  ふねのり 正月ことはしめよし
《4420》,《暦日0》,廿八／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまき すゝはらひよし
《4430》,《暦日1》,廿九／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《4440》,《暦末》,文化四年出,立表測景定節氣者
