«1735-0000»,【 カンマ区切りテキスト形式です。】
«1735-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1735-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1735-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1735-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1735-0050»,【 外部リンク　】
«1735-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/156 ～ 160】
«1735-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1735h　(翻刻編集終了データを表成型して表示します)】
«1735-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1735ht (翻刻編集中データを表成型して表示します)】
«1735-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1735-0100»,«版元»,出版地○○,出版元□□□,　
«1735-0660»,«暦日0»,十二〳,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
«1735-0670»,«暦日2»,十三〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1735-0680»,«暦日0»,十四〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく 金性の人うけニ入
«1735-0690»,«節中»,啓蟄二月せつうしの六刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1735-0700»,«暦日2»,十五〳,ひのえたつ,のそく,土,ま日,●
«1735-0710»,«暦日0»,十六〳,ひのとのみ,みつ,,　,十し
«1735-0720»,«暦日2»,十七〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1735-0730»,«暦日0»,十八〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1735-0740»,«暦日2»,十九〳,かのえさる,とる,木,　,神よし 大みやう
«1735-0750»,«暦日0»,廿〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1735-0760»,«暦日2»,廿一〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1735-0770»,«暦日0»,廿二〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1735-0780»,«暦日2»,廿三〳,きのえね,おさん,金,　,めつもん
«1735-0790»,«暦日0»,廿四〳,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
«1735-0800»,«暦日2»,廿五〳,ひのえとら,とつ,火,　,きこ  つめとりよし
«1735-0810»,«暦日0»,廿六〳,ひのとのう,たつ,,　,天火 らうしやく
«1735-0820»,«暦日2»,廿七〳,つちのえたつ,のそく,木,社日,●
«1735-0830»,«暦日0»,廿八〳,つちのとのみ,みつ,,　,十し
«1735-0840»,«暦日1»,廿九〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1735-0850»,«節中»,春分二月中たつの三刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1735-0860»,«月序»,三月,大,建,庚辰,虛宿　井　木よう
«1735-0870»,«暦日1»,一〳,かのとのひつし,さたん,土,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1735-0880»,«暦日2»,二〳,みつのえさる,とる,金,ひかんニなる,神よし きしく 大みやう  入学よし
«1735-0890»,«暦日0»,三〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1735-0900»,«暦日2»,四〳,きのえいぬ,あやふ,火,　, かといてよし
«1735-0910»,«暦日0»,五〳,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
