《1829-0000》,# カンマ区切りテキスト形式です。
《1829-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1829-0020》,# ・表の区画内での改行は“/”で表記します。
《1829-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1829-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1829-0050》,# 外部リンク
《1829-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/104 ～ 108
《1829-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1829g　(GitHub上データを表成型)
《1829-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1829h　(翻刻編集データを表成型 - 未実装)
《1829-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1829-0100》,《版元》,出版地○○,出版元□□□,　
《1829-0640》,《暦日2》,十／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《1829-0650》,《暦日0》,十一／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《1829-0660》,《暦日2》,十二／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《1829-0670》,《暦日0》,十三／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1829-0680》,《暦日2》,十四／,つちのえとら,とつ,土,社日/ひかんニなる,天しや よろつよし
《1829-0690》,《暦日0》,十五／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1829-0700》,《暦日1》,十六／,かのえたつ,のそく,金,　,●
《1829-0710》,《食記》,月蝕三分半
《1829-0720》,《暦日1》,十七／,かのとのみ,みつ,金,　,十し
《1829-0730》,《暦日2》,十八／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《1829-0740》,《暦日0》,十九／,みつのとのひつし,さたん,,　,天おん ちいみ
《1829-0750》,《節中》,春分二月中今暁とらの五刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《1829-0760》,《暦日2》,廿／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《1829-0770》,《暦日0》,廿一／,きのとのとり,やふる,,　,ふく日
《1829-0780》,《暦日2》,廿二／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1829-0790》,《暦日0》,廿三／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《1829-0800》,《暦日2》,廿四／,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
《1829-0810》,《暦日0》,廿五／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《1829-0820》,《暦日2》,廿六／,かのえとら,とつ,木,　,さい下しき きこ  つめとりよし
《1829-0830》,《暦日0》,廿七／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1829-0840》,《暦日2》,廿八／,みつのえたつ,のそく,水,　,●
《1829-0850》,《暦日0》,廿九／,みつのとのみ,みつ,,天一天上,十し
《1829-0860》,《暦日1》,卅／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《1829-0870》,《月序》,三月,小,建,戊辰,畢宿　女　土よう
《1829-0880》,《暦日1》,一／,きのとのひつし,さたん,金,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1829-0890》,《暦日2》,二／,ひのえさる,とる,火,　,神よし
《1829-0900》,《暦日0》,三／,ひのとのとり,やふる,,　, あさまき たねかしよし
《1829-0910》,《暦日1》,四／,つちのえいぬ,やふる,木,　,ふく日
《1829-0920》,《節中》,清明三月せつみの二刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1829-0930》,《暦日1》,五／,つちのとのい,あやふ,木,　,●
《1829-0940》,《暦日2》,六／,かのえね,なる,土,　,神よし きこ
《1829-0950》,《暦日0》,七／,かのとのうし,おさん,,　,十し
《1829-0960》,《暦日2》,八／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1829-0970》,《暦日0》,九／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1829-0980》,《暦日2》,十／,きのえたつ,たつ,火,　,大みやう くゑ日
《1829-0990》,《暦日0》,十一／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1829-1000》,《暦日2》,十二／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1829-1010》,《暦日0》,十三／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1829-1020》,《暦日2》,十四／,つちのえさる,さたん,土,　,きしく くゑ日 ふく日
《1829-1030》,《暦日0》,十五／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1829-1040》,《暦日2》,十六／,かのえいぬ,やふる,金,とようひつしの二刻ニ入,大みやう 天おん
《1829-1050》,《暦日0》,十七／,かのとのい,あやふ,,　,●
《1829-1060》,《暦日2》,十八／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1829-1070》,《暦日0》,十九／,みつのとのうし,おさん,,ま日,十し
《1829-1080》,《節中》,穀雨三月中ひつしの七刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1829-1090》,《暦日2》,廿／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1829-1100》,《暦日0》,廿一／,きのとのう,とつ,,　,神よし  ものたちよし
《1829-1110》,《暦日2》,廿二／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1829-1120》,《暦日0》,廿三／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《1829-1130》,《暦日2》,廿四／,つちのえむま,みつ,火,ま日,母倉 ふく日 天火 らうしやく わうまう  ふねのりよし
《1829-1140》,《暦日0》,廿五／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1829-1150》,《暦日2》,廿六／,かのえさる,さたん,木,　,大みやう くゑ日
《1829-1160》,《暦日0》,廿七／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1829-1170》,《暦日2》,廿八／,みつのえいぬ,やふる,水,ま日,月とく
《1829-1180》,《暦日0》,廿九／,みつのとのい,あやふ,,八せんのおはり,●
《1829-1190》,《月序》,四月,大,建,己巳,觜宿　虛　日よう
《1829-1200》,《暦日2》,一／,きのえね,なる,金,八十八や,くゑ日 きこ
《1829-1210》,《暦日0》,二／,きのとのうし,おさん,,　,十し
《1829-1220》,《暦日2》,三／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1829-1230》,《暦日0》,四／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1829-1240》,《暦日1》,五／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1829-1250》,《節中》,立夏四月せついぬの四刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1829-1260》,《暦日1》,六／,つちのとのみ,たつ,木,　,●
《1829-1270》,《暦日2》,七／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1829-1280》,《暦日0》,八／,かのとのひつし,みつ,,　,大みやう くゑ日
《1829-1290》,《暦日2》,九／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1829-1300》,《暦日0》,十／,みつのとのとり,さたん,,　,十し
《1829-1310》,《暦日2》,十一／,きのえいぬ,とる,火,　, やたて くらたてよし
《1829-1320》,《暦日0》,十二／,きのとのい,やふる,,　,月とく ちう日 わうまう
《1829-1330》,《暦日2》,十三／,ひのえね,あやふ,水,　,きしく ふく日  さひらきよし
