《1829-0000》,# カンマ区切りテキスト形式です。
《1829-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1829-0020》,# ・表の区画内での改行は“/”で表記します。
《1829-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1829-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1829-0050》,# 外部リンク
《1829-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/104 ～ 108
《1829-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1829g　(GitHub上データを表成型)
《1829-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1829h　(翻刻編集データを表成型 - 未実装)
《1829-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1829-0100》,《版元》,出版地○○,出版元□□□,　
《1829-2460》,《暦日0》,廿七／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《1829-2470》,《暦日2》,廿八／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《1829-2480》,《暦日0》,廿九／,かのとのとり,のそく,,　,十し
《1829-2490》,《月序》,八月,大,建,癸酉,柳宿　胃　土よう
《1829-2500》,《暦日2》,一／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《1829-2510》,《暦日0》,二／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1829-2520》,《暦日2》,三／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《1829-2530》,《暦日0》,四／,きのとのうし,とる,,　,●
《1829-2540》,《暦日2》,五／,ひのえとら,やふる,火,二百十日,天おん  けんふく  つめとりよし
《1829-2550》,《暦日0》,六／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《1829-2560》,《暦日2》,七／,つちのえたつ,なる,木,　,きしく 天おん 母倉 五む日 ちいみ  いちたちよし
《1829-2570》,《暦日0》,八／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1829-2580》,《暦日1》,九／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《1829-2590》,《節中》,白露八月せつひつしの三刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1829-2600》,《暦日1》,十／,かのとのひつし,ひらく,土,　,●
《1829-2610》,《暦日2》,十一／,みつのえさる,とつ,金,　,神よし 大みやう
《1829-2620》,《暦日0》,十二／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1829-2630》,《暦日2》,十三／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《1829-2640》,《暦日0》,十四／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《1829-2650》,《暦日2》,十五／,ひのえね,たいら,水,二百廿日,大くわ 地火
《1829-2660》,《暦日0》,十六／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《1829-2670》,《暦日2》,十七／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《1829-2680》,《暦日0》,十八／,つちのとのう,やふる,,　,大みやう 天おん
《1829-2690》,《暦日2》,十九／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《1829-2700》,《暦日0》,廿／,かのとのみ,なる,,　,十し
《1829-2710》,《暦日2》,廿一／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《1829-2720》,《暦日0》,廿二／,みつのとのひつし,ひらく,,　,●
《1829-2730》,《暦日2》,廿三／,きのえさる,とつ,水,ひかんニなる/十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《1829-2740》,《暦日0》,廿四／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《1829-2750》,《節中》,秋分八月中いぬの初刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《1829-2760》,《暦日2》,廿五／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《1829-2770》,《暦日0》,廿六／,ひのとのい,みつ,,　,大みやう ちう日 わうまう  入学よし
《1829-2780》,《暦日2》,廿七／,つちのえね,たいら,火,社日,大くわ 地火
《1829-2790》,《暦日0》,廿八／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《1829-2800》,《暦日2》,廿九／,かのえとら,とる,木,　,さい下しき 月とく きこ  つめとりよし
《1829-2810》,《暦日0》,卅／,かのとのう,やふる,,　,ふく日  田かりよし
《1829-2820》,《月序》,九月,大,建,甲戌,星宿　畢　月よう
《1829-2830》,《暦日1》,一／,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
《1829-2840》,《食記》,日そく六分
《1829-2850》,《暦日1》,二／,みつのとのみ,なる,水,天一天上,十し
《1829-2860》,《暦日2》,三／,きのえむま,おさん,金,　,めつもん
《1829-2870》,《暦日0》,四／,きのとのひつし,ひらく,,　,●
《1829-2880》,《暦日2》,五／,ひのえさる,とつ,火,　,神よし きしく
《1829-2890》,《暦日0》,六／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《1829-2900》,《暦日2》,七／,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
《1829-2910》,《暦日0》,八／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1829-2920》,《暦日2》,九／,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
《1829-2930》,《暦日0》,十／,かのとのうし,たいら,,　,十し
《1829-2940》,《節中》,寒露九月せつ今暁ねの五刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《1829-2950》,《暦日2》,十一／,みつのえとら,さたん,金,　,●
《1829-2960》,《暦日0》,十二／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《1829-2970》,《暦日2》,十三／,きのえたつ,やふる,火,　,大みやう
《1829-2980》,《暦日0》,十四／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《1829-2990》,《暦日2》,十五／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《1829-3000》,《暦日0》,十六／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《1829-3010》,《暦日2》,十七／,つちのえさる,ひらく,土,　,天しや よろつよし
《1829-3020》,《暦日0》,十八／,つちのとのとり,とつ,,　,神よし 大みやう 天おん ふく日  たねまきよし
《1829-3030》,《暦日2》,十九／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1829-3040》,《暦日0》,廿／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《1829-3050》,《暦日2》,廿一／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《1829-3060》,《暦日0》,廿二／,みつのとのうし,たいら,,ま日/とよう今暁とらの六刻ニ入,十し
《1829-3070》,《暦日2》,廿三／,きのえとら,さたん,水,　,●
《1829-3080》,《暦日0》,廿四／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《1829-3090》,《暦日1》,廿五／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく  かとたてよし
《1829-3100》,《節中》,霜降九月中うの二刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《1829-3110》,《暦日1》,廿六／,ひのとのみ,あやふ,土,　,母倉 ちいみ ちう日 下しきひつしの時
《1829-3120》,《暦日2》,廿七／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《1829-3130》,《暦日0》,廿八／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《1829-3140》,《暦日2》,廿九／,かのえさる,ひらく,木,　,大みやう
《1829-3150》,《暦日0》,卅／,かのとのとり,とつ,,　,神よし 大みやう 月とく  いちたちよし
《1829-3160》,《月序》,十月,小,建,乙亥,張宿　參　水よう
《1829-3170》,《暦日2》,一／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《1829-3180》,《暦日0》,二／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《1829-3190》,《暦日2》,三／,きのえね,みつ,金,　,きしく 天おん きこ 天火 らうしやく
《1829-3200》,《暦日0》,四／,きのとのうし,たいら,,　,十し
《1829-3210》,《暦日2》,五／,ひのえとら,さたん,火,　,●
《1829-3220》,《暦日0》,六／,ひのとのう,とる,,　,天おん わうまう  田かりよし
《1829-3230》,《暦日2》,七／,つちのえたつ,やふる,木,　,天おん 五む日 ふく日
《1829-3240》,《暦日0》,八／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《1829-3250》,《暦日2》,九／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《1829-3260》,《暦日0》,十／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《1829-3270》,《節中》,立冬十月せつみの七刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《1829-3280》,《暦日2》,十一／,みつのえさる,おさん,金,　,●
《1829-3290》,《暦日0》,十二／,みつのとのとり,ひらく,,　,十し
《1829-3300》,《暦日2》,十三／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《1829-3310》,《暦日0》,十四／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《1829-3320》,《暦日2》,十五／,ひのえね,のそく,水,　,ふく日
《1829-3330》,《暦日0》,十六／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《1829-3340》,《暦日2》,十七／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《1829-3350》,《暦日0》,十八／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1829-3360》,《暦日2》,十九／,かのえたつ,とる,金,　,天おん わうまう  けんふく よめとりよし
《1829-3370》,《暦日0》,廿／,かのとのみ,やふる,,　,天おん ちう日
《1829-3380》,《暦日2》,廿一／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《1829-3390》,《暦日0》,廿二／,みつのとのひつし,なる,,　,天おん
《1829-3400》,《暦日2》,廿三／,きのえさる,おさん,水,十方くれニ入,●
《1829-3410》,《暦日0》,廿四／,きのとのとり,ひらく,,　,十し
《1829-3420》,《暦日1》,廿五／,ひのえいぬ,とつ,土,　,五む日 ふく日
《1829-3430》,《節中》,小雪十月中さるの四刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《1829-3440》,《暦日1》,廿六／,ひのとのい,たつ,土,　,大みやう ちいみ ちう日 下しきさるの時
《1829-3450》,《暦日2》,廿七／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《1829-3460》,《暦日0》,廿八／,つちのとのうし,みつ,,　,くゑ日 きこ
《1829-3470》,《暦日1》,廿九／,かのえとら,たいら,木,　,さい下しき 大くわ 地火  かといて  つめとりよし
《1829-3480》,《月序》,十一月,大,建,丙子,翼宿　井　木よう
《1829-3490》,《暦日1》,一／,かのとのう,さたん,木,　,神よし 天火 らうしやく  ものたちよし
《1829-3500》,《暦日2》,二／,みつのえたつ,とる,水,　,きしく 大みやう 五む日 ふく日
《1829-3510》,《暦日0》,三／,みつのとのみ,やふる,,天一天上,ちう日
《1829-3520》,《暦日2》,四／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《1829-3530》,《暦日0》,五／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《1829-3540》,《暦日2》,六／,ひのえさる,おさん,火,　,●
《1829-3550》,《暦日0》,七／,ひのとのとり,ひらく,,　,十し
《1829-3560》,《暦日2》,八／,つちのえいぬ,とつ,木,　,くゑ日
《1829-3570》,《暦日0》,九／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《1829-3580》,《暦日2》,十／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《1829-3590》,《暦日0》,十一／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《1829-3600》,《節中》,大雪十一月せついの一刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《1829-3610》,《暦日2》,十二／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《1829-3620》,《暦日0》,十三／,みつのとのう,たいら,,　,●
《1829-3630》,《暦日2》,十四／,きのえたつ,さたん,火,　,大みやう
《1829-3640》,《暦日0》,十五／,きのとのみ,とる,,　,十し
《1829-3650》,《暦日2》,十六／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1829-3660》,《暦日0》,十七／,ひのとのひつし,あやふ,,　,神よし 月とく ふく日  いちたちよし
《1829-3670》,《暦日2》,十八／,つちのえさる,なる,土,　,母倉  入学よし
《1829-3680》,《暦日0》,十九／,つちのとのとり,おさん,,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《1829-3690》,《暦日2》,廿／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《1829-3700》,《暦日0》,廿一／,かのとのい,とつ,,　,神よし 大みやう 天おん ちう日
《1829-3710》,《暦日2》,廿二／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《1829-3720》,《暦日0》,廿三／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《1829-3730》,《暦日2》,廿四／,きのえとら,みつ,水,　,きこ  つめとりよし
《1829-3740》,《暦日0》,廿五／,きのとのう,たいら,,　,●
《1829-3750》,《暦日2》,廿六／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《1829-3760》,《暦日0》,廿七／,ひのとのみ,とる,,　,十し
《1829-3770》,《節中》,冬至十一月中今暁うしの六刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《1829-3780》,《暦日2》,廿八／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《1829-3790》,《暦日0》,廿九／,つちのとのひつし,あやふ,,　,神よし 大みやう
《1829-3800》,《暦日1》,卅／,かのえさる,なる,木,　,きしく 大みやう 母倉 わうまう  入学 みそさけつくりよし
《1829-3810》,《月序》,十二月,大,建,丁丑,軫宿　柳　土よう
《1829-3820》,《暦日1》,一／,かのとのとり,おさん,木,　,神よし 大みやう 母倉 大くわ  井ほりよし
《1829-3830》,《暦日2》,二／,みつのえいぬ,ひらく,水,ま日,月とく
《1829-3840》,《暦日0》,三／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《1829-3850》,《暦日2》,四／,きのえね,たつ,金,　,天しや よろつよし
《1829-3860》,《暦日0》,五／,きのとのうし,のそく,,　,神よし 天おん  やたて  つめとりよし
《1829-3870》,《暦日2》,六／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《1829-3880》,《暦日0》,七／,ひのとのう,たいら,,　,●
《1829-3890》,《暦日2》,八／,つちのえたつ,さたん,木,　,天おん 五む日
《1829-3900》,《暦日0》,九／,つちのとのみ,とる,,　,十し
《1829-3910》,《暦日2》,十／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《1829-3920》,《暦日0》,十一／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《1829-3930》,《暦日1》,十二／,みつのえさる,あやふ,金,　,神よし 大みやう
《1829-3940》,《節中》,小寒十二月せつたつの三刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《1829-3950》,《暦日1》,十三／,みつのとのとり,なる,金,　,●
《1829-3960》,《暦日2》,十四／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《1829-3970》,《暦日0》,十五／,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
《1829-3980》,《暦日2》,十六／,ひのえね,とつ,水,　,きこ ちいみ
《1829-3990》,《暦日0》,十七／,ひのとのうし,たつ,,　,十し
《1829-4000》,《暦日2》,十八／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《1829-4010》,《暦日0》,十九／,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日  正月ことはしめよし
《1829-4020》,《暦日2》,廿／,かのえたつ,たいら,金,　,天おん 月とく 大くわ 地火  よめとりよし
《1829-4030》,《暦日0》,廿一／,かのとのみ,さたん,,　,天おん 母倉 ちう日  すゝはらひよし
《1829-4040》,《暦日2》,廿二／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉  正月ことはしめよし
《1829-4050》,《暦日0》,廿三／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《1829-4060》,《暦日2》,廿四／,きのえさる,あやふ,水,とようむまの四刻ニ入/十方くれニ入,神よし 大みやう
《1829-4070》,《暦日0》,廿五／,きのとのとり,なる,,　,●
《1829-4080》,《暦日2》,廿六／,ひのえいぬ,おさん,土,　,五む日 めつもん
《1829-4090》,《暦日0》,廿七／,ひのとのい,ひらく,,　,大みやう ちう日
《1829-4100》,《節中》,大寒十二月中むまの八刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《1829-4110》,《暦日2》,廿八／,つちのえね,とつ,火,　,きしく くゑ日 きこ ちいみ ふく日
《1829-4120》,《暦日0》,廿九／,つちのとのうし,たつ,,　,十し
《1829-4130》,《暦日1》,卅／,かのえとら,のそく,木,　,さい下しき 月とく  井ほり  つめとりよし
《1829-4140》,《暦末》,文政十一年出,立表測景定節氣者
