《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0690》,《暦日2》,十五／,ひのえむま,たいら,水,　,さい下しき 神よし 大みやう 大くわ 地火
《0700》,《暦日0》,十六／,ひのとのひつし,さたん,,　,神よし ちいみ
《0710》,《暦日2》,十七／,つちのえさる,とる,土,社日,神よし  たねまきよし
《0720》,《暦日0》,十八／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《0730》,《暦日2》,十九／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《0740》,《暦日0》,廿／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《0750》,《暦日2》,廿一／,みつのえね,おさん,木,八せんのはしめ,神よし きしく 天おん 母倉 めつもん  あさまきよし
《0760》,《暦日0》,廿二／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《0770》,《暦日2》,廿三／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《0780》,《暦日0》,廿四／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《0790》,《暦日2》,廿五／,ひのえたつ,のそく,土,ま日,●
《0800》,《暦日0》,廿六／,ひのとのみ,みつ,,　,十し
《0810》,《暦日2》,廿七／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《0820》,《暦日0》,廿八／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0830》,《暦日1》,廿九／,かのえさる,さたん,木,　,大みやう くゑ日
《0840》,《節中》,清明三月せつ明六時九分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《0850》,《暦日1》,卅／,かのとのとり,とる,木,　,神よし 大みやう  井ほりよし
《0860》,《月序》,三月,小,建,庚辰,奎宿　心　月よう
《0870》,《暦日2》,一／,みつのえいぬ,やふる,水,ま日,月とく
《0880》,《暦日0》,二／,みつのとのい,あやふ,,八せんのおはり,●
《0890》,《暦日2》,三／,きのえね,なる,金,　,くゑ日 きこ
《0900》,《暦日0》,四／,きのとのうし,おさん,,　,十し
《0910》,《暦日2》,五／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《0920》,《暦日0》,六／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《0930》,《暦日2》,七／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《0940》,《暦日0》,八／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《0950》,《暦日2》,九／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《0960》,《暦日0》,十／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《0970》,《暦日2》,十一／,みつのえさる,さたん,金,とよう朝四時八分ニ入,大みやう くゑ日
《0980》,《暦日0》,十二／,みつのとのとり,とる,,　,神よし 大みやう
《0990》,《暦日2》,十三／,きのえいぬ,やふる,火,　, くさかりよし
《1000》,《暦日0》,十四／,きのとのい,あやふ,,　,●
《1010》,《節中》,穀雨三月中昼八時三分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1020》,《暦日2》,十五／,ひのえね,なる,水,　,きこ
《1030》,《暦日0》,十六／,ひのとのうし,おさん,,　,十し
《1040》,《暦日2》,十七／,つちのえとら,ひらく,土,　,天しや よろつよし
《1050》,《暦日0》,十八／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1060》,《暦日2》,十九／,かのえたつ,たつ,金,　,きしく くゑ日 わうまう
《1070》,《暦日0》,廿／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1080》,《暦日2》,廿一／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1090》,《暦日0》,廿二／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1100》,《暦日2》,廿三／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1110》,《暦日0》,廿四／,きのとのとり,とる,,　,神よし  くさかりよし
《1120》,《暦日2》,廿五／,ひのえいぬ,やふる,土,　,五む日
《1130》,《暦日0》,廿六／,ひのとのい,あやふ,,八十八や,●
《1140》,《暦日2》,廿七／,つちのえね,なる,火,　,母倉 きこ ふく日
《1150》,《暦日0》,廿八／,つちのとのうし,おさん,,　,十し
《1160》,《暦日1》,廿九／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1170》,《月序》,四月,大,建,辛巳,婁宿　尾　火よう
《1180》,《暦日1》,一／,かのとのう,ひらく,木,　,神よし 母倉  やたて ものたちよし
《1190》,《節中》,立夏四月せつ今暁八時二分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1200》,《暦日2》,二／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1210》,《暦日0》,三／,みつのとのみ,たつ,,天一天上,●
《1220》,《暦日2》,四／,きのえむま,のそく,金,　,天しや よろつよし
《1230》,《暦日0》,五／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1240》,《暦日2》,六／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1250》,《暦日0》,七／,ひのとのとり,さたん,,　,十し
《1260》,《暦日2》,八／,つちのえいぬ,とる,木,　,わうまう  くらたて かまぬりよし
《1270》,《暦日0》,九／,つちのとのい,やふる,,　,くゑ日 ちう日
《1280》,《暦日2》,十／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1290》,《暦日0》,十一／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1300》,《暦日2》,十二／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1310》,《暦日0》,十三／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1320》,《暦日2》,十四／,きのえたつ,とつ,火,　,大みやう
《1330》,《暦日0》,十五／,きのとのみ,たつ,,　,●
《1340》,《暦日1》,十六／,ひのえむま,のそく,水,　,さい下しき 大みやう くゑ日 ふく日
《1350》,《節中》,小満四月中昼八時三分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1360》,《食記》,月そく皆既,四時六分左と下の間よりかけはしめ九時七分/甚しく八時八分右と下の間におはる
《1370》,《暦日1》,十七／,ひのとのひつし,みつ,水,　,くゑ日
《1380》,《暦日2》,十八／,つちのえさる,たいら,土,　,神よし きしく ちいみ 大くわ 地火
《1390》,《暦日0》,十九／,つちのとのとり,さたん,,　,十し
《1400》,《暦日2》,廿／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1410》,《暦日0》,廿一／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1420》,《暦日2》,廿二／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1430》,《暦日0》,廿三／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1440》,《暦日2》,廿四／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1450》,《暦日0》,廿五／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1460》,《暦日2》,廿六／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1470》,《暦日0》,廿七／,ひのとのみ,たつ,,　,●
《1480》,《暦日2》,廿八／,つちのえむま,のそく,火,ま日,くゑ日
《1490》,《暦日0》,廿九／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1500》,《暦日1》,卅／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1510》,《月序》,五月,大,建,壬午,胃宿　斗　木よう
《1520》,《暦日1》,一／,かのとのとり,さたん,木,　,十し
《1530》,《暦日1》,二／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1540》,《節中》,芒種五月せつ朝五時ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1550》,《暦日1》,三／,みつのとのい,とる,水,八せんのおはり,ちう日 ふく日
《1560》,《暦日2》,四／,きのえね,やふる,金,　,●
《1570》,《暦日0》,五／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1580》,《暦日2》,六／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1590》,《暦日0》,七／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1600》,《暦日2》,八／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1610》,《暦日0》,九／,つちのとのみ,とつ,,　,十し
《1620》,《暦日2》,十／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1630》,《暦日0》,十一／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1640》,《暦日2》,十二／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1650》,《暦日0》,十三／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1660》,《暦日2》,十四／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1670》,《暦日0》,十五／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1680》,《暦日2》,十六／,ひのえね,やふる,水,　,●
《1690》,《暦日0》,十七／,ひのとのうし,あやふ,,　,大みやう ふく日 わうまう  ものたち  つめとりよし
《1700》,《節中》,夏至五月中夜四時八分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1710》,《暦日2》,十八／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1720》,《暦日0》,十九／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1730》,《暦日2》,廿／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1740》,《暦日0》,廿一／,かのとのみ,とつ,,　,十し
