《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2950》,《暦日0》,十三／,かのとのひつし,おさん,,　,大みやう 月とく 大くわ  たねまき 田かりよし
《2960》,《暦日2》,十四／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《2970》,《暦日0》,十五／,みつのとのとり,とつ,,　,神よし 大みやう
《2980》,《暦日2》,十六／,きのえいぬ,たつ,火,　,くゑ日
《2990》,《暦日0》,十七／,きのとのい,のそく,,　,ちう日  田かりよし
《3000》,《暦日2》,十八／,ひのえね,みつ,水,　,月とく きこ 天火 らうしやく
《3010》,《暦日0》,十九／,ひのとのうし,たいら,,　,十し
《3020》,《暦日2》,廿／,つちのえとら,さたん,土,　,●
《3030》,《暦日0》,廿一／,つちのとのう,とる,,とよう今暁九時一分ニ入,神よし 大みやう 天おん ふく日  竹木こりよし
《3040》,《暦日2》,廿二／,かのえたつ,やふる,金,　,天おん
《3050》,《暦日0》,廿三／,かのとのみ,あやふ,,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《3060》,《節中》,霜降九月中夜四時二分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《3070》,《暦日2》,廿四／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《3080》,《暦日0》,廿五／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《3090》,《暦日2》,廿六／,きのえさる,ひらく,水,十方くれニ入,大みやう
《3100》,《暦日0》,廿七／,きのとのとり,とつ,,　,神よし  田かりよし
《3110》,《暦日2》,廿八／,ひのえいぬ,たつ,土,　,母倉 月とく 五む日  竹木こりよし
《3120》,《暦日0》,廿九／,ひのとのい,のそく,,　,大みやう ちう日
《3130》,《暦日1》,卅／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《3140》,《月序》,十月,小,建,丁亥,井宿　婁　金よう
《3150》,《暦日1》,一／,つちのとのうし,たいら,火,　,十し
《3160》,《暦日2》,二／,かのえとら,さたん,木,　,●
《3170》,《暦日0》,三／,かのとのう,とる,,　,くゑ日
《3180》,《暦日2》,四／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日 わうまう
《3190》,《暦日0》,五／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《3200》,《暦日2》,六／,きのえむま,なる,金,　,くゑ日
《3210》,《暦日0》,七／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《3220》,《暦日1》,八／,ひのえさる,おさん,火,　,●
《3230》,《節中》,立冬十月せつ夜四時一分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3240》,《暦日1》,九／,ひのとのとり,ひらく,火,　,十し
《3250》,《暦日2》,十／,つちのえいぬ,とつ,木,　,くゑ日
《3260》,《暦日0》,十一／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3270》,《暦日2》,十二／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3280》,《暦日0》,十三／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3290》,《暦日2》,十四／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3300》,《暦日0》,十五／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3310》,《暦日2》,十六／,きのえたつ,とる,火,　,大みやう 月とく  やたて かとたてよし
《3320》,《暦日0》,十七／,きのとのみ,やふる,,　,大みやう ちう日 わうまう
《3330》,《暦日2》,十八／,ひのえむま,あやふ,水,　,さい下しき 神よし 大みやう ふく日
《3340》,《暦日0》,十九／,ひのとのひつし,なる,,　, 木こりよし
《3350》,《暦日2》,廿／,つちのえさる,おさん,土,　,●
《3360》,《暦日0》,廿一／,つちのとのとり,ひらく,,　,十し
《3370》,《暦日2》,廿二／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《3380》,《暦日0》,廿三／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《3390》,《節中》,小雪十月中暮六時七分日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《3400》,《暦日2》,廿四／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3410》,《暦日0》,廿五／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3420》,《暦日2》,廿六／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《3430》,《暦日0》,廿七／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3440》,《暦日2》,廿八／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3450》,《暦日0》,廿九／,ひのとのみ,やふる,,　,くゑ日 ちう日
《3460》,《月序》,十一月,大,建,戊子,鬼宿　胃　土よう
《3470》,《暦日2》,一／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《3480》,《暦日0》,二／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《3490》,《暦日2》,三／,かのえさる,おさん,木,　,●
《3500》,《暦日0》,四／,かのとのとり,ひらく,,　,十し
《3510》,《暦日2》,五／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3520》,《暦日0》,六／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3530》,《暦日2》,七／,きのえね,のそく,金,　,天しや よろつよし
《3540》,《暦日0》,八／,きのとのうし,みつ,,　,くゑ日 きこ
《3550》,《暦日1》,九／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《3560》,《節中》,大雪十一月せつ昼八時一分ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3570》,《暦日1》,十／,ひのとのう,たいら,火,　,●
《3580》,《暦日2》,十一／,つちのえたつ,さたん,木,　,天おん 五む日
《3590》,《暦日0》,十二／,つちのとのみ,とる,,　,十し
《3600》,《暦日2》,十三／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3610》,《暦日0》,十四／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《3620》,《暦日2》,十五／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《3630》,《暦日0》,十六／,みつのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ ふく日
《3640》,《暦日2》,十七／,きのえいぬ,ひらく,火,　
《3650》,《暦日0》,十八／,きのとのい,とつ,,　,ちう日
《3660》,《暦日2》,十九／,ひのえね,たつ,水,　, 木こりよし
《3670》,《暦日0》,廿／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《3680》,《暦日2》,廿一／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3690》,《暦日0》,廿二／,つちのとのう,たいら,,　,●
《3700》,《暦日2》,廿三／,かのえたつ,さたん,金,　,天おん  たねまきよし
《3710》,《暦日0》,廿四／,かのとのみ,とる,,　,十し
《3720》,《節中》,冬至十一月中明六時六分日の出より日入まて,昼四十刻余/夜五十九刻半余,六より六まて,昼四十五刻半余/夜五十四刻余
《3730》,《暦日2》,廿五／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《3740》,《暦日0》,廿六／,みつのとのひつし,あやふ,,　,天おん ふく日
《3750》,《暦日2》,廿七／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《3760》,《暦日0》,廿八／,きのとのとり,おさん,,　,母倉 大くわ わうまう  ものたちよし
《3770》,《暦日2》,廿九／,ひのえいぬ,ひらく,土,　,五む日
《3780》,《暦日0》,卅／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《3790》,《月序》,十二月,小,建,己丑,柳宿　畢　月よう
《3800》,《暦日2》,一／,つちのえね,たつ,火,　,くゑ日
《3810》,《暦日0》,二／,つちのとのうし,のそく,,　, つめとりよし
《3820》,《暦日2》,三／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《3830》,《暦日0》,四／,かのとのう,たいら,,　,●
《3840》,《暦日2》,五／,みつのえたつ,さたん,水,　,きしく 大みやう 月とく 五む日  木こりよし
《3850》,《暦日0》,六／,みつのとのみ,とる,,天一天上,十し
《3860》,《暦日2》,七／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3870》,《暦日0》,八／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3880》,《暦日1》,九／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《3890》,《節中》,小寒十二月せつ今暁九時三分ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3900》,《暦日1》,十／,ひのとのとり,なる,火,　,●
《3910》,《暦日2》,十一／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《3920》,《暦日0》,十二／,つちのとのい,ひらく,,　,ちう日 ふく日
《3930》,《暦日2》,十三／,かのえね,とつ,土,　,神よし 月とく きこ ちいみ
《3940》,《暦日0》,十四／,かのとのうし,たつ,,　,十し
《3950》,《暦日2》,十五／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《3960》,《暦日0》,十六／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《3970》,《暦日2》,十七／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《3980》,《暦日0》,十八／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日  いちたちよし
《3990》,《暦日2》,十九／,ひのえむま,とる,水,　,さい下しき 神よし 大みやう 母倉  かといてよし
《4000》,《暦日0》,廿／,ひのとのひつし,やふる,,　,くゑ日
《4010》,《暦日2》,廿一／,つちのえさる,あやふ,土,とよう今暁七時三分ニ入,神よし ふく日  みそさけつくりよし
《4020》,《暦日0》,廿二／,つちのとのとり,なる,,　,●
《4030》,《暦日1》,廿三／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《4040》,《節中》,大寒十二月中暮六時一分日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《4050》,《暦日1》,廿四／,かのとのい,ひらく,金,　,大みやう 天おん ちう日  正月ことはしめよし
《4060》,《暦日2》,廿五／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《4070》,《暦日0》,廿六／,みつのとのうし,たつ,,ま日,十し
《4080》,《暦日2》,廿七／,きのえとら,のそく,水,　, 木こり  つめとりよし
《4090》,《暦日0》,廿八／,きのとのう,みつ,,　,神よし 月とく  ものたち 正月ことはしめよし
《4100》,《暦日1》,廿九／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《4110》,《暦末》,天保十五年出,立表測景定節氣者
