《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0700》,《暦日0》,十四／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《0710》,《暦日2》,十五／,つちのえとら,とつ,土,　,天しや よろつよし
《0720》,《暦日0》,十六／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《0730》,《暦日2》,十七／,かのえたつ,のそく,金,　,●
《0740》,《暦日0》,十八／,かのとのみ,みつ,,　,十し
《0750》,《暦日2》,十九／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《0760》,《暦日0》,廿／,みつのとのひつし,さたん,,　,天おん ちいみ
《0770》,《暦日2》,廿一／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《0780》,《暦日0》,廿二／,きのとのとり,やふる,,　,ふく日
《0790》,《暦日1》,廿三／,ひのえいぬ,やふる,土,　,五む日
《0800》,《節中》,清明三月せつ昼九時二分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《0810》,《暦日1》,廿四／,ひのとのい,あやふ,土,　,●
《0820》,《暦日2》,廿五／,つちのえね,なる,火,　,母倉 きこ ふく日
《0830》,《暦日0》,廿六／,つちのとのうし,おさん,,　,十し
《0840》,《暦日2》,廿七／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《0850》,《暦日0》,廿八／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《0860》,《暦日1》,廿九／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《0870》,《月序》,三月,大,建,庚辰,畢宿　婁　金よう
《0880》,《暦日1》,一／,みつのとのみ,のそく,水,天一天上,母倉 ちう日  けんふくよし
《0890》,《暦日2》,二／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《0900》,《暦日0》,三／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《0910》,《暦日2》,四／,ひのえさる,さたん,火,　,くゑ日
《0920》,《暦日0》,五／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《0930》,《暦日2》,六／,つちのえいぬ,やふる,木,とよう夕七時ニ入,ふく日
《0940》,《暦日0》,七／,つちのとのい,あやふ,,　,●
《0950》,《暦日2》,八／,かのえね,なる,土,　,神よし きしく きこ
《0960》,《暦日0》,九／,かのとのうし,おさん,,　,十し
《0970》,《節中》,穀雨三月中暮六時六分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《0980》,《暦日2》,十／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《0990》,《暦日0》,十一／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1000》,《暦日2》,十二／,きのえたつ,たつ,火,　,大みやう くゑ日
《1010》,《暦日0》,十三／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1020》,《暦日2》,十四／,ひのえむま,みつ,水,　,大みやう 母倉 天火 らうしやく わうまう
《1030》,《暦日0》,十五／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1040》,《暦日2》,十六／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1050》,《暦日0》,十七／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1060》,《暦日2》,十八／,かのえいぬ,やふる,金,　,大みやう 天おん
《1070》,《暦日0》,十九／,かのとのい,あやふ,,　,●
《1080》,《暦日2》,廿／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1090》,《暦日0》,廿一／,みつのとのうし,おさん,,八十八や/ま日,十し
《1100》,《暦日2》,廿二／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1110》,《暦日0》,廿三／,きのとのう,とつ,,　,神よし  ものたちよし
《1120》,《暦日2》,廿四／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1130》,《暦日0》,廿五／,ひのとのみ,たつ,,　,●
《1140》,《節中》,立夏四月せつ明六時九分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1150》,《暦日2》,廿六／,つちのえむま,のそく,火,ま日,くゑ日
《1160》,《暦日0》,廿七／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1170》,《暦日2》,廿八／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1180》,《暦日0》,廿九／,かのとのとり,さたん,,　,十し
《1190》,《暦日1》,卅／,みつのえいぬ,とる,水,ま日,ふく日
《1200》,《月序》,四月,小,建,辛巳,觜宿　昴　日よう
《1210》,《暦日1》,一／,みつのとのい,やふる,水,八せんのおはり,くゑ日 ちう日
《1220》,《暦日2》,二／,きのえね,あやふ,金,　,天おん わうまう
《1230》,《暦日0》,三／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1240》,《暦日2》,四／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1250》,《暦日0》,五／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1260》,《暦日2》,六／,つちのえたつ,とつ,木,　,きしく 五む日 くゑ日
《1270》,《暦日0》,七／,つちのとのみ,たつ,,　,●
《1280》,《暦日2》,八／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1290》,《暦日0》,九／,かのとのひつし,みつ,,　,大みやう くゑ日
《1300》,《暦日1》,十／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1310》,《節中》,小満四月中暮六時四分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1320》,《暦日1》,十一／,みつのとのとり,さたん,金,　,十し
《1330》,《暦日2》,十二／,きのえいぬ,とる,火,　, やたて くらたてよし
《1340》,《暦日0》,十三／,きのとのい,やふる,,　,月とく ちう日
《1350》,《暦日2》,十四／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1360》,《暦日0》,十五／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1370》,《暦日2》,十六／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1380》,《暦日0》,十七／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1390》,《暦日2》,十八／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1400》,《暦日0》,十九／,かのとのみ,たつ,,　,●
《1410》,《暦日2》,廿／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1420》,《暦日0》,廿一／,みつのとのひつし,みつ,,　,くゑ日
《1430》,《暦日2》,廿二／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1440》,《暦日0》,廿三／,きのとのとり,さたん,,　,十し
《1450》,《暦日2》,廿四／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1460》,《暦日0》,廿五／,ひのとのい,やふる,,　,大みやう ちう日
《1470》,《暦日1》,廿六／,つちのえね,やふる,火,　,●
《1480》,《節中》,芒種五月せつ朝四時九分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1490》,《暦日1》,廿七／,つちのとのうし,あやふ,火,　, 田うへ  つめとりよし
《1500》,《暦日2》,廿八／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1510》,《暦日0》,廿九／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1520》,《月序》,五月,小,建,壬午,參宿　畢　月よう
《1530》,《暦日2》,一／,みつのえたつ,ひらく,水,入梅,大みやう 五む日
《1540》,《暦日0》,二／,みつのとのみ,とつ,,天一天上,十し
《1550》,《暦日2》,三／,きのえむま,たつ,金,　,天しや よろつよし
