《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0710》,《暦日2》,十六／,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
《0720》,《暦日0》,十七／,きのとのとり,やふる,,　,ふく日
《0730》,《暦日2》,十八／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《0740》,《暦日0》,十九／,ひのとのい,なる,,　,大みやう ちう日
《0750》,《暦日2》,廿／,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
《0760》,《暦日0》,廿一／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《0770》,《暦日2》,廿二／,かのえとら,とつ,木,　,きこ  つめとりよし
《0780》,《暦日0》,廿三／,かのとのう,たつ,,　,ふく日 天火 らうしやく わうまう
《0790》,《暦日2》,廿四／,みつのえたつ,のそく,水,　,●
《0800》,《暦日0》,廿五／,みつのとのみ,みつ,,天一天上,十し
《0810》,《節中》,春分二月中翌とらの六刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0820》,《暦日2》,廿六／,きのえむま,たいら,金,　,神よし 大くわ 地火
《0830》,《暦日0》,廿七／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0840》,《暦日2》,廿八／,ひのえさる,とる,火,ひかんニなる,神よし
《0850》,《暦日0》,廿九／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0860》,《月序》,三月,大,建,壬辰,箕宿　胃　土よう
《0870》,《暦日2》,一／,つちのえいぬ,あやふ,木,社日, かといてよし
《0880》,《暦日0》,二／,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
《0890》,《暦日2》,三／,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
《0900》,《暦日0》,四／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《0910》,《暦日2》,五／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0920》,《暦日0》,六／,みつのとのう,たつ,,　,天火 らうしやく
《0930》,《暦日2》,七／,きのえたつ,のそく,火,　,●
《0940》,《暦日0》,八／,きのとのみ,みつ,,　,十し
《0950》,《暦日2》,九／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
