《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《3000》,《暦日2》,十八／,みつのえね,みつ,木,八せんのはしめ,神よし きこ 天火 らうしやく
《3010》,《暦日0》,十九／,みつのとのうし,たいら,,ま日,十し
《3020》,《暦日2》,廿／,きのえとら,さたん,水,　,●
《3030》,《暦日0》,廿一／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《3040》,《暦日2》,廿二／,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
《3050》,《暦日0》,廿三／,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《3060》,《暦日2》,廿四／,つちのえむま,なる,火,ま日,神よし ふく日
《3070》,《暦日0》,廿五／,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
《3080》,《暦日2》,廿六／,かのえさる,ひらく,木,　,さい下しき きしく 大みやう
《3090》,《暦日0》,廿七／,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
《3100》,《暦日2》,廿八／,みつのえいぬ,たつ,水,ま日, 田かりよし
《3110》,《暦日0》,廿九／,みつのとのい,のそく,,八せんのおはり/とよう翌とらの七刻ニ入,ちう日  むきまきよし
《3120》,《月序》,九月,大,建,戊戌,室宿　翼　火よう
《3130》,《暦日2》,一／,きのえね,みつ,金,　,きこ 天火 らうしやく
《3140》,《暦日0》,二／,きのとのうし,たいら,,　,十し
《3150》,《暦日1》,三／,ひのえとら,さたん,火,　,●
《3160》,《節中》,霜降九月中翌うの三刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《3170》,《暦日1》,四／,ひのとのう,とる,火,　,神よし  田かりよし
《3180》,《暦日2》,五／,つちのえたつ,やふる,木,　,五む日 ふく日
《3190》,《暦日0》,六／,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
《3200》,《暦日2》,七／,かのえむま,なる,土,　,神よし  みそすつくりよし
《3210》,《暦日0》,八／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《3220》,《暦日2》,九／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《3230》,《暦日0》,十／,みつのとのとり,とつ,,　,神よし 大みやう
《3240》,《暦日2》,十一／,きのえいぬ,たつ,火,　,くゑ日
《3250》,《暦日0》,十二／,きのとのい,のそく,,　,ちう日  田かりよし
《3260》,《暦日2》,十三／,ひのえね,みつ,水,　,きこ 天火 らうしやく
《3270》,《暦日0》,十四／,ひのとのうし,たいら,,　,十し
《3280》,《暦日2》,十五／,つちのえとら,さたん,土,　,●
《3290》,《暦日0》,十六／,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
《3300》,《暦日2》,十七／,かのえたつ,やふる,金,　
《3310》,《暦日0》,十八／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《3320》,《暦日1》,十九／,みつのえむま,あやふ,木,　,神よし 大みやう ふく日  かとたてよし
《3330》,《節中》,立冬十月せつむまの初刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《3340》,《暦日1》,廿／,みつのとのひつし,なる,木,　
《3350》,《暦日2》,廿一／,きのえさる,おさん,水,十方くれニ入,●
《3360》,《暦日0》,廿二／,きのとのとり,ひらく,,　,十し
《3370》,《暦日2》,廿三／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3380》,《暦日0》,廿四／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3390》,《暦日2》,廿五／,つちのえね,のそく,火,　,きしく くゑ日  たねまきよし
《3400》,《暦日0》,廿六／,つちのとのうし,みつ,,　,くゑ日 きこ
《3410》,《暦日2》,廿七／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3420》,《暦日0》,廿八／,かのとのう,さたん,,　,天火 らうしやく わうまう  ものたちよし
《3430》,《暦日2》,廿九／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3440》,《暦日0》,卅／,みつのとのみ,やふる,,天一天上,ちう日
《3450》,《月序》,十月,大,建,己亥,壁宿　角　木よう
《3460》,《暦日2》,一／,きのえむま,あやふ,金,　,神よし  かまぬり むきまきよし
《3470》,《暦日0》,二／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3480》,《暦日2》,三／,ひのえさる,おさん,火,　,●
《3490》,《暦日0》,四／,ひのとのとり,ひらく,,　,十し
《3500》,《節中》,小雪十月中さるの五刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3510》,《暦日2》,五／,つちのえいぬ,とつ,木,　,くゑ日
《3520》,《暦日0》,六／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3530》,《暦日2》,七／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3540》,《暦日0》,八／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3550》,《暦日2》,九／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3560》,《暦日0》,十／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3570》,《暦日2》,十一／,きのえたつ,とる,火,　,大みやう  やたて かとたてよし
《3580》,《暦日0》,十二／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3590》,《暦日2》,十三／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3600》,《暦日0》,十四／,ひのとのひつし,なる,,　, 木こりよし
《3610》,《暦日1》,十五／,つちのえさる,おさん,土,　,●
《3620》,《食記》,月帯そく
《3630》,《暦日1》,十六／,つちのとのとり,ひらく,土,　,十し
《3640》,《暦日2》,十七／,かのえいぬ,とつ,金,　,大みやう  たねまきよし
《3650》,《暦日0》,十八／,かのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3660》,《暦日1》,十九／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《3670》,《節中》,大雪十一月せついの二刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3680》,《暦日1》,廿／,みつのとのうし,のそく,木,ま日,神よし ふく日  木こり  つめとりよし
《3690》,《暦日2》,廿一／,きのえとら,みつ,水,　,きこ  つめとりよし
《3700》,《暦日0》,廿二／,きのとのう,たいら,,　,●
《3710》,《暦日2》,廿三／,ひのえたつ,さたん,土,ま日,きしく 大みやう  けんふく かといてよし
《3720》,《暦日0》,廿四／,ひのとのみ,とる,,　,十し
《3730》,《暦日2》,廿五／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3740》,《暦日0》,廿六／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3750》,《暦日2》,廿七／,かのえさる,なる,木,　,さい下しき 大みやう  入学 みそさけつくりよし
《3760》,《暦日0》,廿八／,かのとのとり,おさん,,　,神よし 大みやう 大くわ  井ほりよし
《3770》,《暦日2》,廿九／,みつのえいぬ,ひらく,水,ま日
《3780》,《暦日0》,卅／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3790》,《月序》,十一月,小,建,庚子,奎宿　氐　土よう
《3800》,《暦日2》,一／,きのえね,たつ,金,　,天しや よろつよし
《3810》,《暦日0》,二／,きのとのうし,のそく,,　,神よし  やたて  つめとりよし
《3820》,《暦日2》,三／,ひのえとら,みつ,火,　,きこ  つめとりよし
《3830》,《暦日0》,四／,ひのとのう,たいら,,　,●
《3840》,《節中》,冬至十一月中翌うしの七刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《3850》,《暦日2》,五／,つちのえたつ,さたん,木,　,五む日
《3860》,《暦日0》,六／,つちのとのみ,とる,,　,十し
《3870》,《暦日2》,七／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3880》,《暦日0》,八／,かのとのひつし,あやふ,,　,大みやう わうまう  かとたてよし
《3890》,《暦日2》,九／,みつのえさる,なる,金,　,大みやう  いちたちよし
《3900》,《暦日0》,十／,みつのとのとり,おさん,,　,神よし 大みやう 大くわ ふく日
《3910》,《暦日2》,十一／,きのえいぬ,ひらく,火,　
《3920》,《暦日0》,十二／,きのとのい,とつ,,　,ちう日
《3930》,《暦日2》,十三／,ひのえね,たつ,水,　, 木こりよし
《3940》,《暦日0》,十四／,ひのとのうし,のそく,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《3950》,《暦日2》,十五／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3960》,《暦日0》,十六／,つちのとのう,たいら,,　,●
《3970》,《暦日2》,十七／,かのえたつ,さたん,金,　, たねまきよし
《3980》,《暦日0》,十八／,かのとのみ,とる,,　,十し
《3990》,《暦日2》,十九／,みつのえむま,やふる,木,　,大みやう ちいみ 天火 らうしやく
《4000》,《暦日0》,廿／,みつのとのひつし,やふる,,　, たねまきよし
《4010》,《節中》,小寒十二月せつたつの四刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《4020》,《暦日2》,廿一／,きのえさる,あやふ,水,十方くれニ入,神よし きしく 大みやう
《4030》,《暦日0》,廿二／,きのとのとり,なる,,　,●
《4040》,《暦日2》,廿三／,ひのえいぬ,おさん,土,　,五む日 めつもん
《4050》,《暦日0》,廿四／,ひのとのい,ひらく,,　,大みやう ちう日
《4060》,《暦日2》,廿五／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《4070》,《暦日0》,廿六／,つちのとのうし,たつ,,　,十し
《4080》,《暦日2》,廿七／,かのえとら,のそく,木,　, 井ほり  つめとりよし
《4090》,《暦日0》,廿八／,かのとのう,みつ,,　,神よし  よめとりよし
《4100》,《暦日1》,廿九／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《4110》,《月序》,十二月,大,建,辛丑,婁宿　房　日よう
《4120》,《暦日1》,一／,みつのとのみ,さたん,水,天一天上,ちう日
《4130》,《暦日2》,二／,きのえむま,とる,金,　,神よし  けんふく ふねのりよし
《4140》,《暦日0》,三／,きのとのひつし,やふる,,とようむまの五刻ニ入,大みやう 五む日
《4150》,《暦日2》,四／,ひのえさる,あやふ,火,　,神よし  木こりよし
《4160》,《暦日0》,五／,ひのとのとり,なる,,　,●
《4170》,《暦日1》,六／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《4180》,《節中》,大寒十二月中ひつしの一刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《4190》,《暦日1》,七／,つちのとのい,ひらく,木,　,ちう日 ふく日
《4200》,《暦日2》,八／,かのえね,とつ,土,　,神よし きこ ちいみ
《4210》,《暦日0》,九／,かのとのうし,たつ,,　,十し
《4220》,《暦日2》,十／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《4230》,《暦日0》,十一／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《4240》,《暦日2》,十二／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《4250》,《暦日0》,十三／,きのとのみ,さたん,,　,大みやう ちう日  いちたちよし
《4260》,《暦日2》,十四／,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
《4270》,《暦日0》,十五／,ひのとのひつし,やふる,,　,くゑ日
《4280》,《暦日2》,十六／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《4290》,《暦日0》,十七／,つちのとのとり,なる,,　,●
《4300》,《暦日2》,十八／,かのえいぬ,おさん,金,　,大みやう めつもん  たねまきよし
《4310》,《暦日0》,十九／,かのとのい,ひらく,,　,大みやう ちう日  正月ことはしめよし
《4320》,《暦日2》,廿／,みつのえね,とつ,木,せつふん/八せんのはしめ,きしく くゑ日 きこ ちいみ わうまう
《4330》,《暦日0》,廿一／,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
《4340》,《節中》,立春正月せつとりの六刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《4350》,《暦日2》,廿二／,きのえとら,たつ,水,　,くゑ日 ふく日
《4360》,《暦日0》,廿三／,きのとのう,のそく,,　,神よし  ものたちよし
《4370》,《暦日2》,廿四／,ひのえたつ,みつ,土,ま日,大みやう  すゝはらひよし
《4380》,《暦日0》,廿五／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《4390》,《暦日2》,廿六／,つちのえむま,さたん,火,ま日,神よし  ふねのり 正月ことはしめよし
《4400》,《暦日0》,廿七／,つちのとのひつし,とる,,　,大みやう わうまう  かといて たねまき すゝはらひよし
《4410》,《暦日2》,廿八／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《4420》,《暦日0》,廿九／,かのとのとり,あやふ,,　,十し
《4430》,《暦日1》,卅／,みつのえいぬ,なる,水,ま日,●
《4440》,《暦末》,寛延三年出,立表測景定節氣者
