«1696-0000»,【 カンマ区切りテキスト形式です。】
«1696-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1696-0660»,«暦日0»,十四〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1696-0670»,«暦日2»,十五〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1696-0680»,«暦日0»,十六〳,みつのとのう,たつ,,　,天火 らうしやく わうまう
«1696-0690»,«暦日2»,十七〳,きのえたつ,のそく,火,　,●
«1696-0700»,«暦日0»,十八〳,きのとのみ,みつ,,春分二月中いの二刻,十し
«1696-0710»,«暦日2»,十九〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1696-0720»,«暦日0»,廿〳,ひのとのひつし,さたん,,ひかんニなる,神よし ちいみ
«1696-0730»,«暦日2»,廿一〳,つちのえさる,とる,土,社日,神よし  たねまきよし
«1696-0740»,«暦日0»,廿二〳,つちのとのとり,やふる,,　,大みやう
«1696-0750»,«暦日2»,廿三〳,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
«1696-0760»,«暦日0»,廿四〳,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
«1696-0770»,«暦日2»,廿五〳,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
«1696-0780»,«暦日0»,廿六〳,みつのとのうし,ひらく,,ま日, つめとりよし
«1696-0790»,«暦日2»,廿七〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1696-0800»,«暦日0»,廿八〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1696-0810»,«暦日1»,廿九〳,ひのえたつ,のそく,土,ま日,●
«1696-0820»,«月序»,三月,小,建,壬辰,畢宿　危　月よう
«1696-0830»,«暦日1»,一〳,ひのとのみ,みつ,土,　,十し
«1696-0840»,«暦日2»,二〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1696-0850»,«暦日0»,三〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1696-0860»,«暦日2»,四〳,かのえさる,とる,木,　,神よし 大みやう
«1696-0870»,«暦日0»,五〳,かのとのとり,とる,,三月せつうしの七刻ニ入,神よし 大みやう  井ほりよし
«1696-0880»,«暦日2»,六〳,みつのえいぬ,やふる,水,ま日
«1696-0890»,«暦日0»,七〳,みつのとのい,あやふ,,八せんのおはり,●
«1696-0900»,«暦日2»,八〳,きのえね,なる,金,　,くゑ日 きこ
«1696-0910»,«暦日0»,九〳,きのとのうし,おさん,,　,十し
«1696-0920»,«暦日2»,十〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1696-0930»,«暦日0»,十一〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
