《1790-0000》,# カンマ区切りテキスト形式です。
《1790-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1790-0020》,# ・表の区画内での改行は“/”で表記します。
《1790-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1790-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1790-0050》,# 外部リンク
《1790-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/216 ～ 220
《1790-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1790g　(GitHub上データを表成型)
《1790-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1790h　(翻刻編集データを表成型 - 未実装)
《1790-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1790-0100》,《版元》,出版地○○,出版元□□□,　
《1790-0450》,《節中》,啓蟄二月せつむまの一刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1790-0460》,《暦日2》,廿三／,きのえたつ,のそく,火,　,●
《1790-0470》,《暦日0》,廿四／,きのとのみ,みつ,,　,十し
《1790-0480》,《暦日2》,廿五／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1790-0490》,《暦日0》,廿六／,ひのとのひつし,さたん,,　,神よし ちいみ
《1790-0500》,《暦日2》,廿七／,つちのえさる,とる,土,　,神よし きしく  たねまきよし
《1790-0510》,《暦日0》,廿八／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《1790-0520》,《暦日2》,廿九／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《1790-0530》,《暦日0》,卅／,かのとのい,なる,,　,さい下しき 神よし 大みやう 天おん 母倉 ちう日 ふく日
《1790-0540》,《月序》,二月,小,建,己卯,張宿　翼　火よう
《1790-0550》,《暦日2》,一／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《1790-0560》,《暦日0》,二／,みつのとのうし,ひらく,,ま日/ひかんニなる,天おん  つめとりよし
