《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《2840》,《暦日0》,四／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《2850》,《暦日2》,五／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《2860》,《暦日0》,六／,ひのとのい,みつ,,ひかんニなる,大みやう ちう日  入学よし
《2870》,《暦日1》,七／,つちのえね,たいら,火,社日,大くわ 地火
《2880》,《節中》,秋分八月中さるの八刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《2890》,《暦日1》,八／,つちのとのうし,さたん,火,　,母倉  かまぬり  つめとりよし
《2900》,《暦日2》,九／,かのえとら,とる,木,　,さい下しき 月とく きこ わうまう  つめとりよし
《2910》,《暦日0》,十／,かのとのう,やふる,,　,ふく日  田かりよし
《2920》,《暦日2》,十一／,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
《2930》,《暦日0》,十二／,みつのとのみ,なる,,天一天上,十し
《2940》,《暦日2》,十三／,きのえむま,おさん,金,　,めつもん
《2950》,《暦日0》,十四／,きのとのひつし,ひらく,,　,●
《2960》,《暦日2》,十五／,ひのえさる,とつ,火,　,神よし
《2970》,《暦日0》,十六／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2980》,《暦日2》,十七／,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
《2990》,《暦日0》,十八／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《3000》,《暦日2》,十九／,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
《3010》,《暦日0》,廿／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《3020》,《暦日2》,廿一／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《3030》,《暦日0》,廿二／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《3040》,《節中》,寒露九月せついの五刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《3050》,《暦日2》,廿三／,きのえたつ,やふる,火,　,大みやう
《3060》,《暦日0》,廿四／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《3070》,《暦日2》,廿五／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《3080》,《暦日0》,廿六／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《3090》,《暦日2》,廿七／,つちのえさる,ひらく,土,　,天しや よろつよし
《3100》,《暦日0》,廿八／,つちのとのとり,とつ,,　,神よし 大みやう 天おん ふく日  たねまきよし
《3110》,《暦日2》,廿九／,かのえいぬ,たつ,金,　,大みやう くゑ日
《3120》,《暦日0》,卅／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《3130》,《月序》,九月,小,建,戊戌,角宿　鬼　金よう
《3140》,《暦日2》,一／,みつのえね,みつ,木,八せんのはしめ,神よし きしく 天おん きこ 天火 らうしやく
《3150》,《暦日0》,二／,みつのとのうし,たいら,,ま日,十し
《3160》,《暦日2》,三／,きのえとら,さたん,水,　,●
《3170》,《暦日0》,四／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《3180》,《暦日2》,五／,ひのえたつ,やふる,土,ま日/とよう今暁うしの五刻ニ入,大みやう 母倉 月とく  かとたてよし
《3190》,《暦日0》,六／,ひのとのみ,あやふ,,　,母倉 ちいみ ちう日 下しきひつしの時
《3200》,《暦日2》,七／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《3210》,《暦日0》,八／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《3220》,《節中》,霜降九月中今暁とらの一刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《3230》,《暦日2》,九／,かのえさる,ひらく,木,　,大みやう
《3240》,《暦日0》,十／,かのとのとり,とつ,,　,神よし 大みやう 月とく  いちたちよし
《3250》,《暦日2》,十一／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《3260》,《暦日0》,十二／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《3270》,《暦日2》,十三／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
《3280》,《暦日0》,十四／,きのとのうし,たいら,,　,十し
《3290》,《暦日2》,十五／,ひのえとら,さたん,火,　,●
《3300》,《暦日0》,十六／,ひのとのう,とる,,　,神よし 天おん  田かりよし
《3310》,《暦日2》,十七／,つちのえたつ,やふる,木,　,天おん 五む日 ふく日
《3320》,《暦日0》,十八／,つちのとのみ,あやふ,,　,母倉 ちいみ ちう日 ふく日 わうまう 下しきひつしの時
《3330》,《暦日2》,十九／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《3340》,《暦日0》,廿／,かのとのひつし,おさん,,　,大みやう 月とく 大くわ  たねまき 田かりよし
《3350》,《暦日2》,廿一／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《3360》,《暦日0》,廿二／,みつのとのとり,とつ,,　,神よし 大みやう
《3370》,《暦日1》,廿三／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《3380》,《節中》,立冬十月せつたつの七刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3390》,《暦日1》,廿四／,きのとのい,たつ,火,　,ちいみ ちう日 下しきさるの時  入学よし
《3400》,《暦日2》,廿五／,ひのえね,のそく,水,　,ふく日
《3410》,《暦日0》,廿六／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《3420》,《暦日2》,廿七／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《3430》,《暦日0》,廿八／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《3440》,《暦日1》,廿九／,かのえたつ,とる,金,　,きしく 天おん  けんふく よめとりよし
《3450》,《月序》,十月,大,建,己亥,亢宿　柳　土よう
《3460》,《暦日1》,一／,かのとのみ,やふる,金,　,天おん ちう日
《3470》,《暦日2》,二／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《3480》,《暦日0》,三／,みつのとのひつし,なる,,　,天おん わうまう
《3490》,《暦日2》,四／,きのえさる,おさん,水,十方くれニ入,●
《3500》,《暦日0》,五／,きのとのとり,ひらく,,　,十し
《3510》,《暦日2》,六／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3520》,《暦日0》,七／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3530》,《暦日2》,八／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《3540》,《暦日0》,九／,つちのとのうし,みつ,,　,くゑ日 きこ
《3550》,《節中》,小雪十月中ひつしの三刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《3560》,《暦日2》,十／,かのえとら,たいら,木,　,さい下しき 大くわ 地火  かといて  つめとりよし
《3570》,《暦日0》,十一／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3580》,《暦日2》,十二／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3590》,《暦日0》,十三／,みつのとのみ,やふる,,天一天上,ちう日
《3600》,《暦日2》,十四／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《3610》,《暦日0》,十五／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3620》,《暦日2》,十六／,ひのえさる,おさん,火,　,●
《3630》,《暦日0》,十七／,ひのとのとり,ひらく,,　,十し
《3640》,《暦日2》,十八／,つちのえいぬ,とつ,木,　,くゑ日
《3650》,《暦日0》,十九／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3660》,《暦日2》,廿／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3670》,《暦日0》,廿一／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3680》,《暦日2》,廿二／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3690》,《暦日0》,廿三／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3700》,《暦日1》,廿四／,きのえたつ,さたん,火,　,大みやう
《3710》,《節中》,大雪十一月せついぬの初刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3720》,《暦日1》,廿五／,きのとのみ,とる,火,　,十し
《3730》,《暦日2》,廿六／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《3740》,《暦日0》,廿七／,ひのとのひつし,あやふ,,　,神よし 月とく ふく日  いちたちよし
《3750》,《暦日2》,廿八／,つちのえさる,なる,土,　,きしく 母倉  入学よし
《3760》,《暦日0》,廿九／,つちのとのとり,おさん,,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《3770》,《暦日1》,卅／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《3780》,《月序》,十一月,大,建,庚子,氐宿　張　月よう
《3790》,《暦日1》,一／,かのとのい,とつ,金,　,神よし 大みやう 天おん ちう日
《3800》,《暦日2》,二／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《3810》,《暦日0》,三／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《3820》,《暦日2》,四／,きのえとら,みつ,水,　,きこ  つめとりよし
《3830》,《暦日0》,五／,きのとのう,たいら,,　,●
《3840》,《暦日2》,六／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《3850》,《暦日0》,七／,ひのとのみ,とる,,　,十し
《3860》,《暦日2》,八／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3870》,《暦日0》,九／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3880》,《暦日1》,十／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《3890》,《節中》,冬至十一月中今暁ねの五刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《3900》,《暦日1》,十一／,かのとのとり,おさん,木,　,神よし 大みやう 母倉 大くわ  井ほりよし
《3910》,《暦日2》,十二／,みつのえいぬ,ひらく,水,ま日,月とく
《3920》,《暦日0》,十三／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日 わうまう
《3930》,《暦日2》,十四／,きのえね,たつ,金,　,天しや よろつよし
《3940》,《暦日0》,十五／,きのとのうし,のそく,,　,神よし 天おん  やたて  つめとりよし
《3950》,《暦日2》,十六／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《3960》,《暦日0》,十七／,ひのとのう,たいら,,　,●
《3970》,《暦日2》,十八／,つちのえたつ,さたん,木,　,天おん 五む日
《3980》,《暦日0》,十九／,つちのとのみ,とる,,　,十し
《3990》,《暦日2》,廿／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《4000》,《暦日0》,廿一／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《4010》,《暦日2》,廿二／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《4020》,《暦日0》,廿三／,みつのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ ふく日
《4030》,《暦日2》,廿四／,きのえいぬ,ひらく,火,　
《4040》,《暦日0》,廿五／,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
《4050》,《節中》,小寒十二月せつうの二刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《4060》,《暦日2》,廿六／,ひのえね,とつ,水,　,きしく きこ ちいみ
《4070》,《暦日0》,廿七／,ひのとのうし,たつ,,　,十し
《4080》,《暦日2》,廿八／,つちのえとら,のそく,土,　,ふく日  木こり  つめとりよし
《4090》,《暦日0》,廿九／,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日
《4100》,《暦日1》,卅／,かのえたつ,たいら,金,　,天おん 月とく 大くわ 地火  よめとりよし
《4110》,《月序》,十二月,小,建,辛丑,房宿　軫　水よう
《4120》,《暦日1》,一／,かのとのみ,さたん,金,　,天おん 母倉 ちう日  すゝはらひよし
《4130》,《暦日2》,二／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉  正月ことはしめよし
《4140》,《暦日0》,三／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《4150》,《暦日2》,四／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《4160》,《暦日0》,五／,きのとのとり,なる,,　,●
《4170》,《暦日2》,六／,ひのえいぬ,おさん,土,　,五む日 めつもん
《4180》,《暦日0》,七／,ひのとのい,ひらく,,とようみの三刻ニ入,大みやう ちう日
《4190》,《暦日2》,八／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《4200》,《暦日0》,九／,つちのとのうし,たつ,,　,十し
《4210》,《暦日1》,十／,かのえとら,のそく,木,　,さい下しき 月とく  井ほり  つめとりよし
《4220》,《節中》,大寒十二月中みの七刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《4230》,《暦日1》,十一／,かのとのう,みつ,木,　,神よし  よめとりよし
《4240》,《暦日2》,十二／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《4250》,《暦日0》,十三／,みつのとのみ,さたん,,天一天上,母倉 ちう日
《4260》,《暦日2》,十四／,きのえむま,とる,金,　,神よし 母倉  けんふく ふねのりよし
《4270》,《暦日0》,十五／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《4280》,《食記》,月食八分
《4290》,《暦日2》,十六／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《4300》,《暦日0》,十七／,ひのとのとり,なる,,　,●
《4310》,《暦日2》,十八／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《4320》,《暦日0》,十九／,つちのとのい,ひらく,,　,ちう日 ふく日
《4330》,《暦日2》,廿／,かのえね,とつ,土,　,神よし 月とく きこ ちいみ
《4340》,《暦日0》,廿一／,かのとのうし,たつ,,　,十し
《4350》,《暦日2》,廿二／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《4360》,《暦日0》,廿三／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《4370》,《暦日2》,廿四／,きのえたつ,たいら,火,せつふん,きしく 大みやう 大くわ 地火 わうまう
《4380》,《暦日0》,廿五／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《4390》,《節中》,立春正月せつさるの四刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《4400》,《暦日2》,廿六／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《4410》,《暦日0》,廿七／,ひのとのひつし,とる,,　,神よし  かといてよし
《4420》,《暦日2》,廿八／,つちのえさる,やふる,土,　,神よし  たねまきよし
《4430》,《暦日0》,廿九／,つちのとのとり,あやふ,,　,十し
《4440》,《暦末》,天保十一年出,立表測景定節氣者
