《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0690》,《節中》,啓蟄二月せついぬの七刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《0700》,《暦日1》,十六／,かのとのひつし,さたん,土,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《0710》,《暦日2》,十七／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《0720》,《暦日0》,十八／,みつのとのとり,やふる,,　,大みやう  やたてよし
《0730》,《暦日2》,十九／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《0740》,《暦日0》,廿／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《0750》,《暦日2》,廿一／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《0760》,《暦日0》,廿二／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《0770》,《暦日2》,廿三／,つちのえとら,とつ,土,　,天しや よろつよし
《0780》,《暦日0》,廿四／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《0790》,《暦日2》,廿五／,かのえたつ,のそく,金,　,●
《0800》,《暦日0》,廿六／,かのとのみ,みつ,,ひかんニなる,十し
《0810》,《暦日2》,廿七／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《0820》,《暦日0》,廿八／,みつのとのひつし,さたん,,　,天おん ちいみ わうまう
《0830》,《暦日2》,廿九／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《0840》,《暦日0》,卅／,きのとのとり,やふる,,　,ふく日
《0850》,《月序》,二月,小,建,辛卯,井宿　室　火よう
《0860》,《暦日1》,一／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《0870》,《節中》,春分二月中今暁うしの四刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《0880》,《暦日1》,二／,ひのとのい,なる,土,　,大みやう 母倉 ちう日
《0890》,《暦日2》,三／,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
《0900》,《暦日0》,四／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《0910》,《暦日2》,五／,かのえとら,とつ,木,　,さい下しき きこ  つめとりよし
《0920》,《暦日0》,六／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《0930》,《暦日2》,七／,みつのえたつ,のそく,水,　,●
《0940》,《暦日0》,八／,みつのとのみ,みつ,,天一天上,十し
《0950》,《暦日2》,九／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《0960》,《暦日0》,十／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0970》,《暦日2》,十一／,ひのえさる,とる,火,　,神よし きしく
《0980》,《暦日0》,十二／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0990》,《暦日2》,十三／,つちのえいぬ,あやふ,木,　, かといてよし
《1000》,《暦日0》,十四／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《1010》,《暦日2》,十五／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《1020》,《暦日0》,十六／,かのとのうし,おさん,,　,十し
《1030》,《節中》,清明三月せつたつの一刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1040》,《暦日2》,十七／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1050》,《暦日0》,十八／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1060》,《暦日2》,十九／,きのえたつ,たつ,火,　,大みやう くゑ日
《1070》,《暦日0》,廿／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1080》,《暦日2》,廿一／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1090》,《暦日0》,廿二／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1100》,《暦日2》,廿三／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1110》,《暦日0》,廿四／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1120》,《暦日2》,廿五／,かのえいぬ,やふる,金,　,大みやう 天おん
《1130》,《暦日0》,廿六／,かのとのい,あやふ,,　,●
《1140》,《暦日2》,廿七／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1150》,《暦日0》,廿八／,みつのとのうし,おさん,,ま日/とようむまの二刻ニ入,十し
《1160》,《暦日1》,廿九／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1170》,《月序》,三月,大,建,壬辰,鬼宿　壁　水よう
《1180》,《暦日1》,一／,きのとのう,とつ,水,　,神よし  ものたちよし
《1190》,《暦日1》,二／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1200》,《節中》,穀雨三月中むまの六刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1210》,《暦日1》,三／,ひのとのみ,のそく,土,　,母倉 月とく ちう日  いちたちよし
《1220》,《暦日2》,四／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1230》,《暦日0》,五／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1240》,《暦日2》,六／,かのえさる,さたん,木,　,大みやう くゑ日
《1250》,《暦日0》,七／,かのとのとり,とる,,　,大みやう わうまう  井ほりよし
《1260》,《暦日2》,八／,みつのえいぬ,やふる,水,ま日,月とく
《1270》,《暦日0》,九／,みつのとのい,あやふ,,八せんのおはり,●
《1280》,《暦日2》,十／,きのえね,なる,金,　,きしく くゑ日 きこ
《1290》,《暦日0》,十一／,きのとのうし,おさん,,　,十し
《1300》,《暦日2》,十二／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1310》,《暦日0》,十三／,ひのとのう,とつ,,八十八や,くゑ日  たねまきよし
《1320》,《暦日2》,十四／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1330》,《暦日0》,十五／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1340》,《暦日2》,十六／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1350》,《暦日0》,十七／,かのとのひつし,みつ,,　,大みやう くゑ日
《1360》,《節中》,立夏四月せつとりの三刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1370》,《暦日2》,十八／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1380》,《暦日0》,十九／,みつのとのとり,さたん,,　,十し
