«1811-0000»,【 カンマ区切りテキスト形式です。】
«1811-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1811-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1811-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1811-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1811-0050»,【 外部リンク　】
«1811-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/28 ～ 31】
«1811-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1811h　(翻刻編集終了データを表成型して表示します)】
«1811-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1811ht (翻刻編集中データを表成型して表示します)】
«1811-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1811-0100»,«版元»,出版地○○,出版元□□□,　
«1811-0630»,«暦日0»,十〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1811-0640»,«暦日2»,十一〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1811-0650»,«暦日0»,十二〳,かのとのう,のそく,,　,くゑ日
«1811-0660»,«暦日2»,十三〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1811-0670»,«暦日0»,十四〳,みつのとのみ,みつ,,天一天上,十し
«1811-0680»,«節中»,啓蟄二月せつひつしの五刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1811-0690»,«暦日2»,十五〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1811-0700»,«暦日0»,十六〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1811-0710»,«暦日2»,十七〳,ひのえさる,とる,火,　,神よし
«1811-0720»,«暦日0»,十八〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1811-0730»,«暦日2»,十九〳,つちのえいぬ,あやふ,木,　, かといてよし
«1811-0740»,«暦日0»,廿〳,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1811-0750»,«暦日2»,廿一〳,かのえね,おさん,土,　,神よし きしく 母倉 めつもん  よめとり たねかしよし
«1811-0760»,«暦日0»,廿二〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1811-0770»,«暦日2»,廿三〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1811-0780»,«暦日0»,廿四〳,みつのとのう,たつ,,ひかんニなる,天火 らうしやく
«1811-0790»,«暦日2»,廿五〳,きのえたつ,のそく,火,　,●
«1811-0800»,«暦日0»,廿六〳,きのとのみ,みつ,,　,十し
«1811-0810»,«暦日2»,廿七〳,ひのえむま,たいら,水,　,大みやう 大くわ 地火 わうまう
«1811-0820»,«暦日0»,廿八〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1811-0830»,«暦日1»,廿九〳,つちのえさる,とる,土,社日,神よし  たねまきよし
«1811-0840»,«節中»,春分二月中いぬの二刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1811-0850»,«月序»,閏二月,大,隨節用之,房　日よう
«1811-0860»,«暦日1»,一〳,つちのとのとり,やふる,土,　,大みやう 天おん 月とく
«1811-0870»,«暦日2»,二〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1811-0880»,«暦日0»,三〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1811-0890»,«暦日2»,四〳,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
«1811-0900»,«暦日0»,五〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1811-0910»,«暦日2»,六〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1811-0920»,«暦日0»,七〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1811-0930»,«暦日2»,八〳,ひのえたつ,のそく,土,ま日,●
«1811-0940»,«暦日0»,九〳,ひのとのみ,みつ,,　,十し
«1811-0950»,«暦日2»,十〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1811-0960»,«暦日0»,十一〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1811-0970»,«暦日2»,十二〳,かのえさる,とる,木,　,さい下しき 神よし 大みやう
«1811-0980»,«暦日0»,十三〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1811-0990»,«暦日2»,十四〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1811-1000»,«暦日0»,十五〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1811-1010»,«暦日1»,十六〳,きのえね,なる,金,　,くゑ日 きこ
«1811-1020»,«節中»,清明三月せつ今暁ねの七刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1811-1030»,«暦日1»,十七〳,きのとのうし,おさん,金,　,十し
«1811-1040»,«暦日2»,十八〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1811-1050»,«暦日0»,十九〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1811-1060»,«暦日2»,廿〳,つちのえたつ,たつ,木,　,きしく 五む日 くゑ日 ふく日
«1811-1070»,«暦日0»,廿一〳,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
«1811-1080»,«暦日2»,廿二〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1811-1090»,«暦日0»,廿三〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1811-1100»,«暦日2»,廿四〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1811-1110»,«暦日0»,廿五〳,みつのとのとり,とる,,　,神よし 大みやう
«1811-1120»,«暦日2»,廿六〳,きのえいぬ,やふる,火,　, くさかりよし
«1811-1130»,«暦日0»,廿七〳,きのとのい,あやふ,,　,●
«1811-1140»,«暦日2»,廿八〳,ひのえね,なる,水,とよう今暁とらの八刻ニ入,きこ
«1811-1150»,«暦日0»,廿九〳,ひのとのうし,おさん,,　,十し
«1811-1160»,«暦日1»,卅〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1811-1170»,«月序»,三月,小,建,壬辰,翼宿　尾　火よう
«1811-1180»,«暦日1»,一〳,つちのとのう,とつ,土,　,神よし 大みやう 天おん ふく日
«1811-1190»,«節中»,穀雨三月中うの四刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1811-1200»,«暦日2»,二〳,かのえたつ,たつ,金,　,くゑ日
«1811-1210»,«暦日0»,三〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1811-1220»,«暦日2»,四〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1811-1230»,«暦日0»,五〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1811-1240»,«暦日2»,六〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日 わうまう
«1811-1250»,«暦日0»,七〳,きのとのとり,とる,,　,神よし  くさかりよし
«1811-1260»,«暦日2»,八〳,ひのえいぬ,やふる,土,　,五む日
«1811-1270»,«暦日0»,九〳,ひのとのい,あやふ,,　,●
«1811-1280»,«暦日2»,十〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1811-1290»,«暦日0»,十一〳,つちのとのうし,おさん,,　,十し
«1811-1300»,«暦日2»,十二〳,かのえとら,ひらく,木,八十八や,ちいみ  いちたち  つめとりよし
«1811-1310»,«暦日0»,十三〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1811-1320»,«暦日2»,十四〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1811-1330»,«暦日0»,十五〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1811-1340»,«暦日1»,十六〳,きのえむま,のそく,金,　,天しや よろつよし
«1811-1350»,«節中»,立夏四月せつむまの一刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1811-1360»,«暦日1»,十七〳,きのとのひつし,みつ,金,　,大みやう 五む日 くゑ日
«1811-1370»,«暦日2»,十八〳,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
«1811-1380»,«暦日0»,十九〳,ひのとのとり,さたん,,　,十し
«1811-1390»,«暦日2»,廿〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1811-1400»,«暦日0»,廿一〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1811-1410»,«暦日2»,廿二〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1811-1420»,«暦日0»,廿三〳,かのとのうし,なる,,　,五む日 きこ わうまう  つめとりよし
«1811-1430»,«暦日2»,廿四〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1811-1440»,«暦日0»,廿五〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1811-1450»,«暦日2»,廿六〳,きのえたつ,とつ,火,　,大みやう
«1811-1460»,«暦日0»,廿七〳,きのとのみ,たつ,,　,●
«1811-1470»,«暦日2»,廿八〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1811-1480»,«暦日0»,廿九〳,ひのとのひつし,みつ,,　,くゑ日
«1811-1490»,«月序»,四月,大,建,癸巳,軫宿　箕　水よう
«1811-1500»,«暦日2»,一〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1811-1510»,«暦日0»,二〳,つちのとのとり,さたん,,　,十し
«1811-1520»,«節中»,小満四月中さるの六刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1811-1530»,«暦日2»,三〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1811-1540»,«暦日0»,四〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1811-1550»,«暦日2»,五〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1811-1560»,«暦日0»,六〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1811-1570»,«暦日2»,七〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1811-1580»,«暦日0»,八〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1811-1590»,«暦日2»,九〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1811-1600»,«暦日0»,十〳,ひのとのみ,たつ,,　,●
«1811-1610»,«暦日2»,十一〳,つちのえむま,のそく,火,ま日,くゑ日
«1811-1620»,«暦日0»,十二〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1811-1630»,«暦日2»,十三〳,かのえさる,たいら,木,　,さい下しき 神よし 大みやう 月とく ちいみ 大くわ 地火
«1811-1640»,«暦日0»,十四〳,かのとのとり,さたん,,　,十し
«1811-1650»,«暦日2»,十五〳,みつのえいぬ,とる,水,ま日,ふく日
«1811-1660»,«暦日0»,十六〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1811-1670»,«暦日1»,十七〳,きのえね,やふる,金,　,●
«1811-1680»,«節中»,芒種五月せついの三刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1811-1690»,«暦日1»,十八〳,きのとのうし,あやふ,金,　,神よし 天おん  つめとりよし
«1811-1700»,«暦日2»,十九〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1811-1710»,«暦日0»,廿〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1811-1720»,«暦日2»,廿一〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1811-1730»,«暦日0»,廿二〳,つちのとのみ,とつ,,　,十し
«1811-1740»,«暦日2»,廿三〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1811-1750»,«暦日0»,廿四〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1811-1760»,«暦日2»,廿五〳,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
«1811-1770»,«暦日0»,廿六〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1811-1780»,«暦日2»,廿七〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
