《1718-0000》,# カンマ区切りテキスト形式です。
《1718-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1718-0690》,《暦日1》,十六／,きのとのひつし,さたん,金,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1718-0700》,《暦日2》,十七／,ひのえさる,とる,火,　,神よし きしく
《1718-0710》,《暦日0》,十八／,ひのとのとり,やふる,,　, あさまき たねかしよし
《1718-0720》,《暦日2》,十九／,つちのえいぬ,あやふ,木,社日,わうまう  かといてよし
《1718-0730》,《暦日0》,廿／,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
《1718-0740》,《暦日2》,廿一／,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
《1718-0750》,《暦日0》,廿二／,かのとのうし,ひらく,,春分二月中うの初刻,五む日 ふく日  ものたち  つめとりよし
《1718-0760》,《暦日2》,廿三／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1718-0770》,《暦日0》,廿四／,みつのとのう,たつ,,ひかんニなる,天火 らうしやく
《1718-0780》,《暦日2》,廿五／,きのえたつ,のそく,火,　,●
《1718-0790》,《暦日0》,廿六／,きのとのみ,みつ,,　,十し
《1718-0800》,《暦日2》,廿七／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1718-0810》,《暦日0》,廿八／,ひのとのひつし,さたん,,　,神よし ちいみ
《1718-0820》,《暦日2》,廿九／,つちのえさる,とる,土,　,神よし  たねまきよし
《1718-0830》,《暦日0》,卅／,つちのとのとり,やふる,,　,大みやう
《1718-0840》,《月序》,三月,小,建,丙辰,氐宿　牛　金よう
《1718-0850》,《暦日2》,一／,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
《1718-0860》,《暦日0》,二／,かのとのい,なる,,　,さい下しき 神よし 大みやう ちう日 ふく日
《1718-0870》,《暦日2》,三／,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
《1718-0880》,《暦日0》,四／,みつのとのうし,ひらく,,ま日, つめとりよし
《1718-0890》,《暦日2》,五／,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
《1718-0900》,《暦日0》,六／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1718-0910》,《暦日2》,七／,ひのえたつ,たつ,土,三月せつみの六刻ニ入/ま日,大みやう  わたましよし
《1718-0920》,《暦日0》,八／,ひのとのみ,のそく,,　,ちう日  いちたちよし
《1718-0930》,《暦日2》,九／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《1718-0940》,《暦日0》,十／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1718-0950》,《暦日2》,十一／,かのえさる,さたん,木,　,大みやう くゑ日
《1718-0960》,《暦日0》,十二／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1718-0970》,《暦日2》,十三／,みつのえいぬ,やふる,水,ま日
《1718-0980》,《暦日0》,十四／,みつのとのい,あやふ,,八せんのおはり,●
《1718-0990》,《暦日2》,十五／,きのえね,なる,金,　,きしく くゑ日 きこ
《1718-1000》,《暦日0》,十六／,きのとのうし,おさん,,　,十し
《1718-1010》,《暦日2》,十七／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1718-1020》,《暦日0》,十八／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1718-1030》,《暦日2》,十九／,つちのえたつ,たつ,木,とようひつしの六刻ニ入,五む日 くゑ日 ふく日
《1718-1040》,《暦日0》,廿／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《1718-1050》,《暦日2》,廿一／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1718-1060》,《暦日0》,廿二／,かのとのひつし,たいら,,三月中さるの二刻,大みやう めつもん 地火
《1718-1070》,《暦日2》,廿三／,みつのえさる,さたん,金,　,大みやう くゑ日
《1718-1080》,《暦日0》,廿四／,みつのとのとり,とる,,　,神よし 大みやう
《1718-1090》,《暦日2》,廿五／,きのえいぬ,やふる,火,　, くさかりよし
《1718-1100》,《暦日0》,廿六／,きのとのい,あやふ,,　,●
《1718-1110》,《暦日2》,廿七／,ひのえね,なる,水,　,きこ わうまう
《1718-1120》,《暦日0》,廿八／,ひのとのうし,おさん,,　,十し
《1718-1130》,《暦日1》,廿九／,つちのえとら,ひらく,土,　,天しや よろつよし
《1718-1140》,《月序》,四月,大,建,丁巳,房宿　女　土よう
《1718-1150》,《暦日1》,一／,つちのとのう,とつ,土,　,神よし 大みやう ふく日
《1718-1160》,《暦日2》,二／,かのえたつ,たつ,金,　,くゑ日
《1718-1170》,《暦日0》,三／,かのとのみ,のそく,,　,ちう日
《1718-1180》,《暦日2》,四／,みつのえむま,みつ,木,八十八や,神よし 大みやう 天火 らうしやく
《1718-1190》,《暦日0》,五／,みつのとのひつし,たいら,,　,めつもん 地火
《1718-1200》,《暦日2》,六／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1718-1210》,《暦日0》,七／,きのとのとり,とる,,　,神よし  くさかりよし
《1718-1220》,《暦日2》,八／,ひのえいぬ,とる,土,立夏四月せついぬの八刻ニ入,五む日 ふく日  くさかりよし
《1718-1230》,《暦日0》,九／,ひのとのい,やふる,,　,大みやう ちう日
《1718-1240》,《暦日2》,十／,つちのえね,あやふ,火,　, けんふくよし
《1718-1250》,《暦日0》,十一／,つちのとのうし,なる,,　,きこ  つめとりよし
《1718-1260》,《暦日2》,十二／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1718-1270》,《暦日0》,十三／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1718-1280》,《暦日2》,十四／,みつのえたつ,とつ,水,　,きしく 大みやう 五む日 ふく日
《1718-1290》,《暦日0》,十五／,みつのとのみ,たつ,,天一天上,●
《1718-1300》,《暦日2》,十六／,きのえむま,のそく,金,　,天しや よろつよし
《1718-1310》,《暦日0》,十七／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1718-1320》,《暦日2》,十八／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1718-1330》,《暦日0》,十九／,ひのとのとり,さたん,,　,十し
《1718-1340》,《暦日2》,廿／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1718-1350》,《暦日0》,廿一／,つちのとのい,やふる,,　,くゑ日 ちう日
《1718-1360》,《暦日2》,廿二／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1718-1370》,《暦日0》,廿三／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1718-1380》,《暦日2》,廿四／,みつのえとら,おさん,金,四月中うしの四刻,大みやう ふく日 めつもん  つめとりよし
《1718-1390》,《暦日0》,廿五／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1718-1400》,《暦日2》,廿六／,きのえたつ,とつ,火,　,大みやう
《1718-1410》,《暦日0》,廿七／,きのとのみ,たつ,,　,●
《1718-1420》,《暦日2》,廿八／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1718-1430》,《暦日0》,廿九／,ひのとのひつし,みつ,,　,くゑ日
《1718-1440》,《暦日1》,卅／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1718-1450》,《月序》,五月,小,建,戊午,心宿　危　月よう
《1718-1460》,《暦日1》,一／,つちのとのとり,さたん,土,　,十し
《1718-1470》,《暦日2》,二／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1718-1480》,《暦日0》,三／,かのとのい,やふる,,　,さい下しき 神よし 大みやう ちう日  さひらきよし
《1718-1490》,《暦日2》,四／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1718-1500》,《暦日0》,五／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1718-1510》,《暦日2》,六／,きのえとら,おさん,水,　,めつもん  つめとりよし
《1718-1520》,《暦日0》,七／,きのとのう,ひらく,,　,神よし  さひらきよし
《1718-1530》,《暦日2》,八／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1718-1540》,《暦日0》,九／,ひのとのみ,とつ,,五月せつたつの一刻ニ入,十し
