《1718-0000》,# カンマ区切りテキスト形式です。
《1718-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1718-2920》,《暦日2》,廿五／,かのえむま,なる,土,　,神よし  みそすつくりよし
《1718-2930》,《暦日0》,廿六／,かのとのひつし,おさん,,とよううの二刻ニ入,大みやう 大くわ  たねまき 田かりよし
《1718-2940》,《暦日2》,廿七／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《1718-2950》,《暦日0》,廿八／,みつのとのとり,とつ,,　,神よし 大みやう
《1718-2960》,《暦日2》,廿九／,きのえいぬ,たつ,火,九月中うの六刻,くゑ日
《1718-2970》,《暦日0》,卅／,きのとのい,のそく,,　,ちう日  田かりよし
《1718-2980》,《月序》,十月,小,建,癸亥,女宿　畢　月よう
《1718-2990》,《暦日2》,一／,ひのえね,みつ,水,　,きこ 天火 らうしやく
《1718-3000》,《暦日0》,二／,ひのとのうし,たいら,,　,十し
《1718-3010》,《暦日2》,三／,つちのえとら,さたん,土,　,●
《1718-3020》,《暦日0》,四／,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
《1718-3030》,《暦日2》,五／,かのえたつ,やふる,金,　,きしく
《1718-3040》,《暦日0》,六／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《1718-3050》,《暦日2》,七／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
《1718-3060》,《暦日0》,八／,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
《1718-3070》,《暦日2》,九／,きのえさる,ひらく,水,十方くれニ入,大みやう
《1718-3080》,《暦日0》,十／,きのとのとり,とつ,,　,わうまう  田かりよし
《1718-3090》,《暦日2》,十一／,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
《1718-3100》,《暦日0》,十二／,ひのとのい,のそく,,　,大みやう ちう日
《1718-3110》,《暦日2》,十三／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《1718-3120》,《暦日0》,十四／,つちのとのうし,みつ,,立冬十月せつむまの三刻ニ入,くゑ日 きこ
《1718-3130》,《暦日2》,十五／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《1718-3140》,《暦日0》,十六／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《1718-3150》,《暦日2》,十七／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《1718-3160》,《暦日0》,十八／,みつのとのみ,やふる,,天一天上,ちう日
《1718-3170》,《暦日2》,十九／,きのえむま,あやふ,金,　,神よし  かまぬり むきまきよし
《1718-3180》,《暦日0》,廿／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《1718-3190》,《暦日2》,廿一／,ひのえさる,おさん,火,　,●
《1718-3200》,《暦日0》,廿二／,ひのとのとり,ひらく,,　,十し
《1718-3210》,《暦日2》,廿三／,つちのえいぬ,とつ,木,　,くゑ日 わうまう
《1718-3220》,《暦日0》,廿四／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《1718-3230》,《暦日2》,廿五／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《1718-3240》,《暦日0》,廿六／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《1718-3250》,《暦日2》,廿七／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《1718-3260》,《暦日0》,廿八／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《1718-3270》,《暦日1》,廿九／,きのえたつ,とる,火,十月中とりの初刻,大みやう  やたて かとたてよし
《1718-3280》,《月序》,閏十月,大,隨節用之,觜　火よう
《1718-3290》,《暦日1》,一／,きのとのみ,やふる,火,　,神よし 大みやう ちう日
《1718-3300》,《暦日2》,二／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《1718-3310》,《暦日0》,三／,ひのとのひつし,なる,,　, 木こりよし
《1718-3320》,《暦日2》,四／,つちのえさる,おさん,土,　,●
《1718-3330》,《暦日0》,五／,つちのとのとり,ひらく,,　,十し
《1718-3340》,《暦日2》,六／,かのえいぬ,とつ,金,　,大みやう  たねまきよし
《1718-3350》,《暦日0》,七／,かのとのい,たつ,,　,さい下しき 大みやう ちいみ ちう日 下しきさるの時
《1718-3360》,《暦日2》,八／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《1718-3370》,《暦日0》,九／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《1718-3380》,《暦日2》,十／,きのえとら,たいら,水,　,大くわ 地火  ふねのり  つめとりよし
《1718-3390》,《暦日0》,十一／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《1718-3400》,《暦日2》,十二／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《1718-3410》,《暦日0》,十三／,ひのとのみ,やふる,,　,くゑ日 ちう日
《1718-3420》,《暦日2》,十四／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《1718-3430》,《暦日0》,十五／,つちのとのひつし,あやふ,,十一月せついの五刻ニ入,神よし 大みやう
《1718-3440》,《暦日2》,十六／,かのえさる,なる,木,　,大みやう  入学 みそさけつくりよし
《1718-3450》,《暦日0》,十七／,かのとのとり,おさん,,　,神よし 大みやう 大くわ  井ほりよし
《1718-3460》,《暦日2》,十八／,みつのえいぬ,ひらく,水,ま日
《1718-3470》,《暦日0》,十九／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《1718-3480》,《暦日2》,廿／,きのえね,たつ,金,　,天しや よろつよし
《1718-3490》,《暦日0》,廿一／,きのとのうし,のそく,,　,神よし  やたて  つめとりよし
《1718-3500》,《暦日2》,廿二／,ひのえとら,みつ,火,　,きこ  つめとりよし
《1718-3510》,《暦日0》,廿三／,ひのとのう,たいら,,　,●
《1718-3520》,《暦日2》,廿四／,つちのえたつ,さたん,木,　,五む日
《1718-3530》,《暦日0》,廿五／,つちのとのみ,とる,,　,十し
《1718-3540》,《暦日2》,廿六／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《1718-3550》,《暦日0》,廿七／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《1718-3560》,《暦日2》,廿八／,みつのえさる,なる,金,　,大みやう  いちたちよし
《1718-3570》,《暦日0》,廿九／,みつのとのとり,おさん,,　,神よし 大みやう 大くわ ふく日
《1718-3580》,《暦日1》,卅／,きのえいぬ,ひらく,火,　
《1718-3590》,《月序》,十一月,小,建,甲子,虛宿　井　木よう
《1718-3600》,《暦日1》,一／,きのとのい,とつ,火,冬至十一月中とらの二刻,ちう日
《1718-3610》,《暦日2》,二／,ひのえね,たつ,水,　,きしく  木こりよし
《1718-3620》,《暦日0》,三／,ひのとのうし,のそく,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1718-3630》,《暦日2》,四／,つちのえとら,みつ,土,　,きこ わうまう  みそさけつくり  つめとりよし
《1718-3640》,《暦日0》,五／,つちのとのう,たいら,,　,●
《1718-3650》,《暦日2》,六／,かのえたつ,さたん,金,　, たねまきよし
《1718-3660》,《暦日0》,七／,かのとのみ,とる,,　,十し
《1718-3670》,《暦日2》,八／,みつのえむま,やふる,木,　,大みやう ちいみ 天火 らうしやく
《1718-3680》,《暦日0》,九／,みつのとのひつし,あやふ,,　,ふく日
《1718-3690》,《暦日2》,十／,きのえさる,なる,水,十方くれニ入,大みやう
《1718-3700》,《暦日0》,十一／,きのとのとり,おさん,,　,神よし 大くわ  ものたちよし
《1718-3710》,《暦日2》,十二／,ひのえいぬ,ひらく,土,　,五む日
《1718-3720》,《暦日0》,十三／,ひのとのい,とつ,,　,大みやう ちう日 ふく日
《1718-3730》,《暦日2》,十四／,つちのえね,たつ,火,　,くゑ日
《1718-3740》,《暦日0》,十五／,つちのとのうし,のそく,,　, つめとりよし
《1718-3750》,《暦日2》,十六／,かのえとら,のそく,木,小かん十二月せつたつの七刻ニ入, 井ほり  つめとりよし
《1718-3760》,《暦日0》,十七／,かのとのう,みつ,,　,神よし  よめとりよし
《1718-3770》,《暦日2》,十八／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《1718-3780》,《暦日0》,十九／,みつのとのみ,さたん,,天一天上,ちう日
《1718-3790》,《暦日2》,廿／,きのえむま,とる,金,　,神よし  けんふく ふねのりよし
《1718-3800》,《暦日0》,廿一／,きのとのひつし,やふる,,　,大みやう 五む日
《1718-3810》,《暦日2》,廿二／,ひのえさる,あやふ,火,　,神よし  木こりよし
《1718-3820》,《暦日0》,廿三／,ひのとのとり,なる,,　,●
《1718-3830》,《暦日2》,廿四／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《1718-3840》,《暦日0》,廿五／,つちのとのい,ひらく,,　,ちう日 ふく日
《1718-3850》,《暦日2》,廿六／,かのえね,とつ,土,　,神よし きこ ちいみ
《1718-3860》,《暦日0》,廿七／,かのとのうし,たつ,,　,十し
《1718-3870》,《暦日2》,廿八／,みつのえとら,のそく,金,とようむまの八刻ニ入,大みやう  けんふく  つめとりよし
《1718-3880》,《暦日0》,廿九／,みつのとのう,みつ,,　,神よし  わたましよし
《1718-3890》,《月序》,十二月,大,建,乙丑,危宿　鬼　金よう
《1718-3900》,《暦日2》,一／,きのえたつ,たいら,火,　,きしく 大みやう 大くわ 地火
《1718-3910》,《暦日0》,二／,きのとのみ,さたん,,大かん十二月中ひつしの四刻,大みやう ちう日  いちたちよし
《1718-3920》,《暦日2》,三／,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
《1718-3930》,《暦日0》,四／,ひのとのひつし,やふる,,　,くゑ日
《1718-3940》,《暦日2》,五／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《1718-3950》,《暦日0》,六／,つちのとのとり,なる,,　,●
《1718-3960》,《暦日2》,七／,かのえいぬ,おさん,金,　,大みやう めつもん  たねまきよし
《1718-3970》,《暦日0》,八／,かのとのい,ひらく,,　,さい下しき 大みやう ちう日  正月ことはしめよし
《1718-3980》,《暦日2》,九／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《1718-3990》,《暦日0》,十／,みつのとのうし,たつ,,ま日,十し
《1718-4000》,《暦日2》,十一／,きのえとら,のそく,水,　, 木こり  つめとりよし
《1718-4010》,《暦日0》,十二／,きのとのう,みつ,,　,神よし  ものたち 正月ことはしめよし
《1718-4020》,《暦日2》,十三／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《1718-4030》,《暦日0》,十四／,ひのとのみ,さたん,,　,ちう日
《1718-4040》,《暦日2》,十五／,つちのえむま,とる,火,ま日,神よし ふく日  ふねのりよし
《1718-4050》,《暦日0》,十六／,つちのとのひつし,やふる,,せつふん,大みやう ふく日 わうまう  かといてよし
《1718-4060》,《暦日2》,十七／,かのえさる,やふる,木,立春正月せついぬの一刻ニ入,神よし 大みやう ふく日
《1718-4070》,《暦日0》,十八／,かのとのとり,あやふ,,　,十し
《1718-4080》,《暦日2》,十九／,みつのえいぬ,なる,水,ま日,●
《1718-4090》,《暦日0》,廿／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
《1718-4100》,《暦日2》,廿一／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
《1718-4110》,《暦日0》,廿二／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《1718-4120》,《暦日2》,廿三／,ひのえとら,たつ,火,　,わうまう  つめとりよし
《1718-4130》,《暦日0》,廿四／,ひのとのう,のそく,,　,神よし  あさまきよし
《1718-4140》,《暦日2》,廿五／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《1718-4150》,《暦日0》,廿六／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《1718-4160》,《暦日2》,廿七／,かのえむま,さたん,土,　,神よし ふく日
《1718-4170》,《暦日0》,廿八／,かのとのひつし,とる,,　,大みやう  いちたちよし
《1718-4180》,《暦日2》,廿九／,みつのえさる,やふる,金,　,神よし きしく 大みやう
《1718-4190》,《暦日0》,卅／,みつのとのとり,あやふ,,　,十し
《1718-4200》,《暦末》,享保二年出,立表測景定節氣者
