《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2840》,《暦日0》,三／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《2850》,《暦日2》,四／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
《2860》,《暦日0》,五／,きのとのうし,たいら,,　,十し
《2870》,《暦日2》,六／,ひのえとら,さたん,火,　,●
《2880》,《暦日0》,七／,ひのとのう,とる,,　,神よし 天おん  田かりよし
《2890》,《暦日2》,八／,つちのえたつ,やふる,木,　,天おん 五む日 ふく日
《2900》,《暦日0》,九／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《2910》,《暦日2》,十／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《2920》,《暦日0》,十一／,かのとのひつし,おさん,,とよう朝五時九分ニ入,大みやう 月とく 大くわ  たねまき 田かりよし
《2930》,《暦日2》,十二／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《2940》,《暦日0》,十三／,みつのとのとり,とつ,,　,神よし 大みやう
《2950》,《暦日1》,十四／,きのえいぬ,たつ,火,　,くゑ日
《2960》,《節中》,霜降九月中朝五時四分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《2970》,《暦日1》,十五／,きのとのい,のそく,火,　,ちう日
《2980》,《食記》,月帯そく皆既
《2990》,《暦日2》,十六／,ひのえね,みつ,水,　,きしく 月とく きこ 天火 らうしやく
《3000》,《暦日0》,十七／,ひのとのうし,たいら,,　,十し
《3010》,《暦日2》,十八／,つちのえとら,さたん,土,　,●
《3020》,《暦日0》,十九／,つちのとのう,とる,,　,神よし 大みやう 天おん ふく日  竹木こりよし
《3030》,《暦日2》,廿／,かのえたつ,やふる,金,　,天おん
《3040》,《暦日0》,廿一／,かのとのみ,あやふ,,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《3050》,《暦日2》,廿二／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《3060》,《暦日0》,廿三／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《3070》,《暦日2》,廿四／,きのえさる,ひらく,水,十方くれニ入,大みやう
《3080》,《暦日0》,廿五／,きのとのとり,とつ,,　,わうまう  田かりよし
《3090》,《暦日2》,廿六／,ひのえいぬ,たつ,土,　,母倉 月とく 五む日  竹木こりよし
《3100》,《暦日0》,廿七／,ひのとのい,のそく,,　,大みやう ちう日
《3110》,《暦日2》,廿八／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《3120》,《暦日0》,廿九／,つちのとのうし,みつ,,　,くゑ日 きこ
《3130》,《節中》,立冬十月せつ朝五時一分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3140》,《暦日1》,卅／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3150》,《月序》,十月,小,建,丁亥,亢宿　女　土よう
《3160》,《暦日1》,一／,かのとのう,さたん,木,　,神よし 天火 らうしやく  ものたちよし
《3170》,《暦日2》,二／,みつのえたつ,とる,水,　,さい下しき 大みやう 五む日 ふく日
《3180》,《暦日0》,三／,みつのとのみ,やふる,,天一天上,ちう日
《3190》,《暦日2》,四／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《3200》,《暦日0》,五／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3210》,《暦日2》,六／,ひのえさる,おさん,火,　,●
《3220》,《暦日0》,七／,ひのとのとり,ひらく,,　,十し
《3230》,《暦日2》,八／,つちのえいぬ,とつ,木,　,くゑ日 わうまう
《3240》,《暦日0》,九／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3250》,《暦日2》,十／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3260》,《暦日0》,十一／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3270》,《暦日2》,十二／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3280》,《暦日0》,十三／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3290》,《暦日1》,十四／,きのえたつ,とる,火,　,きしく 大みやう 月とく  やたて かとたてよし
《3300》,《節中》,小雪十月中今暁七時五分日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《3310》,《暦日1》,十五／,きのとのみ,やふる,火,　,神よし 大みやう ちう日
《3320》,《暦日2》,十六／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3330》,《暦日0》,十七／,ひのとのひつし,なる,,　, 木こりよし
《3340》,《暦日2》,十八／,つちのえさる,おさん,土,　,●
《3350》,《暦日0》,十九／,つちのとのとり,ひらく,,　,十し
《3360》,《暦日2》,廿／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《3370》,《暦日0》,廿一／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《3380》,《暦日2》,廿二／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3390》,《暦日0》,廿三／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3400》,《暦日2》,廿四／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《3410》,《暦日0》,廿五／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3420》,《暦日2》,廿六／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3430》,《暦日0》,廿七／,ひのとのみ,やふる,,　,くゑ日 ちう日
《3440》,《暦日2》,廿八／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《3450》,《暦日0》,廿九／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3460》,《月序》,十一月,大,建,戊子,氐宿　虛　日よう
《3470》,《暦日2》,一／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《3480》,《暦日0》,二／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《3490》,《暦日2》,三／,みつのえいぬ,ひらく,水,ま日,月とく
《3500》,《暦日0》,四／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3510》,《暦日2》,五／,きのえね,たつ,金,　,天しや よろつよし
《3520》,《暦日0》,六／,きのとのうし,のそく,,　,神よし 天おん  やたて  つめとりよし
《3530》,《暦日2》,七／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《3540》,《暦日0》,八／,ひのとのう,たいら,,　,●
《3550》,《暦日2》,九／,つちのえたつ,さたん,木,　,天おん 五む日
《3560》,《暦日0》,十／,つちのとのみ,とる,,　,十し
《3570》,《暦日2》,十一／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3580》,《暦日0》,十二／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《3590》,《暦日2》,十三／,みつのえさる,なる,金,　,きしく 大みやう 母倉 月とく  いちたちよし
《3600》,《暦日0》,十四／,みつのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ ふく日
《3610》,《節中》,冬至十一月中暮六時二分日の出より日入まて,昼四十刻余/夜五十九刻半余,六より六まて,昼四十五刻半余/夜五十四刻余
《3620》,《暦日2》,十五／,きのえいぬ,ひらく,火,　
《3630》,《暦日0》,十六／,きのとのい,とつ,,　,ちう日
《3640》,《暦日2》,十七／,ひのえね,たつ,水,　, 木こりよし
《3650》,《暦日0》,十八／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《3660》,《暦日2》,十九／,つちのえとら,みつ,土,　,きこ わうまう  みそさけつくり  つめとりよし
《3670》,《暦日0》,廿／,つちのとのう,たいら,,　,●
《3680》,《暦日2》,廿一／,かのえたつ,さたん,金,　,天おん  たねまきよし
《3690》,《暦日0》,廿二／,かのとのみ,とる,,　,十し
《3700》,《暦日2》,廿三／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《3710》,《暦日0》,廿四／,みつのとのひつし,あやふ,,　,天おん ふく日
《3720》,《暦日2》,廿五／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《3730》,《暦日0》,廿六／,きのとのとり,おさん,,　,神よし 母倉 大くわ  ものたちよし
《3740》,《暦日2》,廿七／,ひのえいぬ,ひらく,土,　,五む日
《3750》,《暦日0》,廿八／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《3760》,《暦日1》,廿九／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《3770》,《節中》,小寒十二月せつ朝四時四分ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3780》,《暦日1》,卅／,つちのとのうし,たつ,火,　,十し
《3790》,《月序》,十二月,小,建,己丑,房宿　室　火よう
《3800》,《暦日2》,一／,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
《3810》,《暦日0》,二／,かのとのう,みつ,,　,神よし  よめとりよし
《3820》,《暦日2》,三／,みつのえたつ,たいら,水,　,さい下しき 大みやう 五む日 大くわ 地火
《3830》,《暦日0》,四／,みつのとのみ,さたん,,天一天上,母倉 ちう日
《3840》,《暦日2》,五／,きのえむま,とる,金,　,神よし 母倉  けんふく ふねのりよし
《3850》,《暦日0》,六／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《3860》,《暦日2》,七／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《3870》,《暦日0》,八／,ひのとのとり,なる,,　,●
《3880》,《暦日2》,九／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《3890》,《暦日0》,十／,つちのとのい,ひらく,,　,ちう日 ふく日
《3900》,《暦日2》,十一／,かのえね,とつ,土,とよう昼八時二分ニ入,神よし きしく 月とく きこ ちいみ
《3910》,《暦日0》,十二／,かのとのうし,たつ,,　,十し
《3920》,《暦日2》,十三／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《3930》,《暦日0》,十四／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《3940》,《節中》,大寒十二月中今暁七時日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《3950》,《暦日2》,十五／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《3960》,《暦日0》,十六／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日  いちたちよし
《3970》,《暦日2》,十七／,ひのえむま,とる,水,　,神よし 大みやう 母倉  かといてよし
《3980》,《暦日0》,十八／,ひのとのひつし,やふる,,　,くゑ日
《3990》,《暦日2》,十九／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《4000》,《暦日0》,廿／,つちのとのとり,なる,,　,●
《4010》,《暦日2》,廿一／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《4020》,《暦日0》,廿二／,かのとのい,ひらく,,　,大みやう 天おん ちう日  正月ことはしめよし
《4030》,《暦日2》,廿三／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《4040》,《暦日0》,廿四／,みつのとのうし,たつ,,ま日,十し
《4050》,《暦日2》,廿五／,きのえとら,のそく,水,　, 木こり  つめとりよし
《4060》,《暦日0》,廿六／,きのとのう,みつ,,　,神よし 月とく  ものたち 正月ことはしめよし
《4070》,《暦日2》,廿七／,ひのえたつ,たいら,土,せつふん/ま日,大みやう 大くわ 地火
《4080》,《暦日0》,廿八／,ひのとのみ,たいら,,　,さい下しき ちう日 めつもん 地火
《4090》,《節中》,立春正月せつ夜四時三分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《4100》,《暦日1》,廿九／,つちのえむま,さたん,火,ま日,神よし  ふねのり 正月ことはしめよし
《4110》,《暦末》,安政元年出,立表測景定節氣者
