《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0700》,《暦日0》,十六／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《0710》,《暦日2》,十七／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《0720》,《暦日0》,十八／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《0730》,《暦日1》,十九／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《0740》,《節中》,清明三月せつ夕七時四分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《0750》,《暦日1》,廿／,みつのとのうし,おさん,木,ま日,十し
《0760》,《暦日2》,廿一／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《0770》,《暦日0》,廿二／,きのとのう,とつ,,　,神よし  ものたちよし
《0780》,《暦日2》,廿三／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《0790》,《暦日0》,廿四／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《0800》,《暦日2》,廿五／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《0810》,《暦日0》,廿六／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《0820》,《暦日2》,廿七／,かのえさる,さたん,木,　,きしく 大みやう くゑ日
《0830》,《暦日0》,廿八／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《0840》,《暦日2》,廿九／,みつのえいぬ,やふる,水,ま日,月とく
《0850》,《暦日0》,卅／,みつのとのい,あやふ,,八せんのおはり,●
《0860》,《月序》,三月,小,建,庚辰,鬼宿　翼　火よう
《0870》,《暦日2》,一／,きのえね,なる,金,とよう夜五時ニ入,くゑ日 きこ
《0880》,《暦日0》,二／,きのとのうし,おさん,,　,十し
《0890》,《暦日2》,三／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《0900》,《暦日0》,四／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《0910》,《暦日1》,五／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《0920》,《節中》,穀雨三月中今暁九時七分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《0930》,《暦日1》,六／,つちのとのみ,のそく,木,　,神よし 母倉 ちう日 ふく日  かといてよし
《0940》,《暦日2》,七／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《0950》,《暦日0》,八／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《0960》,《暦日2》,九／,みつのえさる,さたん,金,　,大みやう くゑ日 わうまう
《0970》,《暦日0》,十／,みつのとのとり,とる,,　,神よし 大みやう
《0980》,《暦日2》,十一／,きのえいぬ,やふる,火,　, くさかりよし
《0990》,《暦日0》,十二／,きのとのい,あやふ,,　,●
《1000》,《暦日2》,十三／,ひのえね,なる,水,　,きこ
《1010》,《暦日0》,十四／,ひのとのうし,おさん,,　,十し
《1020》,《暦日2》,十五／,つちのえとら,ひらく,土,　,天しや よろつよし
《1030》,《暦日0》,十六／,つちのとのう,とつ,,八十八や,神よし 大みやう 天おん ふく日
《1040》,《暦日2》,十七／,かのえたつ,たつ,金,　,くゑ日
《1050》,《暦日0》,十八／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1060》,《暦日2》,十九／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1070》,《暦日0》,廿／,みつのとのひつし,みつ,,　,くゑ日
《1080》,《節中》,立夏四月せつ朝四時九分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1090》,《暦日2》,廿一／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1100》,《暦日0》,廿二／,きのとのとり,さたん,,　,十し
《1110》,《暦日2》,廿三／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1120》,《暦日0》,廿四／,ひのとのい,やふる,,　,大みやう ちう日
《1130》,《暦日2》,廿五／,つちのえね,あやふ,火,　,きしく  けんふくよし
《1140》,《暦日0》,廿六／,つちのとのうし,なる,,　,きこ  つめとりよし
《1150》,《暦日2》,廿七／,かのえとら,おさん,木,　,母倉 月とく めつもん わうまう  さひらき  つめとりよし
《1160》,《暦日0》,廿八／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1170》,《暦日1》,廿九／,みつのえたつ,とつ,水,　,さい下しき 大みやう 五む日 ふく日
《1180》,《月序》,四月,小,建,辛巳,柳宿　軫　水よう
《1190》,《暦日1》,一／,みつのとのみ,たつ,水,天一天上,●
《1200》,《暦日2》,二／,きのえむま,のそく,金,　,天しや よろつよし
《1210》,《暦日0》,三／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1220》,《暦日2》,四／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1230》,《暦日0》,五／,ひのとのとり,さたん,,　,十し
《1240》,《暦日2》,六／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1250》,《暦日0》,七／,つちのとのい,やふる,,　,くゑ日 ちう日
《1260》,《節中》,小満四月中今暁九時九分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1270》,《暦日2》,八／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1280》,《暦日0》,九／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1290》,《暦日2》,十／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
