«1745-0000»,【 カンマ区切りテキスト形式です。】
«1745-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1745-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1745-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1745-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1745-0050»,【 外部リンク　】
«1745-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/214 ～ 219】
«1745-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1745h　(翻刻編集終了データを表成型して表示します)】
«1745-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1745ht (翻刻編集中データを表成型して表示します)】
«1745-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1745-0100»,«版元»,出版地○○,出版元□□□,　
«1745-0650»,«暦日2»,十〳,みつのえね,おさん,木,八せんのはしめ,神よし きしく めつもん  あさまきよし
«1745-0660»,«暦日0»,十一〳,みつのとのうし,ひらく,,ま日, つめとりよし
«1745-0670»,«暦日2»,十二〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1745-0680»,«暦日0»,十三〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1745-0690»,«暦日2»,十四〳,ひのえたつ,のそく,土,ま日,●
«1745-0700»,«暦日0»,十五〳,ひのとのみ,みつ,,　,十し
«1745-0710»,«暦日2»,十六〳,つちのえむま,たいら,火,ま日|社日,神よし 大くわ 地火
«1745-0720»,«暦日0»,十七〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1745-0730»,«暦日2»,十八〳,かのえさる,とる,木,　,大みやう わうまう
«1745-0740»,«暦日0»,十九〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1745-0750»,«暦日1»,廿〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1745-0760»,«節中»,春分二月中とりの三刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1745-0770»,«暦日1»,廿一〳,みつのとのい,なる,水,八せんのおはり,ちう日  たねかしよし
«1745-0780»,«暦日2»,廿二〳,きのえね,おさん,金,ひかんニなる,めつもん
«1745-0790»,«暦日0»,廿三〳,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
«1745-0800»,«暦日2»,廿四〳,ひのえとら,とつ,火,　,きこ  つめとりよし
«1745-0810»,«暦日0»,廿五〳,ひのとのう,たつ,,　,天火 らうしやく
«1745-0820»,«暦日2»,廿六〳,つちのえたつ,のそく,木,　,●
«1745-0830»,«暦日0»,廿七〳,つちのとのみ,みつ,,　,十し
«1745-0840»,«暦日2»,廿八〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1745-0850»,«暦日0»,廿九〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1745-0860»,«暦日1»,卅〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
