《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2535422/13 ～ 18
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1706g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1706h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0730》,《暦日2》,廿一／,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
《0740》,《暦日0》,廿二／,かのとのい,なる,,　,さい下しき 神よし 大みやう ちう日 ふく日
《0750》,《暦日2》,廿三／,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
《0760》,《暦日0》,廿四／,みつのとのうし,おさん,,三月せつむまの七刻ニ入/ま日,十し
《0770》,《暦日2》,廿五／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《0780》,《暦日0》,廿六／,きのとのう,とつ,,　,神よし  ものたちよし
《0790》,《暦日2》,廿七／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《0800》,《暦日0》,廿八／,ひのとのみ,のそく,,　,ちう日  いちたちよし
《0810》,《暦日1》,廿九／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《0820》,《月序》,三月,小,建,壬辰,翼宿　尾　火よう
《0830》,《暦日1》,一／,つちのとのひつし,たいら,火,　,神よし 大みやう ふく日 めつもん 地火
《0840》,《暦日2》,二／,かのえさる,さたん,木,　,大みやう くゑ日
《0850》,《暦日0》,三／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《0860》,《暦日2》,四／,みつのえいぬ,やふる,水,ま日
《0870》,《暦日0》,五／,みつのとのい,あやふ,,八せんのおはり,●
《0880》,《暦日2》,六／,きのえね,なる,金,　,くゑ日 きこ
《0890》,《暦日0》,七／,きのとのうし,おさん,,とようとりの初刻ニ入,十し
《0900》,《暦日2》,八／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《0910》,《暦日0》,九／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《0920》,《暦日2》,十／,つちのえたつ,たつ,木,三月中とりの四刻,五む日 くゑ日 ふく日
《0930》,《暦日0》,十一／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《0940》,《暦日2》,十二／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《0950》,《暦日0》,十三／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《0960》,《暦日2》,十四／,みつのえさる,さたん,金,　,大みやう くゑ日
《0970》,《暦日0》,十五／,みつのとのとり,とる,,　,大みやう わうまう
《0980》,《暦日2》,十六／,きのえいぬ,やふる,火,　, くさかりよし
《0990》,《暦日0》,十七／,きのとのい,あやふ,,　,●
《1000》,《暦日2》,十八／,ひのえね,なる,水,　,きしく きこ
《1010》,《暦日0》,十九／,ひのとのうし,おさん,,　,十し
《1020》,《暦日2》,廿／,つちのえとら,ひらく,土,　,天しや よろつよし
《1030》,《暦日0》,廿一／,つちのとのう,とつ,,八十八や,神よし 大みやう ふく日
《1040》,《暦日2》,廿二／,かのえたつ,たつ,金,　,くゑ日
《1050》,《暦日0》,廿三／,かのとのみ,のそく,,　,ちう日
《1060》,《暦日2》,廿四／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《1070》,《暦日0》,廿五／,みつのとのひつし,みつ,,立夏四月せつ夜ねの一刻ニ入,くゑ日
《1080》,《暦日2》,廿六／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1090》,《暦日0》,廿七／,きのとのとり,さたん,,　,十し
《1100》,《暦日2》,廿八／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1110》,《暦日0》,廿九／,ひのとのい,やふる,,　,大みやう ちう日
《1120》,《月序》,四月,大,建,癸巳,軫宿　箕　水よう
《1130》,《暦日2》,一／,つちのえね,あやふ,火,　, けんふくよし
《1140》,《暦日0》,二／,つちのとのうし,なる,,　,きこ  つめとりよし
《1150》,《暦日2》,三／,かのえとら,おさん,木,　,めつもん わうまう  さひらき  つめとりよし
《1160》,《暦日0》,四／,かのとのう,ひらく,,　,神よし  やたて ものたちよし
《1170》,《暦日2》,五／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1180》,《暦日0》,六／,みつのとのみ,たつ,,天一天上,●
《1190》,《暦日2》,七／,きのえむま,のそく,金,　,天しや よろつよし
《1200》,《暦日0》,八／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1210》,《暦日2》,九／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1220》,《暦日0》,十／,ひのとのとり,さたん,,　,十し
《1230》,《暦日2》,十一／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1240》,《暦日0》,十二／,つちのとのい,やふる,,四月中とらの六刻,くゑ日 ちう日
《1250》,《暦日2》,十三／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1260》,《暦日0》,十四／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1270》,《暦日2》,十五／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1280》,《暦日0》,十六／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1290》,《暦日2》,十七／,きのえたつ,とつ,火,　,きしく 大みやう
《1300》,《暦日0》,十八／,きのとのみ,たつ,,　,●
《1310》,《暦日2》,十九／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1320》,《暦日0》,廿／,ひのとのひつし,みつ,,　,くゑ日
《1330》,《暦日2》,廿一／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1340》,《暦日0》,廿二／,つちのとのとり,さたん,,　,十し
《1350》,《暦日2》,廿三／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1360》,《暦日0》,廿四／,かのとのい,やふる,,　,さい下しき 神よし 大みやう ちう日  さひらきよし
《1370》,《暦日2》,廿五／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1380》,《暦日0》,廿六／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1390》,《暦日2》,廿七／,きのえとら,なる,水,五月せつみの三刻ニ入,きこ  田うへ  つめとりよし
《1400》,《暦日0》,廿八／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1410》,《暦日2》,廿九／,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
《1420》,《暦日0》,卅／,ひのとのみ,とつ,,　,十し
《1430》,《月序》,五月,小,建,甲午,角宿　牛　金よう
《1440》,《暦日2》,一／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1450》,《暦日0》,二／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1460》,《暦日2》,三／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1470》,《暦日0》,四／,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1480》,《暦日2》,五／,みつのえいぬ,さたん,水,入梅/ま日, むきかりよし
《1490》,《暦日0》,六／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1500》,《暦日2》,七／,きのえね,やふる,金,　,●
《1510》,《暦日0》,八／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1520》,《暦日2》,九／,ひのえとら,なる,火,　,きこ  つめとりよし
《1530》,《暦日0》,十／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1540》,《暦日2》,十一／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1550》,《暦日0》,十二／,つちのとのみ,とつ,,夏至五月中さるの初刻,十し
《1560》,《暦日2》,十三／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1570》,《暦日0》,十四／,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
《1580》,《暦日2》,十五／,みつのえさる,みつ,金,　,神よし きしく 大みやう  くさかりよし
《1590》,《暦日0》,十六／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1600》,《暦日2》,十七／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1610》,《暦日0》,十八／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1620》,《暦日2》,十九／,ひのえね,やふる,水,　,●
《1630》,《暦日0》,廿／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1640》,《暦日2》,廿一／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1650》,《暦日0》,廿二／,つちのとのう,おさん,,はんけしやう,大みやう ちいみ 大くわ
《1660》,《暦日2》,廿三／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1670》,《暦日0》,廿四／,かのとのみ,とつ,,　,十し
《1680》,《暦日2》,廿五／,みつのえむま,たつ,木,　,大みやう 下しきうの時
《1690》,《暦日0》,廿六／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1700》,《暦日2》,廿七／,きのえさる,のそく,水,六月せついぬの五刻ニ入/十方くれニ入,神よし 大みやう
《1710》,《暦日0》,廿八／,きのとのとり,みつ,,　,神よし ちいみ
《1720》,《暦日1》,廿九／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1730》,《月序》,六月,小,建,乙未,亢宿　女　土よう
《1740》,《暦日1》,一／,ひのとのい,さたん,土,　,大みやう ちう日
《1750》,《暦日2》,二／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1760》,《暦日0》,三／,つちのとのうし,やふる,,　,十し
《1770》,《暦日2》,四／,かのえとら,あやふ,木,初伏, やたて  つめとりよし
《1780》,《暦日0》,五／,かのとのう,なる,,　,神よし 天火 らうしやく
《1790》,《暦日2》,六／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1800》,《暦日0》,七／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1810》,《暦日2》,八／,きのえむま,とつ,金,　,●
《1820》,《暦日0》,九／,きのとのひつし,たつ,,　,大みやう 五む日
《1830》,《暦日2》,十／,ひのえさる,のそく,火,　,神よし
《1840》,《暦日0》,十一／,ひのとのとり,みつ,,とようねの六刻ニ入,神よし ちいみ  くさかりよし
《1850》,《暦日2》,十二／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1860》,《暦日0》,十三／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《1870》,《暦日2》,十四／,かのえね,とる,土,六月中うしの二刻/中伏,きしく きこ 下しきたつの時
《1880》,《暦日0》,十五／,かのとのうし,やふる,,　,十し
《1890》,《暦日2》,十六／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1900》,《暦日0》,十七／,みつのとのう,なる,,　,神よし 天火 らうしやく
