《1690-0000》,# カンマ区切りテキスト形式です。
《1690-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1690-1040》,《暦日2》,廿一／,みつのえね,なる,木,八せんのはしめ,神よし きこ
《1690-1050》,《暦日0》,廿二／,みつのとのうし,おさん,,ま日,十し
《1690-1060》,《暦日2》,廿三／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1690-1070》,《暦日0》,廿四／,きのとのう,とつ,,八十八や,神よし  ものたちよし
《1690-1080》,《暦日2》,廿五／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1690-1090》,《暦日0》,廿六／,ひのとのみ,のそく,,　,ちう日  いちたちよし
《1690-1100》,《暦日2》,廿七／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《1690-1110》,《暦日0》,廿八／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1690-1120》,《暦日2》,廿九／,かのえさる,たいら,木,立夏四月せつうしの六刻ニ入,神よし 大みやう ちいみ 大くわ 地火
《1690-1130》,《暦日0》,卅／,かのとのとり,さたん,,　,十し
《1690-1140》,《月序》,四月,小,建,辛巳,房宿　室　火よう
《1690-1150》,《暦日2》,一／,みつのえいぬ,とる,水,ま日,ふく日
《1690-1160》,《暦日0》,二／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1690-1170》,《暦日2》,三／,きのえね,あやふ,金,　
《1690-1180》,《暦日0》,四／,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
《1690-1190》,《暦日2》,五／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1690-1200》,《暦日0》,六／,ひのとのう,ひらく,,　,わうまう  わたましよし
《1690-1210》,《暦日2》,七／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1690-1220》,《暦日0》,八／,つちのとのみ,たつ,,　,●
《1690-1230》,《暦日2》,九／,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
《1690-1240》,《暦日0》,十／,かのとのひつし,みつ,,　,大みやう くゑ日
《1690-1250》,《暦日2》,十一／,みつのえさる,たいら,金,　,神よし きしく 大みやう ちいみ 大くわ ふく日 地火
《1690-1260》,《暦日0》,十二／,みつのとのとり,さたん,,　,十し
《1690-1270》,《暦日2》,十三／,きのえいぬ,とる,火,　, やたて くらたてよし
《1690-1280》,《暦日0》,十四／,きのとのい,やふる,,四月中たつの三刻,ちう日
《1690-1290》,《暦日2》,十五／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1690-1300》,《暦日0》,十六／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1690-1310》,《暦日2》,十七／,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
《1690-1320》,《暦日0》,十八／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
