《1690-0000》,# カンマ区切りテキスト形式です。
《1690-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1690-2930》,《暦日0》,廿六／,みつのとのうし,たいら,,ま日,十し
《1690-2940》,《暦日2》,廿七／,きのえとら,さたん,水,　,●
《1690-2950》,《暦日0》,廿八／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《1690-2960》,《暦日2》,廿九／,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
《1690-2970》,《暦日0》,卅／,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《1690-2980》,《月序》,十月,大,建,丁亥,女宿　參　水よう
《1690-2990》,《暦日2》,一／,つちのえむま,なる,火,ま日,ふく日 わうまう
《1690-3000》,《暦日0》,二／,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
《1690-3010》,《暦日2》,三／,かのえさる,ひらく,木,　,きしく 大みやう
《1690-3020》,《暦日0》,四／,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
《1690-3030》,《暦日2》,五／,みつのえいぬ,とつ,水,立冬十月せつとりの一刻ニ入/ま日,ふく日  むきまきよし
《1690-3040》,《暦日0》,六／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《1690-3050》,《暦日2》,七／,きのえね,のそく,金,　,天しや よろつよし
《1690-3060》,《暦日0》,八／,きのとのうし,みつ,,　,くゑ日 きこ
《1690-3070》,《暦日2》,九／,ひのえとら,たいら,火,　,大くわ ふく日 地火  つめとりよし
《1690-3080》,《暦日0》,十／,ひのとのう,さたん,,　,神よし 天火 らうしやく
《1690-3090》,《暦日2》,十一／,つちのえたつ,とる,木,　,五む日  ふねのりよし
《1690-3100》,《暦日0》,十二／,つちのとのみ,やふる,,　,くゑ日 ちう日
《1690-3110》,《暦日2》,十三／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《1690-3120》,《暦日0》,十四／,かのとのひつし,なる,,　,大みやう わうまう  やたて ものたちよし
《1690-3130》,《暦日2》,十五／,みつのえさる,おさん,金,　,●
《1690-3140》,《暦日0》,十六／,みつのとのとり,ひらく,,　,十し
《1690-3150》,《暦日2》,十七／,きのえいぬ,とつ,火,　, わたまし いちたちよし
《1690-3160》,《暦日0》,十八／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《1690-3170》,《暦日2》,十九／,ひのえね,のそく,水,　,ふく日
《1690-3180》,《暦日0》,廿／,ひのとのうし,みつ,,十月中いの七刻,大みやう くゑ日 きこ
《1690-3190》,《暦日2》,廿一／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《1690-3200》,《暦日0》,廿二／,つちのとのう,さたん,,　,神よし 大みやう 天火 らうしやく
《1690-3210》,《暦日2》,廿三／,かのえたつ,とる,金,　, けんふく よめとりよし
《1690-3220》,《暦日0》,廿四／,かのとのみ,やふる,,　,ちう日
《1690-3230》,《暦日2》,廿五／,みつのえむま,あやふ,木,　,神よし 大みやう ふく日  かとたてよし
《1690-3240》,《暦日0》,廿六／,みつのとのひつし,なる,,　
《1690-3250》,《暦日2》,廿七／,きのえさる,おさん,水,十方くれニ入,●
《1690-3260》,《暦日0》,廿八／,きのとのとり,ひらく,,　,十し
《1690-3270》,《暦日2》,廿九／,ひのえいぬ,とつ,土,　,五む日 ふく日
《1690-3280》,《暦日0》,卅／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1690-3290》,《月序》,十一月,小,建,戊子,虛宿　鬼　金よう
《1690-3300》,《暦日2》,一／,つちのえね,のそく,火,　,きしく くゑ日  たねまきよし
《1690-3310》,《暦日0》,二／,つちのとのうし,みつ,,　,くゑ日 きこ
《1690-3320》,《暦日2》,三／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《1690-3330》,《暦日0》,四／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《1690-3340》,《暦日2》,五／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《1690-3350》,《暦日0》,六／,みつのとのみ,とる,,十一月せつとらの三刻ニ入/天一天上,十し
《1690-3360》,《暦日2》,七／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《1690-3370》,《暦日0》,八／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《1690-3380》,《暦日2》,九／,ひのえさる,なる,火,　
《1690-3390》,《暦日0》,十／,ひのとのとり,おさん,,　,神よし 大くわ ふく日
《1690-3400》,《暦日2》,十一／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《1690-3410》,《暦日0》,十二／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《1690-3420》,《暦日2》,十三／,かのえね,たつ,土,　, 井ほりよし
《1690-3430》,《暦日0》,十四／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《1690-3440》,《暦日2》,十五／,みつのえとら,みつ,金,　,大みやう きこ  つめとりよし
《1690-3450》,《暦日0》,十六／,みつのとのう,たいら,,　,●
《1690-3460》,《暦日2》,十七／,きのえたつ,さたん,火,　,大みやう
《1690-3470》,《暦日0》,十八／,きのとのみ,とる,,　,十し
《1690-3480》,《暦日2》,十九／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1690-3490》,《暦日0》,廿／,ひのとのひつし,あやふ,,　,さい下しき 神よし ふく日  いちたちよし
《1690-3500》,《暦日2》,廿一／,つちのえさる,なる,土,冬至十一月中みの初刻, 入学よし
《1690-3510》,《暦日0》,廿二／,つちのとのとり,おさん,,　,神よし 大みやう 大くわ  やたてよし
《1690-3520》,《暦日2》,廿三／,かのえいぬ,ひらく,金,　,大みやう  たねまきよし
《1690-3530》,《暦日0》,廿四／,かのとのい,とつ,,　,神よし 大みやう ちう日
《1690-3540》,《暦日2》,廿五／,みつのえね,たつ,木,八せんのはしめ,くゑ日 わうまう
《1690-3550》,《暦日0》,廿六／,みつのとのうし,のそく,,ま日,神よし ふく日  木こり  つめとりよし
《1690-3560》,《暦日2》,廿七／,きのえとら,みつ,水,　,きこ  つめとりよし
《1690-3570》,《暦日0》,廿八／,きのとのう,たいら,,　,●
《1690-3580》,《暦日1》,廿九／,ひのえたつ,さたん,土,ま日,きしく 大みやう  けんふく かといてよし
《1690-3590》,《月序》,十二月,大,建,己丑,危宿　柳　土よう
《1690-3600》,《暦日1》,一／,ひのとのみ,とる,土,　,十し
《1690-3610》,《暦日2》,二／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《1690-3620》,《暦日0》,三／,つちのとのひつし,あやふ,,　,神よし 大みやう
《1690-3630》,《暦日2》,四／,かのえさる,なる,木,　,大みやう  入学 みそさけつくりよし
《1690-3640》,《暦日0》,五／,かのとのとり,おさん,,　,神よし 大みやう 大くわ  井ほりよし
《1690-3650》,《暦日2》,六／,みつのえいぬ,ひらく,水,ま日
《1690-3660》,《暦日0》,七／,みつのとのい,ひらく,,小かん十二月せつひつしの五刻ニ入/八せんのおはり,くゑ日 ちう日
《1690-3670》,《暦日2》,八／,きのえね,とつ,金,　,天しや よろつよし
《1690-3680》,《暦日0》,九／,きのとのうし,たつ,,　,十し
《1690-3690》,《暦日2》,十／,ひのえとら,のそく,火,　, けんふく  つめとりよし
《1690-3700》,《暦日0》,十一／,ひのとのう,みつ,,　,神よし
《1690-3710》,《暦日2》,十二／,つちのえたつ,たいら,木,　,五む日 大くわ ふく日 地火
《1690-3720》,《暦日0》,十三／,つちのとのみ,さたん,,　,ちう日 ふく日
《1690-3730》,《暦日2》,十四／,かのえむま,とる,土,　,神よし  すゝはらひよし
《1690-3740》,《暦日0》,十五／,かのとのひつし,やふる,,　,大みやう  かといてよし
《1690-3750》,《暦日2》,十六／,みつのえさる,あやふ,金,　,神よし 大みやう
《1690-3760》,《暦日0》,十七／,みつのとのとり,なる,,　,●
《1690-3770》,《暦日2》,十八／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《1690-3780》,《暦日0》,十九／,きのとのい,ひらく,,とようとりの六刻ニ入,ちう日  いちたちよし
《1690-3790》,《暦日2》,廿／,ひのえね,とつ,水,　,きこ ちいみ
《1690-3800》,《暦日0》,廿一／,ひのとのうし,たつ,,　,十し
《1690-3810》,《暦日2》,廿二／,つちのえとら,のそく,土,大かん十二月中いぬの二刻,ふく日  木こり すゝはらひ  つめとりよし
《1690-3820》,《暦日0》,廿三／,つちのとのう,みつ,,　,神よし 大みやう ふく日  正月ことはしめよし
《1690-3830》,《暦日2》,廿四／,かのえたつ,たいら,金,　,大くわ 地火  よめとりよし
《1690-3840》,《暦日0》,廿五／,かのとのみ,さたん,,　,ちう日  すゝはらひよし
《1690-3850》,《暦日2》,廿六／,みつのえむま,とる,木,　,神よし 大みやう  正月ことはしめよし
《1690-3860》,《暦日0》,廿七／,みつのとのひつし,やふる,,　, たねまきよし
《1690-3870》,《暦日2》,廿八／,きのえさる,あやふ,水,十方くれニ入,神よし きしく 大みやう
《1690-3880》,《暦日0》,廿九／,きのとのとり,なる,,　,●
《1690-3890》,《暦日1》,卅／,ひのえいぬ,おさん,土,　,五む日 めつもん
《1690-3900》,《暦末》,元禄二年出,立表測景定節氣者
