《1691-0000》,# カンマ区切りテキスト形式です。
《1691-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1691-2930》,《暦日0》,廿七／,つちのとのとり,とつ,,とようさるの八刻ニ入,神よし 大みやう ふく日  たねまきよし
《1691-2940》,《暦日2》,廿八／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1691-2950》,《暦日0》,廿九／,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
《1691-2960》,《月序》,九月,大,建,戊戌,參宿　虛　日よう
《1691-2970》,《暦日2》,一／,みつのえね,みつ,木,九月中とりの四刻/八せんのはしめ,神よし きこ 天火 らうしやく
《1691-2980》,《暦日0》,二／,みつのとのうし,たいら,,ま日,十し
《1691-2990》,《暦日2》,三／,きのえとら,さたん,水,　,●
《1691-3000》,《暦日0》,四／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《1691-3010》,《暦日2》,五／,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
《1691-3020》,《暦日0》,六／,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《1691-3030》,《暦日2》,七／,つちのえむま,なる,火,ま日,神よし ふく日
《1691-3040》,《暦日0》,八／,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
《1691-3050》,《暦日2》,九／,かのえさる,ひらく,木,　,さい下しき 大みやう
《1691-3060》,《暦日0》,十／,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
《1691-3070》,《暦日2》,十一／,みつのえいぬ,たつ,水,ま日, 田かりよし
《1691-3080》,《暦日0》,十二／,みつのとのい,のそく,,八せんのおはり,ちう日 わうまう  むきまきよし
《1691-3090》,《暦日2》,十三／,きのえね,みつ,金,　,きしく きこ 天火 らうしやく
《1691-3100》,《暦日0》,十四／,きのとのうし,たいら,,　,十し
《1691-3110》,《暦日2》,十五／,ひのえとら,さたん,火,　,●
《1691-3120》,《暦日0》,十六／,ひのとのう,さたん,,立冬十月せつ夜ねの初刻ニ入,神よし 天火 らうしやく
《1691-3130》,《暦日2》,十七／,つちのえたつ,とる,木,　,五む日  ふねのりよし
《1691-3140》,《暦日0》,十八／,つちのとのみ,やふる,,　,くゑ日 ちう日
《1691-3150》,《暦日2》,十九／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《1691-3160》,《暦日0》,廿／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《1691-3170》,《暦日2》,廿一／,みつのえさる,おさん,金,　,●
《1691-3180》,《暦日0》,廿二／,みつのとのとり,ひらく,,　,十し
《1691-3190》,《暦日2》,廿三／,きのえいぬ,とつ,火,　, わたまし いちたちよし
《1691-3200》,《暦日0》,廿四／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《1691-3210》,《暦日2》,廿五／,ひのえね,のそく,水,　,ふく日 わうまう
《1691-3220》,《暦日0》,廿六／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《1691-3230》,《暦日2》,廿七／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《1691-3240》,《暦日0》,廿八／,つちのとのう,さたん,,　,神よし 大みやう 天火 らうしやく
《1691-3250》,《暦日2》,廿九／,かのえたつ,とる,金,　, けんふく よめとりよし
《1691-3260》,《暦日0》,卅／,かのとのみ,やふる,,　,ちう日
《1691-3270》,《月序》,十月,大,建,己亥,井宿　室　火よう
《1691-3280》,《暦日2》,一／,みつのえむま,あやふ,木,　,神よし 大みやう ふく日  かとたてよし
《1691-3290》,《暦日0》,二／,みつのとのひつし,なる,,十月中とらの六刻
《1691-3300》,《暦日2》,三／,きのえさる,おさん,水,十方くれニ入,●
《1691-3310》,《暦日0》,四／,きのとのとり,ひらく,,　,十し
《1691-3320》,《暦日2》,五／,ひのえいぬ,とつ,土,　,五む日 ふく日
《1691-3330》,《暦日0》,六／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1691-3340》,《暦日2》,七／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《1691-3350》,《暦日0》,八／,つちのとのうし,みつ,,　,くゑ日 きこ
《1691-3360》,《暦日2》,九／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《1691-3370》,《暦日0》,十／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《1691-3380》,《暦日2》,十一／,みつのえたつ,とる,水,　,きしく 大みやう 五む日 ふく日
《1691-3390》,《暦日0》,十二／,みつのとのみ,やふる,,天一天上,ちう日
《1691-3400》,《暦日2》,十三／,きのえむま,あやふ,金,　,神よし  かまぬり むきまきよし
《1691-3410》,《暦日0》,十四／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《1691-3420》,《暦日2》,十五／,ひのえさる,おさん,火,　,●
《1691-3430》,《暦日0》,十六／,ひのとのとり,ひらく,,　,十し
《1691-3440》,《暦日2》,十七／,つちのえいぬ,ひらく,木,十一月せつみの三刻ニ入, くらたて かまぬりよし
《1691-3450》,《暦日0》,十八／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《1691-3460》,《暦日2》,十九／,かのえね,たつ,土,　, 井ほりよし
《1691-3470》,《暦日0》,廿／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《1691-3480》,《暦日2》,廿一／,みつのえとら,みつ,金,　,大みやう きこ  つめとりよし
《1691-3490》,《暦日0》,廿二／,みつのとのう,たいら,,　,●
《1691-3500》,《暦日2》,廿三／,きのえたつ,さたん,火,　,大みやう
《1691-3510》,《暦日0》,廿四／,きのとのみ,とる,,　,十し
《1691-3520》,《暦日2》,廿五／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1691-3530》,《暦日0》,廿六／,ひのとのひつし,あやふ,,　,神よし ふく日  いちたちよし
《1691-3540》,《暦日2》,廿七／,つちのえさる,なる,土,　, 入学よし
《1691-3550》,《暦日0》,廿八／,つちのとのとり,おさん,,　,神よし 大みやう 大くわ  やたてよし
《1691-3560》,《暦日2》,廿九／,かのえいぬ,ひらく,金,　,大みやう  たねまきよし
《1691-3570》,《暦日0》,卅／,かのとのい,とつ,,　,神よし 大みやう ちう日
《1691-3580》,《月序》,十一月,小,建,庚子,鬼宿　奎　木よう
《1691-3590》,《暦日2》,一／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《1691-3600》,《暦日0》,二／,みつのとのうし,のそく,,冬至十一月中ひつしの八刻/ま日,神よし ふく日  木こり  つめとりよし
《1691-3610》,《暦日2》,三／,きのえとら,みつ,水,　,きこ  つめとりよし
《1691-3620》,《暦日0》,四／,きのとのう,たいら,,　,●
《1691-3630》,《暦日2》,五／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《1691-3640》,《暦日0》,六／,ひのとのみ,とる,,　,十し
《1691-3650》,《暦日2》,七／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《1691-3660》,《暦日0》,八／,つちのとのひつし,あやふ,,　,神よし 大みやう
《1691-3670》,《暦日2》,九／,かのえさる,なる,木,　,さい下しき きしく 大みやう  入学 みそさけつくりよし
《1691-3680》,《暦日0》,十／,かのとのとり,おさん,,　,神よし 大みやう 大くわ  井ほりよし
《1691-3690》,《暦日2》,十一／,みつのえいぬ,ひらく,水,ま日
《1691-3700》,《暦日0》,十二／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《1691-3710》,《暦日2》,十三／,きのえね,たつ,金,　,天しや よろつよし
《1691-3720》,《暦日0》,十四／,きのとのうし,のそく,,　,神よし  やたて  つめとりよし
《1691-3730》,《暦日2》,十五／,ひのえとら,みつ,火,　,きこ  つめとりよし
《1691-3740》,《暦日0》,十六／,ひのとのう,たいら,,　,●
《1691-3750》,《暦日2》,十七／,つちのえたつ,たいら,木,小かん十二月せついぬの五刻ニ入,五む日 大くわ ふく日 地火
《1691-3760》,《暦日0》,十八／,つちのとのみ,さたん,,　,ちう日 ふく日
《1691-3770》,《暦日2》,十九／,かのえむま,とる,土,　,神よし
《1691-3780》,《暦日0》,廿／,かのとのひつし,やふる,,　,大みやう  かといてよし
《1691-3790》,《暦日2》,廿一／,みつのえさる,あやふ,金,　,神よし 大みやう
《1691-3800》,《暦日0》,廿二／,みつのとのとり,なる,,　,●
《1691-3810》,《暦日2》,廿三／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《1691-3820》,《暦日0》,廿四／,きのとのい,ひらく,,　,ちう日  いちたちよし
《1691-3830》,《暦日2》,廿五／,ひのえね,とつ,水,　,きこ ちいみ
《1691-3840》,《暦日0》,廿六／,ひのとのうし,たつ,,　,十し
《1691-3850》,《暦日2》,廿七／,つちのえとら,のそく,土,　,ふく日  木こり  つめとりよし
《1691-3860》,《暦日0》,廿八／,つちのとのう,みつ,,　,神よし 大みやう ふく日
《1691-3870》,《暦日1》,廿九／,かのえたつ,たいら,金,　,大くわ 地火  よめとりよし
《1691-3880》,《月序》,十二月,大,建,辛丑,柳宿　婁　金よう
《1691-3890》,《暦日1》,一／,かのとのみ,さたん,金,とようねの五刻ニ入,ちう日  すゝはらひよし
《1691-3900》,《暦日2》,二／,みつのえむま,とる,木,　,神よし 大みやう  正月ことはしめよし
《1691-3910》,《暦日0》,三／,みつのとのひつし,やふる,,　, たねまきよし
《1691-3920》,《暦日2》,四／,きのえさる,あやふ,水,大かん十二月中うしの一刻/十方くれニ入,神よし 大みやう
《1691-3930》,《暦日0》,五／,きのとのとり,なる,,　,●
《1691-3940》,《暦日2》,六／,ひのえいぬ,おさん,土,　,五む日 めつもん
《1691-3950》,《暦日0》,七／,ひのとのい,ひらく,,　,大みやう ちう日
《1691-3960》,《暦日2》,八／,つちのえね,とつ,火,　,きしく くゑ日 きこ ちいみ ふく日
《1691-3970》,《暦日0》,九／,つちのとのうし,たつ,,　,十し
《1691-3980》,《暦日2》,十／,かのえとら,のそく,木,　, 井ほり  つめとりよし
《1691-3990》,《暦日0》,十一／,かのとのう,みつ,,　,神よし  よめとりよし
《1691-4000》,《暦日2》,十二／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《1691-4010》,《暦日0》,十三／,みつのとのみ,さたん,,天一天上,ちう日
《1691-4020》,《暦日2》,十四／,きのえむま,とる,金,　,神よし  けんふく ふねのりよし
《1691-4030》,《暦日0》,十五／,きのとのひつし,やふる,,　,大みやう 五む日
《1691-4040》,《暦日1》,十六／,ひのえさる,あやふ,火,　
《1691-4050》,《食記》,月そく七分
《1691-4060》,《暦日1》,十七／,ひのとのとり,なる,火,　,●
《1691-4070》,《暦日2》,十八／,つちのえいぬ,おさん,木,せつふん,ふく日 めつもん
《1691-4080》,《暦日0》,十九／,つちのとのい,おさん,,立春正月せつうの七刻ニ入,神よし 大くわ ちう日
《1691-4090》,《暦日2》,廿／,かのえね,ひらく,土,　,神よし ふく日 天火 らうしやく
《1691-4100》,《暦日0》,廿一／,かのとのうし,とつ,,　,神よし 五む日 きこ ちいみ  ものたち  つめとりよし
《1691-4110》,《暦日2》,廿二／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《1691-4120》,《暦日0》,廿三／,みつのとのう,のそく,,　,神よし  あさまきよし
《1691-4130》,《暦日2》,廿四／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《1691-4140》,《暦日0》,廿五／,きのとのみ,たいら,,　,大みやう ちう日 めつもん 地火 わうまう  けんふくよし
《1691-4150》,《暦日2》,廿六／,ひのえむま,さたん,水,　,神よし 大みやう  わたましよし
《1691-4160》,《暦日0》,廿七／,ひのとのひつし,とる,,　,神よし  かといてよし
《1691-4170》,《暦日2》,廿八／,つちのえさる,やふる,土,　,神よし  たねまきよし
《1691-4180》,《暦日0》,廿九／,つちのとのとり,あやふ,,　,十し
《1691-4190》,《暦日1》,卅／,かのえいぬ,なる,金,　,●
《1691-4200》,《暦末》,元禄三年出,立表測景定節氣者
