《1691-0000》,# カンマ区切りテキスト形式です。
《1691-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1691-0410》,《暦日2》,廿／,ひのえむま,さたん,水,　,神よし 大みやう  わたましよし
《1691-0420》,《暦日0》,廿一／,ひのとのひつし,とる,,　,神よし  かといてよし
《1691-0430》,《暦日2》,廿二／,つちのえさる,やふる,土,　,神よし  たねまきよし
《1691-0440》,《暦日0》,廿三／,つちのとのとり,あやふ,,正月中うの四刻,十し
《1691-0450》,《暦日2》,廿四／,かのえいぬ,なる,金,　,●
《1691-0460》,《暦日0》,廿五／,かのとのい,おさん,,　,神よし 大みやう 大くわ ちう日
《1691-0470》,《暦日2》,廿六／,みつのえね,ひらく,木,八せんのはしめ,神よし きしく 天火 らうしやく
《1691-0480》,《暦日0》,廿七／,みつのとのうし,とつ,,ま日,神よし きこ ちいみ  つめとりよし
《1691-0490》,《暦日2》,廿八／,きのえとら,たつ,水,　,くゑ日 ふく日
《1691-0500》,《暦日0》,廿九／,きのとのう,のそく,,　,神よし  ものたちよし
《1691-0510》,《暦日1》,卅／,ひのえたつ,みつ,土,ま日,大みやう
《1691-0520》,《月序》,二月,大,建,辛卯,壁宿　軫　水よう
《1691-0530》,《暦日1》,一／,ひのとのみ,たいら,土,　,ちう日 めつもん 地火
《1691-0540》,《食記》,日そく四分
《1691-0550》,《暦日2》,二／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《1691-0560》,《暦日0》,三／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《1691-0570》,《暦日2》,四／,かのえさる,やふる,木,　,さい下しき 神よし 大みやう ふく日
《1691-0580》,《暦日0》,五／,かのとのとり,あやふ,,　,十し
《1691-0590》,《暦日2》,六／,みつのえいぬ,なる,水,ま日,●
《1691-0600》,《暦日0》,七／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
《1691-0610》,《暦日2》,八／,きのえね,おさん,金,二月せつむまの一刻ニ入,めつもん
《1691-0620》,《暦日0》,九／,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
《1691-0630》,《暦日2》,十／,ひのえとら,とつ,火,　,きこ  つめとりよし
