«1780-0000»,【 カンマ区切りテキスト形式です。】
«1780-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1780-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1780-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1780-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1780-0050»,【 外部リンク　】
«1780-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/169 ～ 173】
«1780-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1780h　(翻刻編集終了データを表成型して表示します)】
«1780-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1780ht (翻刻編集中データを表成型して表示します)】
«1780-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1780-0100»,«版元»,出版地○○,出版元□□□,　
«1780-1150»,«暦日0»,廿六〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1780-1160»,«暦日2»,廿七〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1780-1170»,«暦日0»,廿八〳,ひのとのひつし,たいら,,八十八や,神よし 月とく めつもん 地火
«1780-1180»,«暦日1»,廿九〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1780-1190»,«月序»,四月,大,建,辛巳,觜宿　斗　木よう
«1780-1200»,«暦日1»,一〳,つちのとのとり,とる,土,　,神よし 大みやう 天おん ふく日
«1780-1210»,«暦日2»,二〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1780-1220»,«暦日0»,三〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1780-1230»,«節中»,立夏四月せついの五刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1780-1240»,«暦日2»,四〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1780-1250»,«暦日0»,五〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1780-1260»,«暦日2»,六〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1780-1270»,«暦日0»,七〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1780-1280»,«暦日2»,八〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1780-1290»,«暦日0»,九〳,ひのとのみ,たつ,,　,●
«1780-1300»,«暦日2»,十〳,つちのえむま,のそく,火,ま日,くゑ日 わうまう
«1780-1310»,«暦日0»,十一〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1780-1320»,«暦日2»,十二〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1780-1330»,«暦日0»,十三〳,かのとのとり,さたん,,　,十し
«1780-1340»,«暦日2»,十四〳,みつのえいぬ,とる,水,ま日,ふく日
«1780-1350»,«暦日0»,十五〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1780-1360»,«食記»,月帯蝕九分,　
«1780-1370»,«暦日2»,十六〳,きのえね,あやふ,金,　,きしく 天おん
«1780-1380»,«暦日0»,十七〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
«1780-1390»,«暦日2»,十八〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1780-1400»,«暦日0»,十九〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1780-1410»,«節中»,小満四月中今暁とらの二刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1780-1420»,«暦日2»,廿〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1780-1430»,«暦日0»,廿一〳,つちのとのみ,たつ,,　,●
«1780-1440»,«暦日2»,廿二〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1780-1450»,«暦日0»,廿三〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1780-1460»,«暦日2»,廿四〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1780-1470»,«暦日0»,廿五〳,みつのとのとり,さたん,,　,十し
«1780-1480»,«暦日2»,廿六〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1780-1490»,«暦日0»,廿七〳,きのとのい,やふる,,　,月とく ちう日
«1780-1500»,«暦日2»,廿八〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1780-1510»,«暦日0»,廿九〳,ひのとのうし,なる,,　,さい下しき 大みやう きこ  ものたち  つめとりよし
«1780-1520»,«暦日1»,卅〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1780-1530»,«月序»,五月,小,建,壬午,參宿　女　土よう
«1780-1540»,«暦日1»,一〳,つちのとのう,ひらく,土,　,神よし 大みやう 天おん 母倉  入学よし
«1780-1550»,«暦日2»,二〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1780-1560»,«暦日0»,三〳,かのとのみ,たつ,,　,●
«1780-1570»,«暦日1»,四〳,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
«1780-1580»,«節中»,芒種五月せつたつの七刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1780-1590»,«暦日1»,五〳,みつのとのひつし,のそく,木,　,天おん ふく日  田うへよし
«1780-1600»,«暦日2»,六〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1780-1610»,«暦日0»,七〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1780-1620»,«暦日2»,八〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1780-1630»,«暦日0»,九〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1780-1640»,«暦日2»,十〳,つちのえね,やふる,火,　,●
«1780-1650»,«暦日0»,十一〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1780-1660»,«暦日2»,十二〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1780-1670»,«暦日0»,十三〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1780-1680»,«暦日2»,十四〳,みつのえたつ,ひらく,水,　,きしく 大みやう 五む日
«1780-1690»,«暦日0»,十五〳,みつのとのみ,とつ,,天一天上,十し
«1780-1700»,«暦日2»,十六〳,きのえむま,たつ,金,　,天しや よろつよし
«1780-1710»,«暦日0»,十七〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1780-1720»,«暦日2»,十八〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1780-1730»,«暦日0»,十九〳,ひのとのとり,たいら,,　,ふく日 めつもん 地火 わうまう
«1780-1740»,«節中»,夏至五月中ひつしの四刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1780-1750»,«暦日2»,廿〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1780-1760»,«暦日0»,廿一〳,つちのとのい,とる,,　,神よし ちう日
«1780-1770»,«暦日2»,廿二〳,かのえね,やふる,土,　,●
«1780-1780»,«暦日0»,廿三〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1780-1790»,«暦日2»,廿四〳,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
«1780-1800»,«暦日0»,廿五〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1780-1810»,«暦日2»,廿六〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1780-1820»,«暦日0»,廿七〳,きのとのみ,とつ,,　,十し
«1780-1830»,«暦日2»,廿八〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1780-1840»,«暦日0»,廿九〳,ひのとのひつし,のそく,,はんけしやう,神よし ふく日
«1780-1850»,«月序»,六月,大,建,癸未,井宿　虛　日よう
