«1777-0000»,【 カンマ区切りテキスト形式です。】
«1777-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1777-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1777-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1777-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1777-0050»,【 外部リンク　】
«1777-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/155 ～ 159】
«1777-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1777h　(翻刻編集終了データを表成型して表示します)】
«1777-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1777ht (翻刻編集中データを表成型して表示します)】
«1777-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1777-0100»,«版元»,出版地○○,出版元□□□,　
«1777-0640»,«暦日0»,十〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1777-0650»,«暦日2»,十一〳,つちのえさる,とる,土,社日,わうまう  たねまきよし
«1777-0660»,«暦日0»,十二〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく
«1777-0670»,«暦日1»,十三〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1777-0680»,«節中»,春分二月中ひつしの一刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1777-0690»,«暦日1»,十四〳,かのとのい,なる,金,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1777-0700»,«暦日2»,十五〳,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
«1777-0710»,«暦日0»,十六〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1777-0720»,«暦日2»,十七〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1777-0730»,«暦日0»,十八〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1777-0740»,«暦日2»,十九〳,ひのえたつ,のそく,土,ま日,●
«1777-0750»,«暦日0»,廿〳,ひのとのみ,みつ,,　,十し
«1777-0760»,«暦日2»,廿一〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1777-0770»,«暦日0»,廿二〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1777-0780»,«暦日2»,廿三〳,かのえさる,とる,木,　,神よし 大みやう
«1777-0790»,«暦日0»,廿四〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1777-0800»,«暦日2»,廿五〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
