«1695-0000»,【 カンマ区切りテキスト形式です。】
«1695-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1695-0740»,«暦日2»,廿二〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1695-0750»,«暦日0»,廿三〳,きのとのう,とつ,,三月せついの初刻ニ入,神よし  ものたちよし
«1695-0760»,«暦日2»,廿四〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1695-0770»,«暦日0»,廿五〳,ひのとのみ,のそく,,　,ちう日  いちたちよし
«1695-0780»,«暦日2»,廿六〳,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
«1695-0790»,«暦日0»,廿七〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1695-0800»,«暦日2»,廿八〳,かのえさる,さたん,木,　,大みやう くゑ日
«1695-0810»,«暦日0»,廿九〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1695-0820»,«月序»,三月,大,建,庚辰,箕宿　參　水よう
«1695-0830»,«暦日2»,一〳,みつのえいぬ,やふる,水,ま日
«1695-0840»,«暦日0»,二〳,みつのとのい,あやふ,,八せんのおはり,●
«1695-0850»,«暦日2»,三〳,きのえね,なる,金,　,きしく くゑ日 きこ
«1695-0860»,«暦日0»,四〳,きのとのうし,おさん,,　,十し
«1695-0870»,«暦日2»,五〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1695-0880»,«暦日0»,六〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1695-0890»,«暦日2»,七〳,つちのえたつ,たつ,木,とよううしの一刻ニ入,五む日 くゑ日 ふく日
«1695-0900»,«暦日0»,八〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1695-0910»,«暦日2»,九〳,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
«1695-0920»,«暦日0»,十〳,かのとのひつし,たいら,,三月中うしの五刻,大みやう めつもん 地火
«1695-0930»,«暦日2»,十一〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1695-0940»,«暦日0»,十二〳,みつのとのとり,とる,,　,神よし 大みやう
«1695-0950»,«暦日2»,十三〳,きのえいぬ,やふる,火,　, くさかりよし
«1695-0960»,«暦日0»,十四〳,きのとのい,あやふ,,　,●
«1695-0970»,«暦日2»,十五〳,ひのえね,なる,水,　,きこ
«1695-0980»,«暦日0»,十六〳,ひのとのうし,おさん,,　,十し
«1695-0990»,«暦日2»,十七〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1695-1000»,«暦日0»,十八〳,つちのとのう,とつ,,　,神よし 大みやう ふく日
«1695-1010»,«暦日2»,十九〳,かのえたつ,たつ,金,　,くゑ日
«1695-1020»,«暦日0»,廿〳,かのとのみ,のそく,,　,ちう日
«1695-1030»,«暦日2»,廿一〳,みつのえむま,みつ,木,八十八や,神よし 大みやう 天火 らうしやく
«1695-1040»,«暦日0»,廿二〳,みつのとのひつし,たいら,,　,めつもん 地火
«1695-1050»,«暦日2»,廿三〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1695-1060»,«暦日0»,廿四〳,きのとのとり,とる,,　,神よし  くさかりよし
«1695-1070»,«暦日2»,廿五〳,ひのえいぬ,とる,土,立夏四月せつたつの二刻ニ入,五む日 ふく日  くさかりよし
«1695-1080»,«暦日0»,廿六〳,ひのとのい,やふる,,　,大みやう ちう日
«1695-1090»,«暦日2»,廿七〳,つちのえね,あやふ,火,　, けんふくよし
«1695-1100»,«暦日0»,廿八〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1695-1110»,«暦日2»,廿九〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1695-1120»,«暦日0»,卅〳,かのとのう,ひらく,,　,神よし  やたて ものたちよし
«1695-1130»,«月序»,四月,大,建,辛巳,斗宿　鬼　金よう
«1695-1140»,«暦日2»,一〳,みつのえたつ,とつ,水,　,きしく 大みやう 五む日 ふく日
«1695-1150»,«暦日0»,二〳,みつのとのみ,たつ,,天一天上,●
«1695-1160»,«暦日2»,三〳,きのえむま,のそく,金,　,天しや よろつよし
«1695-1170»,«暦日0»,四〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1695-1180»,«暦日2»,五〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1695-1190»,«暦日0»,六〳,ひのとのとり,さたん,,　,十し
«1695-1200»,«暦日2»,七〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1695-1210»,«暦日0»,八〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1695-1220»,«暦日2»,九〳,かのえね,あやふ,土,　,さい下しき 神よし  わたまし たねまきよし
«1695-1230»,«暦日0»,十〳,かのとのうし,なる,,四月中むまの七刻,五む日 きこ  つめとりよし
«1695-1240»,«暦日2»,十一〳,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
«1695-1250»,«暦日0»,十二〳,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
«1695-1260»,«暦日2»,十三〳,きのえたつ,とつ,火,　,大みやう
«1695-1270»,«暦日0»,十四〳,きのとのみ,たつ,,　,●
«1695-1280»,«暦日2»,十五〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1695-1290»,«暦日0»,十六〳,ひのとのひつし,みつ,,　,くゑ日
«1695-1300»,«食記»,月そく四分
«1695-1310»,«暦日2»,十七〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1695-1320»,«暦日0»,十八〳,つちのとのとり,さたん,,　,十し
«1695-1330»,«暦日2»,十九〳,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
«1695-1340»,«暦日0»,廿〳,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
«1695-1350»,«暦日2»,廿一〳,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
«1695-1360»,«暦日0»,廿二〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1695-1370»,«暦日2»,廿三〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1695-1380»,«暦日0»,廿四〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1695-1390»,«暦日2»,廿五〳,ひのえたつ,ひらく,土,五月せつとりの四刻ニ入|ま日,大みやう  けんふく いちたちよし
«1695-1400»,«暦日0»,廿六〳,ひのとのみ,とつ,,　,十し
«1695-1410»,«暦日2»,廿七〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1695-1420»,«暦日0»,廿八〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1695-1430»,«暦日2»,廿九〳,かのえさる,みつ,木,　,神よし きしく 大みやう  入学 むきかりよし
«1695-1440»,«暦日0»,卅〳,かのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1695-1450»,«月序»,五月,小,建,壬午,牛宿　星　日よう
«1695-1460»,«暦日2»,一〳,みつのえいぬ,さたん,水,入梅|ま日, むきかりよし
«1695-1470»,«暦日0»,二〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1695-1480»,«暦日2»,三〳,きのえね,やふる,金,　,●
«1695-1490»,«暦日0»,四〳,きのとのうし,あやふ,,　,神よし  つめとりよし
«1695-1500»,«暦日2»,五〳,ひのえとら,なる,火,　,きこ  つめとりよし
«1695-1510»,«暦日0»,六〳,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
«1695-1520»,«暦日2»,七〳,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
«1695-1530»,«暦日0»,八〳,つちのとのみ,とつ,,　,十し
«1695-1540»,«暦日2»,九〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1695-1550»,«暦日0»,十〳,かのとのひつし,のそく,,夏至五月中夜ねの一刻,大みやう わうまう  ふねのり 井ほりよし
«1695-1560»,«暦日2»,十一〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1695-1570»,«暦日0»,十二〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1695-1580»,«暦日2»,十三〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1695-1590»,«暦日0»,十四〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1695-1600»,«暦日2»,十五〳,ひのえね,やふる,水,　,●
«1695-1610»,«暦日0»,十六〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1695-1620»,«暦日2»,十七〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1695-1630»,«暦日0»,十八〳,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
«1695-1640»,«暦日2»,十九〳,かのえたつ,ひらく,金,　, けんふく かといてよし
«1695-1650»,«暦日0»,廿〳,かのとのみ,とつ,,　,十し
«1695-1660»,«暦日2»,廿一〳,みつのえむま,たつ,木,はんけしやう,大みやう 下しきうの時
«1695-1670»,«暦日0»,廿二〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
«1695-1680»,«暦日2»,廿三〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1695-1690»,«暦日0»,廿四〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1695-1700»,«暦日2»,廿五〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1695-1710»,«暦日0»,廿六〳,ひのとのい,さたん,,六月せつとらの六刻ニ入,大みやう ちう日
«1695-1720»,«暦日2»,廿七〳,つちのえね,とる,火,　,きしく きこ ふく日 下しきたつの時
«1695-1730»,«暦日0»,廿八〳,つちのとのうし,やふる,,　,十し
«1695-1740»,«暦日1»,廿九〳,かのえとら,あやふ,木,　, やたて  つめとりよし
«1695-1750»,«月序»,六月,大,建,癸未,女宿　張　月よう
«1695-1760»,«暦日1»,一〳,かのとのう,なる,木,　,神よし 天火 らうしやく
«1695-1770»,«暦日2»,二〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1695-1780»,«暦日0»,三〳,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
«1695-1790»,«暦日2»,四〳,きのえむま,とつ,金,　,●
«1695-1800»,«暦日0»,五〳,きのとのひつし,たつ,,　,大みやう 五む日
«1695-1810»,«暦日2»,六〳,ひのえさる,のそく,火,　,神よし
«1695-1820»,«暦日0»,七〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1695-1830»,«暦日2»,八〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1695-1840»,«暦日0»,九〳,つちのとのい,さたん,,とようたつの七刻ニ入,ちう日 ふく日  ふねのりよし
«1695-1850»,«暦日2»,十〳,かのえね,とる,土,初伏,さい下しき きこ 下しきたつの時
«1695-1860»,«暦日0»,十一〳,かのとのうし,やふる,,　,十し
«1695-1870»,«暦日2»,十二〳,みつのえとら,あやふ,金,六月中みの三刻,大みやう  けんふく  つめとりよし
«1695-1880»,«暦日0»,十三〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1695-1890»,«暦日2»,十四〳,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
«1695-1900»,«暦日0»,十五〳,きのとのみ,ひらく,,　,大みやう ちう日
«1695-1910»,«暦日2»,十六〳,ひのえむま,とつ,水,　,●
«1695-1920»,«暦日0»,十七〳,ひのとのひつし,たつ,,　,くゑ日
«1695-1930»,«暦日2»,十八〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1695-1940»,«暦日0»,十九〳,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
«1695-1950»,«暦日2»,廿〳,かのえいぬ,たいら,金,中伏,大みやう 大くわ 地火 わうまう
«1695-1960»,«暦日0»,廿一〳,かのとのい,さたん,,　,大みやう ちう日
«1695-1970»,«暦日2»,廿二〳,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
«1695-1980»,«暦日0»,廿三〳,みつのとのうし,やふる,,ま日,十し
«1695-1990»,«暦日2»,廿四〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1695-2000»,«暦日0»,廿五〳,きのとのう,なる,,　,神よし 天火 らうしやく
«1695-2010»,«暦日2»,廿六〳,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
«1695-2020»,«暦日0»,廿七〳,ひのとのみ,おさん,,立秋七月せつひつしの八刻ニ入,大くわ ちう日  ものたちよし
«1695-2030»,«暦日2»,廿八〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1695-2040»,«暦日0»,廿九〳,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
«1695-2050»,«暦日1»,卅〳,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
