《1871-0000》,# カンマ区切りテキスト形式です。
《1871-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1871-0020》,# ・表の区画内での改行は“/”で表記します。
《1871-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1871-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1871-0050》,# 外部リンク
《1871-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/154 ～ 159
《1871-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1871g　(GitHub上データを表成型)
《1871-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1871h　(翻刻編集データを表成型 - 未実装)
《1871-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1871-0100》,《版元》,出版地○○,出版元□□□,　
《1871-0640》,《暦日0》,九／,つちのとのみ,みつ,,　,十し
《1871-0650》,《暦日2》,十／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1871-0660》,《暦日0》,十一／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1871-0670》,《暦日2》,十二／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1871-0680》,《暦日0》,十三／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1871-0690》,《暦日2》,十四／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《1871-0700》,《暦日0》,十五／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《1871-0710》,《暦日1》,十六／,ひのえね,なる,水,　,きこ
《1871-0720》,《節中》,清明三月せつ昼八時二分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1871-0730》,《暦日1》,十七／,ひのとのうし,おさん,水,　,十し
《1871-0740》,《暦日2》,十八／,つちのえとら,ひらく,土,　,天しや よろつよし
《1871-0750》,《暦日0》,十九／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1871-0760》,《暦日2》,廿／,かのえたつ,たつ,金,　,くゑ日
《1871-0770》,《暦日0》,廿一／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1871-0780》,《暦日2》,廿二／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1871-0790》,《暦日0》,廿三／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1871-0800》,《暦日2》,廿四／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1871-0810》,《暦日0》,廿五／,きのとのとり,とる,,　,神よし  くさかりよし
《1871-0820》,《暦日2》,廿六／,ひのえいぬ,やふる,土,　,五む日
《1871-0830》,《暦日0》,廿七／,ひのとのい,あやふ,,　,●
《1871-0840》,《暦日2》,廿八／,つちのえね,なる,火,とよう暮六時四分ニ入,母倉 きこ ふく日
《1871-0850》,《暦日0》,廿九／,つちのとのうし,おさん,,　,十し
《1871-0860》,《暦日1》,卅／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1871-0870》,《月序》,三月,小,建,壬辰,畢宿　井　木よう
《1871-0880》,《暦日1》,一／,かのとのう,とつ,木,　,神よし  わたまし ものたちよし
《1871-0890》,《節中》,穀雨三月中夜四時日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1871-0900》,《暦日2》,二／,みつのえたつ,たつ,水,　,きしく 大みやう 月とく 五む日
《1871-0910》,《暦日0》,三／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1871-0920》,《暦日2》,四／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1871-0930》,《暦日0》,五／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1871-0940》,《暦日2》,六／,ひのえさる,さたん,火,　,くゑ日 わうまう
《1871-0950》,《暦日0》,七／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《1871-0960》,《暦日2》,八／,つちのえいぬ,やふる,木,　,ふく日
《1871-0970》,《暦日0》,九／,つちのとのい,あやふ,,　,●
《1871-0980》,《暦日2》,十／,かのえね,なる,土,　,神よし きこ
《1871-0990》,《暦日0》,十一／,かのとのうし,おさん,,　,十し
《1871-1000》,《暦日2》,十二／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1871-1010》,《暦日0》,十三／,みつのとのう,とつ,,八十八や,神よし  けんふく かといてよし
《1871-1020》,《暦日2》,十四／,きのえたつ,たつ,火,　,大みやう くゑ日
《1871-1030》,《暦日0》,十五／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1871-1040》,《暦日2》,十六／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1871-1050》,《暦日0》,十七／,ひのとのひつし,みつ,,　,くゑ日
《1871-1060》,《節中》,立夏四月せつ朝五時八分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1871-1070》,《暦日2》,十八／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1871-1080》,《暦日0》,十九／,つちのとのとり,さたん,,　,十し
《1871-1090》,《暦日2》,廿／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1871-1100》,《暦日0》,廿一／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1871-1110》,《暦日2》,廿二／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1871-1120》,《暦日0》,廿三／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1871-1130》,《暦日2》,廿四／,きのえとら,おさん,水,　,母倉 めつもん わうまう  つめとりよし
《1871-1140》,《暦日0》,廿五／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1871-1150》,《暦日2》,廿六／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1871-1160》,《暦日0》,廿七／,ひのとのみ,たつ,,　,●
《1871-1170》,《暦日2》,廿八／,つちのえむま,のそく,火,ま日,くゑ日
《1871-1180》,《暦日0》,廿九／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1871-1190》,《月序》,四月,大,建,癸巳,觜宿　鬼　金よう
《1871-1200》,《暦日2》,一／,かのえさる,たいら,木,　,さい下しき 神よし きしく 大みやう 月とく ちいみ 大くわ 地火
《1871-1210》,《暦日0》,二／,かのとのとり,さたん,,　,十し
《1871-1220》,《暦日1》,三／,みつのえいぬ,とる,水,ま日,ふく日
《1871-1230》,《節中》,小満四月中夜五時八分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1871-1240》,《暦日1》,四／,みつのとのい,やふる,水,八せんのおはり,くゑ日 ちう日
《1871-1250》,《暦日2》,五／,きのえね,あやふ,金,　,天おん
《1871-1260》,《暦日0》,六／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1871-1270》,《暦日2》,七／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1871-1280》,《暦日0》,八／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1871-1290》,《暦日2》,九／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1871-1300》,《暦日0》,十／,つちのとのみ,たつ,,　,●
《1871-1310》,《暦日2》,十一／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1871-1320》,《暦日0》,十二／,かのとのひつし,みつ,,　,大みやう くゑ日
《1871-1330》,《暦日2》,十三／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1871-1340》,《暦日0》,十四／,みつのとのとり,さたん,,　,十し
《1871-1350》,《暦日2》,十五／,きのえいぬ,とる,火,　, やたて くらたてよし
《1871-1360》,《暦日0》,十六／,きのとのい,やふる,,　,月とく ちう日
《1871-1370》,《暦日2》,十七／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1871-1380》,《暦日0》,十八／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1871-1390》,《暦日1》,十九／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1871-1400》,《節中》,芒種五月せつ昼九時七分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1871-1410》,《暦日1》,廿／,つちのとのう,おさん,土,　,大みやう 天おん 母倉 ちいみ 大くわ
《1871-1420》,《暦日2》,廿一／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1871-1430》,《暦日0》,廿二／,かのとのみ,とつ,,　,十し
《1871-1440》,《暦日2》,廿三／,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
《1871-1450》,《暦日0》,廿四／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1871-1460》,《暦日2》,廿五／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1871-1470》,《暦日0》,廿六／,きのとのとり,たいら,,　,神よし めつもん 地火
《1871-1480》,《暦日2》,廿七／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1871-1490》,《暦日0》,廿八／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1871-1500》,《暦日2》,廿九／,つちのえね,やふる,火,　,●
《1871-1510》,《暦日0》,卅／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1871-1520》,《月序》,五月,大,建,甲午,參宿　星　日よう
《1871-1530》,《暦日2》,一／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1871-1540》,《暦日0》,二／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1871-1550》,《暦日2》,三／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1871-1560》,《暦日0》,四／,みつのとのみ,とつ,,天一天上,十し
《1871-1570》,《暦日1》,五／,きのえむま,たつ,金,　,天しや よろつよし
《1871-1580》,《節中》,夏至五月中明六時九分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1871-1590》,《暦日1》,六／,きのとのひつし,のそく,金,　,大みやう 五む日  むきかりよし
《1871-1600》,《暦日2》,七／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1871-1610》,《暦日0》,八／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1871-1620》,《暦日2》,九／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1871-1630》,《暦日0》,十／,つちのとのい,とる,,　,神よし ちう日
《1871-1640》,《暦日2》,十一／,かのえね,やふる,土,　,●
《1871-1650》,《暦日0》,十二／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1871-1660》,《暦日2》,十三／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1871-1670》,《暦日0》,十四／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1871-1680》,《暦日1》,十五／,きのえたつ,ひらく,火,はんけしやう,大みやう
《1871-1690》,《食記》,月そく三分
《1871-1700》,《暦日1》,十六／,きのとのみ,とつ,火,　,十し
《1871-1710》,《暦日2》,十七／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1871-1720》,《暦日0》,十八／,ひのとのひつし,のそく,,　,神よし ふく日
《1871-1730》,《暦日2》,十九／,つちのえさる,みつ,土,　,神よし  入学よし
《1871-1740》,《暦日0》,廿／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1871-1750》,《暦日1》,廿一／,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
《1871-1760》,《節中》,小暑六月せつ今暁九時一分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1871-1770》,《暦日1》,廿二／,かのとのい,さたん,金,　,大みやう 天おん ちう日
《1871-1780》,《暦日2》,廿三／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《1871-1790》,《暦日0》,廿四／,みつのとのうし,やふる,,ま日,十し
《1871-1800》,《暦日2》,廿五／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1871-1810》,《暦日0》,廿六／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1871-1820》,《暦日2》,廿七／,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
《1871-1830》,《暦日0》,廿八／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1871-1840》,《暦日2》,廿九／,つちのえむま,とつ,火,ま日,●
《1871-1850》,《暦日0》,卅／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1871-1860》,《月序》,六月,小,建,乙未,井宿　翼　火よう
《1871-1870》,《暦日2》,一／,かのえさる,のそく,木,初伏,さい下しき 神よし 大みやう  くさかりよし
《1871-1880》,《暦日0》,二／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1871-1890》,《暦日2》,三／,みつのえいぬ,たいら,水,ま日/とよう昼九時五分ニ入,大くわ 地火
《1871-1900》,《暦日0》,四／,みつのとのい,さたん,,八せんのおはり,ちう日
《1871-1910》,《暦日2》,五／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1871-1920》,《暦日0》,六／,きのとのうし,やふる,,　,十し
《1871-1930》,《節中》,大暑六月中夕七時一分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1871-1940》,《暦日2》,七／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1871-1950》,《暦日0》,八／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1871-1960》,《暦日2》,九／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《1871-1970》,《暦日0》,十／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1871-1980》,《暦日2》,十一／,かのえむま,とつ,土,中伏,●
《1871-1990》,《暦日0》,十二／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1871-2000》,《暦日2》,十三／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1871-2010》,《暦日0》,十四／,みつのとのとり,みつ,,　,大みやう ちいみ わうまう  みそすつくりよし
《1871-2020》,《暦日2》,十五／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1871-2030》,《暦日0》,十六／,きのとのい,さたん,,　,ちう日
《1871-2040》,《暦日2》,十七／,ひのえね,とる,水,　,きこ 下しきたつの時
《1871-2050》,《暦日0》,十八／,ひのとのうし,やふる,,　,十し
《1871-2060》,《暦日2》,十九／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1871-2070》,《暦日0》,廿／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1871-2080》,《暦日2》,廿一／,かのえたつ,おさん,金,　,天おん めつもん  けんふくよし
《1871-2090》,《暦日0》,廿二／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《1871-2100》,《節中》,立秋七月せつ朝四時一分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
