《1870-0000》,# カンマ区切りテキスト形式です。
《1870-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1870-2780》,《暦日1》,廿八／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《1870-2790》,《節中》,秋分八月中昼八時五分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1870-2800》,《暦日1》,廿九／,みつのとのい,みつ,水,八せんのおはり,ちう日  いちたちよし
《1870-2810》,《月序》,九月,大,建,丙戌,室宿　虛　日よう
《1870-2820》,《暦日2》,一／,きのえね,たいら,金,　,天おん 大くわ 地火 わうまう  わたましよし
《1870-2830》,《暦日0》,二／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《1870-2840》,《暦日2》,三／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《1870-2850》,《暦日0》,四／,ひのとのう,やふる,,　,天おん  田かりよし
《1870-2860》,《暦日2》,五／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《1870-2870》,《暦日0》,六／,つちのとのみ,なる,,　,十し
《1870-2880》,《暦日2》,七／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《1870-2890》,《暦日0》,八／,かのとのひつし,ひらく,,　,●
《1870-2900》,《暦日2》,九／,みつのえさる,とつ,金,　,神よし 大みやう
《1870-2910》,《暦日0》,十／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1870-2920》,《暦日2》,十一／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《1870-2930》,《暦日0》,十二／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《1870-2940》,《暦日2》,十三／,ひのえね,たいら,水,　,きしく 大くわ 地火
《1870-2950》,《暦日0》,十四／,ひのとのうし,たいら,,　,十し
《1870-2960》,《節中》,寒露九月せつ夜五時六分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《1870-2970》,《暦日2》,十五／,つちのえとら,さたん,土,　,●
《1870-2980》,《暦日0》,十六／,つちのとのう,とる,,　,神よし 大みやう 天おん ふく日  竹木こりよし
《1870-2990》,《暦日2》,十七／,かのえたつ,やふる,金,　,天おん
《1870-3000》,《暦日0》,十八／,かのとのみ,あやふ,,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《1870-3010》,《暦日2》,十九／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《1870-3020》,《暦日0》,廿／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《1870-3030》,《暦日2》,廿一／,きのえさる,ひらく,水,十方くれニ入,大みやう
《1870-3040》,《暦日0》,廿二／,きのとのとり,とつ,,　,神よし  田かりよし
《1870-3050》,《暦日2》,廿三／,ひのえいぬ,たつ,土,　,母倉 月とく 五む日  竹木こりよし
《1870-3060》,《暦日0》,廿四／,ひのとのい,のそく,,　,大みやう ちう日
《1870-3070》,《暦日2》,廿五／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《1870-3080》,《暦日0》,廿六／,つちのとのうし,たいら,,とよう夜四時ニ入,十し
《1870-3090》,《暦日2》,廿七／,かのえとら,さたん,木,　,●
《1870-3100》,《暦日0》,廿八／,かのとのう,とる,,　,くゑ日
《1870-3110》,《暦日1》,廿九／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《1870-3120》,《節中》,霜降九月中夜四時九分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《1870-3130》,《暦日1》,卅／,みつのとのみ,あやふ,水,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《1870-3140》,《月序》,十月,小,建,丁亥,壁宿　室　火よう
《1870-3150》,《暦日2》,一／,きのえむま,なる,金,　,くゑ日
《1870-3160》,《暦日0》,二／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《1870-3170》,《暦日2》,三／,ひのえさる,ひらく,火,　,くゑ日
《1870-3180》,《暦日0》,四／,ひのとのとり,とつ,,　,くゑ日
《1870-3190》,《暦日2》,五／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《1870-3200》,《暦日0》,六／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《1870-3210》,《暦日2》,七／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《1870-3220》,《暦日0》,八／,かのとのうし,たいら,,　,十し
《1870-3230》,《暦日2》,九／,みつのえとら,さたん,金,　,●
《1870-3240》,《暦日0》,十／,みつのとのう,とる,,　,わうまう  けんふく かといてよし
《1870-3250》,《暦日2》,十一／,きのえたつ,やふる,火,　,きしく 大みやう
《1870-3260》,《暦日0》,十二／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《1870-3270》,《暦日2》,十三／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《1870-3280》,《暦日0》,十四／,ひのとのひつし,なる,,　,さい下しき  木こりよし
《1870-3290》,《節中》,立冬十月せつ夜四時八分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《1870-3300》,《暦日2》,十五／,つちのえさる,おさん,土,　,●
《1870-3310》,《暦日0》,十六／,つちのとのとり,ひらく,,　,十し
《1870-3320》,《暦日2》,十七／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《1870-3330》,《暦日0》,十八／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《1870-3340》,《暦日2》,十九／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《1870-3350》,《暦日0》,廿／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《1870-3360》,《暦日2》,廿一／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《1870-3370》,《暦日0》,廿二／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《1870-3380》,《暦日2》,廿三／,ひのえたつ,とる,土,ま日,大みやう ふく日 わうまう  かといてよし
《1870-3390》,《暦日0》,廿四／,ひのとのみ,やふる,,　,くゑ日 ちう日
《1870-3400》,《暦日2》,廿五／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《1870-3410》,《暦日0》,廿六／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《1870-3420》,《暦日2》,廿七／,かのえさる,おさん,木,　,●
《1870-3430》,《暦日0》,廿八／,かのとのとり,ひらく,,　,十し
《1870-3440》,《暦日1》,廿九／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《1870-3450》,《節中》,小雪十月中夜五時五分日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《1870-3460》,《月序》,閏十月,小,隨節用之,壁　水よう
《1870-3470》,《暦日1》,一／,みつのとのい,たつ,水,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《1870-3480》,《暦日2》,二／,きのえね,のそく,金,　,天しや よろつよし
《1870-3490》,《暦日0》,三／,きのとのうし,みつ,,　,くゑ日 きこ
《1870-3500》,《暦日2》,四／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《1870-3510》,《暦日0》,五／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《1870-3520》,《暦日2》,六／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《1870-3530》,《暦日0》,七／,つちのとのみ,やふる,,　,くゑ日 ちう日
《1870-3540》,《暦日2》,八／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《1870-3550》,《暦日0》,九／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《1870-3560》,《暦日2》,十／,みつのえさる,おさん,金,　,●
《1870-3570》,《暦日0》,十一／,みつのとのとり,ひらく,,　,十し
《1870-3580》,《暦日2》,十二／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《1870-3590》,《暦日0》,十三／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《1870-3600》,《暦日2》,十四／,ひのえね,のそく,水,　,ふく日
《1870-3610》,《暦日0》,十五／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《1870-3620》,《節中》,大雪十一月せつ夕七時ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《1870-3630》,《暦日2》,十六／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《1870-3640》,《暦日0》,十七／,つちのとのう,たいら,,　,●
《1870-3650》,《暦日2》,十八／,かのえたつ,さたん,金,　,天おん  たねまきよし
《1870-3660》,《暦日0》,十九／,かのとのみ,とる,,　,十し
《1870-3670》,《暦日2》,廿／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《1870-3680》,《暦日0》,廿一／,みつのとのひつし,あやふ,,　,天おん ふく日
《1870-3690》,《暦日2》,廿二／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《1870-3700》,《暦日0》,廿三／,きのとのとり,おさん,,　,神よし 母倉 大くわ  ものたちよし
《1870-3710》,《暦日2》,廿四／,ひのえいぬ,ひらく,土,　,五む日
《1870-3720》,《暦日0》,廿五／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《1870-3730》,《暦日2》,廿六／,つちのえね,たつ,火,　,くゑ日
《1870-3740》,《暦日0》,廿七／,つちのとのうし,のそく,,　, つめとりよし
《1870-3750》,《暦日2》,廿八／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《1870-3760》,《暦日0》,廿九／,かのとのう,たいら,,　,●
《1870-3770》,《月序》,十一月,大,建,戊子,奎宿　奎　木よう
《1870-3780》,《暦日1》,一／,みつのえたつ,さたん,水,　,大みやう 月とく 五む日  木こりよし
《1870-3790》,《節中》,冬至十一月中朝五時五分日の出より日入まて,昼四十刻余/夜五十九刻半余,六より六まて,昼四十五刻半余/夜五十四刻余
《1870-3800》,《暦日1》,二／,みつのとのみ,とる,水,天一天上,十し
《1870-3810》,《暦日2》,三／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《1870-3820》,《暦日0》,四／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《1870-3830》,《暦日2》,五／,ひのえさる,なる,火,　,母倉 わうまう
《1870-3840》,《暦日0》,六／,ひのとのとり,おさん,,　,神よし 母倉 月とく 大くわ ふく日
《1870-3850》,《暦日2》,七／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《1870-3860》,《暦日0》,八／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《1870-3870》,《暦日2》,九／,かのえね,たつ,土,　,きしく  井ほりよし
《1870-3880》,《暦日0》,十／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《1870-3890》,《暦日2》,十一／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《1870-3900》,《暦日0》,十二／,みつのとのう,たいら,,　,●
《1870-3910》,《暦日2》,十三／,きのえたつ,さたん,火,　,大みやう
《1870-3920》,《暦日0》,十四／,きのとのみ,とる,,　,十し
《1870-3930》,《暦日2》,十五／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1870-3940》,《暦日0》,十六／,ひのとのひつし,やふる,,　,さい下しき くゑ日
《1870-3950》,《節中》,小寒十二月せつ今暁八時二分ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《1870-3960》,《食記》,月帯そく七分
《1870-3970》,《暦日2》,十七／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《1870-3980》,《暦日0》,十八／,つちのとのとり,なる,,　,●
《1870-3990》,《暦日2》,十九／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《1870-4000》,《暦日0》,廿／,かのとのい,ひらく,,　,大みやう 天おん ちう日
《1870-4010》,《暦日2》,廿一／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《1870-4020》,《暦日0》,廿二／,みつのとのうし,たつ,,ま日,十し
《1870-4030》,《暦日2》,廿三／,きのえとら,のそく,水,　, 木こり  つめとりよし
《1870-4040》,《暦日0》,廿四／,きのとのう,みつ,,　,神よし 月とく  ものたちよし
《1870-4050》,《暦日2》,廿五／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《1870-4060》,《暦日0》,廿六／,ひのとのみ,さたん,,　,母倉 ちう日
《1870-4070》,《暦日2》,廿七／,つちのえむま,とる,火,ま日/とよう夜五時一分ニ入,神よし 母倉 ふく日  ふねのりよし
《1870-4080》,《暦日0》,廿八／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《1870-4090》,《暦日2》,廿九／,かのえさる,あやふ,木,　,神よし 大みやう 月とく  みそさけつくりよし
《1870-4100》,《暦日0》,卅／,かのとのとり,なる,,　,●
《1870-4110》,《節中》,大寒十二月中夜五時日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《1870-4120》,《月序》,十二月,小,建,己丑,婁宿　胃　土よう
《1870-4130》,《暦日2》,一／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《1870-4140》,《暦日0》,二／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《1870-4150》,《暦日2》,三／,きのえね,とつ,金,　,天しや よろつよし
《1870-4160》,《暦日0》,四／,きのとのうし,たつ,,　,十し
《1870-4170》,《暦日2》,五／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《1870-4180》,《暦日0》,六／,ひのとのう,みつ,,　,神よし 天おん
《1870-4190》,《暦日2》,七／,つちのえたつ,たいら,木,　,きしく 天おん 五む日 大くわ ふく日 地火
《1870-4200》,《暦日0》,八／,つちのとのみ,さたん,,　,母倉 ちう日 ふく日
《1870-4210》,《暦日2》,九／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《1870-4220》,《暦日0》,十／,かのとのひつし,やふる,,　,大みやう  かといてよし
《1870-4230》,《暦日2》,十一／,みつのえさる,あやふ,金,　,神よし 大みやう
《1870-4240》,《暦日0》,十二／,みつのとのとり,なる,,　,●
《1870-4250》,《暦日2》,十三／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《1870-4260》,《暦日0》,十四／,きのとのい,ひらく,,せつふん,月とく ちう日  いちたちよし
《1870-4270》,《暦日1》,十五／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《1870-4280》,《節中》,立春正月せつ昼八時一分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《1870-4290》,《暦日1》,十六／,ひのとのうし,とつ,水,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1870-4300》,《暦日2》,十七／,つちのえとら,たつ,土,　,天しや よろつよし
《1870-4310》,《暦日0》,十八／,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《1870-4320》,《暦日2》,十九／,かのえたつ,みつ,金,　,天おん ふく日
《1870-4330》,《暦日0》,廿／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
《1870-4340》,《暦日2》,廿一／,みつのえむま,さたん,木,　,大みやう 天おん わうまう  木こりよし
《1870-4350》,《暦日0》,廿二／,みつのとのひつし,とる,,　,天おん  たねまきよし
《1870-4360》,《暦日2》,廿三／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《1870-4370》,《暦日0》,廿四／,きのとのとり,あやふ,,　,十し
《1870-4380》,《暦日2》,廿五／,ひのえいぬ,なる,土,　,●
《1870-4390》,《暦日0》,廿六／,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
《1870-4400》,《暦日2》,廿七／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《1870-4410》,《暦日0》,廿八／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《1870-4420》,《暦日1》,廿九／,かのえとら,たつ,木,　,ふく日  つめとりよし
《1870-4430》,《暦末》,明治二年出,立表測景定節氣者
