《1870-0000》,# カンマ区切りテキスト形式です。
《1870-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1870-0430》,《暦日1》,廿／,ひのとのい,おさん,土,　,大みやう 母倉 大くわ ちう日
《1870-0440》,《暦日2》,廿一／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《1870-0450》,《暦日0》,廿二／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《1870-0460》,《暦日2》,廿三／,かのえとら,たつ,木,　,ふく日  つめとりよし
《1870-0470》,《暦日0》,廿四／,かのとのう,のそく,,　,くゑ日
《1870-0480》,《暦日2》,廿五／,みつのえたつ,みつ,水,　,きしく 大みやう 五む日
《1870-0490》,《暦日0》,廿六／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《1870-0500》,《暦日2》,廿七／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《1870-0510》,《暦日0》,廿八／,きのとのひつし,とる,,　,大みやう 五む日
《1870-0520》,《暦日1》,廿九／,ひのえさる,やふる,火,　,神よし 月とく
《1870-0530》,《月序》,二月,大,建,己卯,尾宿　軫　水よう
《1870-0540》,《暦日1》,一／,ひのとのとり,あやふ,火,　,十し
《1870-0550》,《暦日2》,二／,つちのえいぬ,なる,木,　,●
《1870-0560》,《暦日0》,三／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《1870-0570》,《暦日2》,四／,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
《1870-0580》,《暦日0》,五／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1870-0590》,《節中》,啓蟄二月せつ今暁八時六分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《1870-0600》,《暦日2》,六／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1870-0610》,《暦日0》,七／,みつのとのう,たつ,,　,天火 らうしやく
《1870-0620》,《暦日2》,八／,きのえたつ,のそく,火,　,●
《1870-0630》,《暦日0》,九／,きのとのみ,みつ,,　,十し
《1870-0640》,《暦日2》,十／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1870-0650》,《暦日0》,十一／,ひのとのひつし,さたん,,　,さい下しき 神よし ちいみ
《1870-0660》,《暦日2》,十二／,つちのえさる,とる,土,　,神よし  たねまきよし
《1870-0670》,《暦日0》,十三／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《1870-0680》,《暦日2》,十四／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《1870-0690》,《暦日0》,十五／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《1870-0700》,《暦日2》,十六／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《1870-0710》,《暦日0》,十七／,みつのとのうし,ひらく,,ま日/ひかんニなる,天おん  つめとりよし
《1870-0720》,《暦日2》,十八／,きのえとら,とつ,水,　,月とく きこ わうまう  やたて  つめとりよし
《1870-0730》,《暦日0》,十九／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1870-0740》,《暦日1》,廿／,ひのえたつ,のそく,土,ま日,●
《1870-0750》,《節中》,春分二月中今暁七時四分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1870-0760》,《暦日1》,廿一／,ひのとのみ,みつ,土,　,十し
《1870-0770》,《暦日2》,廿二／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《1870-0780》,《暦日0》,廿三／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《1870-0790》,《暦日2》,廿四／,かのえさる,とる,木,　,神よし きしく 大みやう
《1870-0800》,《暦日0》,廿五／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1870-0810》,《暦日2》,廿六／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1870-0820》,《暦日0》,廿七／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《1870-0830》,《暦日2》,廿八／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《1870-0840》,《暦日0》,廿九／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1870-0850》,《暦日1》,卅／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
